_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,5.274872,2.043404,0.250,0.263,0.1000,alpkdce,"1.750, 5.368, 5.006",0.9,30.0,0,19
2,4.696033,1.958074,0.331,0.308,0.1000,alpkdce,"1.504, 4.882, 4.544",0.9,30.0,0,38
3,4.342183,2.062326,0.382,0.334,0.1000,alpkdce,"1.368, 4.559, 4.240",0.9,30.0,0,57
4,4.099334,1.910139,0.414,0.374,0.1000,alpkdce,"1.288, 4.293, 3.992",0.9,30.0,0,76
5,3.949612,1.978188,0.442,0.394,0.1000,alpkdce,"1.236, 4.177, 3.883",0.9,30.0,0,96
6,3.822556,1.860262,0.461,0.419,0.1000,alpkdce,"1.209, 4.058, 3.773",0.9,30.0,0,115
7,3.735659,1.782887,0.475,0.427,0.1000,alpkdce,"1.175, 3.988, 3.707",0.9,30.0,0,134
8,3.654477,1.702285,0.486,0.439,0.1000,alpkdce,"1.159, 3.923, 3.647",0.9,30.0,0,153
9,3.605415,2.006151,0.492,0.431,0.1000,alpkdce,"1.150, 3.900, 3.625",0.9,30.0,1,172
10,3.547517,1.747735,0.501,0.443,0.1000,alpkdce,"1.127, 3.834, 3.563",0.9,30.0,0,191
11,3.507435,1.778986,0.506,0.459,0.1000,alpkdce,"1.099, 3.752, 3.487",0.9,30.0,0,210
12,3.474225,1.614929,0.512,0.468,0.1000,alpkdce,"1.120, 3.784, 3.518",0.9,30.0,0,230
13,3.437855,1.720655,0.519,0.449,0.1000,alpkdce,"1.085, 3.699, 3.438",0.9,30.0,1,249
14,3.410372,1.795149,0.520,0.461,0.1000,alpkdce,"1.089, 3.700, 3.439",0.9,30.0,2,268
15,3.391019,1.673413,0.522,0.473,0.1000,alpkdce,"1.079, 3.678, 3.418",0.9,30.0,0,287
16,3.367997,1.788975,0.527,0.459,0.1000,alpkdce,"1.061, 3.636, 3.378",0.9,30.0,1,306
17,3.349436,1.980092,0.532,0.450,0.1000,alpkdce,"1.061, 3.613, 3.358",0.9,30.0,2,325
18,3.326904,1.648936,0.532,0.477,0.1000,alpkdce,"1.059, 3.609, 3.354",0.9,30.0,0,345
19,3.336564,1.828388,0.532,0.466,0.1000,alpkdce,"1.036, 3.574, 3.320",0.9,30.0,1,364
20,3.308937,1.690888,0.535,0.477,0.1000,alpkdce,"1.053, 3.577, 3.325",0.9,30.0,2,383
21,3.299078,1.755965,0.539,0.476,0.1000,alpkdce,"1.041, 3.580, 3.326",0.9,30.0,3,402
22,3.286611,1.782800,0.539,0.487,0.1000,alpkdce,"1.036, 3.560, 3.307",0.9,30.0,0,421
23,3.276272,1.602300,0.542,0.486,0.1000,alpkdce,"1.034, 3.583, 3.328",0.9,30.0,1,440
