_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.005449,1.900060,0.246,0.283,0.1000,alpkdce,"1.758, 1.907, 1.892",0.9,1.0,0,3
2,1.775781,1.788839,0.317,0.305,0.1000,alpkdce,"1.564, 1.750, 1.731",0.9,1.0,0,7
3,1.632814,1.649246,0.367,0.357,0.1000,alpkdce,"1.402, 1.616, 1.595",0.9,1.0,0,11
4,1.537695,1.600514,0.402,0.382,0.1000,alpkdce,"1.299, 1.526, 1.503",0.9,1.0,0,15
5,1.463622,1.525258,0.429,0.396,0.1000,alpkdce,"1.221, 1.461, 1.437",0.9,1.0,0,19
6,1.408442,1.496184,0.449,0.414,0.1000,alpkdce,"1.176, 1.423, 1.398",0.9,1.0,0,23
7,1.366532,1.473402,0.467,0.430,0.1000,alpkdce,"1.137, 1.386, 1.361",0.9,1.0,0,27
8,1.332301,1.404349,0.478,0.451,0.1000,alpkdce,"1.097, 1.347, 1.322",0.9,1.0,0,31
9,1.305963,1.385336,0.490,0.456,0.1000,alpkdce,"1.072, 1.324, 1.299",0.9,1.0,0,35
10,1.286315,1.374973,0.496,0.457,0.1000,alpkdce,"1.060, 1.311, 1.286",0.9,1.0,0,39
11,1.266272,1.375359,0.508,0.462,0.1000,alpkdce,"1.047, 1.299, 1.274",0.9,1.0,0,43
12,1.249107,1.385235,0.511,0.455,0.1000,alpkdce,"1.025, 1.276, 1.251",0.9,1.0,1,47
13,1.238120,1.348864,0.515,0.472,0.1000,alpkdce,"1.015, 1.263, 1.239",0.9,1.0,0,51
14,1.228712,1.322490,0.519,0.484,0.1000,alpkdce,"1.003, 1.253, 1.228",0.9,1.0,0,55
15,1.212742,1.329041,0.525,0.485,0.1000,alpkdce,"0.998, 1.246, 1.221",0.9,1.0,0,59
16,1.207872,1.356250,0.527,0.468,0.1000,alpkdce,"0.997, 1.249, 1.224",0.9,1.0,1,63
17,1.199127,1.324447,0.529,0.487,0.1000,alpkdce,"0.990, 1.243, 1.218",0.9,1.0,0,67
18,1.186514,1.339030,0.534,0.481,0.1000,alpkdce,"0.976, 1.226, 1.201",0.9,1.0,1,71
19,1.184919,1.331788,0.534,0.475,0.1000,alpkdce,"0.957, 1.206, 1.181",0.9,1.0,2,75
20,1.174161,1.301636,0.540,0.490,0.1000,alpkdce,"0.957, 1.211, 1.185",0.9,1.0,0,79
21,1.169861,1.297778,0.542,0.496,0.1000,alpkdce,"0.947, 1.198, 1.172",0.9,1.0,0,83
22,1.164122,1.290991,0.544,0.502,0.1000,alpkdce,"0.929, 1.178, 1.153",0.9,1.0,0,87
23,1.156254,1.316606,0.545,0.484,0.1000,alpkdce,"0.927, 1.178, 1.153",0.9,1.0,1,91
24,1.152687,1.290505,0.546,0.500,0.1000,alpkdce,"0.937, 1.186, 1.161",0.9,1.0,2,95
25,1.149956,1.307499,0.549,0.495,0.1000,alpkdce,"0.938, 1.189, 1.164",0.9,1.0,3,99
26,1.145251,1.303441,0.550,0.491,0.1000,alpkdce,"0.921, 1.172, 1.147",0.9,1.0,4,103
27,1.139390,1.363685,0.550,0.470,0.1000,alpkdce,"0.912, 1.158, 1.133",0.9,1.0,5,107
28,1.133424,1.299974,0.555,0.497,0.1000,alpkdce,"0.924, 1.177, 1.152",0.9,1.0,6,111
29,1.131412,1.347618,0.554,0.478,0.1000,alpkdce,"0.904, 1.155, 1.130",0.9,1.0,7,115
30,1.129357,1.281606,0.554,0.502,0.1000,alpkdce,"0.921, 1.173, 1.148",0.9,1.0,0,119
31,1.124653,1.277138,0.558,0.496,0.1000,alpkdce,"0.899, 1.148, 1.123",0.9,1.0,1,123
32,1.118045,1.282850,0.558,0.501,0.1000,alpkdce,"0.907, 1.159, 1.134",0.9,1.0,2,127
33,1.117359,1.285414,0.559,0.507,0.1000,alpkdce,"0.907, 1.157, 1.132",0.9,1.0,0,131
34,1.113794,1.338671,0.561,0.484,0.1000,alpkdce,"0.898, 1.151, 1.125",0.9,1.0,1,135
35,1.112291,1.296699,0.560,0.493,0.1000,alpkdce,"0.896, 1.145, 1.120",0.9,1.0,2,139
36,1.108188,1.305973,0.562,0.500,0.1000,alpkdce,"0.896, 1.146, 1.121",0.9,1.0,3,143
37,1.104016,1.304595,0.563,0.492,0.1000,alpkdce,"0.888, 1.138, 1.113",0.9,1.0,4,147
38,1.103455,1.298734,0.564,0.502,0.1000,alpkdce,"0.903, 1.157, 1.131",0.9,1.0,5,151
39,1.103437,1.337579,0.564,0.480,0.1000,alpkdce,"0.891, 1.142, 1.117",0.9,1.0,6,155
40,1.098459,1.360686,0.566,0.482,0.1000,alpkdce,"0.884, 1.133, 1.108",0.9,1.0,7,159
41,1.095809,1.300006,0.566,0.502,0.1000,alpkdce,"0.879, 1.128, 1.103",0.9,1.0,8,163
42,1.095397,1.302852,0.567,0.496,0.1000,alpkdce,"0.883, 1.136, 1.111",0.9,1.0,9,167
43,1.090742,1.267976,0.569,0.506,0.1000,alpkdce,"0.885, 1.137, 1.112",0.9,1.0,10,171
44,1.088812,1.333750,0.570,0.483,0.1000,alpkdce,"0.867, 1.115, 1.091",0.9,1.0,11,175
45,1.089282,1.287000,0.570,0.506,0.1000,alpkdce,"0.873, 1.120, 1.095",0.9,1.0,12,179
46,1.087283,1.281874,0.569,0.506,0.1000,alpkdce,"0.867, 1.114, 1.090",0.9,1.0,13,183
47,1.087261,1.277958,0.570,0.502,0.1000,alpkdce,"0.879, 1.127, 1.102",0.9,1.0,14,187
48,1.085041,1.288437,0.572,0.497,0.1000,alpkdce,"0.855, 1.107, 1.082",0.9,1.0,15,192
49,1.082376,1.289413,0.571,0.503,0.1000,alpkdce,"0.869, 1.124, 1.098",0.9,1.0,16,196
50,1.080546,1.259245,0.574,0.505,0.1000,alpkdce,"0.862, 1.110, 1.085",0.9,1.0,17,200
51,1.076777,1.305954,0.575,0.493,0.1000,alpkdce,"0.856, 1.106, 1.081",0.9,1.0,18,204
52,1.079633,1.270789,0.572,0.510,0.1000,alpkdce,"0.870, 1.120, 1.095",0.9,1.0,0,208
53,1.070842,1.294039,0.574,0.501,0.1000,alpkdce,"0.854, 1.103, 1.079",0.9,1.0,1,212
54,1.075988,1.275194,0.575,0.506,0.1000,alpkdce,"0.853, 1.104, 1.079",0.9,1.0,2,216
55,1.073824,1.273408,0.574,0.509,0.1000,alpkdce,"0.853, 1.103, 1.078",0.9,1.0,3,220
56,1.070065,1.307974,0.574,0.499,0.1000,alpkdce,"0.854, 1.106, 1.080",0.9,1.0,4,224
57,1.070201,1.296382,0.576,0.501,0.1000,alpkdce,"0.861, 1.112, 1.087",0.9,1.0,5,228
58,1.064689,1.320188,0.576,0.496,0.1000,alpkdce,"0.845, 1.097, 1.072",0.9,1.0,6,232
59,1.068244,1.273153,0.577,0.505,0.1000,alpkdce,"0.857, 1.109, 1.084",0.9,1.0,7,236
60,1.066321,1.281592,0.577,0.501,0.1000,alpkdce,"0.869, 1.121, 1.096",0.9,1.0,8,240
61,1.063531,1.301823,0.578,0.501,0.1000,alpkdce,"0.854, 1.103, 1.078",0.9,1.0,9,244
62,1.064104,1.311729,0.577,0.487,0.1000,alpkdce,"0.839, 1.087, 1.062",0.9,1.0,10,248
63,1.064062,1.290972,0.577,0.507,0.1000,alpkdce,"0.855, 1.106, 1.081",0.9,1.0,11,252
64,1.062746,1.271873,0.578,0.513,0.1000,alpkdce,"0.851, 1.102, 1.077",0.9,1.0,0,256
65,1.059996,1.290535,0.580,0.492,0.1000,alpkdce,"0.844, 1.094, 1.069",0.9,1.0,1,260
66,1.059470,1.280982,0.577,0.511,0.1000,alpkdce,"0.852, 1.105, 1.079",0.9,1.0,2,264
67,1.054851,1.258163,0.578,0.516,0.1000,alpkdce,"0.846, 1.097, 1.072",0.9,1.0,0,268
68,1.060151,1.284200,0.578,0.508,0.1000,alpkdce,"0.853, 1.101, 1.076",0.9,1.0,1,272
69,1.054014,1.319990,0.581,0.496,0.1000,alpkdce,"0.838, 1.084, 1.059",0.9,1.0,2,276
70,1.053696,1.314344,0.583,0.499,0.1000,alpkdce,"0.843, 1.093, 1.068",0.9,1.0,3,280
71,1.054263,1.303294,0.582,0.500,0.1000,alpkdce,"0.836, 1.085, 1.060",0.9,1.0,4,284
72,1.054277,1.246403,0.581,0.514,0.1000,alpkdce,"0.845, 1.098, 1.072",0.9,1.0,5,288
73,1.050855,1.276138,0.581,0.507,0.1000,alpkdce,"0.852, 1.104, 1.079",0.9,1.0,6,292
74,1.050886,1.303028,0.582,0.499,0.1000,alpkdce,"0.837, 1.086, 1.061",0.9,1.0,7,296
75,1.051313,1.309234,0.581,0.497,0.1000,alpkdce,"0.859, 1.107, 1.083",0.9,1.0,8,300
76,1.050877,1.309756,0.584,0.497,0.1000,alpkdce,"0.837, 1.085, 1.061",0.9,1.0,9,304
77,1.050701,1.286515,0.581,0.509,0.1000,alpkdce,"0.837, 1.083, 1.058",0.9,1.0,10,308
78,1.052177,1.281543,0.583,0.509,0.1000,alpkdce,"0.841, 1.089, 1.064",0.9,1.0,11,312
79,1.046602,1.311339,0.583,0.494,0.1000,alpkdce,"0.847, 1.096, 1.071",0.9,1.0,12,316
80,1.042242,1.268141,0.584,0.507,0.1000,alpkdce,"0.827, 1.073, 1.048",0.9,1.0,13,320
81,1.044634,1.258804,0.582,0.517,0.1000,alpkdce,"0.840, 1.089, 1.064",0.9,1.0,0,324
82,1.045237,1.343463,0.585,0.487,0.1000,alpkdce,"0.835, 1.079, 1.055",0.9,1.0,1,328
83,1.044950,1.304541,0.583,0.500,0.1000,alpkdce,"0.834, 1.083, 1.058",0.9,1.0,2,332
84,1.042219,1.323625,0.584,0.498,0.1000,alpkdce,"0.842, 1.092, 1.067",0.9,1.0,3,336
85,1.043919,1.278259,0.584,0.508,0.1000,alpkdce,"0.842, 1.093, 1.068",0.9,1.0,4,340
86,1.043405,1.336018,0.584,0.485,0.1000,alpkdce,"0.838, 1.086, 1.062",0.9,1.0,5,344
87,1.044187,1.321369,0.584,0.494,0.1000,alpkdce,"0.827, 1.075, 1.050",0.9,1.0,6,348
88,1.041714,1.323200,0.585,0.491,0.1000,alpkdce,"0.835, 1.084, 1.059",0.9,1.0,7,352
89,1.040007,1.275596,0.585,0.513,0.1000,alpkdce,"0.833, 1.078, 1.053",0.9,1.0,8,356
90,1.040080,1.264522,0.587,0.509,0.1000,alpkdce,"0.836, 1.084, 1.059",0.9,1.0,9,360
91,1.038330,1.247835,0.586,0.520,0.1000,alpkdce,"0.824, 1.073, 1.048",0.9,1.0,0,364
92,1.037821,1.302201,0.586,0.499,0.1000,alpkdce,"0.835, 1.082, 1.057",0.9,1.0,1,368
93,1.035868,1.307207,0.586,0.495,0.1000,alpkdce,"0.826, 1.075, 1.050",0.9,1.0,2,372
94,1.038429,1.283324,0.586,0.505,0.1000,alpkdce,"0.827, 1.079, 1.053",0.9,1.0,3,376
95,1.039752,1.276955,0.586,0.516,0.1000,alpkdce,"0.835, 1.085, 1.060",0.9,1.0,4,380
96,1.033708,1.272211,0.586,0.508,0.1000,alpkdce,"0.825, 1.077, 1.051",0.9,1.0,5,384
97,1.039396,1.297803,0.587,0.496,0.1000,alpkdce,"0.827, 1.075, 1.050",0.9,1.0,6,388
98,1.032935,1.279053,0.587,0.513,0.1000,alpkdce,"0.835, 1.088, 1.063",0.9,1.0,7,392
99,1.031207,1.282503,0.588,0.512,0.1000,alpkdce,"0.819, 1.065, 1.040",0.9,1.0,8,396
100,1.033221,1.275885,0.589,0.513,0.1000,alpkdce,"0.827, 1.078, 1.053",0.9,1.0,9,400
101,0.889932,1.178462,0.638,0.547,0.0100,alpkdce,"0.675, 0.900, 0.878",0.9,1.0,0,404
102,0.839601,1.189793,0.656,0.551,0.0100,alpkdce,"0.641, 0.861, 0.839",0.9,1.0,0,408
103,0.817337,1.212823,0.663,0.547,0.0100,alpkdce,"0.624, 0.841, 0.820",0.9,1.0,1,412
104,0.803055,1.214457,0.666,0.547,0.0100,alpkdce,"0.610, 0.823, 0.802",0.9,1.0,2,416
105,0.790765,1.248881,0.672,0.543,0.0100,alpkdce,"0.598, 0.815, 0.793",0.9,1.0,3,420
106,0.777302,1.235271,0.675,0.547,0.0100,alpkdce,"0.590, 0.802, 0.781",0.9,1.0,4,424
107,0.768495,1.264522,0.678,0.537,0.0100,alpkdce,"0.578, 0.789, 0.768",0.9,1.0,5,428
108,0.758228,1.277683,0.682,0.540,0.0100,alpkdce,"0.565, 0.777, 0.756",0.9,1.0,6,432
109,0.747490,1.307240,0.684,0.538,0.0100,alpkdce,"0.562, 0.770, 0.749",0.9,1.0,7,436
110,0.738963,1.311127,0.687,0.534,0.0100,alpkdce,"0.563, 0.773, 0.752",0.9,1.0,8,440
111,0.733788,1.298414,0.688,0.536,0.0100,alpkdce,"0.568, 0.782, 0.761",0.9,1.0,9,444
112,0.724930,1.323932,0.693,0.532,0.0100,alpkdce,"0.552, 0.767, 0.745",0.9,1.0,10,448
113,0.718614,1.380969,0.693,0.526,0.0100,alpkdce,"0.543, 0.755, 0.734",0.9,1.0,11,452
114,0.712232,1.370998,0.696,0.532,0.0100,alpkdce,"0.536, 0.743, 0.722",0.9,1.0,12,456
115,0.705678,1.402981,0.699,0.524,0.0100,alpkdce,"0.528, 0.737, 0.716",0.9,1.0,13,460
116,0.699255,1.409977,0.700,0.526,0.0100,alpkdce,"0.520, 0.726, 0.706",0.9,1.0,14,464
117,0.693881,1.435989,0.702,0.525,0.0100,alpkdce,"0.513, 0.719, 0.698",0.9,1.0,15,468
118,0.689969,1.450558,0.701,0.521,0.0100,alpkdce,"0.522, 0.733, 0.712",0.9,1.0,16,472
119,0.684023,1.480431,0.705,0.516,0.0100,alpkdce,"0.509, 0.717, 0.696",0.9,1.0,17,476
120,0.679235,1.458080,0.707,0.521,0.0100,alpkdce,"0.505, 0.711, 0.690",0.9,1.0,18,480
121,0.674543,1.484891,0.709,0.517,0.0100,alpkdce,"0.504, 0.710, 0.689",0.9,1.0,19,484
122,0.670784,1.491526,0.710,0.519,0.0100,alpkdce,"0.505, 0.711, 0.690",0.9,1.0,20,488
123,0.663401,1.521566,0.712,0.517,0.0100,alpkdce,"0.487, 0.692, 0.671",0.9,1.0,21,492
124,0.659515,1.530928,0.714,0.515,0.0100,alpkdce,"0.496, 0.702, 0.681",0.9,1.0,22,496
125,0.657081,1.522415,0.716,0.517,0.0100,alpkdce,"0.495, 0.701, 0.681",0.9,1.0,23,500
126,0.654332,1.557204,0.714,0.516,0.0100,alpkdce,"0.481, 0.687, 0.666",0.9,1.0,24,504
127,0.648832,1.574508,0.716,0.511,0.0100,alpkdce,"0.482, 0.687, 0.666",0.9,1.0,25,508
128,0.646322,1.595032,0.717,0.505,0.0100,alpkdce,"0.467, 0.668, 0.648",0.9,1.0,26,512
129,0.643182,1.605939,0.719,0.511,0.0100,alpkdce,"0.469, 0.670, 0.650",0.9,1.0,27,516
130,0.636573,1.629257,0.721,0.499,0.0100,alpkdce,"0.470, 0.674, 0.654",0.9,1.0,28,520
131,0.638373,1.643482,0.721,0.506,0.0100,alpkdce,"0.473, 0.679, 0.658",0.9,1.0,29,524
132,0.632001,1.608698,0.723,0.506,0.0100,alpkdce,"0.466, 0.668, 0.648",0.9,1.0,30,528
133,0.626785,1.657060,0.725,0.496,0.0100,alpkdce,"0.456, 0.662, 0.641",0.9,1.0,31,531
134,0.625413,1.626342,0.726,0.503,0.0100,alpkdce,"0.463, 0.666, 0.645",0.9,1.0,32,535
135,0.625085,1.676753,0.725,0.495,0.0100,alpkdce,"0.448, 0.650, 0.630",0.9,1.0,33,539
136,0.622214,1.652249,0.725,0.500,0.0100,alpkdce,"0.454, 0.658, 0.638",0.9,1.0,34,543
137,0.618172,1.680097,0.729,0.501,0.0100,alpkdce,"0.444, 0.645, 0.625",0.9,1.0,35,547
138,0.617071,1.655449,0.729,0.499,0.0100,alpkdce,"0.455, 0.659, 0.639",0.9,1.0,36,551
139,0.614296,1.715990,0.730,0.495,0.0100,alpkdce,"0.445, 0.649, 0.629",0.9,1.0,37,555
140,0.610311,1.675380,0.731,0.505,0.0100,alpkdce,"0.443, 0.645, 0.625",0.9,1.0,38,559
141,0.608191,1.681854,0.730,0.497,0.0100,alpkdce,"0.442, 0.645, 0.625",0.9,1.0,39,563
142,0.603014,1.717476,0.733,0.495,0.0100,alpkdce,"0.438, 0.639, 0.619",0.9,1.0,40,567
143,0.598893,1.781580,0.735,0.487,0.0100,alpkdce,"0.434, 0.639, 0.619",0.9,1.0,41,570
144,0.598577,1.698940,0.736,0.496,0.0100,alpkdce,"0.437, 0.640, 0.620",0.9,1.0,42,574
145,0.595854,1.732263,0.738,0.494,0.0100,alpkdce,"0.426, 0.625, 0.605",0.9,1.0,43,578
146,0.594758,1.834791,0.735,0.487,0.0100,alpkdce,"0.431, 0.636, 0.615",0.9,1.0,44,582
147,0.590267,1.778517,0.739,0.487,0.0100,alpkdce,"0.428, 0.628, 0.608",0.9,1.0,45,586
148,0.587682,1.796694,0.741,0.488,0.0100,alpkdce,"0.419, 0.619, 0.599",0.9,1.0,46,590
149,0.585541,1.769946,0.740,0.490,0.0100,alpkdce,"0.423, 0.628, 0.608",0.9,1.0,47,594
150,0.580515,1.776077,0.740,0.489,0.0100,alpkdce,"0.420, 0.622, 0.602",0.9,1.0,48,598
151,0.489466,1.893826,0.786,0.493,0.0010,alpkdce,"0.327, 0.487, 0.471",0.9,1.0,49,602
152,0.451316,1.941733,0.799,0.492,0.0010,alpkdce,"0.311, 0.464, 0.449",0.9,1.0,50,605
153,0.435720,2.026459,0.804,0.487,0.0010,alpkdce,"0.295, 0.446, 0.431",0.9,1.0,51,609
154,0.425680,2.100388,0.809,0.490,0.0010,alpkdce,"0.293, 0.443, 0.428",0.9,1.0,52,613
155,0.415829,2.138917,0.811,0.486,0.0010,alpkdce,"0.285, 0.431, 0.416",0.9,1.0,53,617
156,0.406402,2.187945,0.816,0.484,0.0010,alpkdce,"0.275, 0.417, 0.403",0.9,1.0,54,621
157,0.401493,2.244866,0.817,0.482,0.0010,alpkdce,"0.273, 0.416, 0.402",0.9,1.0,55,625
158,0.394848,2.269121,0.821,0.483,0.0010,alpkdce,"0.264, 0.404, 0.390",0.9,1.0,56,629
159,0.389993,2.318703,0.822,0.481,0.0010,alpkdce,"0.260, 0.399, 0.385",0.9,1.0,57,633
160,0.385283,2.322835,0.824,0.479,0.0010,alpkdce,"0.256, 0.396, 0.382",0.9,1.0,58,637
161,0.383067,2.360860,0.825,0.477,0.0010,alpkdce,"0.262, 0.404, 0.390",0.9,1.0,59,641
162,0.378059,2.386328,0.826,0.473,0.0010,alpkdce,"0.254, 0.391, 0.378",0.9,1.0,60,645
163,0.372217,2.433818,0.830,0.475,0.0010,alpkdce,"0.252, 0.389, 0.375",0.9,1.0,61,649
164,0.371040,2.418297,0.830,0.481,0.0010,alpkdce,"0.252, 0.388, 0.375",0.9,1.0,62,653
165,0.366802,2.528444,0.831,0.477,0.0010,alpkdce,"0.246, 0.382, 0.369",0.9,1.0,63,657
166,0.361772,2.521903,0.835,0.476,0.0010,alpkdce,"0.244, 0.379, 0.365",0.9,1.0,64,661
167,0.358717,2.531526,0.835,0.473,0.0010,alpkdce,"0.242, 0.377, 0.364",0.9,1.0,65,665
168,0.354472,2.516221,0.838,0.474,0.0010,alpkdce,"0.241, 0.379, 0.365",0.9,1.0,66,669
169,0.352327,2.612579,0.838,0.472,0.0010,alpkdce,"0.243, 0.379, 0.365",0.9,1.0,67,673
170,0.350194,2.653886,0.838,0.472,0.0010,alpkdce,"0.235, 0.367, 0.354",0.9,1.0,68,677
171,0.348399,2.651302,0.840,0.469,0.0010,alpkdce,"0.233, 0.365, 0.352",0.9,1.0,69,681
172,0.344688,2.734867,0.841,0.470,0.0010,alpkdce,"0.228, 0.359, 0.345",0.9,1.0,70,685
173,0.340257,2.689597,0.843,0.469,0.0010,alpkdce,"0.226, 0.356, 0.343",0.9,1.0,71,689
174,0.339891,2.702487,0.844,0.472,0.0010,alpkdce,"0.226, 0.357, 0.344",0.9,1.0,72,693
175,0.336336,2.684668,0.845,0.477,0.0010,alpkdce,"0.228, 0.358, 0.345",0.9,1.0,73,697
176,0.333525,2.835111,0.848,0.471,0.0010,alpkdce,"0.219, 0.346, 0.334",0.9,1.0,74,701
177,0.329997,2.864196,0.848,0.468,0.0010,alpkdce,"0.221, 0.350, 0.337",0.9,1.0,75,705
178,0.329363,2.789069,0.849,0.468,0.0010,alpkdce,"0.214, 0.340, 0.328",0.9,1.0,76,709
179,0.325881,2.819249,0.851,0.463,0.0010,alpkdce,"0.219, 0.346, 0.333",0.9,1.0,77,713
180,0.322745,2.831364,0.850,0.468,0.0010,alpkdce,"0.209, 0.333, 0.321",0.9,1.0,78,717
181,0.321401,2.850550,0.852,0.467,0.0010,alpkdce,"0.217, 0.347, 0.334",0.9,1.0,79,721
182,0.319030,2.828502,0.854,0.467,0.0010,alpkdce,"0.205, 0.325, 0.313",0.9,1.0,80,725
183,0.317004,2.879113,0.854,0.467,0.0010,alpkdce,"0.205, 0.328, 0.316",0.9,1.0,81,729
184,0.311633,2.899321,0.857,0.463,0.0010,alpkdce,"0.206, 0.332, 0.320",0.9,1.0,82,733
185,0.311845,2.958281,0.856,0.462,0.0010,alpkdce,"0.205, 0.330, 0.318",0.9,1.0,83,737
186,0.310771,2.999117,0.858,0.464,0.0010,alpkdce,"0.209, 0.335, 0.322",0.9,1.0,84,741
187,0.306045,3.045818,0.858,0.462,0.0010,alpkdce,"0.201, 0.325, 0.313",0.9,1.0,85,745
188,0.304245,3.052948,0.860,0.465,0.0010,alpkdce,"0.199, 0.320, 0.308",0.9,1.0,86,749
189,0.304592,2.993730,0.861,0.461,0.0010,alpkdce,"0.204, 0.330, 0.318",0.9,1.0,87,753
190,0.300288,3.077084,0.862,0.464,0.0010,alpkdce,"0.196, 0.319, 0.306",0.9,1.0,88,757
191,0.297160,3.108786,0.864,0.460,0.0010,alpkdce,"0.197, 0.319, 0.306",0.9,1.0,89,761
192,0.295452,3.136382,0.865,0.460,0.0010,alpkdce,"0.187, 0.305, 0.293",0.9,1.0,90,765
193,0.294281,3.127150,0.865,0.458,0.0010,alpkdce,"0.189, 0.309, 0.297",0.9,1.0,91,769
194,0.291429,3.116175,0.867,0.462,0.0010,alpkdce,"0.187, 0.304, 0.292",0.9,1.0,92,773
195,0.289613,3.188632,0.866,0.460,0.0010,alpkdce,"0.185, 0.303, 0.291",0.9,1.0,93,777
196,0.287084,3.227917,0.869,0.458,0.0010,alpkdce,"0.184, 0.301, 0.289",0.9,1.0,94,781
197,0.284802,3.220313,0.869,0.461,0.0010,alpkdce,"0.187, 0.307, 0.295",0.9,1.0,95,785
198,0.284205,3.223937,0.870,0.456,0.0010,alpkdce,"0.184, 0.302, 0.290",0.9,1.0,96,789
199,0.284315,3.212807,0.870,0.460,0.0010,alpkdce,"0.183, 0.302, 0.290",0.9,1.0,97,793
200,0.280305,3.344582,0.871,0.459,0.0010,alpkdce,"0.183, 0.304, 0.292",0.9,1.0,97,797
