_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,12.765429,2.589090,0.214,0.205,0.1000,alpkdce,"2.134, 19.046, 12.281",0.6,30.0,0,3
2,11.766731,2.542841,0.263,0.256,0.1000,alpkdce,"2.004, 17.777, 11.468",0.6,30.0,0,7
3,10.950791,2.367957,0.303,0.295,0.1000,alpkdce,"1.865, 16.606, 10.710",0.6,30.0,0,11
4,10.151310,3.555274,0.348,0.278,0.1000,alpkdce,"1.775, 15.220, 9.842",0.6,30.0,1,15
5,9.521617,2.550099,0.383,0.357,0.1000,alpkdce,"1.684, 14.277, 9.240",0.6,30.0,0,18
6,9.016468,2.439995,0.413,0.373,0.1000,alpkdce,"1.664, 13.723, 8.899",0.6,30.0,0,22
7,8.643559,2.742638,0.435,0.383,0.1000,alpkdce,"1.608, 13.195, 8.560",0.6,30.0,0,26
8,8.377256,2.740259,0.450,0.417,0.1000,alpkdce,"1.541, 12.626, 8.192",0.6,30.0,0,30
9,8.119212,2.446281,0.465,0.421,0.1000,alpkdce,"1.536, 12.448, 8.083",0.6,30.0,0,33
10,7.969071,2.715365,0.471,0.436,0.1000,alpkdce,"1.483, 12.155, 7.886",0.6,30.0,0,37
11,7.821818,2.418323,0.479,0.423,0.1000,alpkdce,"1.494, 12.037, 7.820",0.6,30.0,1,41
12,7.686054,2.644583,0.487,0.434,0.1000,alpkdce,"1.470, 11.778, 7.655",0.6,30.0,2,45
13,7.570098,2.639144,0.496,0.441,0.1000,alpkdce,"1.459, 11.591, 7.538",0.6,30.0,0,48
14,7.473648,2.933558,0.501,0.442,0.1000,alpkdce,"1.433, 11.515, 7.483",0.6,30.0,0,52
15,7.403242,2.871143,0.506,0.436,0.1000,alpkdce,"1.438, 11.390, 7.409",0.6,30.0,1,56
16,7.324095,2.412242,0.510,0.469,0.1000,alpkdce,"1.431, 11.371, 7.395",0.6,30.0,0,60
17,7.244071,2.532618,0.511,0.465,0.1000,alpkdce,"1.390, 11.094, 7.212",0.6,30.0,1,63
18,7.183761,2.669275,0.518,0.456,0.1000,alpkdce,"1.415, 11.106, 7.230",0.6,30.0,2,67
19,7.139855,2.631790,0.520,0.462,0.1000,alpkdce,"1.401, 11.078, 7.207",0.6,30.0,3,71
20,7.068571,2.376401,0.521,0.465,0.1000,alpkdce,"1.383, 11.015, 7.162",0.6,30.0,4,75
21,7.042001,2.750402,0.525,0.462,0.1000,alpkdce,"1.359, 10.867, 7.064",0.6,30.0,5,78
