_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,17.836608,3.087912,0.218,0.221,0.1000,alpkdce,"2.318, 18.903, 17.245",0.9,30.0,0,3
2,16.394152,2.702528,0.267,0.265,0.1000,alpkdce,"2.231, 17.554, 16.021",0.9,30.0,0,7
3,15.384651,3.200658,0.308,0.293,0.1000,alpkdce,"2.116, 16.499, 15.061",0.9,30.0,0,11
4,14.339190,3.106818,0.345,0.318,0.1000,alpkdce,"2.007, 15.335, 14.003",0.9,30.0,0,14
5,13.397260,3.025819,0.379,0.353,0.1000,alpkdce,"1.899, 14.343, 13.098",0.9,30.0,0,18
6,12.659304,2.779222,0.411,0.369,0.1000,alpkdce,"1.847, 13.644, 12.464",0.9,30.0,0,22
7,12.133030,2.852104,0.435,0.402,0.1000,alpkdce,"1.782, 12.992, 11.871",0.9,30.0,0,26
8,11.735997,2.742115,0.447,0.415,0.1000,alpkdce,"1.755, 12.634, 11.546",0.9,30.0,0,29
9,11.388252,2.927650,0.464,0.417,0.1000,alpkdce,"1.695, 12.392, 11.323",0.9,30.0,0,33
10,11.153650,2.840403,0.474,0.431,0.1000,alpkdce,"1.687, 12.138, 11.093",0.9,30.0,0,37
11,10.873894,2.930053,0.485,0.429,0.1000,alpkdce,"1.667, 11.821, 10.806",0.9,30.0,1,41
12,10.745267,2.988324,0.490,0.437,0.1000,alpkdce,"1.632, 11.797, 10.780",0.9,30.0,0,45
13,10.538971,3.309168,0.499,0.437,0.1000,alpkdce,"1.615, 11.556, 10.562",0.9,30.0,0,48
14,10.404471,2.626426,0.503,0.443,0.1000,alpkdce,"1.623, 11.529, 10.539",0.9,30.0,0,52
15,10.317176,2.738521,0.507,0.451,0.1000,alpkdce,"1.591, 11.376, 10.397",0.9,30.0,0,56
16,10.211905,2.843025,0.511,0.451,0.1000,alpkdce,"1.561, 11.167, 10.206",0.9,30.0,0,60
17,10.094120,2.659390,0.516,0.466,0.1000,alpkdce,"1.556, 11.080, 10.128",0.9,30.0,0,63
18,10.032270,2.746956,0.518,0.480,0.1000,alpkdce,"1.559, 11.007, 10.062",0.9,30.0,0,67
19,9.911887,3.182247,0.523,0.460,0.1000,alpkdce,"1.527, 10.945, 10.004",0.9,30.0,1,71
20,9.824332,2.881696,0.525,0.467,0.1000,alpkdce,"1.513, 10.771, 9.845",0.9,30.0,2,75
21,9.816052,3.264107,0.527,0.460,0.1000,alpkdce,"1.514, 10.830, 9.898",0.9,30.0,3,79
22,9.776751,2.653149,0.529,0.476,0.1000,alpkdce,"1.512, 10.714, 9.793",0.9,30.0,4,82
23,9.709808,2.779776,0.532,0.477,0.1000,alpkdce,"1.486, 10.533, 9.628",0.9,30.0,5,86
24,9.674733,3.134011,0.533,0.458,0.1000,alpkdce,"1.485, 10.577, 9.668",0.9,30.0,6,90
25,9.597955,3.014256,0.535,0.469,0.1000,alpkdce,"1.497, 10.425, 9.532",0.9,30.0,7,94
26,9.552341,2.967638,0.538,0.472,0.1000,alpkdce,"1.501, 10.573, 9.665",0.9,30.0,8,97
27,9.513519,2.685204,0.540,0.486,0.1000,alpkdce,"1.495, 10.430, 9.537",0.9,30.0,0,101
28,9.483220,2.878013,0.540,0.468,0.1000,alpkdce,"1.485, 10.411, 9.518",0.9,30.0,1,105
29,9.467645,2.964400,0.539,0.482,0.1000,alpkdce,"1.471, 10.428, 9.533",0.9,30.0,2,109
30,9.456808,2.666963,0.541,0.473,0.1000,alpkdce,"1.489, 10.461, 9.564",0.9,30.0,3,112
31,9.428464,2.997327,0.542,0.470,0.1000,alpkdce,"1.466, 10.387, 9.495",0.9,30.0,4,116
32,9.389291,2.785330,0.542,0.482,0.1000,alpkdce,"1.486, 10.483, 9.583",0.9,30.0,5,120
33,9.344276,2.744146,0.546,0.484,0.1000,alpkdce,"1.473, 10.324, 9.439",0.9,30.0,6,124
34,9.310433,2.812197,0.546,0.482,0.1000,alpkdce,"1.427, 10.248, 9.365",0.9,30.0,7,128
35,9.266478,3.193869,0.549,0.478,0.1000,alpkdce,"1.468, 10.259, 9.380",0.9,30.0,8,131
36,9.297906,2.866501,0.549,0.483,0.1000,alpkdce,"1.458, 10.304, 9.419",0.9,30.0,9,135
37,9.286918,3.151183,0.548,0.468,0.1000,alpkdce,"1.447, 10.261, 9.379",0.9,30.0,10,139
38,9.207260,2.784292,0.552,0.481,0.1000,alpkdce,"1.442, 10.172, 9.299",0.9,30.0,11,143
39,9.189302,2.803913,0.552,0.483,0.1000,alpkdce,"1.456, 10.172, 9.300",0.9,30.0,12,146
40,9.174485,2.798773,0.552,0.494,0.1000,alpkdce,"1.460, 10.163, 9.292",0.9,30.0,0,150
41,9.168729,2.985154,0.554,0.479,0.1000,alpkdce,"1.450, 10.154, 9.284",0.9,30.0,1,154
42,9.133060,3.108316,0.553,0.486,0.1000,alpkdce,"1.426, 10.082, 9.216",0.9,30.0,2,158
43,9.140435,2.698868,0.554,0.470,0.1000,alpkdce,"1.440, 10.132, 9.262",0.9,30.0,3,161
44,9.102405,3.090490,0.555,0.480,0.1000,alpkdce,"1.429, 10.101, 9.234",0.9,30.0,4,165
45,9.108966,2.925934,0.557,0.483,0.1000,alpkdce,"1.417, 10.022, 9.162",0.9,30.0,5,169
46,9.052323,2.955057,0.556,0.481,0.1000,alpkdce,"1.434, 10.029, 9.170",0.9,30.0,6,173
47,9.055023,2.907640,0.557,0.485,0.1000,alpkdce,"1.404, 9.939, 9.086",0.9,30.0,7,176
48,9.019096,2.818054,0.559,0.496,0.1000,alpkdce,"1.411, 9.969, 9.113",0.9,30.0,0,180
49,9.058374,2.736985,0.559,0.484,0.1000,alpkdce,"1.422, 9.967, 9.113",0.9,30.0,1,184
50,9.005633,2.846116,0.559,0.477,0.1000,alpkdce,"1.414, 10.104, 9.235",0.9,30.0,2,188
51,8.981721,2.882479,0.560,0.475,0.1000,alpkdce,"1.441, 9.984, 9.130",0.9,30.0,3,192
52,8.952428,2.701415,0.561,0.487,0.1000,alpkdce,"1.378, 9.786, 8.945",0.9,30.0,4,195
53,8.990445,2.731606,0.562,0.491,0.1000,alpkdce,"1.406, 9.920, 9.069",0.9,30.0,5,199
54,8.963033,2.767294,0.560,0.497,0.1000,alpkdce,"1.361, 9.775, 8.934",0.9,30.0,0,203
55,8.958534,2.890771,0.561,0.492,0.1000,alpkdce,"1.423, 9.918, 9.069",0.9,30.0,1,207
56,8.963038,3.146496,0.562,0.467,0.1000,alpkdce,"1.432, 10.000, 9.143",0.9,30.0,2,210
57,8.941161,2.870095,0.564,0.484,0.1000,alpkdce,"1.412, 9.903, 9.054",0.9,30.0,3,214
58,8.955350,2.864835,0.562,0.493,0.1000,alpkdce,"1.373, 9.815, 8.971",0.9,30.0,4,218
59,8.897822,2.879884,0.565,0.489,0.1000,alpkdce,"1.370, 9.773, 8.932",0.9,30.0,5,222
60,8.859700,2.699532,0.566,0.480,0.1000,alpkdce,"1.398, 9.848, 9.003",0.9,30.0,6,225
61,8.864484,2.843426,0.565,0.477,0.1000,alpkdce,"1.393, 9.810, 8.968",0.9,30.0,7,229
62,8.875268,2.869366,0.565,0.483,0.1000,alpkdce,"1.389, 9.856, 9.009",0.9,30.0,8,233
63,8.844582,2.969677,0.567,0.483,0.1000,alpkdce,"1.385, 9.804, 8.962",0.9,30.0,9,237
64,8.886046,2.754755,0.564,0.487,0.1000,alpkdce,"1.416, 9.822, 8.982",0.9,30.0,10,241
65,8.831417,2.871475,0.567,0.498,0.1000,alpkdce,"1.367, 9.718, 8.883",0.9,30.0,0,244
66,8.820085,2.639957,0.570,0.488,0.1000,alpkdce,"1.383, 9.673, 8.844",0.9,30.0,1,248
67,8.853933,2.992422,0.567,0.482,0.1000,alpkdce,"1.382, 9.747, 8.911",0.9,30.0,2,252
68,8.818454,3.168328,0.568,0.487,0.1000,alpkdce,"1.383, 9.798, 8.956",0.9,30.0,3,256
69,8.799491,3.041584,0.567,0.490,0.1000,alpkdce,"1.383, 9.810, 8.967",0.9,30.0,4,259
70,8.802230,2.931984,0.570,0.496,0.1000,alpkdce,"1.385, 9.784, 8.944",0.9,30.0,5,263
71,8.770329,2.815723,0.568,0.496,0.1000,alpkdce,"1.361, 9.665, 8.835",0.9,30.0,6,267
72,8.814434,2.993081,0.567,0.492,0.1000,alpkdce,"1.364, 9.722, 8.886",0.9,30.0,7,271
73,8.793237,2.880275,0.569,0.487,0.1000,alpkdce,"1.376, 9.713, 8.879",0.9,30.0,8,274
74,8.768745,2.982231,0.569,0.497,0.1000,alpkdce,"1.393, 9.792, 8.952",0.9,30.0,9,278
75,8.769973,3.233303,0.570,0.464,0.1000,alpkdce,"1.380, 9.776, 8.937",0.9,30.0,10,282
76,8.779156,2.818473,0.570,0.490,0.1000,alpkdce,"1.364, 9.636, 8.809",0.9,30.0,11,286
77,8.728205,2.851758,0.571,0.500,0.1000,alpkdce,"1.400, 9.696, 8.866",0.9,30.0,0,290
78,8.735380,2.941054,0.572,0.469,0.1000,alpkdce,"1.389, 9.740, 8.905",0.9,30.0,1,293
79,8.766435,2.834568,0.570,0.497,0.1000,alpkdce,"1.366, 9.605, 8.781",0.9,30.0,2,297
80,8.722290,2.773375,0.570,0.495,0.1000,alpkdce,"1.369, 9.641, 8.814",0.9,30.0,3,301
81,8.766260,3.104050,0.570,0.484,0.1000,alpkdce,"1.380, 9.752, 8.915",0.9,30.0,4,305
82,8.713130,2.848269,0.571,0.479,0.1000,alpkdce,"1.362, 9.654, 8.825",0.9,30.0,5,308
83,8.734287,2.774691,0.573,0.494,0.1000,alpkdce,"1.350, 9.598, 8.773",0.9,30.0,6,312
84,8.696879,2.968312,0.573,0.494,0.1000,alpkdce,"1.364, 9.545, 8.727",0.9,30.0,7,316
85,8.705654,3.048488,0.572,0.481,0.1000,alpkdce,"1.385, 9.775, 8.936",0.9,30.0,8,320
86,8.743726,3.189948,0.571,0.486,0.1000,alpkdce,"1.370, 9.633, 8.807",0.9,30.0,9,324
87,8.680394,3.389559,0.572,0.471,0.1000,alpkdce,"1.355, 9.541, 8.722",0.9,30.0,10,327
88,8.715707,3.504445,0.571,0.462,0.1000,alpkdce,"1.365, 9.690, 8.858",0.9,30.0,11,331
89,8.700858,2.911411,0.572,0.492,0.1000,alpkdce,"1.356, 9.591, 8.767",0.9,30.0,12,335
90,8.707482,2.967627,0.570,0.470,0.1000,alpkdce,"1.357, 9.578, 8.756",0.9,30.0,13,339
91,8.703660,2.944376,0.572,0.485,0.1000,alpkdce,"1.361, 9.671, 8.840",0.9,30.0,14,343
92,8.674855,2.839715,0.575,0.492,0.1000,alpkdce,"1.327, 9.507, 8.689",0.9,30.0,15,346
93,8.658791,2.681051,0.574,0.496,0.1000,alpkdce,"1.406, 9.640, 8.816",0.9,30.0,16,350
94,8.643093,2.798194,0.574,0.492,0.1000,alpkdce,"1.332, 9.501, 8.684",0.9,30.0,17,354
95,8.655374,3.006051,0.573,0.488,0.1000,alpkdce,"1.362, 9.607, 8.783",0.9,30.0,18,358
96,8.662258,2.993323,0.574,0.479,0.1000,alpkdce,"1.351, 9.646, 8.817",0.9,30.0,19,362
97,8.656108,2.938971,0.574,0.495,0.1000,alpkdce,"1.359, 9.603, 8.779",0.9,30.0,20,365
98,8.661844,3.068220,0.574,0.491,0.1000,alpkdce,"1.342, 9.587, 8.762",0.9,30.0,21,369
99,8.612740,3.052706,0.574,0.468,0.1000,alpkdce,"1.338, 9.607, 8.780",0.9,30.0,22,373
100,8.659919,2.970711,0.573,0.492,0.1000,alpkdce,"1.340, 9.573, 8.750",0.9,30.0,23,377
101,7.458709,2.709757,0.617,0.538,0.0100,alpkdce,"1.116, 7.904, 7.225",0.9,30.0,0,381
102,7.083638,2.650188,0.632,0.541,0.0100,alpkdce,"1.111, 7.745, 7.082",0.9,30.0,0,384
103,6.944477,2.682790,0.638,0.543,0.0100,alpkdce,"1.083, 7.683, 7.023",0.9,30.0,0,388
104,6.838137,2.733497,0.642,0.541,0.0100,alpkdce,"1.066, 7.543, 6.895",0.9,30.0,1,392
105,6.739453,2.733652,0.647,0.537,0.0100,alpkdce,"1.057, 7.363, 6.733",0.9,30.0,2,396
106,6.676168,2.738697,0.649,0.538,0.0100,alpkdce,"1.035, 7.334, 6.705",0.9,30.0,3,400
107,6.624729,2.800065,0.653,0.542,0.0100,alpkdce,"1.042, 7.314, 6.687",0.9,30.0,4,403
108,6.562896,2.962567,0.655,0.537,0.0100,alpkdce,"1.037, 7.174, 6.560",0.9,30.0,5,407
109,6.516068,2.852083,0.656,0.538,0.0100,alpkdce,"1.006, 7.209, 6.589",0.9,30.0,6,411
110,6.466298,2.885418,0.657,0.534,0.0100,alpkdce,"1.002, 7.163, 6.547",0.9,30.0,7,415
111,6.412347,2.854607,0.660,0.537,0.0100,alpkdce,"0.965, 7.011, 6.406",0.9,30.0,8,419
112,6.379475,2.883917,0.663,0.537,0.0100,alpkdce,"0.970, 7.081, 6.470",0.9,30.0,9,422
113,6.337638,2.933847,0.665,0.535,0.0100,alpkdce,"0.989, 7.067, 6.459",0.9,30.0,10,426
114,6.298240,2.942094,0.667,0.537,0.0100,alpkdce,"0.973, 6.944, 6.347",0.9,30.0,11,430
115,6.233913,2.912238,0.668,0.532,0.0100,alpkdce,"0.958, 6.895, 6.301",0.9,30.0,12,434
116,6.220382,3.000584,0.670,0.530,0.0100,alpkdce,"0.953, 6.883, 6.290",0.9,30.0,13,438
117,6.195551,3.025781,0.673,0.531,0.0100,alpkdce,"0.924, 6.811, 6.222",0.9,30.0,14,441
118,6.156606,3.010785,0.672,0.529,0.0100,alpkdce,"0.923, 6.765, 6.181",0.9,30.0,15,445
119,6.115130,3.064402,0.676,0.534,0.0100,alpkdce,"0.936, 6.797, 6.211",0.9,30.0,16,449
120,6.055367,3.178324,0.678,0.529,0.0100,alpkdce,"0.904, 6.668, 6.092",0.9,30.0,17,453
121,6.056433,3.040671,0.679,0.528,0.0100,alpkdce,"0.909, 6.694, 6.116",0.9,30.0,18,457
122,6.022514,3.216757,0.681,0.529,0.0100,alpkdce,"0.924, 6.698, 6.121",0.9,30.0,19,461
123,5.979325,3.051588,0.681,0.527,0.0100,alpkdce,"0.905, 6.612, 6.041",0.9,30.0,20,465
124,5.977872,3.097828,0.684,0.529,0.0100,alpkdce,"0.880, 6.574, 6.004",0.9,30.0,21,469
125,5.941317,3.193003,0.684,0.528,0.0100,alpkdce,"0.907, 6.605, 6.035",0.9,30.0,22,473
126,5.909066,3.145658,0.686,0.525,0.0100,alpkdce,"0.908, 6.641, 6.068",0.9,30.0,23,476
127,5.917972,3.282504,0.686,0.524,0.0100,alpkdce,"0.887, 6.638, 6.062",0.9,30.0,24,480
128,5.875821,3.208505,0.688,0.528,0.0100,alpkdce,"0.876, 6.617, 6.042",0.9,30.0,25,484
