_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.838186,3.366491,0.176,0.207,0.1000,alpkdce,"2.888, 1.562, 1.695",0.9,30.0,0,15
2,1.548334,3.063902,0.308,0.276,0.1000,alpkdce,"2.306, 1.381, 1.473",0.9,30.0,0,30
3,1.405489,2.746952,0.363,0.328,0.1000,alpkdce,"2.089, 1.295, 1.375",0.9,30.0,0,45
4,1.326001,2.702780,0.387,0.345,0.1000,alpkdce,"1.962, 1.230, 1.303",0.9,30.0,0,60
5,1.277475,2.545856,0.401,0.365,0.1000,alpkdce,"1.884, 1.202, 1.270",0.9,30.0,0,75
6,1.239685,2.578291,0.416,0.377,0.1000,alpkdce,"1.807, 1.162, 1.227",0.9,30.0,0,90
7,1.208086,2.492497,0.422,0.387,0.1000,alpkdce,"1.792, 1.147, 1.212",0.9,30.0,0,105
8,1.192968,2.469473,0.431,0.393,0.1000,alpkdce,"1.761, 1.127, 1.190",0.9,30.0,0,120
9,1.172182,2.520658,0.438,0.400,0.1000,alpkdce,"1.716, 1.105, 1.166",0.9,30.0,0,135
10,1.159322,2.506639,0.441,0.392,0.1000,alpkdce,"1.701, 1.103, 1.163",0.9,30.0,1,150
11,1.147834,2.575318,0.446,0.388,0.1000,alpkdce,"1.674, 1.093, 1.151",0.9,30.0,2,165
12,1.137090,2.568303,0.449,0.381,0.1000,alpkdce,"1.651, 1.079, 1.136",0.9,30.0,3,180
13,1.127743,2.524217,0.452,0.395,0.1000,alpkdce,"1.645, 1.073, 1.130",0.9,30.0,4,195
14,1.116705,2.459650,0.456,0.405,0.1000,alpkdce,"1.633, 1.068, 1.125",0.9,30.0,0,210
15,1.109271,2.849275,0.463,0.372,0.1000,alpkdce,"1.587, 1.047, 1.101",0.9,30.0,1,225
16,1.105574,2.501263,0.461,0.407,0.1000,alpkdce,"1.594, 1.052, 1.106",0.9,30.0,0,240
17,1.099603,2.571541,0.464,0.395,0.1000,alpkdce,"1.600, 1.060, 1.114",0.9,30.0,1,255
18,1.092663,2.440324,0.467,0.409,0.1000,alpkdce,"1.590, 1.050, 1.104",0.9,30.0,0,270
19,1.086535,2.530645,0.472,0.396,0.1000,alpkdce,"1.607, 1.059, 1.114",0.9,30.0,1,285
20,1.085915,2.398020,0.471,0.418,0.1000,alpkdce,"1.585, 1.045, 1.099",0.9,30.0,0,300
21,1.081476,2.381183,0.472,0.414,0.1000,alpkdce,"1.571, 1.042, 1.095",0.9,30.0,1,315
