_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,10.077150,2.359572,0.186,0.215,0.1000,alpkdce,"2.113, 17.374, 9.743",0.5,30.0,0,2
2,9.513493,2.519400,0.234,0.216,0.1000,alpkdce,"2.002, 16.801, 9.402",0.5,30.0,0,5
3,9.228834,2.549421,0.249,0.228,0.1000,alpkdce,"1.954, 16.383, 9.168",0.5,30.0,0,8
4,8.924826,2.323925,0.270,0.259,0.1000,alpkdce,"1.881, 15.754, 8.818",0.5,30.0,0,10
5,8.635190,2.433870,0.289,0.268,0.1000,alpkdce,"1.793, 15.231, 8.512",0.5,30.0,0,13
6,8.348908,2.781000,0.307,0.260,0.1000,alpkdce,"1.729, 14.778, 8.254",0.5,30.0,1,16
7,8.099625,2.421230,0.327,0.308,0.1000,alpkdce,"1.667, 14.312, 7.989",0.5,30.0,0,19
8,7.860850,2.290016,0.341,0.319,0.1000,alpkdce,"1.648, 14.071, 7.859",0.5,30.0,0,21
9,7.659560,2.443207,0.360,0.344,0.1000,alpkdce,"1.607, 13.615, 7.611",0.5,30.0,0,24
10,7.489859,2.378465,0.375,0.348,0.1000,alpkdce,"1.581, 13.313, 7.447",0.5,30.0,0,27
11,7.317676,2.314522,0.388,0.354,0.1000,alpkdce,"1.554, 13.163, 7.359",0.5,30.0,0,29
12,7.186006,2.310233,0.398,0.367,0.1000,alpkdce,"1.539, 12.827, 7.183",0.5,30.0,0,32
13,7.062877,2.694567,0.406,0.348,0.1000,alpkdce,"1.507, 12.558, 7.033",0.5,30.0,1,35
14,6.981438,2.277134,0.413,0.373,0.1000,alpkdce,"1.476, 12.464, 6.970",0.5,30.0,0,38
15,6.877930,2.406557,0.423,0.372,0.1000,alpkdce,"1.466, 12.402, 6.934",0.5,30.0,1,40
16,6.802346,2.362133,0.429,0.386,0.1000,alpkdce,"1.456, 12.144, 6.800",0.5,30.0,0,43
17,6.701732,2.437430,0.437,0.381,0.1000,alpkdce,"1.402, 11.789, 6.596",0.5,30.0,1,46
18,6.633329,2.364639,0.441,0.391,0.1000,alpkdce,"1.423, 11.878, 6.650",0.5,30.0,0,49
19,6.566379,2.326244,0.445,0.401,0.1000,alpkdce,"1.423, 11.807, 6.615",0.5,30.0,0,51
20,6.492399,2.311182,0.451,0.406,0.1000,alpkdce,"1.404, 11.706, 6.555",0.5,30.0,0,54
21,6.437883,2.281353,0.456,0.402,0.1000,alpkdce,"1.387, 11.591, 6.489",0.5,30.0,1,57
22,6.374511,2.489266,0.461,0.417,0.1000,alpkdce,"1.344, 11.427, 6.386",0.5,30.0,0,60
23,6.318584,2.774461,0.463,0.400,0.1000,alpkdce,"1.345, 11.285, 6.315",0.5,30.0,1,62
24,6.280993,2.448478,0.467,0.412,0.1000,alpkdce,"1.356, 11.383, 6.369",0.5,30.0,2,65
25,6.222091,2.586607,0.471,0.399,0.1000,alpkdce,"1.350, 11.228, 6.289",0.5,30.0,3,68
26,6.165313,2.890573,0.475,0.395,0.1000,alpkdce,"1.323, 11.089, 6.206",0.5,30.0,4,71
27,6.146968,2.802766,0.476,0.406,0.1000,alpkdce,"1.326, 11.072, 6.199",0.5,30.0,5,73
28,6.090657,2.710338,0.479,0.408,0.1000,alpkdce,"1.304, 10.858, 6.081",0.5,30.0,6,76
29,6.074139,2.434279,0.484,0.415,0.1000,alpkdce,"1.303, 10.853, 6.078",0.5,30.0,7,79
30,6.039626,2.502342,0.485,0.418,0.1000,alpkdce,"1.290, 10.851, 6.070",0.5,30.0,0,82
31,5.994953,2.184602,0.489,0.424,0.1000,alpkdce,"1.280, 10.757, 6.019",0.5,30.0,0,84
32,5.964436,2.485481,0.489,0.416,0.1000,alpkdce,"1.277, 10.744, 6.010",0.5,30.0,1,87
33,5.927468,2.486328,0.495,0.401,0.1000,alpkdce,"1.271, 10.687, 5.979",0.5,30.0,2,90
34,5.898425,2.692970,0.495,0.418,0.1000,alpkdce,"1.259, 10.617, 5.938",0.5,30.0,3,93
35,5.862444,2.403912,0.499,0.431,0.1000,alpkdce,"1.260, 10.605, 5.933",0.5,30.0,0,95
36,5.868047,2.519853,0.498,0.423,0.1000,alpkdce,"1.266, 10.629, 5.947",0.5,30.0,1,98
37,5.799607,2.439938,0.504,0.422,0.1000,alpkdce,"1.244, 10.528, 5.886",0.5,30.0,2,101
38,5.810000,2.389703,0.502,0.432,0.1000,alpkdce,"1.235, 10.403, 5.819",0.5,30.0,0,104
39,5.790307,2.333849,0.505,0.432,0.1000,alpkdce,"1.243, 10.434, 5.838",0.5,30.0,1,106
40,5.739883,3.052616,0.510,0.404,0.1000,alpkdce,"1.233, 10.302, 5.768",0.5,30.0,2,109
41,5.739264,2.575585,0.509,0.414,0.1000,alpkdce,"1.244, 10.407, 5.825",0.5,30.0,3,112
42,5.682848,2.342081,0.510,0.408,0.1000,alpkdce,"1.212, 10.173, 5.693",0.5,30.0,4,115
43,5.675151,2.587365,0.515,0.430,0.1000,alpkdce,"1.201, 10.206, 5.704",0.5,30.0,5,117
