_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,16.507870,2.844069,0.173,0.184,0.1000,alpkdce,"2.323, 17.521, 16.001",0.9,30.0,0,2
2,15.546765,2.592701,0.225,0.216,0.1000,alpkdce,"2.266, 16.836, 15.379",0.9,30.0,0,5
3,15.094412,2.826280,0.246,0.220,0.1000,alpkdce,"2.209, 16.358, 14.943",0.9,30.0,0,8
4,14.688881,2.579206,0.259,0.256,0.1000,alpkdce,"2.159, 15.849, 14.480",0.9,30.0,0,10
5,14.226742,2.595664,0.279,0.275,0.1000,alpkdce,"2.117, 15.374, 14.049",0.9,30.0,0,13
6,13.811978,2.929655,0.299,0.268,0.1000,alpkdce,"2.037, 15.029, 13.730",0.9,30.0,1,16
7,13.397687,2.968435,0.319,0.292,0.1000,alpkdce,"1.984, 14.442, 13.196",0.9,30.0,0,19
8,12.981474,2.740038,0.336,0.313,0.1000,alpkdce,"1.942, 14.096, 12.881",0.9,30.0,0,21
9,12.593337,2.990532,0.354,0.317,0.1000,alpkdce,"1.871, 13.717, 12.533",0.9,30.0,0,24
10,12.305609,2.618627,0.367,0.336,0.1000,alpkdce,"1.856, 13.484, 12.321",0.9,30.0,0,27
11,12.010241,2.847781,0.382,0.363,0.1000,alpkdce,"1.842, 13.108, 11.981",0.9,30.0,0,29
12,11.745825,2.893958,0.393,0.364,0.1000,alpkdce,"1.803, 12.776, 11.679",0.9,30.0,0,32
13,11.518901,3.136889,0.403,0.359,0.1000,alpkdce,"1.760, 12.588, 11.505",0.9,30.0,1,35
14,11.345660,2.709991,0.413,0.372,0.1000,alpkdce,"1.749, 12.412, 11.346",0.9,30.0,0,38
15,11.154812,2.989767,0.420,0.373,0.1000,alpkdce,"1.731, 12.286, 11.230",0.9,30.0,0,40
16,11.043456,2.912751,0.427,0.375,0.1000,alpkdce,"1.697, 11.977, 10.949",0.9,30.0,0,43
17,10.848389,2.819521,0.433,0.389,0.1000,alpkdce,"1.680, 11.886, 10.866",0.9,30.0,0,46
18,10.714659,2.854373,0.442,0.392,0.1000,alpkdce,"1.670, 11.780, 10.769",0.9,30.0,0,49
19,10.630009,2.905577,0.446,0.409,0.1000,alpkdce,"1.636, 11.666, 10.663",0.9,30.0,0,51
20,10.497894,2.873555,0.449,0.404,0.1000,alpkdce,"1.609, 11.463, 10.477",0.9,30.0,1,54
21,10.394023,2.759214,0.455,0.417,0.1000,alpkdce,"1.614, 11.426, 10.445",0.9,30.0,0,57
22,10.283749,2.959401,0.463,0.408,0.1000,alpkdce,"1.594, 11.283, 10.314",0.9,30.0,1,60
23,10.214120,3.132963,0.465,0.399,0.1000,alpkdce,"1.545, 11.151, 10.191",0.9,30.0,2,62
24,10.114406,2.884420,0.466,0.393,0.1000,alpkdce,"1.572, 11.091, 10.139",0.9,30.0,3,65
25,10.045920,2.899990,0.472,0.398,0.1000,alpkdce,"1.574, 11.066, 10.117",0.9,30.0,4,68
26,9.959015,2.637843,0.474,0.408,0.1000,alpkdce,"1.552, 10.856, 9.926",0.9,30.0,5,70
27,9.881125,2.994288,0.478,0.417,0.1000,alpkdce,"1.529, 10.910, 9.972",0.9,30.0,0,73
28,9.806559,2.988756,0.481,0.405,0.1000,alpkdce,"1.506, 10.749, 9.825",0.9,30.0,1,76
29,9.766398,2.783175,0.485,0.430,0.1000,alpkdce,"1.515, 10.774, 9.848",0.9,30.0,0,79
30,9.710245,2.768974,0.488,0.430,0.1000,alpkdce,"1.507, 10.638, 9.725",0.9,30.0,0,81
31,9.657705,2.849692,0.489,0.433,0.1000,alpkdce,"1.487, 10.553, 9.646",0.9,30.0,0,84
32,9.621392,2.857896,0.493,0.429,0.1000,alpkdce,"1.503, 10.660, 9.744",0.9,30.0,1,87
33,9.585741,2.892286,0.494,0.414,0.1000,alpkdce,"1.486, 10.500, 9.599",0.9,30.0,2,90
34,9.509162,2.784150,0.497,0.431,0.1000,alpkdce,"1.485, 10.530, 9.625",0.9,30.0,3,92
35,9.474594,3.075833,0.500,0.423,0.1000,alpkdce,"1.445, 10.323, 9.435",0.9,30.0,4,95
36,9.398719,2.874835,0.500,0.433,0.1000,alpkdce,"1.446, 10.394, 9.499",0.9,30.0,5,98
37,9.345129,2.762235,0.505,0.428,0.1000,alpkdce,"1.441, 10.306, 9.419",0.9,30.0,6,100
38,9.351338,2.924400,0.504,0.438,0.1000,alpkdce,"1.432, 10.323, 9.434",0.9,30.0,0,103
39,9.293691,3.176192,0.504,0.437,0.1000,alpkdce,"1.434, 10.383, 9.488",0.9,30.0,1,106
40,9.267557,2.757363,0.511,0.434,0.1000,alpkdce,"1.471, 10.318, 9.433",0.9,30.0,2,109
41,9.210339,2.813488,0.511,0.430,0.1000,alpkdce,"1.435, 10.120, 9.252",0.9,30.0,3,111
42,9.188644,2.938982,0.512,0.436,0.1000,alpkdce,"1.442, 10.213, 9.336",0.9,30.0,4,114
43,9.150495,3.175986,0.515,0.418,0.1000,alpkdce,"1.409, 10.114, 9.244",0.9,30.0,5,117
44,9.141831,3.033992,0.513,0.444,0.1000,alpkdce,"1.419, 10.153, 9.280",0.9,30.0,0,120
45,9.094272,2.777898,0.515,0.433,0.1000,alpkdce,"1.386, 9.967, 9.109",0.9,30.0,1,122
46,9.098886,3.123668,0.517,0.420,0.1000,alpkdce,"1.394, 9.956, 9.100",0.9,30.0,2,125
47,9.022447,2.837513,0.520,0.438,0.1000,alpkdce,"1.382, 9.976, 9.116",0.9,30.0,3,128
48,9.045187,2.909292,0.521,0.424,0.1000,alpkdce,"1.388, 10.014, 9.151",0.9,30.0,4,130
