_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,5.171202,0.000000,0.214,0.000,0.1000,alpkdce,"1.892, 5.339, 4.994",0.9,30.0,0,11
2,4.836006,0.000000,0.270,0.000,0.1000,alpkdce,"1.762, 5.084, 4.752",0.9,30.0,0,23
3,4.639425,0.000000,0.298,0.000,0.1000,alpkdce,"1.639, 4.897, 4.572",0.9,30.0,0,34
4,4.459015,0.000000,0.329,0.000,0.1000,alpkdce,"1.546, 4.715, 4.398",0.9,30.0,0,46
5,4.326583,0.000000,0.346,0.000,0.1000,alpkdce,"1.502, 4.601, 4.291",0.9,30.0,0,58
6,4.215429,0.000000,0.369,0.000,0.1000,alpkdce,"1.432, 4.474, 4.170",0.9,30.0,0,70
7,4.114555,0.000000,0.386,0.000,0.1000,alpkdce,"1.401, 4.372, 4.074",0.9,30.0,0,82
8,4.043629,0.000000,0.396,0.000,0.1000,alpkdce,"1.361, 4.309, 4.014",0.9,30.0,0,93
9,3.960782,0.000000,0.409,0.000,0.1000,alpkdce,"1.332, 4.227, 3.937",0.9,30.0,0,105
10,3.898876,0.000000,0.419,0.000,0.1000,alpkdce,"1.328, 4.205, 3.918",0.9,30.0,0,117
11,3.851951,0.000000,0.427,0.000,0.1000,alpkdce,"1.295, 4.106, 3.825",0.9,30.0,0,130
12,3.802253,0.000000,0.436,0.000,0.1000,alpkdce,"1.277, 4.080, 3.800",0.9,30.0,0,142
13,3.754361,0.000000,0.443,0.000,0.1000,alpkdce,"1.256, 4.027, 3.750",0.9,30.0,0,154
14,3.715456,0.000000,0.449,0.000,0.1000,alpkdce,"1.241, 3.977, 3.703",0.9,30.0,0,166
15,3.689978,0.000000,0.451,0.000,0.1000,alpkdce,"1.234, 3.980, 3.705",0.9,30.0,0,178
16,3.648659,0.000000,0.459,0.000,0.1000,alpkdce,"1.212, 3.923, 3.652",0.9,30.0,0,190
17,3.622500,0.000000,0.463,0.000,0.1000,alpkdce,"1.206, 3.898, 3.629",0.9,30.0,0,202
18,3.586152,0.000000,0.471,0.000,0.1000,alpkdce,"1.191, 3.884, 3.614",0.9,30.0,0,214
19,3.563369,0.000000,0.471,0.000,0.1000,alpkdce,"1.184, 3.837, 3.572",0.9,30.0,0,226
20,3.541753,0.000000,0.477,0.000,0.1000,alpkdce,"1.165, 3.825, 3.559",0.9,30.0,0,238
21,3.508292,0.000000,0.482,0.000,0.1000,alpkdce,"1.166, 3.808, 3.544",0.9,30.0,0,251
22,3.491954,0.000000,0.487,0.000,0.1000,alpkdce,"1.160, 3.793, 3.530",0.9,30.0,0,263
23,3.479374,0.000000,0.484,0.000,0.1000,alpkdce,"1.140, 3.752, 3.491",0.9,30.0,0,275
24,3.450689,0.000000,0.492,0.000,0.1000,alpkdce,"1.123, 3.715, 3.456",0.9,30.0,0,287
25,3.432696,0.000000,0.490,0.000,0.1000,alpkdce,"1.130, 3.705, 3.448",0.9,30.0,0,299
26,3.424202,0.000000,0.495,0.000,0.1000,alpkdce,"1.122, 3.695, 3.438",0.9,30.0,0,311
27,3.409999,0.000000,0.496,0.000,0.1000,alpkdce,"1.121, 3.698, 3.441",0.9,30.0,0,323
28,3.399033,0.000000,0.502,0.000,0.1000,alpkdce,"1.114, 3.661, 3.406",0.9,30.0,0,335
29,3.368494,0.000000,0.503,0.000,0.1000,alpkdce,"1.102, 3.671, 3.414",0.9,30.0,0,347
30,3.359176,0.000000,0.503,0.000,0.1000,alpkdce,"1.112, 3.661, 3.406",0.9,30.0,0,359
31,3.346632,0.000000,0.507,0.000,0.1000,alpkdce,"1.104, 3.635, 3.382",0.9,30.0,0,371
32,3.335040,0.000000,0.509,0.000,0.1000,alpkdce,"1.085, 3.613, 3.360",0.9,30.0,0,383
33,3.336378,0.000000,0.509,0.000,0.1000,alpkdce,"1.092, 3.621, 3.368",0.9,30.0,0,394
