_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,3.719471,4.240106,0.054,0.063,0.1000,alpkdce1,"3.967, 0.044, 3.575",0.1,1.0,0,1
2,3.389827,4.022734,0.086,0.090,0.1000,alpkdce1,"3.672, 0.068, 3.312",0.1,1.0,0,3
3,3.183483,3.931375,0.111,0.101,0.1000,alpkdce1,"3.467, 0.096, 3.130",0.1,1.0,0,5
4,3.011469,3.883385,0.129,0.109,0.1000,alpkdce1,"3.287, 0.123, 2.971",0.1,1.0,0,7
5,2.870747,3.799869,0.147,0.132,0.1000,alpkdce1,"3.136, 0.145, 2.837",0.1,1.0,0,9
6,2.755153,3.829820,0.160,0.134,0.1000,alpkdce1,"3.010, 0.173, 2.727",0.1,1.0,0,11
7,2.659721,3.772233,0.173,0.135,0.1000,alpkdce1,"2.932, 0.193, 2.658",0.1,1.0,0,12
8,2.581677,3.700748,0.181,0.148,0.1000,alpkdce1,"2.835, 0.212, 2.573",0.1,1.0,0,14
9,2.519903,3.662128,0.189,0.158,0.1000,alpkdce1,"2.765, 0.231, 2.511",0.1,1.0,0,16
10,2.453738,3.680288,0.197,0.155,0.1000,alpkdce1,"2.702, 0.247, 2.456",0.1,1.0,1,18
11,2.405546,3.636008,0.204,0.166,0.1000,alpkdce1,"2.668, 0.259, 2.427",0.1,1.0,0,20
12,2.355363,3.496615,0.211,0.184,0.1000,alpkdce1,"2.608, 0.265, 2.373",0.1,1.0,0,22
13,2.310857,3.577021,0.219,0.169,0.1000,alpkdce1,"2.560, 0.287, 2.332",0.1,1.0,1,23
14,2.270569,3.776104,0.224,0.158,0.1000,alpkdce1,"2.504, 0.303, 2.284",0.1,1.0,2,25
15,2.236820,3.661608,0.228,0.167,0.1000,alpkdce1,"2.477, 0.307, 2.260",0.1,1.0,3,27
16,2.196848,3.526179,0.235,0.181,0.1000,alpkdce1,"2.442, 0.316, 2.230",0.1,1.0,4,29
17,2.167720,3.673852,0.238,0.179,0.1000,alpkdce1,"2.380, 0.333, 2.175",0.1,1.0,5,31
18,2.136584,3.658299,0.243,0.167,0.1000,alpkdce1,"2.380, 0.336, 2.176",0.1,1.0,6,32
19,2.103182,3.555921,0.249,0.180,0.1000,alpkdce1,"2.318, 0.351, 2.121",0.1,1.0,7,34
20,2.079970,3.584507,0.250,0.181,0.1000,alpkdce1,"2.300, 0.359, 2.106",0.1,1.0,8,36
21,2.053852,3.577555,0.255,0.186,0.1000,alpkdce1,"2.259, 0.363, 2.069",0.1,1.0,0,38
22,2.023637,3.713757,0.257,0.175,0.1000,alpkdce1,"2.236, 0.366, 2.049",0.1,1.0,1,40
23,2.001006,3.602246,0.264,0.183,0.1000,alpkdce1,"2.232, 0.376, 2.046",0.1,1.0,2,41
24,1.975692,3.638946,0.266,0.182,0.1000,alpkdce1,"2.187, 0.395, 2.008",0.1,1.0,3,43
25,1.950900,3.627736,0.270,0.183,0.1000,alpkdce1,"2.151, 0.397, 1.975",0.1,1.0,4,45
26,1.932798,3.592278,0.272,0.196,0.1000,alpkdce1,"2.137, 0.403, 1.963",0.1,1.0,0,47
27,1.910572,3.721384,0.277,0.173,0.1000,alpkdce1,"2.123, 0.408, 1.952",0.1,1.0,1,49
28,1.889247,3.676494,0.279,0.185,0.1000,alpkdce1,"2.098, 0.416, 1.930",0.1,1.0,2,51
29,1.863457,3.717126,0.283,0.190,0.1000,alpkdce1,"2.084, 0.423, 1.918",0.1,1.0,3,53
30,1.845235,3.690850,0.286,0.181,0.1000,alpkdce1,"2.055, 0.425, 1.892",0.1,1.0,4,55
31,1.820939,3.680293,0.293,0.181,0.1000,alpkdce1,"2.024, 0.430, 1.864",0.1,1.0,5,57
32,1.803335,3.786819,0.294,0.174,0.1000,alpkdce1,"2.029, 0.446, 1.871",0.1,1.0,6,58
33,1.789366,3.709726,0.296,0.185,0.1000,alpkdce1,"1.992, 0.456, 1.839",0.1,1.0,7,60
34,1.766471,3.651105,0.299,0.189,0.1000,alpkdce1,"1.986, 0.456, 1.833",0.1,1.0,8,62
35,1.750181,3.805695,0.301,0.182,0.1000,alpkdce1,"1.959, 0.465, 1.810",0.1,1.0,9,64
36,1.734324,3.824489,0.306,0.174,0.1000,alpkdce1,"1.951, 0.466, 1.803",0.1,1.0,10,66
37,1.713134,3.789475,0.308,0.181,0.1000,alpkdce1,"1.913, 0.474, 1.769",0.1,1.0,11,68
38,1.699507,3.825465,0.311,0.184,0.1000,alpkdce1,"1.916, 0.481, 1.773",0.1,1.0,12,70
39,1.685226,3.825308,0.314,0.186,0.1000,alpkdce1,"1.875, 0.490, 1.737",0.1,1.0,13,72
40,1.666268,3.877863,0.316,0.185,0.1000,alpkdce1,"1.870, 0.497, 1.732",0.1,1.0,14,74
41,1.653737,3.912660,0.318,0.178,0.1000,alpkdce1,"1.845, 0.505, 1.711",0.1,1.0,15,76
42,1.637346,3.828083,0.321,0.193,0.1000,alpkdce1,"1.841, 0.503, 1.707",0.1,1.0,16,77
43,1.619738,3.778936,0.326,0.187,0.1000,alpkdce1,"1.809, 0.510, 1.679",0.1,1.0,17,79
44,1.602964,3.882479,0.326,0.183,0.1000,alpkdce1,"1.799, 0.512, 1.671",0.1,1.0,18,81
45,1.596250,3.858072,0.329,0.180,0.1000,alpkdce1,"1.797, 0.530, 1.670",0.1,1.0,19,83
46,1.582485,3.999740,0.332,0.179,0.1000,alpkdce1,"1.771, 0.523, 1.646",0.1,1.0,20,85
47,1.566258,3.852334,0.339,0.191,0.1000,alpkdce1,"1.760, 0.531, 1.637",0.1,1.0,21,86
48,1.552920,4.186462,0.338,0.166,0.1000,alpkdce1,"1.752, 0.527, 1.629",0.1,1.0,22,88
49,1.545586,3.871824,0.338,0.184,0.1000,alpkdce1,"1.740, 0.541, 1.620",0.1,1.0,23,90
50,1.528453,4.082939,0.343,0.177,0.1000,alpkdce1,"1.703, 0.548, 1.587",0.1,1.0,24,92
51,1.523194,3.962237,0.342,0.174,0.1000,alpkdce1,"1.736, 0.543, 1.616",0.1,1.0,25,93
52,1.504062,4.139125,0.347,0.171,0.1000,alpkdce1,"1.683, 0.559, 1.570",0.1,1.0,26,95
53,1.493149,3.971712,0.349,0.181,0.1000,alpkdce1,"1.660, 0.565, 1.551",0.1,1.0,27,97
54,1.487568,4.058190,0.350,0.181,0.1000,alpkdce1,"1.676, 0.570, 1.566",0.1,1.0,28,99
55,1.474728,4.010881,0.356,0.171,0.1000,alpkdce1,"1.668, 0.568, 1.558",0.1,1.0,29,100
56,1.466095,4.053743,0.353,0.180,0.1000,alpkdce1,"1.651, 0.577, 1.544",0.1,1.0,30,102
57,1.451653,4.250388,0.357,0.161,0.1000,alpkdce1,"1.642, 0.587, 1.537",0.1,1.0,31,104
58,1.445354,4.109712,0.359,0.179,0.1000,alpkdce1,"1.628, 0.593, 1.524",0.1,1.0,32,106
59,1.434080,4.161017,0.363,0.175,0.1000,alpkdce1,"1.619, 0.592, 1.516",0.1,1.0,33,108
60,1.428383,4.141411,0.362,0.174,0.1000,alpkdce1,"1.609, 0.584, 1.507",0.1,1.0,34,109
61,1.424968,4.292862,0.362,0.166,0.1000,alpkdce1,"1.611, 0.592, 1.509",0.1,1.0,35,111
62,1.407666,4.088989,0.368,0.179,0.1000,alpkdce1,"1.579, 0.606, 1.482",0.1,1.0,36,113
63,1.396863,4.302163,0.371,0.172,0.1000,alpkdce1,"1.563, 0.614, 1.468",0.1,1.0,37,115
64,1.401532,4.108689,0.367,0.184,0.1000,alpkdce1,"1.568, 0.609, 1.472",0.1,1.0,38,116
65,1.382583,4.325481,0.371,0.172,0.1000,alpkdce1,"1.558, 0.605, 1.463",0.1,1.0,39,118
66,1.381453,4.215206,0.373,0.171,0.1000,alpkdce1,"1.548, 0.615, 1.454",0.1,1.0,40,120
67,1.372701,4.354373,0.371,0.169,0.1000,alpkdce1,"1.553, 0.622, 1.460",0.1,1.0,41,122
68,1.370430,4.209889,0.376,0.175,0.1000,alpkdce1,"1.549, 0.620, 1.456",0.1,1.0,42,123
69,1.357127,4.138162,0.378,0.180,0.1000,alpkdce1,"1.553, 0.625, 1.461",0.1,1.0,43,125
70,1.352597,4.238577,0.378,0.175,0.1000,alpkdce1,"1.519, 0.643, 1.432",0.1,1.0,44,126
71,1.348163,4.267095,0.379,0.175,0.1000,alpkdce1,"1.537, 0.636, 1.447",0.1,1.0,45,128
72,1.327671,4.446127,0.385,0.156,0.1000,alpkdce1,"1.478, 0.640, 1.394",0.1,1.0,46,130
73,1.334056,4.268626,0.383,0.172,0.1000,alpkdce1,"1.507, 0.635, 1.419",0.1,1.0,47,131
74,1.323674,4.341669,0.388,0.173,0.1000,alpkdce1,"1.501, 0.648, 1.415",0.1,1.0,48,133
75,1.327882,4.370703,0.385,0.170,0.1000,alpkdce1,"1.483, 0.651, 1.400",0.1,1.0,49,134
76,1.315200,4.431457,0.388,0.170,0.1000,alpkdce1,"1.479, 0.660, 1.397",0.1,1.0,50,136
77,1.304368,4.292922,0.390,0.176,0.1000,alpkdce1,"1.485, 0.658, 1.402",0.1,1.0,51,138
78,1.303895,4.357097,0.394,0.168,0.1000,alpkdce1,"1.474, 0.662, 1.393",0.1,1.0,52,140
79,1.291241,4.421893,0.394,0.169,0.1000,alpkdce1,"1.459, 0.656, 1.378",0.1,1.0,53,142
80,1.289412,4.381599,0.396,0.169,0.1000,alpkdce1,"1.469, 0.663, 1.389",0.1,1.0,54,144
81,1.287763,4.373788,0.394,0.174,0.1000,alpkdce1,"1.456, 0.662, 1.376",0.1,1.0,55,146
82,1.283202,4.381612,0.397,0.172,0.1000,alpkdce1,"1.443, 0.668, 1.365",0.1,1.0,56,148
83,1.283543,4.517853,0.393,0.159,0.1000,alpkdce1,"1.439, 0.671, 1.363",0.1,1.0,57,149
84,1.271685,4.332415,0.399,0.170,0.1000,alpkdce1,"1.437, 0.661, 1.359",0.1,1.0,58,151
85,1.264846,4.603111,0.403,0.170,0.1000,alpkdce1,"1.427, 0.681, 1.352",0.1,1.0,59,153
86,1.267871,4.236428,0.399,0.169,0.1000,alpkdce1,"1.433, 0.672, 1.357",0.1,1.0,60,154
87,1.266347,4.407288,0.402,0.166,0.1000,alpkdce1,"1.417, 0.674, 1.342",0.1,1.0,61,156
88,1.260762,4.474151,0.400,0.167,0.1000,alpkdce1,"1.431, 0.685, 1.356",0.1,1.0,62,158
89,1.250889,4.545419,0.404,0.160,0.1000,alpkdce1,"1.409, 0.691, 1.337",0.1,1.0,63,159
90,1.246347,4.356569,0.406,0.170,0.1000,alpkdce1,"1.407, 0.686, 1.335",0.1,1.0,64,161
91,1.241264,4.434251,0.408,0.164,0.1000,alpkdce1,"1.416, 0.701, 1.344",0.1,1.0,65,162
92,1.240969,4.539627,0.409,0.169,0.1000,alpkdce1,"1.392, 0.688, 1.322",0.1,1.0,66,164
93,1.247199,4.475007,0.407,0.168,0.1000,alpkdce1,"1.396, 0.686, 1.325",0.1,1.0,67,166
94,1.232819,4.536410,0.409,0.165,0.1000,alpkdce1,"1.390, 0.695, 1.321",0.1,1.0,68,167
95,1.231566,4.540421,0.406,0.164,0.1000,alpkdce1,"1.402, 0.684, 1.330",0.1,1.0,69,169
96,1.220497,4.832652,0.414,0.153,0.1000,alpkdce1,"1.362, 0.696, 1.296",0.1,1.0,70,171
97,1.219676,4.517801,0.412,0.168,0.1000,alpkdce1,"1.394, 0.696, 1.324",0.1,1.0,71,173
98,1.223295,4.397856,0.414,0.170,0.1000,alpkdce1,"1.382, 0.699, 1.314",0.1,1.0,72,175
99,1.213801,4.373895,0.414,0.170,0.1000,alpkdce1,"1.356, 0.704, 1.291",0.1,1.0,73,177
100,1.215310,4.603488,0.415,0.161,0.1000,alpkdce1,"1.369, 0.698, 1.302",0.1,1.0,74,178
101,0.809678,4.348914,0.578,0.201,0.0100,alpkdce1,"0.718, 0.761, 0.722",0.1,1.0,0,180
102,0.646381,4.509024,0.654,0.206,0.0100,alpkdce1,"0.632, 0.780, 0.646",0.1,1.0,0,182
103,0.588904,4.702142,0.684,0.199,0.0100,alpkdce1,"0.568, 0.777, 0.589",0.1,1.0,1,184
104,0.551097,4.769944,0.702,0.199,0.0100,alpkdce1,"0.529, 0.781, 0.554",0.1,1.0,2,186
105,0.519101,4.821451,0.719,0.197,0.0100,alpkdce1,"0.492, 0.780, 0.521",0.1,1.0,3,188
106,0.496159,4.885056,0.731,0.199,0.0100,alpkdce1,"0.478, 0.786, 0.509",0.1,1.0,4,190
107,0.475027,4.952392,0.743,0.199,0.0100,alpkdce1,"0.454, 0.776, 0.487",0.1,1.0,5,191
108,0.458790,5.059167,0.754,0.201,0.0100,alpkdce1,"0.434, 0.778, 0.468",0.1,1.0,6,193
109,0.442011,5.077645,0.763,0.195,0.0100,alpkdce1,"0.411, 0.764, 0.446",0.1,1.0,7,195
110,0.429975,5.109504,0.771,0.197,0.0100,alpkdce1,"0.404, 0.769, 0.441",0.1,1.0,8,197
111,0.418257,5.180766,0.776,0.195,0.0100,alpkdce1,"0.395, 0.760, 0.431",0.1,1.0,9,199
112,0.405098,5.217743,0.783,0.192,0.0100,alpkdce1,"0.376, 0.769, 0.415",0.1,1.0,10,200
113,0.391932,5.237673,0.793,0.193,0.0100,alpkdce1,"0.359, 0.751, 0.398",0.1,1.0,11,202
114,0.385102,5.397495,0.797,0.190,0.0100,alpkdce1,"0.362, 0.752, 0.401",0.1,1.0,12,204
115,0.375132,5.385229,0.804,0.191,0.0100,alpkdce1,"0.340, 0.746, 0.380",0.1,1.0,13,206
116,0.365987,5.349806,0.806,0.198,0.0100,alpkdce1,"0.341, 0.758, 0.383",0.1,1.0,14,207
117,0.356964,5.475424,0.814,0.193,0.0100,alpkdce1,"0.328, 0.747, 0.370",0.1,1.0,15,209
118,0.349911,5.484172,0.818,0.190,0.0100,alpkdce1,"0.323, 0.749, 0.366",0.1,1.0,16,211
119,0.342558,5.513933,0.822,0.189,0.0100,alpkdce1,"0.310, 0.754, 0.355",0.1,1.0,17,213
120,0.338802,5.640261,0.823,0.188,0.0100,alpkdce1,"0.308, 0.746, 0.352",0.1,1.0,18,215
121,0.326872,5.518268,0.831,0.192,0.0100,alpkdce1,"0.292, 0.732, 0.336",0.1,1.0,19,217
122,0.323269,5.649975,0.832,0.189,0.0100,alpkdce1,"0.294, 0.745, 0.339",0.1,1.0,20,218
123,0.314784,5.649340,0.839,0.190,0.0100,alpkdce1,"0.282, 0.737, 0.328",0.1,1.0,21,220
124,0.309674,5.743895,0.843,0.189,0.0100,alpkdce1,"0.278, 0.722, 0.322",0.1,1.0,22,222
125,0.306085,5.665600,0.843,0.189,0.0100,alpkdce1,"0.272, 0.720, 0.316",0.1,1.0,23,224
126,0.302719,5.734609,0.846,0.189,0.0100,alpkdce1,"0.266, 0.714, 0.311",0.1,1.0,24,226
127,0.294897,5.737729,0.852,0.188,0.0100,alpkdce1,"0.265, 0.714, 0.310",0.1,1.0,25,227
128,0.290551,5.726166,0.855,0.186,0.0100,alpkdce1,"0.260, 0.719, 0.306",0.1,1.0,26,229
129,0.285124,5.822687,0.858,0.186,0.0100,alpkdce1,"0.247, 0.712, 0.294",0.1,1.0,27,231
130,0.280607,5.799672,0.860,0.186,0.0100,alpkdce1,"0.249, 0.718, 0.296",0.1,1.0,28,233
131,0.277268,5.853082,0.863,0.185,0.0100,alpkdce1,"0.246, 0.695, 0.291",0.1,1.0,29,235
132,0.272684,5.926345,0.866,0.185,0.0100,alpkdce1,"0.245, 0.715, 0.292",0.1,1.0,30,237
133,0.269339,5.976941,0.868,0.185,0.0100,alpkdce1,"0.237, 0.702, 0.283",0.1,1.0,31,239
134,0.266752,5.963304,0.870,0.182,0.0100,alpkdce1,"0.230, 0.693, 0.276",0.1,1.0,32,240
135,0.262394,5.998802,0.871,0.181,0.0100,alpkdce1,"0.230, 0.707, 0.277",0.1,1.0,33,242
136,0.258170,6.017127,0.871,0.182,0.0100,alpkdce1,"0.225, 0.691, 0.272",0.1,1.0,34,244
137,0.254593,5.994164,0.875,0.185,0.0100,alpkdce1,"0.224, 0.695, 0.271",0.1,1.0,35,246
138,0.250604,5.985840,0.878,0.179,0.0100,alpkdce1,"0.217, 0.692, 0.264",0.1,1.0,36,248
139,0.249190,6.075540,0.879,0.184,0.0100,alpkdce1,"0.214, 0.692, 0.262",0.1,1.0,37,250
