_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,4.307484,4.159565,0.050,0.068,0.1000,AT,0,2
2,4.061915,4.018217,0.083,0.089,0.1000,AT,0,4
3,3.919238,3.878954,0.104,0.109,0.1000,AT,0,6
4,3.803945,3.823774,0.123,0.118,0.1000,AT,0,8
5,3.701125,3.825962,0.141,0.121,0.1000,AT,0,11
6,3.606460,3.789435,0.154,0.124,0.1000,AT,0,13
7,3.524802,3.615808,0.169,0.153,0.1000,AT,0,15
8,3.446793,3.563772,0.183,0.162,0.1000,AT,0,17
9,3.380665,3.560418,0.193,0.170,0.1000,AT,0,20
10,3.325089,3.478901,0.203,0.182,0.1000,AT,0,22
11,3.270268,3.471631,0.210,0.180,0.1000,AT,1,24
12,3.228563,3.409720,0.217,0.188,0.1000,AT,0,26
13,3.183163,3.426271,0.225,0.182,0.1000,AT,1,28
14,3.145883,3.487824,0.230,0.181,0.1000,AT,2,31
15,3.110985,3.391174,0.237,0.193,0.1000,AT,0,33
16,3.080597,3.380349,0.241,0.196,0.1000,AT,0,35
17,3.050989,3.411490,0.247,0.189,0.1000,AT,1,38
18,3.019875,3.397886,0.253,0.193,0.1000,AT,2,40
19,2.992345,3.362928,0.256,0.198,0.1000,AT,0,42
20,2.967824,3.381333,0.260,0.201,0.1000,AT,0,44
21,2.933951,3.345450,0.267,0.205,0.1000,AT,0,47
22,2.916997,3.342650,0.269,0.213,0.1000,AT,0,49
23,2.894742,3.384766,0.272,0.208,0.1000,AT,1,51
24,2.868927,3.325685,0.280,0.205,0.1000,AT,2,53
25,2.852415,3.347532,0.279,0.205,0.1000,AT,3,55
26,2.826238,3.291045,0.286,0.212,0.1000,AT,4,58
27,2.802013,3.351291,0.289,0.213,0.1000,AT,5,60
28,2.781578,3.314104,0.294,0.211,0.1000,AT,6,62
29,2.765904,3.351645,0.296,0.209,0.1000,AT,7,65
30,2.744093,3.490566,0.301,0.186,0.1000,AT,8,67
31,2.729739,3.384285,0.300,0.200,0.1000,AT,9,69
32,2.699675,3.525247,0.307,0.191,0.1000,AT,10,71
33,2.697680,3.457774,0.308,0.202,0.1000,AT,11,74
34,2.675361,3.319567,0.310,0.215,0.1000,AT,0,76
35,2.652755,3.436309,0.313,0.206,0.1000,AT,1,78
36,2.637265,3.438327,0.318,0.208,0.1000,AT,2,80
37,2.623156,3.538001,0.321,0.198,0.1000,AT,3,83
38,2.600591,3.395583,0.325,0.210,0.1000,AT,4,85
39,2.590943,3.328879,0.325,0.223,0.1000,AT,0,87
40,2.570188,3.459698,0.328,0.201,0.1000,AT,1,89
41,2.554056,3.552943,0.332,0.192,0.1000,AT,2,91
42,2.545083,3.471866,0.332,0.204,0.1000,AT,3,94
43,2.521787,3.493815,0.336,0.197,0.1000,AT,4,96
44,2.520095,3.467760,0.338,0.210,0.1000,AT,5,98
45,2.500361,3.472769,0.343,0.206,0.1000,AT,6,101
46,2.488744,3.518907,0.344,0.203,0.1000,AT,7,103
47,2.474095,3.408666,0.347,0.208,0.1000,AT,8,105
48,2.452805,3.502106,0.352,0.202,0.1000,AT,9,107
49,2.445632,3.526071,0.352,0.210,0.1000,AT,10,109
50,2.432554,3.473547,0.352,0.206,0.1000,AT,11,112
51,2.425086,3.465245,0.354,0.214,0.1000,AT,12,114
52,2.417516,3.521673,0.357,0.209,0.1000,AT,13,116
53,2.398696,3.597637,0.358,0.206,0.1000,AT,14,119
54,2.392200,3.523072,0.362,0.206,0.1000,AT,15,121
55,2.377884,3.597441,0.362,0.198,0.1000,AT,16,123
56,2.364982,3.576882,0.366,0.206,0.1000,AT,17,125
57,2.348998,3.617758,0.370,0.194,0.1000,AT,18,128
58,2.342267,3.579023,0.368,0.201,0.1000,AT,19,130
59,2.335577,3.698637,0.374,0.189,0.1000,AT,20,132
60,2.330984,3.548823,0.369,0.201,0.1000,AT,21,134
61,2.320912,3.760694,0.373,0.191,0.1000,AT,22,137
62,2.305825,3.603022,0.377,0.201,0.1000,AT,23,139
63,2.308424,3.606705,0.375,0.197,0.1000,AT,24,141
64,2.285678,3.572942,0.379,0.207,0.1000,AT,25,143
65,2.274951,3.660024,0.384,0.207,0.1000,AT,26,146
66,2.272406,3.586630,0.382,0.199,0.1000,AT,27,148
67,2.260365,3.758092,0.385,0.190,0.1000,AT,28,150
68,2.248690,3.700877,0.388,0.196,0.1000,AT,29,152
69,2.249059,3.695226,0.385,0.199,0.1000,AT,30,155
70,2.242951,3.779546,0.388,0.199,0.1000,AT,31,157
71,2.227722,3.757075,0.391,0.195,0.1000,AT,32,159
72,2.221884,3.834220,0.392,0.188,0.1000,AT,33,161
73,2.208404,3.666817,0.393,0.202,0.1000,AT,34,163
74,2.206289,3.717440,0.395,0.191,0.1000,AT,35,166
75,2.201513,3.731368,0.397,0.191,0.1000,AT,36,168
76,2.199432,3.682262,0.395,0.200,0.1000,AT,37,170
77,2.190603,3.746684,0.398,0.196,0.1000,AT,38,172
78,2.179754,3.798437,0.399,0.198,0.1000,AT,39,175
79,2.179992,3.800367,0.397,0.187,0.1000,AT,40,177
80,2.165694,3.849217,0.402,0.186,0.1000,AT,41,179
81,2.152769,3.752594,0.408,0.191,0.1000,AT,42,181
82,2.150751,3.780785,0.405,0.193,0.1000,AT,43,184
83,2.144038,3.793517,0.406,0.195,0.1000,AT,44,186
84,2.140694,3.859197,0.409,0.190,0.1000,AT,45,188
85,2.133370,3.946742,0.410,0.182,0.1000,AT,46,191
86,2.138608,3.705396,0.407,0.197,0.1000,AT,47,193
87,2.129007,4.000312,0.411,0.178,0.1000,AT,48,195
88,2.131755,3.794788,0.410,0.193,0.1000,AT,49,197
89,2.116987,3.959740,0.414,0.185,0.1000,AT,50,200
90,2.118279,3.892113,0.411,0.190,0.1000,AT,51,202
91,2.111564,3.972612,0.412,0.187,0.1000,AT,52,204
92,2.096176,4.064284,0.419,0.177,0.1000,AT,53,207
93,2.096239,3.849040,0.415,0.195,0.1000,AT,54,209
94,2.102485,3.858648,0.417,0.197,0.1000,AT,55,211
95,2.082923,3.965729,0.420,0.188,0.1000,AT,56,213
96,2.079445,3.787090,0.418,0.194,0.1000,AT,57,215
97,2.074950,3.769362,0.419,0.191,0.1000,AT,58,218
98,2.074292,3.932109,0.421,0.182,0.1000,AT,59,220
99,2.075612,3.956162,0.423,0.183,0.1000,AT,60,222
100,2.062172,3.839080,0.423,0.188,0.1000,AT,61,224
101,1.572081,3.806751,0.556,0.229,0.0100,AT,0,227
102,1.343770,4.009314,0.612,0.224,0.0100,AT,1,229
103,1.254744,4.093842,0.635,0.223,0.0100,AT,2,231
104,1.188715,4.252161,0.653,0.213,0.0100,AT,3,233
105,1.147058,4.344333,0.664,0.216,0.0100,AT,4,236
106,1.101854,4.385605,0.676,0.212,0.0100,AT,5,238
107,1.065183,4.500077,0.681,0.208,0.0100,AT,6,240
108,1.031559,4.622981,0.694,0.207,0.0100,AT,7,242
109,0.998893,4.666145,0.702,0.203,0.0100,AT,8,245
110,0.977964,4.782663,0.703,0.203,0.0100,AT,9,247
111,0.948052,4.826722,0.715,0.206,0.0100,AT,10,249
112,0.921037,4.886002,0.722,0.202,0.0100,AT,11,252
113,0.906369,4.999558,0.724,0.201,0.0100,AT,12,254
114,0.878132,5.054339,0.732,0.200,0.0100,AT,13,256
115,0.859741,5.098651,0.736,0.199,0.0100,AT,14,258
116,0.840230,5.246783,0.744,0.196,0.0100,AT,15,261
117,0.824480,5.247671,0.743,0.195,0.0100,AT,16,263
118,0.799770,5.273349,0.757,0.198,0.0100,AT,17,265
119,0.788906,5.381928,0.754,0.199,0.0100,AT,18,267
120,0.770207,5.424826,0.762,0.194,0.0100,AT,19,269
121,0.753738,5.385429,0.766,0.194,0.0100,AT,20,272
122,0.740227,5.474895,0.767,0.191,0.0100,AT,21,274
123,0.725168,5.649268,0.771,0.196,0.0100,AT,22,276
124,0.709172,5.753126,0.775,0.191,0.0100,AT,23,278
125,0.701778,5.704053,0.778,0.191,0.0100,AT,24,281
126,0.691446,5.752313,0.781,0.186,0.0100,AT,25,283
127,0.684240,5.854333,0.783,0.187,0.0100,AT,26,285
128,0.670418,5.841851,0.786,0.187,0.0100,AT,27,287
129,0.665540,5.916135,0.785,0.190,0.0100,AT,28,290
130,0.646563,6.009141,0.793,0.182,0.0100,AT,29,292
131,0.638577,6.006147,0.794,0.194,0.0100,AT,30,294
132,0.630057,6.053460,0.797,0.184,0.0100,AT,31,297
133,0.620498,6.036433,0.799,0.187,0.0100,AT,32,299
134,0.616039,6.090907,0.800,0.188,0.0100,AT,33,301
135,0.597570,6.128148,0.807,0.187,0.0100,AT,34,303
136,0.594109,6.159878,0.806,0.182,0.0100,AT,35,305
