_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.432962,4.224527,0.048,0.069,0.1000,alpkdce1,"4.141, 0.008, 0.422",0.9,1.0,0,12
2,0.410522,4.077863,0.082,0.092,0.1000,alpkdce1,"3.963, 0.011, 0.406",0.9,1.0,0,25
3,0.398947,4.020271,0.101,0.100,0.1000,alpkdce1,"3.861, 0.012, 0.397",0.9,1.0,0,37
4,0.391752,3.971161,0.115,0.114,0.1000,alpkdce1,"3.785, 0.013, 0.390",0.9,1.0,0,50
5,0.385802,3.916008,0.127,0.120,0.1000,alpkdce1,"3.733, 0.014, 0.386",0.9,1.0,0,63
6,0.381016,3.845302,0.136,0.132,0.1000,alpkdce1,"3.681, 0.015, 0.381",0.9,1.0,0,76
7,0.377207,3.896495,0.145,0.119,0.1000,alpkdce1,"3.631, 0.015, 0.377",0.9,1.0,1,88
8,0.373460,3.822627,0.154,0.141,0.1000,alpkdce1,"3.584, 0.016, 0.373",0.9,1.0,0,101
9,0.370663,3.797929,0.163,0.140,0.1000,alpkdce1,"3.530, 0.017, 0.368",0.9,1.0,1,114
10,0.367279,3.764639,0.171,0.145,0.1000,alpkdce1,"3.503, 0.017, 0.366",0.9,1.0,0,126
11,0.364397,3.732906,0.177,0.149,0.1000,alpkdce1,"3.487, 0.018, 0.365",0.9,1.0,0,139
12,0.361162,3.708568,0.186,0.174,0.1000,alpkdce1,"3.443, 0.019, 0.361",0.9,1.0,0,152
13,0.358537,3.670229,0.194,0.168,0.1000,alpkdce1,"3.413, 0.020, 0.359",0.9,1.0,1,165
14,0.356322,3.661876,0.197,0.188,0.1000,alpkdce1,"3.389, 0.020, 0.357",0.9,1.0,0,177
15,0.354157,3.699937,0.204,0.168,0.1000,alpkdce1,"3.364, 0.021, 0.355",0.9,1.0,1,190
16,0.351873,3.636972,0.210,0.176,0.1000,alpkdce1,"3.322, 0.022, 0.352",0.9,1.0,2,203
17,0.349899,3.607475,0.215,0.186,0.1000,alpkdce1,"3.296, 0.022, 0.350",0.9,1.0,3,216
18,0.347977,3.610765,0.220,0.192,0.1000,alpkdce1,"3.295, 0.023, 0.350",0.9,1.0,0,229
19,0.346697,3.612021,0.226,0.181,0.1000,alpkdce1,"3.284, 0.022, 0.349",0.9,1.0,1,241
20,0.345100,3.668856,0.227,0.175,0.1000,alpkdce1,"3.255, 0.023, 0.346",0.9,1.0,2,254
21,0.343376,3.534590,0.230,0.204,0.1000,alpkdce1,"3.227, 0.024, 0.344",0.9,1.0,0,267
22,0.341891,3.549779,0.233,0.196,0.1000,alpkdce1,"3.230, 0.024, 0.344",0.9,1.0,1,279
23,0.340684,3.520280,0.239,0.206,0.1000,alpkdce1,"3.202, 0.024, 0.342",0.9,1.0,0,292
24,0.339105,3.531618,0.242,0.206,0.1000,alpkdce1,"3.173, 0.024, 0.339",0.9,1.0,0,305
25,0.338243,3.497655,0.245,0.208,0.1000,alpkdce1,"3.169, 0.025, 0.339",0.9,1.0,0,318
