_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,4.182915,4.259920,0.052,0.063,0.1000,alp,"3.982, 0.051, 4.008",0.5,1.0,0,9
2,3.833175,4.167813,0.086,0.076,0.1000,alp,"3.710, 0.072, 3.746",0.5,1.0,0,19
3,3.598154,4.025651,0.113,0.095,0.1000,alp,"3.497, 0.087, 3.540",0.5,1.0,0,29
4,3.420509,3.884803,0.131,0.110,0.1000,alp,"3.307, 0.102, 3.358",0.5,1.0,0,38
5,3.278746,3.718921,0.148,0.142,0.1000,alp,"3.191, 0.112, 3.248",0.5,1.0,0,48
6,3.165007,3.752776,0.160,0.145,0.1000,alp,"3.103, 0.121, 3.163",0.5,1.0,0,58
7,3.070739,3.686460,0.172,0.145,0.1000,alp,"3.001, 0.128, 3.065",0.5,1.0,1,67
8,2.988406,3.609350,0.183,0.152,0.1000,alp,"2.926, 0.132, 2.992",0.5,1.0,0,77
9,2.918727,3.613670,0.192,0.157,0.1000,alp,"2.841, 0.142, 2.912",0.5,1.0,0,86
10,2.855227,3.510354,0.199,0.173,0.1000,alp,"2.784, 0.141, 2.854",0.5,1.0,0,96
11,2.798398,3.469348,0.208,0.181,0.1000,alp,"2.733, 0.145, 2.806",0.5,1.0,0,106
12,2.752060,3.619204,0.212,0.168,0.1000,alp,"2.680, 0.146, 2.753",0.5,1.0,1,115
13,2.711120,3.518165,0.220,0.179,0.1000,alp,"2.653, 0.148, 2.727",0.5,1.0,2,125
14,2.671572,3.542837,0.223,0.171,0.1000,alp,"2.615, 0.153, 2.691",0.5,1.0,3,135
15,2.639419,3.483931,0.226,0.185,0.1000,alp,"2.596, 0.149, 2.671",0.5,1.0,0,144
16,2.591971,3.520039,0.235,0.179,0.1000,alp,"2.515, 0.153, 2.592",0.5,1.0,1,154
17,2.568478,3.516861,0.240,0.190,0.1000,alp,"2.522, 0.152, 2.598",0.5,1.0,0,163
18,2.532367,3.443431,0.244,0.194,0.1000,alp,"2.473, 0.154, 2.550",0.5,1.0,0,173
19,2.503768,3.503219,0.248,0.192,0.1000,alp,"2.455, 0.156, 2.533",0.5,1.0,1,183
20,2.480649,3.537501,0.252,0.193,0.1000,alp,"2.419, 0.154, 2.496",0.5,1.0,2,192
21,2.454364,3.499499,0.255,0.191,0.1000,alp,"2.410, 0.156, 2.488",0.5,1.0,3,202
22,2.427204,3.476220,0.259,0.191,0.1000,alp,"2.386, 0.158, 2.464",0.5,1.0,4,211
23,2.410652,3.491721,0.263,0.189,0.1000,alp,"2.374, 0.161, 2.455",0.5,1.0,5,221
24,2.380855,3.598424,0.264,0.180,0.1000,alp,"2.335, 0.161, 2.416",0.5,1.0,6,230
25,2.366297,3.507334,0.268,0.197,0.1000,alp,"2.311, 0.159, 2.391",0.5,1.0,0,240
26,2.354711,3.498132,0.268,0.197,0.1000,alp,"2.315, 0.161, 2.396",0.5,1.0,0,250
27,2.330853,3.547627,0.273,0.186,0.1000,alp,"2.283, 0.162, 2.363",0.5,1.0,1,259
28,2.315235,3.491698,0.274,0.194,0.1000,alp,"2.278, 0.163, 2.359",0.5,1.0,2,269
29,2.298654,3.421989,0.278,0.203,0.1000,alp,"2.259, 0.163, 2.340",0.5,1.0,0,278
30,2.276963,3.540476,0.283,0.202,0.1000,alp,"2.215, 0.161, 2.296",0.5,1.0,1,288
31,2.265674,3.551665,0.282,0.184,0.1000,alp,"2.239, 0.166, 2.322",0.5,1.0,2,298
32,2.253489,3.526712,0.284,0.195,0.1000,alp,"2.239, 0.162, 2.320",0.5,1.0,3,307
33,2.236541,3.463619,0.285,0.203,0.1000,alp,"2.197, 0.162, 2.278",0.5,1.0,4,317
34,2.225046,3.450060,0.290,0.202,0.1000,alp,"2.206, 0.165, 2.288",0.5,1.0,5,326
35,2.210003,3.539520,0.292,0.190,0.1000,alp,"2.179, 0.164, 2.262",0.5,1.0,6,336
36,2.202373,3.533287,0.291,0.201,0.1000,alp,"2.195, 0.166, 2.278",0.5,1.0,7,346
37,2.191677,3.476071,0.293,0.206,0.1000,alp,"2.152, 0.166, 2.235",0.5,1.0,0,355
38,2.179507,3.499819,0.294,0.209,0.1000,alp,"2.125, 0.167, 2.209",0.5,1.0,0,365
39,2.166842,3.495643,0.296,0.201,0.1000,alp,"2.125, 0.166, 2.208",0.5,1.0,1,374
40,2.159350,3.498259,0.298,0.197,0.1000,alp,"2.136, 0.164, 2.218",0.5,1.0,2,384
41,2.151231,3.424574,0.300,0.211,0.1000,alp,"2.136, 0.167, 2.219",0.5,1.0,0,394
42,2.136606,3.643415,0.301,0.189,0.1000,alp,"2.119, 0.169, 2.203",0.5,1.0,1,403
43,2.128818,3.525253,0.304,0.203,0.1000,alp,"2.126, 0.166, 2.209",0.5,1.0,2,413
44,2.119812,3.465490,0.304,0.209,0.1000,alp,"2.090, 0.169, 2.174",0.5,1.0,3,422
45,2.100835,3.576704,0.308,0.195,0.1000,alp,"2.084, 0.166, 2.168",0.5,1.0,4,432
46,2.099995,3.492463,0.308,0.204,0.1000,alp,"2.055, 0.166, 2.139",0.5,1.0,5,441
47,2.092144,3.569982,0.310,0.200,0.1000,alp,"2.060, 0.169, 2.144",0.5,1.0,6,451
48,2.090186,3.712287,0.312,0.186,0.1000,alp,"2.082, 0.167, 2.165",0.5,1.0,7,461
49,2.076878,3.509526,0.309,0.207,0.1000,alp,"2.066, 0.168, 2.150",0.5,1.0,8,470
50,2.064966,3.587300,0.314,0.197,0.1000,alp,"2.060, 0.170, 2.145",0.5,1.0,9,480
51,2.060017,3.650330,0.315,0.195,0.1000,alp,"2.036, 0.170, 2.121",0.5,1.0,10,489
52,2.048880,3.735957,0.315,0.188,0.1000,alp,"2.017, 0.168, 2.101",0.5,1.0,11,499
53,2.055357,3.601705,0.313,0.197,0.1000,alp,"2.037, 0.166, 2.120",0.5,1.0,12,509
54,2.037960,3.645238,0.321,0.188,0.1000,alp,"2.031, 0.170, 2.116",0.5,1.0,13,518
55,2.037534,3.671670,0.315,0.190,0.1000,alp,"2.034, 0.167, 2.118",0.5,1.0,14,528
56,2.033817,3.687469,0.317,0.193,0.1000,alp,"2.011, 0.170, 2.096",0.5,1.0,15,537
57,2.023093,3.560970,0.318,0.201,0.1000,alp,"1.994, 0.170, 2.079",0.5,1.0,16,547
58,2.017720,3.565011,0.320,0.192,0.1000,alp,"2.001, 0.171, 2.086",0.5,1.0,17,556
59,2.008474,3.742948,0.322,0.195,0.1000,alp,"1.970, 0.172, 2.056",0.5,1.0,18,566
60,1.999823,3.725172,0.323,0.197,0.1000,alp,"1.982, 0.170, 2.067",0.5,1.0,19,576
61,2.004210,3.705955,0.319,0.193,0.1000,alp,"1.996, 0.170, 2.082",0.5,1.0,20,585
62,2.000040,3.581316,0.325,0.201,0.1000,alp,"1.993, 0.169, 2.077",0.5,1.0,21,595
63,1.984103,3.599501,0.326,0.197,0.1000,alp,"1.991, 0.172, 2.077",0.5,1.0,22,604
64,1.979507,3.865717,0.328,0.172,0.1000,alp,"1.946, 0.171, 2.032",0.5,1.0,23,614
65,1.976045,3.784270,0.327,0.178,0.1000,alp,"1.968, 0.174, 2.055",0.5,1.0,24,624
