_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,4.303930,4.214901,0.051,0.062,0.1000,AT,0,10
2,4.065609,4.060415,0.081,0.086,0.1000,AT,0,21
3,3.921614,3.994656,0.105,0.092,0.1000,AT,0,32
4,3.801091,3.842660,0.124,0.115,0.1000,AT,0,43
5,3.702889,3.835456,0.141,0.117,0.1000,AT,0,53
6,3.609547,3.746487,0.157,0.145,0.1000,AT,0,64
7,3.535066,3.680669,0.166,0.144,0.1000,AT,1,75
8,3.467316,3.634561,0.181,0.159,0.1000,AT,0,86
9,3.403910,3.534449,0.190,0.171,0.1000,AT,0,96
10,3.354300,3.542068,0.200,0.171,0.1000,AT,0,107
11,3.305570,3.478075,0.207,0.181,0.1000,AT,0,118
12,3.262863,3.448442,0.214,0.188,0.1000,AT,0,129
13,3.224798,3.445876,0.223,0.180,0.1000,AT,1,139
14,3.191860,3.448001,0.225,0.184,0.1000,AT,2,150
15,3.165214,3.390790,0.232,0.200,0.1000,AT,0,161
16,3.121885,3.497087,0.239,0.174,0.1000,AT,1,172
17,3.100260,3.393840,0.242,0.196,0.1000,AT,2,182
18,3.073804,3.446586,0.248,0.193,0.1000,AT,3,193
19,3.045104,3.325102,0.253,0.217,0.1000,AT,0,204
20,3.023712,3.353783,0.257,0.201,0.1000,AT,1,215
21,3.002511,3.338835,0.260,0.205,0.1000,AT,2,225
22,2.979169,3.376832,0.264,0.200,0.1000,AT,3,236
23,2.964496,3.356340,0.268,0.207,0.1000,AT,4,247
24,2.943946,3.309513,0.272,0.210,0.1000,AT,5,257
25,2.925099,3.369332,0.277,0.211,0.1000,AT,6,268
26,2.906923,3.440686,0.275,0.198,0.1000,AT,7,279
27,2.904052,3.361358,0.277,0.208,0.1000,AT,8,290
28,2.878855,3.389031,0.287,0.197,0.1000,AT,9,300
29,2.862773,3.271647,0.286,0.223,0.1000,AT,0,311
30,2.845695,3.235018,0.293,0.238,0.1000,AT,0,322
31,2.834224,3.430436,0.290,0.206,0.1000,AT,1,333
32,2.823255,3.377928,0.294,0.206,0.1000,AT,2,343
33,2.813806,3.247786,0.296,0.226,0.1000,AT,3,354
34,2.804706,3.311443,0.298,0.212,0.1000,AT,4,365
35,2.796383,3.261954,0.298,0.228,0.1000,AT,5,375
36,2.778743,3.317434,0.298,0.213,0.1000,AT,6,386
37,2.768205,3.292691,0.305,0.218,0.1000,AT,7,397
38,2.754307,3.251873,0.305,0.228,0.1000,AT,8,408
39,2.759873,3.403355,0.306,0.205,0.1000,AT,9,418
40,2.748450,3.301187,0.308,0.222,0.1000,AT,10,429
41,2.734441,3.314402,0.310,0.217,0.1000,AT,11,440
42,2.727090,3.418890,0.314,0.208,0.1000,AT,12,450
43,2.715397,3.304262,0.313,0.220,0.1000,AT,13,461
44,2.710346,3.278313,0.315,0.219,0.1000,AT,14,472
45,2.701494,3.265210,0.316,0.225,0.1000,AT,15,483
46,2.698796,3.228821,0.314,0.227,0.1000,AT,16,493
47,2.691919,3.347099,0.318,0.215,0.1000,AT,17,504
48,2.684909,3.435199,0.318,0.204,0.1000,AT,18,515
49,2.674486,3.397950,0.323,0.213,0.1000,AT,19,525
50,2.664077,3.328393,0.324,0.220,0.1000,AT,20,536
51,2.658941,3.587035,0.322,0.185,0.1000,AT,21,547
52,2.659133,3.558726,0.325,0.196,0.1000,AT,22,558
53,2.651298,3.248271,0.325,0.230,0.1000,AT,23,568
54,2.643461,3.344121,0.328,0.222,0.1000,AT,24,579
55,2.640762,3.369117,0.326,0.219,0.1000,AT,25,590
56,2.641973,3.352825,0.328,0.220,0.1000,AT,26,600
57,2.627345,3.394591,0.331,0.209,0.1000,AT,27,611
