_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.901619,4.278634,0.061,0.056,0.1000,alpkdce1,"2.078, 1.835, 1.860",0.9,30.0,0,11
2,1.831626,4.081750,0.099,0.094,0.1000,alpkdce1,"2.003, 1.800, 1.820",0.9,30.0,0,23
3,1.795728,3.996729,0.121,0.109,0.1000,alpkdce1,"1.946, 1.763, 1.781",0.9,30.0,0,35
4,1.760290,3.967072,0.140,0.120,0.1000,alpkdce1,"1.908, 1.734, 1.752",0.9,30.0,0,47
5,1.734803,3.906102,0.153,0.129,0.1000,alpkdce1,"1.871, 1.707, 1.723",0.9,30.0,0,59
6,1.709862,3.839962,0.163,0.142,0.1000,alpkdce1,"1.840, 1.688, 1.704",0.9,30.0,0,71
7,1.690268,3.924153,0.175,0.125,0.1000,alpkdce1,"1.821, 1.677, 1.691",0.9,30.0,1,83
8,1.669099,3.810642,0.185,0.150,0.1000,alpkdce1,"1.795, 1.652, 1.666",0.9,30.0,0,95
9,1.651274,3.708265,0.192,0.165,0.1000,alpkdce1,"1.771, 1.642, 1.655",0.9,30.0,0,106
10,1.634126,3.764145,0.201,0.163,0.1000,alpkdce1,"1.755, 1.626, 1.639",0.9,30.0,1,118
11,1.622600,3.801683,0.207,0.154,0.1000,alpkdce1,"1.737, 1.612, 1.625",0.9,30.0,2,130
12,1.608334,3.759602,0.215,0.167,0.1000,alpkdce1,"1.714, 1.596, 1.608",0.9,30.0,0,142
13,1.597024,3.607408,0.218,0.186,0.1000,alpkdce1,"1.705, 1.585, 1.597",0.9,30.0,0,154
14,1.581724,3.641745,0.225,0.184,0.1000,alpkdce1,"1.690, 1.574, 1.586",0.9,30.0,1,166
15,1.573283,3.735060,0.231,0.172,0.1000,alpkdce1,"1.675, 1.565, 1.576",0.9,30.0,2,178
16,1.565460,3.698382,0.234,0.179,0.1000,alpkdce1,"1.666, 1.556, 1.567",0.9,30.0,3,189
17,1.554981,3.758427,0.241,0.181,0.1000,alpkdce1,"1.646, 1.541, 1.551",0.9,30.0,4,201
18,1.547071,3.542409,0.243,0.208,0.1000,alpkdce1,"1.649, 1.539, 1.550",0.9,30.0,0,213
19,1.537656,3.552316,0.248,0.205,0.1000,alpkdce1,"1.632, 1.527, 1.538",0.9,30.0,1,225
20,1.527517,3.632194,0.253,0.198,0.1000,alpkdce1,"1.614, 1.523, 1.533",0.9,30.0,2,237
21,1.521541,3.581484,0.257,0.208,0.1000,alpkdce1,"1.615, 1.517, 1.526",0.9,30.0,3,249
22,1.510623,3.581973,0.262,0.205,0.1000,alpkdce1,"1.595, 1.506, 1.515",0.9,30.0,4,261
23,1.510222,3.512371,0.262,0.212,0.1000,alpkdce1,"1.592, 1.506, 1.514",0.9,30.0,0,272
24,1.500411,3.556859,0.267,0.206,0.1000,alpkdce1,"1.582, 1.484, 1.494",0.9,30.0,1,284
25,1.496089,3.567160,0.273,0.205,0.1000,alpkdce1,"1.587, 1.499, 1.507",0.9,30.0,2,296
26,1.493852,3.572893,0.272,0.213,0.1000,alpkdce1,"1.575, 1.492, 1.500",0.9,30.0,0,308
27,1.484061,3.456199,0.276,0.223,0.1000,alpkdce1,"1.568, 1.476, 1.485",0.9,30.0,0,320
28,1.476610,3.620581,0.278,0.203,0.1000,alpkdce1,"1.563, 1.482, 1.490",0.9,30.0,1,332
29,1.474074,3.539024,0.283,0.221,0.1000,alpkdce1,"1.558, 1.477, 1.485",0.9,30.0,2,343
30,1.466527,3.508116,0.285,0.225,0.1000,alpkdce1,"1.540, 1.460, 1.468",0.9,30.0,0,355
31,1.463703,3.511363,0.287,0.225,0.1000,alpkdce1,"1.533, 1.457, 1.464",0.9,30.0,1,367
32,1.457472,3.567395,0.290,0.221,0.1000,alpkdce1,"1.543, 1.463, 1.471",0.9,30.0,2,379
33,1.455465,3.856295,0.291,0.196,0.1000,alpkdce1,"1.536, 1.454, 1.463",0.9,30.0,3,391
34,1.450569,3.665998,0.293,0.213,0.1000,alpkdce1,"1.532, 1.449, 1.457",0.9,30.0,4,403
35,1.449519,3.507056,0.294,0.228,0.1000,alpkdce1,"1.536, 1.464, 1.471",0.9,30.0,0,414
36,1.445033,3.571164,0.297,0.222,0.1000,alpkdce1,"1.532, 1.452, 1.460",0.9,30.0,1,426
37,1.444072,3.672179,0.298,0.208,0.1000,alpkdce1,"1.524, 1.448, 1.456",0.9,30.0,2,438
38,1.443076,3.566520,0.302,0.222,0.1000,alpkdce1,"1.509, 1.435, 1.443",0.9,30.0,3,450
39,1.434226,3.795020,0.303,0.184,0.1000,alpkdce1,"1.513, 1.435, 1.443",0.9,30.0,4,462
40,1.432766,3.623948,0.305,0.211,0.1000,alpkdce1,"1.516, 1.440, 1.448",0.9,30.0,5,474
41,1.429143,3.559110,0.306,0.222,0.1000,alpkdce1,"1.503, 1.439, 1.445",0.9,30.0,6,485
42,1.427097,3.577621,0.304,0.209,0.1000,alpkdce1,"1.503, 1.432, 1.439",0.9,30.0,7,497
43,1.424335,3.577529,0.309,0.221,0.1000,alpkdce1,"1.503, 1.433, 1.440",0.9,30.0,8,509
44,1.422235,3.580306,0.310,0.221,0.1000,alpkdce1,"1.489, 1.417, 1.424",0.9,30.0,9,521
45,1.418584,3.638876,0.311,0.221,0.1000,alpkdce1,"1.497, 1.423, 1.430",0.9,30.0,10,533
46,1.417826,3.835322,0.313,0.199,0.1000,alpkdce1,"1.481, 1.420, 1.427",0.9,30.0,11,545
47,1.413638,3.561309,0.314,0.224,0.1000,alpkdce1,"1.496, 1.428, 1.435",0.9,30.0,12,556
48,1.409949,3.492534,0.316,0.236,0.1000,alpkdce1,"1.480, 1.407, 1.415",0.9,30.0,0,568
49,1.409743,3.539414,0.316,0.229,0.1000,alpkdce1,"1.474, 1.415, 1.421",0.9,30.0,1,580
50,1.409197,3.783284,0.316,0.197,0.1000,alpkdce1,"1.492, 1.428, 1.434",0.9,30.0,2,592
51,1.400166,3.862121,0.323,0.193,0.1000,alpkdce1,"1.465, 1.396, 1.403",0.9,30.0,3,604
52,1.403788,3.536913,0.319,0.229,0.1000,alpkdce1,"1.469, 1.414, 1.419",0.9,30.0,4,616
