_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,3.914955,3.941548,0.092,0.086,0.1000,NT,0,1
2,3.237666,3.281039,0.200,0.197,0.1000,NT,0,2
3,2.671052,2.755085,0.305,0.290,0.1000,NT,0,3
4,2.262308,2.524095,0.386,0.337,0.1000,NT,0,4
5,1.977474,2.284923,0.452,0.390,0.1000,NT,0,5
6,1.798325,2.083833,0.496,0.444,0.1000,NT,0,6
7,1.654831,1.941505,0.532,0.462,0.1000,NT,0,7
8,1.542792,2.033989,0.563,0.454,0.1000,NT,1,8
9,1.471542,1.838856,0.577,0.504,0.1000,NT,0,9
10,1.395934,2.032534,0.599,0.473,0.1000,NT,1,10
11,1.343642,1.807490,0.613,0.515,0.1000,NT,0,11
12,1.292640,2.399867,0.626,0.416,0.1000,NT,1,12
13,1.244617,1.794371,0.639,0.518,0.1000,NT,0,13
14,1.203476,2.128080,0.649,0.476,0.1000,NT,1,15
15,1.172029,1.674302,0.661,0.553,0.1000,NT,0,16
16,1.141583,1.784342,0.668,0.535,0.1000,NT,1,17
17,1.106769,1.760674,0.676,0.531,0.1000,NT,2,18
18,1.095152,1.679167,0.679,0.548,0.1000,NT,3,19
19,1.071232,1.763488,0.685,0.534,0.1000,NT,4,20
20,1.039865,1.727275,0.694,0.527,0.1000,NT,5,21
21,1.024268,1.827484,0.699,0.536,0.1000,NT,6,22
22,1.005944,1.693391,0.704,0.549,0.1000,NT,7,23
23,0.992791,1.672981,0.706,0.548,0.1000,NT,8,24
24,0.978217,1.784342,0.709,0.541,0.1000,NT,9,25
25,0.955213,1.870565,0.718,0.514,0.1000,NT,10,26
26,0.943733,1.925619,0.721,0.507,0.1000,NT,11,27
27,0.943031,1.452177,0.723,0.605,0.1000,NT,0,28
28,0.935481,2.147318,0.724,0.499,0.1000,NT,1,30
29,0.913444,1.698346,0.732,0.560,0.1000,NT,2,31
30,0.913556,1.669552,0.726,0.562,0.1000,NT,3,32
31,0.892847,1.762603,0.738,0.538,0.1000,NT,4,33
32,0.894704,2.155343,0.734,0.498,0.1000,NT,5,34
33,0.892945,1.578042,0.737,0.586,0.1000,NT,6,35
34,0.874005,1.483848,0.740,0.606,0.1000,NT,0,36
