_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.002256,2.064268,0.216,0.222,0.1000,alp,"1.864, 0.079, 1.904",0.5,1.0,0,2
2,1.799342,1.974608,0.264,0.249,0.1000,alp,"1.717, 0.097, 1.765",0.5,1.0,0,4
3,1.675601,1.870907,0.299,0.282,0.1000,alp,"1.582, 0.114, 1.639",0.5,1.0,0,7
4,1.583485,1.881948,0.324,0.305,0.1000,alp,"1.496, 0.127, 1.560",0.5,1.0,0,9
5,1.515653,1.804626,0.343,0.322,0.1000,alp,"1.436, 0.132, 1.502",0.5,1.0,0,12
6,1.456091,1.758111,0.362,0.320,0.1000,alp,"1.379, 0.143, 1.450",0.5,1.0,1,14
7,1.409212,1.729551,0.378,0.340,0.1000,alp,"1.335, 0.149, 1.409",0.5,1.0,0,17
8,1.373304,1.711727,0.389,0.346,0.1000,alp,"1.280, 0.155, 1.357",0.5,1.0,0,19
9,1.338011,1.670859,0.402,0.349,0.1000,alp,"1.255, 0.162, 1.336",0.5,1.0,0,22
10,1.312182,1.645340,0.410,0.368,0.1000,alp,"1.220, 0.162, 1.301",0.5,1.0,0,24
11,1.287150,1.598028,0.419,0.375,0.1000,alp,"1.205, 0.169, 1.289",0.5,1.0,0,26
12,1.263111,1.623536,0.428,0.374,0.1000,alp,"1.181, 0.171, 1.266",0.5,1.0,1,29
13,1.243132,1.596787,0.434,0.381,0.1000,alp,"1.154, 0.174, 1.241",0.5,1.0,0,31
14,1.227984,1.543979,0.441,0.394,0.1000,alp,"1.146, 0.177, 1.235",0.5,1.0,0,34
15,1.209210,1.594156,0.446,0.395,0.1000,alp,"1.129, 0.176, 1.217",0.5,1.0,0,36
16,1.192197,1.545544,0.454,0.407,0.1000,alp,"1.114, 0.184, 1.206",0.5,1.0,0,38
17,1.177289,1.559346,0.459,0.400,0.1000,alp,"1.082, 0.187, 1.176",0.5,1.0,1,41
18,1.167437,1.561820,0.464,0.398,0.1000,alp,"1.089, 0.188, 1.183",0.5,1.0,2,43
19,1.158371,1.521945,0.467,0.415,0.1000,alp,"1.078, 0.191, 1.173",0.5,1.0,0,46
20,1.149619,1.509200,0.471,0.423,0.1000,alp,"1.052, 0.191, 1.148",0.5,1.0,0,48
21,1.136453,1.545250,0.474,0.406,0.1000,alp,"1.051, 0.193, 1.147",0.5,1.0,1,50
22,1.125675,1.541358,0.479,0.413,0.1000,alp,"1.038, 0.195, 1.136",0.5,1.0,2,53
23,1.118272,1.503143,0.481,0.424,0.1000,alp,"1.012, 0.201, 1.113",0.5,1.0,0,55
24,1.106288,1.523904,0.487,0.417,0.1000,alp,"1.020, 0.198, 1.119",0.5,1.0,1,58
25,1.103637,1.497215,0.487,0.433,0.1000,alp,"1.014, 0.198, 1.112",0.5,1.0,0,60
26,1.091865,1.496695,0.490,0.425,0.1000,alp,"1.010, 0.200, 1.111",0.5,1.0,1,63
27,1.083086,1.494946,0.492,0.427,0.1000,alp,"0.994, 0.202, 1.094",0.5,1.0,2,65
28,1.075998,1.488364,0.499,0.430,0.1000,alp,"0.979, 0.207, 1.082",0.5,1.0,3,67
29,1.069847,1.481934,0.499,0.433,0.1000,alp,"0.968, 0.206, 1.071",0.5,1.0,0,70
30,1.064447,1.494099,0.501,0.430,0.1000,alp,"0.987, 0.207, 1.091",0.5,1.0,1,72
31,1.057966,1.489959,0.503,0.434,0.1000,alp,"0.966, 0.208, 1.070",0.5,1.0,0,75
32,1.051075,1.482057,0.506,0.423,0.1000,alp,"0.965, 0.210, 1.070",0.5,1.0,1,77
33,1.041993,1.515413,0.510,0.421,0.1000,alp,"0.956, 0.209, 1.061",0.5,1.0,2,79
34,1.038198,1.509754,0.511,0.430,0.1000,alp,"0.947, 0.213, 1.053",0.5,1.0,3,82
35,1.030132,1.458321,0.515,0.446,0.1000,alp,"0.941, 0.213, 1.048",0.5,1.0,0,84
36,1.024701,1.544258,0.517,0.416,0.1000,alp,"0.939, 0.216, 1.047",0.5,1.0,1,87
37,1.024153,1.471310,0.516,0.435,0.1000,alp,"0.924, 0.216, 1.032",0.5,1.0,2,89
38,1.016197,1.447067,0.520,0.445,0.1000,alp,"0.926, 0.215, 1.034",0.5,1.0,3,91
39,1.011243,1.479011,0.522,0.426,0.1000,alp,"0.919, 0.215, 1.026",0.5,1.0,4,94
40,1.007815,1.529973,0.523,0.424,0.1000,alp,"0.913, 0.216, 1.021",0.5,1.0,5,96
41,1.000312,1.502313,0.527,0.416,0.1000,alp,"0.901, 0.219, 1.010",0.5,1.0,6,99
