_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.210057,2.052542,0.209,0.224,0.1000,alpkdce1,"1.958, 0.008, 0.203",0.9,30.0,0,2
2,0.198841,1.982383,0.256,0.259,0.1000,alpkdce1,"1.879, 0.010, 0.197",0.9,30.0,0,4
3,0.193519,1.940313,0.276,0.274,0.1000,alpkdce1,"1.824, 0.011, 0.192",0.9,30.0,0,7
4,0.189024,1.905695,0.294,0.289,0.1000,alpkdce1,"1.772, 0.012, 0.188",0.9,30.0,0,9
5,0.185300,1.874936,0.310,0.298,0.1000,alpkdce1,"1.727, 0.013, 0.184",0.9,30.0,0,11
6,0.182023,1.831748,0.324,0.312,0.1000,alpkdce1,"1.682, 0.014, 0.181",0.9,30.0,0,14
7,0.178879,1.823094,0.339,0.317,0.1000,alpkdce1,"1.647, 0.015, 0.178",0.9,30.0,0,16
8,0.176129,1.795886,0.351,0.338,0.1000,alpkdce1,"1.616, 0.015, 0.176",0.9,30.0,0,18
9,0.173368,1.761624,0.364,0.344,0.1000,alpkdce1,"1.587, 0.016, 0.173",0.9,30.0,0,21
10,0.171107,1.762830,0.373,0.358,0.1000,alpkdce1,"1.554, 0.017, 0.171",0.9,30.0,0,23
11,0.169311,1.736238,0.382,0.366,0.1000,alpkdce1,"1.519, 0.017, 0.168",0.9,30.0,0,25
12,0.166947,1.713269,0.394,0.370,0.1000,alpkdce1,"1.505, 0.018, 0.166",0.9,30.0,0,28
13,0.165459,1.690344,0.398,0.375,0.1000,alpkdce1,"1.490, 0.018, 0.166",0.9,30.0,0,30
14,0.163684,1.672300,0.405,0.387,0.1000,alpkdce1,"1.482, 0.018, 0.165",0.9,30.0,0,32
15,0.162170,1.650765,0.414,0.394,0.1000,alpkdce1,"1.444, 0.019, 0.161",0.9,30.0,0,35
16,0.160509,1.657716,0.424,0.385,0.1000,alpkdce1,"1.427, 0.019, 0.160",0.9,30.0,1,37
17,0.159401,1.628362,0.428,0.406,0.1000,alpkdce1,"1.423, 0.019, 0.160",0.9,30.0,0,39
18,0.158091,1.630012,0.432,0.405,0.1000,alpkdce1,"1.401, 0.020, 0.158",0.9,30.0,1,42
