_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.144950,2.035173,0.224,0.224,0.1000,alpkdce1,"1.015, 2.026, 1.116",0.1,1.0,0,2
2,1.072460,1.938775,0.267,0.275,0.1000,alpkdce1,"0.962, 1.921, 1.058",0.1,1.0,0,4
3,1.019209,1.891249,0.301,0.279,0.1000,alpkdce1,"0.912, 1.820, 1.002",0.1,1.0,0,7
4,0.976134,1.936824,0.333,0.268,0.1000,alpkdce1,"0.877, 1.751, 0.965",0.1,1.0,1,9
5,0.943998,1.785569,0.352,0.324,0.1000,alpkdce1,"0.842, 1.681, 0.926",0.1,1.0,0,12
6,0.916899,1.758714,0.372,0.336,0.1000,alpkdce1,"0.824, 1.644, 0.906",0.1,1.0,0,14
7,0.888387,1.998137,0.390,0.260,0.1000,alpkdce1,"0.796, 1.590, 0.876",0.1,1.0,1,16
8,0.874516,1.672536,0.401,0.361,0.1000,alpkdce1,"0.791, 1.579, 0.870",0.1,1.0,0,19
9,0.856915,1.731440,0.410,0.334,0.1000,alpkdce1,"0.773, 1.544, 0.850",0.1,1.0,1,21
10,0.841236,1.685292,0.423,0.363,0.1000,alpkdce1,"0.758, 1.512, 0.833",0.1,1.0,0,24
11,0.828346,1.630717,0.434,0.375,0.1000,alpkdce1,"0.747, 1.491, 0.821",0.1,1.0,0,26
12,0.817138,1.571689,0.441,0.389,0.1000,alpkdce1,"0.750, 1.497, 0.825",0.1,1.0,0,29
13,0.808119,1.580427,0.445,0.391,0.1000,alpkdce1,"0.740, 1.477, 0.814",0.1,1.0,0,31
14,0.797853,1.636549,0.451,0.376,0.1000,alpkdce1,"0.727, 1.450, 0.799",0.1,1.0,1,33
15,0.787336,1.517462,0.461,0.420,0.1000,alpkdce1,"0.718, 1.433, 0.790",0.1,1.0,0,36
16,0.779165,1.580920,0.462,0.400,0.1000,alpkdce1,"0.713, 1.423, 0.784",0.1,1.0,1,38
17,0.774859,1.538891,0.465,0.407,0.1000,alpkdce1,"0.705, 1.408, 0.776",0.1,1.0,2,41
18,0.764803,1.553331,0.475,0.412,0.1000,alpkdce1,"0.697, 1.390, 0.766",0.1,1.0,3,43
19,0.761559,1.512714,0.477,0.426,0.1000,alpkdce1,"0.701, 1.399, 0.771",0.1,1.0,0,45
20,0.755264,1.478353,0.480,0.436,0.1000,alpkdce1,"0.690, 1.378, 0.759",0.1,1.0,0,48
21,0.746397,1.557577,0.488,0.404,0.1000,alpkdce1,"0.679, 1.355, 0.746",0.1,1.0,1,50
22,0.742681,1.483601,0.489,0.433,0.1000,alpkdce1,"0.680, 1.358, 0.748",0.1,1.0,2,53
23,0.735321,1.509959,0.492,0.420,0.1000,alpkdce1,"0.681, 1.359, 0.749",0.1,1.0,3,55
24,0.730526,1.558240,0.495,0.410,0.1000,alpkdce1,"0.668, 1.333, 0.734",0.1,1.0,4,57
25,0.727456,1.530164,0.496,0.423,0.1000,alpkdce1,"0.665, 1.327, 0.731",0.1,1.0,5,60
26,0.723921,1.531757,0.499,0.425,0.1000,alpkdce1,"0.658, 1.312, 0.723",0.1,1.0,6,62
27,0.719382,1.460234,0.502,0.449,0.1000,alpkdce1,"0.656, 1.309, 0.721",0.1,1.0,0,65
28,0.715436,1.473000,0.506,0.439,0.1000,alpkdce1,"0.657, 1.311, 0.722",0.1,1.0,1,67
29,0.710501,1.473685,0.509,0.431,0.1000,alpkdce1,"0.652, 1.301, 0.717",0.1,1.0,2,69
30,0.707606,1.476885,0.510,0.437,0.1000,alpkdce1,"0.643, 1.283, 0.707",0.1,1.0,3,72
31,0.703351,1.495493,0.512,0.451,0.1000,alpkdce1,"0.640, 1.278, 0.704",0.1,1.0,0,74
32,0.700325,1.543006,0.513,0.431,0.1000,alpkdce1,"0.637, 1.270, 0.700",0.1,1.0,1,77
33,0.695512,1.523269,0.517,0.429,0.1000,alpkdce1,"0.640, 1.277, 0.704",0.1,1.0,2,79
34,0.691745,1.486096,0.519,0.439,0.1000,alpkdce1,"0.638, 1.272, 0.701",0.1,1.0,3,81
35,0.687560,1.471051,0.520,0.445,0.1000,alpkdce1,"0.631, 1.258, 0.693",0.1,1.0,4,84
36,0.688322,1.478212,0.523,0.442,0.1000,alpkdce1,"0.637, 1.271, 0.701",0.1,1.0,5,86
37,0.683985,1.479886,0.525,0.446,0.1000,alpkdce1,"0.630, 1.257, 0.692",0.1,1.0,6,89
38,0.681188,1.486119,0.525,0.437,0.1000,alpkdce1,"0.619, 1.235, 0.680",0.1,1.0,7,91
39,0.678238,1.507761,0.529,0.441,0.1000,alpkdce1,"0.619, 1.236, 0.681",0.1,1.0,8,93
40,0.677033,1.485348,0.528,0.446,0.1000,alpkdce1,"0.619, 1.235, 0.681",0.1,1.0,9,96
41,0.672033,1.555213,0.531,0.420,0.1000,alpkdce1,"0.616, 1.228, 0.677",0.1,1.0,10,98
42,0.670295,1.474612,0.532,0.453,0.1000,alpkdce1,"0.615, 1.227, 0.676",0.1,1.0,0,101
43,0.668558,1.528655,0.534,0.427,0.1000,alpkdce1,"0.612, 1.220, 0.673",0.1,1.0,1,103
44,0.663592,1.479561,0.538,0.450,0.1000,alpkdce1,"0.618, 1.233, 0.680",0.1,1.0,2,105
45,0.663243,1.446266,0.537,0.456,0.1000,alpkdce1,"0.613, 1.223, 0.674",0.1,1.0,0,108
46,0.661007,1.484690,0.537,0.446,0.1000,alpkdce1,"0.611, 1.218, 0.672",0.1,1.0,1,110
47,0.659228,1.500770,0.538,0.450,0.1000,alpkdce1,"0.604, 1.205, 0.664",0.1,1.0,2,113
48,0.658369,1.440821,0.539,0.458,0.1000,alpkdce1,"0.604, 1.205, 0.664",0.1,1.0,0,115
49,0.652640,1.493569,0.544,0.447,0.1000,alpkdce1,"0.603, 1.204, 0.663",0.1,1.0,1,117
50,0.653973,1.502067,0.542,0.451,0.1000,alpkdce1,"0.594, 1.185, 0.653",0.1,1.0,2,120
51,0.647540,1.511317,0.548,0.443,0.1000,alpkdce1,"0.590, 1.178, 0.649",0.1,1.0,3,122
52,0.650481,1.517451,0.544,0.438,0.1000,alpkdce1,"0.596, 1.189, 0.655",0.1,1.0,4,125
53,0.649670,1.496613,0.547,0.449,0.1000,alpkdce1,"0.602, 1.200, 0.661",0.1,1.0,5,127
54,0.643937,1.516016,0.547,0.444,0.1000,alpkdce1,"0.586, 1.169, 0.645",0.1,1.0,6,129
