_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,16.250412,2.737210,0.178,0.174,0.1000,alpkdce1,"1.272, 17.543, 15.916",0.9,30.0,0,2
2,15.470330,2.548067,0.225,0.228,0.1000,alpkdce1,"1.285, 16.731, 15.186",0.9,30.0,0,5
3,14.949467,2.630503,0.247,0.229,0.1000,alpkdce1,"1.294, 16.178, 14.689",0.9,30.0,0,7
4,14.510128,2.871065,0.263,0.253,0.1000,alpkdce1,"1.299, 15.782, 14.334",0.9,30.0,0,10
5,14.071943,2.963531,0.283,0.255,0.1000,alpkdce1,"1.299, 15.362, 13.956",0.9,30.0,0,12
6,13.646359,2.678019,0.306,0.266,0.1000,alpkdce1,"1.309, 14.933, 13.571",0.9,30.0,0,15
7,13.216073,3.004875,0.321,0.308,0.1000,alpkdce1,"1.297, 14.383, 13.074",0.9,30.0,0,18
8,12.801783,2.926840,0.340,0.304,0.1000,alpkdce1,"1.302, 13.987, 12.718",0.9,30.0,1,20
9,12.462669,2.773767,0.356,0.332,0.1000,alpkdce1,"1.307, 13.557, 12.332",0.9,30.0,0,23
10,12.118399,3.054937,0.373,0.325,0.1000,alpkdce1,"1.300, 13.205, 12.015",0.9,30.0,1,25
11,11.869344,2.853399,0.384,0.362,0.1000,alpkdce1,"1.308, 12.907, 11.747",0.9,30.0,0,28
12,11.632744,2.774920,0.394,0.360,0.1000,alpkdce1,"1.305, 12.677, 11.540",0.9,30.0,1,31
13,11.456809,2.834208,0.406,0.372,0.1000,alpkdce1,"1.279, 12.549, 11.422",0.9,30.0,0,33
14,11.247793,3.147682,0.415,0.371,0.1000,alpkdce1,"1.280, 12.367, 11.259",0.9,30.0,1,36
15,11.042029,3.092574,0.422,0.354,0.1000,alpkdce1,"1.273, 12.133, 11.047",0.9,30.0,2,38
16,10.853970,2.705425,0.428,0.384,0.1000,alpkdce1,"1.253, 11.870, 10.808",0.9,30.0,0,41
17,10.757951,2.689176,0.436,0.404,0.1000,alpkdce1,"1.267, 11.957, 10.888",0.9,30.0,0,44
18,10.644674,3.098336,0.440,0.384,0.1000,alpkdce1,"1.255, 11.719, 10.673",0.9,30.0,1,46
19,10.540149,3.239063,0.447,0.383,0.1000,alpkdce1,"1.238, 11.575, 10.541",0.9,30.0,2,49
20,10.426331,3.084958,0.452,0.405,0.1000,alpkdce1,"1.238, 11.476, 10.452",0.9,30.0,0,51
21,10.316389,2.863424,0.457,0.399,0.1000,alpkdce1,"1.235, 11.353, 10.341",0.9,30.0,1,54
22,10.253351,3.169040,0.461,0.387,0.1000,alpkdce1,"1.220, 11.324, 10.313",0.9,30.0,2,57
23,10.150907,2.865149,0.464,0.412,0.1000,alpkdce1,"1.223, 11.241, 10.239",0.9,30.0,0,59
24,10.061726,2.762038,0.470,0.419,0.1000,alpkdce1,"1.208, 11.032, 10.050",0.9,30.0,0,62
25,9.988158,2.703389,0.473,0.409,0.1000,alpkdce1,"1.209, 11.085, 10.097",0.9,30.0,1,65
26,9.910489,2.759960,0.475,0.426,0.1000,alpkdce1,"1.215, 10.968, 9.993",0.9,30.0,0,67
27,9.869657,2.876933,0.479,0.417,0.1000,alpkdce1,"1.190, 10.827, 9.864",0.9,30.0,1,70
28,9.768541,2.797563,0.483,0.427,0.1000,alpkdce1,"1.178, 10.722, 9.768",0.9,30.0,0,72
29,9.684263,2.793698,0.488,0.424,0.1000,alpkdce1,"1.193, 10.757, 9.800",0.9,30.0,1,75
30,9.648323,2.862927,0.486,0.424,0.1000,alpkdce1,"1.187, 10.616, 9.673",0.9,30.0,2,78
31,9.628615,2.923332,0.491,0.414,0.1000,alpkdce1,"1.173, 10.537, 9.601",0.9,30.0,3,80
32,9.572985,2.972345,0.494,0.426,0.1000,alpkdce1,"1.167, 10.494, 9.561",0.9,30.0,4,83
33,9.516285,2.857413,0.493,0.417,0.1000,alpkdce1,"1.158, 10.491, 9.558",0.9,30.0,5,86
34,9.469653,2.883597,0.497,0.429,0.1000,alpkdce1,"1.162, 10.565, 9.625",0.9,30.0,0,88
35,9.446607,2.869196,0.498,0.427,0.1000,alpkdce1,"1.170, 10.526, 9.590",0.9,30.0,1,91
36,9.353010,2.901789,0.502,0.434,0.1000,alpkdce1,"1.162, 10.423, 9.497",0.9,30.0,0,93
37,9.351835,2.792563,0.504,0.425,0.1000,alpkdce1,"1.159, 10.344, 9.425",0.9,30.0,1,96
38,9.292872,2.813148,0.504,0.433,0.1000,alpkdce1,"1.166, 10.393, 9.470",0.9,30.0,2,99
39,9.238411,2.922486,0.510,0.437,0.1000,alpkdce1,"1.160, 10.361, 9.441",0.9,30.0,0,101
40,9.261098,2.998795,0.508,0.439,0.1000,alpkdce1,"1.139, 10.359, 9.437",0.9,30.0,0,104
41,9.189742,2.822612,0.510,0.439,0.1000,alpkdce1,"1.142, 10.244, 9.334",0.9,30.0,1,106
42,9.147777,2.988445,0.514,0.417,0.1000,alpkdce1,"1.125, 10.010, 9.121",0.9,30.0,2,109
43,9.184873,2.837493,0.513,0.450,0.1000,alpkdce1,"1.138, 10.223, 9.314",0.9,30.0,0,112
44,9.132276,2.995847,0.515,0.440,0.1000,alpkdce1,"1.136, 10.118, 9.220",0.9,30.0,1,114
45,9.084299,3.191358,0.514,0.426,0.1000,alpkdce1,"1.129, 10.112, 9.214",0.9,30.0,2,117
46,9.080888,2.740126,0.519,0.435,0.1000,alpkdce1,"1.123, 9.999, 9.112",0.9,30.0,3,120
