_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.660639,1.724598,0.383,0.413,0.1000,NT,0,0
2,1.158772,1.153497,0.582,0.600,0.1000,NT,0,0
3,0.919921,0.992183,0.673,0.659,0.1000,NT,0,1
4,0.762925,0.748380,0.734,0.745,0.1000,NT,0,1
5,0.642991,0.649495,0.777,0.773,0.1000,NT,0,1
6,0.557307,0.653573,0.807,0.773,0.1000,NT,1,2
7,0.496869,0.610836,0.827,0.792,0.1000,NT,0,2
8,0.454274,0.550397,0.842,0.816,0.1000,NT,0,2
9,0.421518,0.510120,0.854,0.830,0.1000,NT,0,3
10,0.387139,0.522894,0.865,0.822,0.1000,NT,1,3
11,0.363841,0.583687,0.874,0.804,0.1000,NT,2,3
12,0.351587,0.571387,0.880,0.814,0.1000,NT,3,4
13,0.333901,0.548411,0.884,0.817,0.1000,NT,4,4
14,0.316872,0.416275,0.890,0.855,0.1000,NT,0,4
15,0.304061,0.580208,0.895,0.810,0.1000,NT,1,5
16,0.291616,0.471603,0.899,0.838,0.1000,NT,2,5
17,0.283287,0.594391,0.902,0.805,0.1000,NT,3,6
18,0.272526,0.383674,0.906,0.868,0.1000,NT,0,6
19,0.258593,0.427045,0.911,0.859,0.1000,NT,1,6
20,0.258288,0.445121,0.909,0.858,0.1000,NT,2,7
21,0.253295,0.438112,0.911,0.861,0.1000,NT,3,7
22,0.243914,0.415775,0.915,0.863,0.1000,NT,4,7
23,0.240541,0.446992,0.916,0.859,0.1000,NT,5,8
24,0.235187,0.407345,0.918,0.869,0.1000,NT,0,8
25,0.230826,0.471337,0.919,0.849,0.1000,NT,1,8
26,0.224953,0.419527,0.921,0.863,0.1000,NT,2,9
27,0.220568,0.464033,0.922,0.852,0.1000,NT,3,9
28,0.216004,0.418127,0.924,0.864,0.1000,NT,4,9
29,0.215203,0.404533,0.924,0.866,0.1000,NT,5,10
30,0.213805,0.392397,0.925,0.875,0.1000,NT,0,10
31,0.202171,0.420852,0.929,0.867,0.1000,NT,1,10
32,0.203470,0.422206,0.927,0.861,0.1000,NT,2,11
33,0.202069,0.430940,0.930,0.872,0.1000,NT,3,11
34,0.202346,0.638800,0.928,0.811,0.1000,NT,4,12
35,0.194088,0.360737,0.931,0.883,0.1000,NT,0,12
36,0.190384,0.401190,0.934,0.877,0.1000,NT,1,12
37,0.190864,0.376338,0.932,0.878,0.1000,NT,2,13
38,0.193256,0.583720,0.932,0.824,0.1000,NT,3,13
39,0.182753,0.410127,0.935,0.870,0.1000,NT,4,13
40,0.186100,0.312621,0.935,0.896,0.1000,NT,0,14
41,0.182710,0.399551,0.936,0.874,0.1000,NT,1,14
42,0.181283,0.448175,0.936,0.861,0.1000,NT,2,14
43,0.184213,0.375004,0.935,0.875,0.1000,NT,3,15
44,0.183149,0.376915,0.936,0.879,0.1000,NT,4,15
45,0.177876,0.471041,0.938,0.856,0.1000,NT,5,15
46,0.177676,0.354927,0.939,0.884,0.1000,NT,6,16
47,0.175136,0.405580,0.939,0.868,0.1000,NT,7,16
48,0.172739,0.429998,0.939,0.869,0.1000,NT,8,17
49,0.176972,0.660999,0.938,0.797,0.1000,NT,9,17
50,0.176778,0.396863,0.938,0.878,0.1000,NT,10,17
51,0.177133,0.319063,0.937,0.898,0.1000,NT,0,18
52,0.170464,0.387123,0.940,0.874,0.1000,NT,1,18
53,0.161054,0.499606,0.943,0.851,0.1000,NT,2,18
54,0.170838,0.377600,0.940,0.881,0.1000,NT,3,19
55,0.160981,0.350583,0.942,0.889,0.1000,NT,4,19
56,0.165761,0.491272,0.943,0.847,0.1000,NT,5,19
57,0.161760,0.409109,0.944,0.876,0.1000,NT,6,20
58,0.165698,0.406075,0.941,0.874,0.1000,NT,7,20
59,0.162871,0.333653,0.943,0.895,0.1000,NT,8,20
60,0.165116,0.355713,0.943,0.883,0.1000,NT,9,21
61,0.158158,0.446936,0.944,0.862,0.1000,NT,10,21
62,0.169353,0.403857,0.939,0.868,0.1000,NT,11,21
63,0.164895,0.400685,0.943,0.881,0.1000,NT,12,22
64,0.155731,0.407098,0.946,0.870,0.1000,NT,13,22
65,0.166977,0.444662,0.940,0.860,0.1000,NT,14,22
66,0.161211,0.374723,0.943,0.888,0.1000,NT,15,23
67,0.156525,0.397428,0.944,0.882,0.1000,NT,16,23
68,0.160106,0.350271,0.944,0.885,0.1000,NT,17,23
69,0.151079,0.435418,0.947,0.865,0.1000,NT,18,24
70,0.156293,0.373518,0.945,0.885,0.1000,NT,19,24
71,0.158200,0.457940,0.943,0.853,0.1000,NT,20,24
72,0.158036,0.376030,0.944,0.883,0.1000,NT,21,25
