_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,4.171103,4.168296,0.054,0.068,0.1000,alp,"3.981, 0.053, 4.008",0.5,1.0,0,2
2,3.803135,4.116702,0.090,0.088,0.1000,alp,"3.680, 0.073, 3.716",0.5,1.0,0,4
3,3.583857,3.906363,0.112,0.112,0.1000,alp,"3.482, 0.090, 3.527",0.5,1.0,0,6
4,3.399324,3.830349,0.133,0.120,0.1000,alp,"3.280, 0.107, 3.334",0.5,1.0,0,9
5,3.256109,3.739874,0.148,0.134,0.1000,alp,"3.165, 0.119, 3.224",0.5,1.0,0,11
6,3.126206,3.694090,0.163,0.141,0.1000,alp,"3.056, 0.127, 3.119",0.5,1.0,0,13
7,3.024396,3.582367,0.175,0.164,0.1000,alp,"2.949, 0.134, 3.016",0.5,1.0,0,16
8,2.937817,3.589252,0.187,0.160,0.1000,alp,"2.865, 0.141, 2.935",0.5,1.0,1,18
9,2.864836,3.574100,0.195,0.166,0.1000,alp,"2.808, 0.143, 2.880",0.5,1.0,0,20
10,2.799708,3.534559,0.205,0.172,0.1000,alp,"2.738, 0.146, 2.811",0.5,1.0,0,23
11,2.734137,3.466428,0.213,0.189,0.1000,alp,"2.680, 0.152, 2.756",0.5,1.0,0,25
12,2.678120,3.538798,0.219,0.179,0.1000,alp,"2.615, 0.157, 2.693",0.5,1.0,1,27
13,2.637724,3.534122,0.223,0.179,0.1000,alp,"2.578, 0.157, 2.657",0.5,1.0,2,30
14,2.591203,3.499301,0.231,0.182,0.1000,alp,"2.533, 0.160, 2.613",0.5,1.0,3,32
15,2.548323,3.545500,0.237,0.177,0.1000,alp,"2.496, 0.162, 2.577",0.5,1.0,4,34
16,2.505638,3.444126,0.244,0.193,0.1000,alp,"2.478, 0.165, 2.560",0.5,1.0,0,37
17,2.472842,3.570277,0.247,0.180,0.1000,alp,"2.420, 0.168, 2.504",0.5,1.0,1,39
18,2.440941,3.465362,0.251,0.196,0.1000,alp,"2.398, 0.175, 2.486",0.5,1.0,0,41
19,2.406618,3.496494,0.256,0.188,0.1000,alp,"2.357, 0.171, 2.442",0.5,1.0,1,44
20,2.375693,3.600024,0.258,0.180,0.1000,alp,"2.327, 0.176, 2.415",0.5,1.0,2,46
21,2.339815,3.489685,0.267,0.197,0.1000,alp,"2.289, 0.177, 2.377",0.5,1.0,0,48
22,2.315374,3.579561,0.266,0.182,0.1000,alp,"2.268, 0.178, 2.357",0.5,1.0,1,51
23,2.290561,3.626756,0.273,0.184,0.1000,alp,"2.232, 0.181, 2.323",0.5,1.0,2,53
24,2.265671,3.615293,0.278,0.183,0.1000,alp,"2.220, 0.184, 2.312",0.5,1.0,3,55
25,2.230367,3.548952,0.282,0.197,0.1000,alp,"2.198, 0.185, 2.291",0.5,1.0,0,57
26,2.209368,3.523116,0.286,0.191,0.1000,alp,"2.177, 0.188, 2.271",0.5,1.0,1,60
27,2.185054,3.522402,0.289,0.200,0.1000,alp,"2.142, 0.190, 2.237",0.5,1.0,0,62
28,2.156611,3.590551,0.293,0.191,0.1000,alp,"2.105, 0.193, 2.202",0.5,1.0,1,64
29,2.136600,3.652236,0.295,0.182,0.1000,alp,"2.089, 0.196, 2.187",0.5,1.0,2,67
30,2.114062,3.534839,0.299,0.202,0.1000,alp,"2.066, 0.196, 2.164",0.5,1.0,0,69
31,2.090830,3.757733,0.303,0.186,0.1000,alp,"2.058, 0.198, 2.158",0.5,1.0,1,71
32,2.074193,3.650841,0.305,0.194,0.1000,alp,"2.039, 0.199, 2.138",0.5,1.0,2,74
33,2.043791,3.672381,0.311,0.183,0.1000,alp,"2.031, 0.202, 2.132",0.5,1.0,3,76
34,2.033163,3.620483,0.312,0.196,0.1000,alp,"1.994, 0.204, 2.096",0.5,1.0,4,78
35,2.007637,3.647738,0.315,0.195,0.1000,alp,"1.976, 0.205, 2.079",0.5,1.0,5,81
36,1.993109,3.707981,0.318,0.190,0.1000,alp,"1.936, 0.211, 2.042",0.5,1.0,6,83
37,1.977391,3.621301,0.323,0.193,0.1000,alp,"1.928, 0.209, 2.032",0.5,1.0,7,85
38,1.954034,3.707460,0.322,0.190,0.1000,alp,"1.926, 0.212, 2.032",0.5,1.0,8,88
39,1.934785,3.695921,0.329,0.197,0.1000,alp,"1.894, 0.213, 2.001",0.5,1.0,9,90
40,1.911884,3.852040,0.333,0.189,0.1000,alp,"1.893, 0.212, 1.999",0.5,1.0,10,92
41,1.908683,3.769911,0.332,0.192,0.1000,alp,"1.874, 0.213, 1.980",0.5,1.0,11,94
42,1.886611,3.690514,0.336,0.197,0.1000,alp,"1.846, 0.216, 1.954",0.5,1.0,12,97
43,1.863207,3.712489,0.341,0.193,0.1000,alp,"1.820, 0.220, 1.930",0.5,1.0,13,99
44,1.860602,3.756560,0.339,0.196,0.1000,alp,"1.800, 0.221, 1.910",0.5,1.0,14,101
45,1.834386,3.670173,0.344,0.198,0.1000,alp,"1.812, 0.221, 1.922",0.5,1.0,15,104
46,1.820967,3.797895,0.349,0.190,0.1000,alp,"1.785, 0.226, 1.898",0.5,1.0,16,106
47,1.815713,3.815411,0.347,0.193,0.1000,alp,"1.783, 0.227, 1.896",0.5,1.0,17,108
48,1.794404,3.981681,0.351,0.181,0.1000,alp,"1.757, 0.226, 1.870",0.5,1.0,18,111
49,1.784809,4.013906,0.352,0.179,0.1000,alp,"1.750, 0.228, 1.864",0.5,1.0,19,113
50,1.770059,3.833577,0.355,0.190,0.1000,alp,"1.740, 0.232, 1.855",0.5,1.0,20,115
