_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.070019,4.172953,0.057,0.067,0.1000,alpkdce1,"3.927, 0.034, 1.981",0.5,1.0,0,2
2,1.892027,3.961679,0.092,0.092,0.1000,alpkdce1,"3.667, 0.048, 1.858",0.5,1.0,0,4
3,1.790120,3.875193,0.116,0.108,0.1000,alpkdce1,"3.462, 0.062, 1.762",0.5,1.0,0,7
4,1.713665,3.825402,0.136,0.124,0.1000,alpkdce1,"3.311, 0.077, 1.694",0.5,1.0,0,9
5,1.651437,3.636334,0.154,0.145,0.1000,alpkdce1,"3.179, 0.087, 1.633",0.5,1.0,0,12
6,1.597952,3.680190,0.167,0.142,0.1000,alpkdce1,"3.091, 0.098, 1.595",0.5,1.0,1,14
7,1.553215,3.586299,0.180,0.162,0.1000,alpkdce1,"2.973, 0.109, 1.541",0.5,1.0,0,17
8,1.521158,3.552867,0.188,0.163,0.1000,alpkdce1,"2.925, 0.114, 1.519",0.5,1.0,0,19
9,1.488055,3.521292,0.198,0.170,0.1000,alpkdce1,"2.859, 0.124, 1.492",0.5,1.0,0,22
10,1.459721,3.470011,0.205,0.180,0.1000,alpkdce1,"2.805, 0.129, 1.467",0.5,1.0,0,24
11,1.436405,3.453323,0.213,0.185,0.1000,alpkdce1,"2.767, 0.133, 1.450",0.5,1.0,0,27
12,1.410499,3.434028,0.224,0.190,0.1000,alpkdce1,"2.713, 0.140, 1.427",0.5,1.0,0,29
13,1.392097,3.492410,0.229,0.178,0.1000,alpkdce1,"2.637, 0.146, 1.392",0.5,1.0,1,31
14,1.372751,3.439177,0.234,0.180,0.1000,alpkdce1,"2.619, 0.150, 1.385",0.5,1.0,2,34
15,1.356587,3.398324,0.238,0.188,0.1000,alpkdce1,"2.594, 0.151, 1.373",0.5,1.0,3,36
16,1.340466,3.377148,0.245,0.196,0.1000,alpkdce1,"2.544, 0.157, 1.351",0.5,1.0,0,39
17,1.326375,3.367724,0.251,0.194,0.1000,alpkdce1,"2.510, 0.158, 1.334",0.5,1.0,1,41
18,1.311041,3.362142,0.256,0.194,0.1000,alpkdce1,"2.459, 0.162, 1.311",0.5,1.0,2,44
19,1.295783,3.399408,0.261,0.197,0.1000,alpkdce1,"2.445, 0.166, 1.306",0.5,1.0,0,46
20,1.283692,3.315590,0.265,0.211,0.1000,alpkdce1,"2.422, 0.173, 1.298",0.5,1.0,0,49
21,1.271494,3.326987,0.271,0.204,0.1000,alpkdce1,"2.409, 0.174, 1.291",0.5,1.0,1,51
22,1.261112,3.401727,0.269,0.194,0.1000,alpkdce1,"2.370, 0.177, 1.274",0.5,1.0,2,54
23,1.247017,3.345532,0.275,0.202,0.1000,alpkdce1,"2.351, 0.176, 1.263",0.5,1.0,3,56
24,1.240471,3.328322,0.278,0.206,0.1000,alpkdce1,"2.336, 0.180, 1.258",0.5,1.0,4,59
25,1.229377,3.298008,0.284,0.209,0.1000,alpkdce1,"2.326, 0.181, 1.253",0.5,1.0,5,61
26,1.218726,3.346788,0.286,0.205,0.1000,alpkdce1,"2.272, 0.186, 1.229",0.5,1.0,6,63
27,1.209660,3.379603,0.291,0.204,0.1000,alpkdce1,"2.275, 0.187, 1.231",0.5,1.0,7,66
