_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,4.272375,4.157525,0.054,0.066,0.1000,AT,0,2
2,4.028062,3.989725,0.086,0.087,0.1000,AT,0,4
3,3.871599,3.896325,0.110,0.110,0.1000,AT,0,6
4,3.760822,3.817392,0.129,0.120,0.1000,AT,0,8
5,3.653390,3.794913,0.148,0.129,0.1000,AT,0,11
6,3.557369,3.694427,0.164,0.142,0.1000,AT,0,13
7,3.489226,3.590250,0.175,0.160,0.1000,AT,0,15
8,3.411042,3.583828,0.188,0.157,0.1000,AT,1,17
9,3.350457,3.540771,0.198,0.172,0.1000,AT,0,20
10,3.297138,3.499889,0.205,0.172,0.1000,AT,0,22
11,3.244546,3.547636,0.216,0.170,0.1000,AT,1,24
12,3.197409,3.449183,0.223,0.184,0.1000,AT,0,26
13,3.158858,3.495287,0.231,0.180,0.1000,AT,1,29
14,3.125288,3.419263,0.235,0.184,0.1000,AT,0,31
15,3.086688,3.497393,0.239,0.183,0.1000,AT,1,33
16,3.056867,3.367851,0.246,0.202,0.1000,AT,0,35
17,3.024803,3.418088,0.251,0.192,0.1000,AT,1,38
18,2.998073,3.311361,0.254,0.207,0.1000,AT,0,40
19,2.973143,3.420472,0.260,0.192,0.1000,AT,1,42
20,2.943461,3.376779,0.267,0.199,0.1000,AT,2,44
21,2.923916,3.386334,0.269,0.196,0.1000,AT,3,47
22,2.894959,3.314827,0.275,0.208,0.1000,AT,0,49
23,2.868077,3.504954,0.278,0.183,0.1000,AT,1,51
24,2.851172,3.392454,0.281,0.194,0.1000,AT,2,54
25,2.828883,3.429295,0.287,0.197,0.1000,AT,3,56
26,2.803897,3.522706,0.289,0.188,0.1000,AT,4,58
27,2.783459,3.316189,0.292,0.211,0.1000,AT,0,60
28,2.770184,3.348170,0.295,0.202,0.1000,AT,1,63
29,2.742476,3.379423,0.299,0.213,0.1000,AT,0,65
30,2.721510,3.367723,0.303,0.207,0.1000,AT,1,67
31,2.705618,3.414513,0.308,0.199,0.1000,AT,2,69
32,2.685732,3.419775,0.309,0.204,0.1000,AT,3,72
33,2.666067,3.395302,0.313,0.210,0.1000,AT,4,74
34,2.653850,3.395817,0.314,0.203,0.1000,AT,5,76
35,2.636525,3.357333,0.319,0.211,0.1000,AT,6,78
36,2.613917,3.350798,0.324,0.210,0.1000,AT,7,81
37,2.594353,3.594047,0.326,0.189,0.1000,AT,8,83
38,2.583757,3.362832,0.329,0.215,0.1000,AT,0,85
39,2.573396,3.397237,0.329,0.208,0.1000,AT,1,87
40,2.551377,3.359218,0.335,0.211,0.1000,AT,2,90
41,2.544340,3.422817,0.333,0.206,0.1000,AT,3,92
42,2.531181,3.413808,0.338,0.208,0.1000,AT,4,94
43,2.507814,3.428453,0.340,0.214,0.1000,AT,5,97
44,2.496728,3.449367,0.341,0.207,0.1000,AT,6,99
45,2.480841,3.420493,0.346,0.213,0.1000,AT,7,101
46,2.472024,3.504666,0.346,0.200,0.1000,AT,8,103
47,2.456224,3.586866,0.350,0.196,0.1000,AT,9,106
48,2.447789,3.466357,0.351,0.204,0.1000,AT,10,108
49,2.435196,3.518242,0.352,0.200,0.1000,AT,11,110
50,2.415097,3.510906,0.357,0.198,0.1000,AT,12,112
51,2.408607,3.636651,0.357,0.184,0.1000,AT,13,114
52,2.399733,3.534014,0.360,0.196,0.1000,AT,14,117
53,2.394172,3.564753,0.358,0.197,0.1000,AT,15,119
54,2.379822,3.578375,0.365,0.200,0.1000,AT,16,121
55,2.363442,3.623035,0.368,0.189,0.1000,AT,17,124
56,2.359238,3.518695,0.366,0.207,0.1000,AT,18,126
57,2.337852,3.562034,0.369,0.202,0.1000,AT,19,128
58,2.335616,3.625754,0.371,0.195,0.1000,AT,20,130
59,2.324187,3.648004,0.372,0.191,0.1000,AT,21,133
60,2.319801,3.610377,0.372,0.199,0.1000,AT,22,135
61,2.308272,3.554051,0.377,0.201,0.1000,AT,23,137
62,2.293710,3.567195,0.379,0.201,0.1000,AT,24,140
63,2.286289,3.601000,0.383,0.196,0.1000,AT,25,142
64,2.273010,3.601426,0.381,0.197,0.1000,AT,26,144
65,2.277157,3.671656,0.385,0.200,0.1000,AT,27,146
66,2.260503,3.695002,0.386,0.198,0.1000,AT,28,149
67,2.248813,3.660219,0.387,0.202,0.1000,AT,29,151
68,2.241504,3.685898,0.386,0.203,0.1000,AT,30,153
69,2.228374,3.843548,0.391,0.179,0.1000,AT,31,155
70,2.231097,3.753950,0.393,0.196,0.1000,AT,32,158
71,2.218752,3.713936,0.393,0.199,0.1000,AT,33,160
72,2.219972,3.734972,0.393,0.193,0.1000,AT,34,162
73,2.208783,3.743582,0.395,0.199,0.1000,AT,35,164
74,2.192934,3.764865,0.398,0.193,0.1000,AT,36,167
75,2.190660,3.745215,0.399,0.196,0.1000,AT,37,169
76,2.188608,3.651817,0.399,0.202,0.1000,AT,38,171
77,2.182628,3.726396,0.399,0.200,0.1000,AT,39,174
78,2.175173,3.801238,0.402,0.194,0.1000,AT,40,176
79,2.164953,3.759609,0.402,0.189,0.1000,AT,41,178
80,2.162693,3.699448,0.403,0.200,0.1000,AT,42,180
81,2.150526,3.812870,0.407,0.187,0.1000,AT,43,183
82,2.143282,3.740681,0.409,0.191,0.1000,AT,44,185
83,2.152745,3.761024,0.405,0.198,0.1000,AT,45,187
84,2.133563,3.878989,0.408,0.189,0.1000,AT,46,189
85,2.128858,3.826316,0.407,0.189,0.1000,AT,47,192
86,2.128491,3.849217,0.410,0.187,0.1000,AT,48,194
87,2.115045,3.903804,0.412,0.177,0.1000,AT,49,196
88,2.117045,3.905322,0.411,0.187,0.1000,AT,50,198
89,2.113455,3.958229,0.411,0.185,0.1000,AT,51,201
90,2.096198,3.839666,0.418,0.194,0.1000,AT,52,203
91,2.100242,3.833056,0.416,0.198,0.1000,AT,53,205
