_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,3.945148,3.710856,0.091,0.121,0.1000,NT,0,0
2,3.307576,3.227587,0.187,0.196,0.1000,NT,0,0
3,2.714498,3.273910,0.297,0.227,0.1000,NT,0,1
4,2.268318,2.378426,0.391,0.381,0.1000,NT,0,1
5,1.964254,2.178127,0.459,0.425,0.1000,NT,0,1
6,1.740674,1.883714,0.513,0.490,0.1000,NT,0,2
7,1.585708,1.919073,0.552,0.483,0.1000,NT,1,2
8,1.460385,1.979185,0.580,0.488,0.1000,NT,2,3
9,1.344916,1.647073,0.611,0.547,0.1000,NT,0,3
10,1.264393,1.620176,0.633,0.557,0.1000,NT,0,3
11,1.189664,1.636576,0.652,0.559,0.1000,NT,0,4
12,1.133224,1.594548,0.665,0.559,0.1000,NT,1,4
13,1.062176,1.508109,0.684,0.588,0.1000,NT,0,5
14,1.033211,1.533269,0.691,0.579,0.1000,NT,1,5
15,0.979990,1.505324,0.706,0.588,0.1000,NT,2,5
16,0.945144,1.641984,0.714,0.558,0.1000,NT,3,6
17,0.904223,1.588033,0.727,0.582,0.1000,NT,4,6
18,0.868839,1.587008,0.733,0.576,0.1000,NT,5,6
19,0.842423,1.457464,0.741,0.605,0.1000,NT,0,7
20,0.814440,1.545438,0.749,0.600,0.1000,NT,1,7
21,0.800324,1.434183,0.754,0.611,0.1000,NT,0,8
22,0.774104,1.547124,0.762,0.595,0.1000,NT,1,8
23,0.747192,1.490117,0.766,0.601,0.1000,NT,2,8
24,0.725643,1.636173,0.774,0.574,0.1000,NT,3,9
25,0.711515,1.575083,0.779,0.595,0.1000,NT,4,9
26,0.694930,1.475495,0.784,0.612,0.1000,NT,0,9
27,0.674351,1.520681,0.789,0.613,0.1000,NT,0,10
28,0.666057,1.667329,0.791,0.585,0.1000,NT,1,10
29,0.656833,1.492992,0.795,0.618,0.1000,NT,0,11
30,0.643916,1.624473,0.799,0.599,0.1000,NT,1,11
31,0.622688,1.539933,0.805,0.605,0.1000,NT,2,11
32,0.611671,1.545823,0.807,0.615,0.1000,NT,3,12
33,0.604160,1.563220,0.811,0.615,0.1000,NT,4,12
34,0.600775,1.485585,0.811,0.611,0.1000,NT,5,13
35,0.599728,1.596131,0.811,0.600,0.1000,NT,6,13
36,0.580644,1.569446,0.815,0.599,0.1000,NT,7,13
37,0.569916,1.615727,0.821,0.597,0.1000,NT,8,14
38,0.560570,1.515070,0.823,0.611,0.1000,NT,9,14
39,0.562941,1.640582,0.822,0.610,0.1000,NT,10,14
40,0.545532,1.578082,0.829,0.603,0.1000,NT,11,15
41,0.543450,1.430989,0.828,0.638,0.1000,NT,0,15
42,0.547645,1.643651,0.825,0.604,0.1000,NT,1,16
43,0.543692,1.594464,0.828,0.613,0.1000,NT,2,16
44,0.536871,1.635174,0.832,0.608,0.1000,NT,3,16
45,0.523368,1.599845,0.836,0.619,0.1000,NT,4,17
46,0.523605,1.792987,0.833,0.589,0.1000,NT,5,17
47,0.527523,1.530344,0.833,0.629,0.1000,NT,6,17
48,0.501096,1.527612,0.844,0.625,0.1000,NT,7,18
49,0.514320,1.695600,0.837,0.602,0.1000,NT,8,18
50,0.516545,1.627386,0.835,0.611,0.1000,NT,9,19
51,0.510820,1.502289,0.839,0.631,0.1000,NT,10,19
52,0.508241,1.605641,0.840,0.610,0.1000,NT,11,19
53,0.493237,1.676459,0.841,0.611,0.1000,NT,12,20
54,0.506044,1.487661,0.838,0.636,0.1000,NT,13,20
55,0.488505,1.671232,0.846,0.607,0.1000,NT,14,20
56,0.502924,1.582620,0.841,0.630,0.1000,NT,15,20
57,0.488458,1.623945,0.844,0.615,0.1000,NT,16,21
58,0.488534,1.574607,0.846,0.618,0.1000,NT,17,21
59,0.486798,1.619801,0.846,0.613,0.1000,NT,18,21
60,0.489280,1.781030,0.845,0.578,0.1000,NT,19,22
61,0.471238,1.667441,0.848,0.621,0.1000,NT,20,22
62,0.487059,1.680016,0.845,0.618,0.1000,NT,21,22
63,0.483465,1.563879,0.846,0.630,0.1000,NT,22,23
64,0.474791,1.679698,0.849,0.602,0.1000,NT,23,23
65,0.476899,1.618445,0.850,0.627,0.1000,NT,24,23
66,0.474584,1.935200,0.850,0.563,0.1000,NT,25,24
67,0.471688,1.608953,0.852,0.617,0.1000,NT,26,24
68,0.461361,1.617245,0.855,0.626,0.1000,NT,27,24
69,0.473511,1.725705,0.849,0.594,0.1000,NT,28,25
70,0.469320,1.723015,0.852,0.604,0.1000,NT,29,25
71,0.463140,1.624997,0.854,0.615,0.1000,NT,30,25
72,0.475468,1.580609,0.850,0.632,0.1000,NT,31,26
73,0.462886,1.617925,0.852,0.616,0.1000,NT,32,26
74,0.471384,1.842109,0.851,0.593,0.1000,NT,33,26
75,0.457024,1.624368,0.854,0.616,0.1000,NT,34,27
76,0.453261,1.666015,0.855,0.618,0.1000,NT,35,27
77,0.460440,1.649046,0.854,0.621,0.1000,NT,36,27
78,0.468930,1.641177,0.852,0.624,0.1000,NT,37,28
79,0.449586,1.472266,0.858,0.635,0.1000,NT,38,28
80,0.460576,1.646202,0.855,0.622,0.1000,NT,39,28
81,0.449572,1.609764,0.860,0.624,0.1000,NT,40,29
82,0.448764,1.610385,0.859,0.627,0.1000,NT,41,29
83,0.454913,1.742303,0.858,0.612,0.1000,NT,42,29
84,0.461596,1.555668,0.853,0.633,0.1000,NT,43,30
85,0.458036,1.961382,0.856,0.591,0.1000,NT,44,30
86,0.463410,1.911386,0.854,0.588,0.1000,NT,45,30
87,0.446365,1.673684,0.858,0.610,0.1000,NT,46,31
88,0.442702,1.614171,0.861,0.620,0.1000,NT,47,31
89,0.439431,1.710133,0.863,0.598,0.1000,NT,48,32
90,0.454409,1.684555,0.858,0.621,0.1000,NT,49,32
91,0.444668,1.645116,0.858,0.631,0.1000,NT,50,32
92,0.446381,1.754381,0.858,0.614,0.1000,NT,51,33
93,0.443060,1.646321,0.861,0.618,0.1000,NT,52,33
94,0.438691,1.752434,0.862,0.614,0.1000,NT,53,33
95,0.441111,1.618682,0.862,0.615,0.1000,NT,54,34
96,0.431938,1.791189,0.865,0.604,0.1000,NT,55,34
97,0.420152,1.822232,0.867,0.604,0.1000,NT,56,34
98,0.434153,1.791012,0.863,0.598,0.1000,NT,57,35
99,0.443352,1.795213,0.861,0.601,0.1000,NT,58,35
100,0.448008,1.705786,0.860,0.615,0.1000,NT,59,35
101,0.168140,1.137814,0.950,0.725,0.0100,NT,0,36
102,0.085464,1.136990,0.976,0.737,0.0100,NT,0,36
103,0.060762,1.162181,0.984,0.735,0.0100,NT,1,36
104,0.048614,1.154481,0.987,0.746,0.0100,NT,0,37
105,0.040232,1.187219,0.990,0.746,0.0100,NT,0,37
106,0.034588,1.194123,0.992,0.739,0.0100,NT,1,38
107,0.030213,1.186589,0.993,0.741,0.0100,NT,2,38
108,0.027586,1.221677,0.994,0.741,0.0100,NT,3,38
109,0.025013,1.233140,0.995,0.746,0.0100,NT,0,39
110,0.022846,1.198997,0.995,0.747,0.0100,NT,0,39
111,0.020163,1.217342,0.996,0.748,0.0100,NT,0,39
112,0.018816,1.205342,0.996,0.745,0.0100,NT,1,40
113,0.019023,1.196982,0.996,0.750,0.0100,NT,0,40
114,0.016828,1.207604,0.997,0.745,0.0100,NT,1,40
115,0.015861,1.214908,0.997,0.743,0.0100,NT,2,41
116,0.015041,1.216673,0.997,0.749,0.0100,NT,3,41
117,0.014524,1.201296,0.997,0.743,0.0100,NT,4,42
118,0.013112,1.202397,0.998,0.745,0.0100,NT,5,42
119,0.012975,1.214118,0.997,0.749,0.0100,NT,6,42
120,0.013501,1.210948,0.997,0.746,0.0100,NT,7,43
121,0.012662,1.207389,0.998,0.748,0.0100,NT,8,43
122,0.012337,1.224673,0.998,0.751,0.0100,NT,0,43
123,0.011319,1.193079,0.998,0.748,0.0100,NT,1,44
124,0.011013,1.210884,0.998,0.748,0.0100,NT,2,44
125,0.010752,1.190314,0.998,0.750,0.0100,NT,3,45
126,0.010234,1.180705,0.998,0.750,0.0100,NT,4,45
127,0.010374,1.188713,0.998,0.754,0.0100,NT,0,45
128,0.010067,1.179712,0.998,0.749,0.0100,NT,1,46
