_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,4.202087,4.245079,0.051,0.057,0.1000,alp,"4.014, 0.053, 4.040",0.5,1.0,0,12
2,3.856558,4.054028,0.083,0.086,0.1000,alp,"3.735, 0.073, 3.772",0.5,1.0,0,24
3,3.618668,3.955639,0.107,0.095,0.1000,alp,"3.522, 0.087, 3.566",0.5,1.0,0,36
4,3.421925,3.830587,0.129,0.116,0.1000,alp,"3.315, 0.105, 3.368",0.5,1.0,0,48
5,3.249537,3.703556,0.151,0.140,0.1000,alp,"3.146, 0.116, 3.204",0.5,1.0,0,60
6,3.111607,3.779227,0.166,0.134,0.1000,alp,"3.021, 0.128, 3.085",0.5,1.0,1,72
7,3.002846,3.570744,0.178,0.161,0.1000,alp,"2.931, 0.135, 2.999",0.5,1.0,0,85
8,2.905133,3.584507,0.192,0.161,0.1000,alp,"2.837, 0.138, 2.906",0.5,1.0,1,97
9,2.827833,3.533905,0.199,0.173,0.1000,alp,"2.747, 0.148, 2.821",0.5,1.0,0,109
10,2.761084,3.463988,0.207,0.180,0.1000,alp,"2.698, 0.150, 2.773",0.5,1.0,0,121
11,2.687327,3.483854,0.219,0.184,0.1000,alp,"2.627, 0.153, 2.703",0.5,1.0,0,133
12,2.629246,3.429038,0.226,0.187,0.1000,alp,"2.558, 0.155, 2.636",0.5,1.0,0,145
13,2.573316,3.440287,0.235,0.187,0.1000,alp,"2.512, 0.161, 2.592",0.5,1.0,1,157
14,2.519785,3.333109,0.241,0.212,0.1000,alp,"2.452, 0.161, 2.533",0.5,1.0,0,169
15,2.462724,3.360337,0.250,0.209,0.1000,alp,"2.381, 0.167, 2.465",0.5,1.0,1,181
16,2.408872,3.554221,0.259,0.186,0.1000,alp,"2.355, 0.167, 2.438",0.5,1.0,2,194
17,2.353069,3.421162,0.266,0.202,0.1000,alp,"2.299, 0.174, 2.386",0.5,1.0,3,206
18,2.305719,3.401129,0.275,0.202,0.1000,alp,"2.268, 0.173, 2.355",0.5,1.0,4,218
19,2.263507,3.418363,0.280,0.200,0.1000,alp,"2.210, 0.175, 2.297",0.5,1.0,5,230
20,2.213999,3.392532,0.288,0.205,0.1000,alp,"2.173, 0.177, 2.262",0.5,1.0,6,242
21,2.163060,3.404829,0.295,0.207,0.1000,alp,"2.114, 0.181, 2.205",0.5,1.0,7,254
22,2.121227,3.503019,0.303,0.204,0.1000,alp,"2.074, 0.185, 2.166",0.5,1.0,8,266
23,2.071043,3.439137,0.310,0.209,0.1000,alp,"2.060, 0.184, 2.152",0.5,1.0,9,278
24,2.027971,3.487218,0.315,0.204,0.1000,alp,"1.987, 0.189, 2.081",0.5,1.0,10,290
25,1.980290,3.480551,0.325,0.204,0.1000,alp,"1.931, 0.188, 2.025",0.5,1.0,11,302
26,1.945058,3.481697,0.331,0.213,0.1000,alp,"1.919, 0.192, 2.016",0.5,1.0,0,314
