_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.088298,4.187730,0.052,0.067,0.1000,alpkdce1,"3.972, 0.034, 2.003",0.5,1.0,0,14
2,1.901626,4.048943,0.090,0.079,0.1000,alpkdce1,"3.671, 0.050, 1.861",0.5,1.0,0,29
3,1.787734,3.886994,0.116,0.112,0.1000,alpkdce1,"3.454, 0.066, 1.760",0.5,1.0,0,44
4,1.698470,3.942950,0.140,0.111,0.1000,alpkdce1,"3.273, 0.081, 1.677",0.5,1.0,1,58
5,1.630575,3.720154,0.157,0.134,0.1000,alpkdce1,"3.149, 0.093, 1.621",0.5,1.0,0,73
6,1.575187,3.613859,0.174,0.153,0.1000,alpkdce1,"3.037, 0.107, 1.572",0.5,1.0,0,88
7,1.530905,3.568382,0.187,0.151,0.1000,alpkdce1,"2.931, 0.116, 1.524",0.5,1.0,1,103
8,1.494498,3.504613,0.197,0.176,0.1000,alpkdce1,"2.876, 0.124, 1.500",0.5,1.0,0,117
9,1.465277,3.463656,0.207,0.179,0.1000,alpkdce1,"2.798, 0.129, 1.463",0.5,1.0,0,132
10,1.435131,3.440297,0.216,0.187,0.1000,alpkdce1,"2.746, 0.135, 1.441",0.5,1.0,0,147
11,1.409019,3.353247,0.224,0.194,0.1000,alpkdce1,"2.675, 0.142, 1.408",0.5,1.0,0,162
12,1.385427,3.357123,0.232,0.194,0.1000,alpkdce1,"2.631, 0.150, 1.391",0.5,1.0,0,176
13,1.364870,3.386290,0.241,0.198,0.1000,alpkdce1,"2.578, 0.155, 1.367",0.5,1.0,0,191
14,1.343715,3.390453,0.247,0.198,0.1000,alpkdce1,"2.537, 0.156, 1.347",0.5,1.0,1,206
15,1.325681,3.282962,0.255,0.205,0.1000,alpkdce1,"2.515, 0.159, 1.337",0.5,1.0,0,221
16,1.304448,3.280631,0.261,0.215,0.1000,alpkdce1,"2.464, 0.164, 1.314",0.5,1.0,0,235
17,1.285658,3.299989,0.266,0.202,0.1000,alpkdce1,"2.436, 0.168, 1.302",0.5,1.0,1,250
18,1.266722,3.231661,0.274,0.213,0.1000,alpkdce1,"2.375, 0.175, 1.275",0.5,1.0,2,265
19,1.247439,3.261558,0.282,0.212,0.1000,alpkdce1,"2.330, 0.178, 1.254",0.5,1.0,3,280
20,1.230800,3.208788,0.289,0.227,0.1000,alpkdce1,"2.303, 0.183, 1.243",0.5,1.0,0,294
21,1.207630,3.213861,0.297,0.227,0.1000,alpkdce1,"2.265, 0.187, 1.226",0.5,1.0,0,309
22,1.190677,3.174858,0.302,0.230,0.1000,alpkdce1,"2.228, 0.190, 1.209",0.5,1.0,0,324
23,1.172974,3.241098,0.311,0.225,0.1000,alpkdce1,"2.189, 0.195, 1.192",0.5,1.0,1,338
24,1.155126,3.186040,0.317,0.225,0.1000,alpkdce1,"2.156, 0.203, 1.179",0.5,1.0,2,353
25,1.138167,3.189519,0.324,0.238,0.1000,alpkdce1,"2.141, 0.201, 1.171",0.5,1.0,0,368
26,1.120412,3.185456,0.331,0.232,0.1000,alpkdce1,"2.064, 0.209, 1.137",0.5,1.0,1,383
27,1.101709,3.279785,0.339,0.224,0.1000,alpkdce1,"2.045, 0.209, 1.127",0.5,1.0,2,397
28,1.088438,3.222708,0.344,0.229,0.1000,alpkdce1,"2.004, 0.211, 1.108",0.5,1.0,3,412
29,1.070204,3.253270,0.349,0.226,0.1000,alpkdce1,"1.970, 0.222, 1.096",0.5,1.0,4,427
30,1.055739,3.296325,0.356,0.231,0.1000,alpkdce1,"1.952, 0.222, 1.087",0.5,1.0,5,441
31,1.039119,3.289083,0.367,0.222,0.1000,alpkdce1,"1.918, 0.228, 1.073",0.5,1.0,6,456
32,1.022540,3.239878,0.372,0.234,0.1000,alpkdce1,"1.883, 0.231, 1.057",0.5,1.0,7,471
33,1.007152,3.267544,0.380,0.232,0.1000,alpkdce1,"1.845, 0.237, 1.041",0.5,1.0,8,485
34,0.992468,3.409094,0.387,0.223,0.1000,alpkdce1,"1.798, 0.239, 1.019",0.5,1.0,9,500
