_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,4.312719,4.197150,0.048,0.062,0.1000,AT,0,13
2,4.061302,4.032790,0.082,0.088,0.1000,AT,0,27
3,3.904174,3.919804,0.106,0.107,0.1000,AT,0,41
4,3.773903,3.803297,0.129,0.125,0.1000,AT,0,55
5,3.651256,3.735341,0.145,0.136,0.1000,AT,0,69
6,3.551281,3.591714,0.164,0.159,0.1000,AT,0,83
7,3.457675,3.608824,0.177,0.155,0.1000,AT,1,97
8,3.383570,3.664637,0.192,0.154,0.1000,AT,2,110
9,3.317048,3.670509,0.203,0.142,0.1000,AT,3,124
10,3.256611,3.428280,0.211,0.190,0.1000,AT,0,138
11,3.201554,3.419153,0.223,0.192,0.1000,AT,0,152
12,3.149270,3.455509,0.231,0.181,0.1000,AT,1,166
13,3.099433,3.469325,0.238,0.172,0.1000,AT,2,180
14,3.058636,3.318795,0.247,0.207,0.1000,AT,0,193
15,3.012121,3.394803,0.254,0.197,0.1000,AT,1,207
16,2.967625,3.263772,0.264,0.214,0.1000,AT,0,221
17,2.926960,3.307582,0.272,0.222,0.1000,AT,0,235
18,2.879761,3.311704,0.278,0.215,0.1000,AT,1,249
19,2.844990,3.256131,0.288,0.219,0.1000,AT,2,263
20,2.804145,3.245254,0.294,0.218,0.1000,AT,3,276
21,2.761928,3.268120,0.300,0.227,0.1000,AT,0,290
22,2.726737,3.274397,0.306,0.214,0.1000,AT,1,304
23,2.685023,3.228169,0.313,0.231,0.1000,AT,0,318
24,2.654190,3.302278,0.320,0.214,0.1000,AT,1,332
25,2.617703,3.200458,0.324,0.236,0.1000,AT,0,346
26,2.577984,3.237648,0.331,0.231,0.1000,AT,1,359
27,2.544034,3.213985,0.340,0.239,0.1000,AT,0,373
28,2.510433,3.210456,0.345,0.237,0.1000,AT,1,387
29,2.475959,3.279839,0.352,0.231,0.1000,AT,2,401
30,2.443763,3.273142,0.355,0.224,0.1000,AT,3,415
31,2.413407,3.285830,0.362,0.225,0.1000,AT,4,428
32,2.380569,3.315118,0.368,0.228,0.1000,AT,5,442
33,2.336951,3.342084,0.375,0.229,0.1000,AT,6,456
34,2.308532,3.292073,0.381,0.226,0.1000,AT,7,470
35,2.277686,3.331936,0.388,0.228,0.1000,AT,8,484
36,2.241187,3.323154,0.396,0.224,0.1000,AT,9,497
37,2.207840,3.421502,0.399,0.222,0.1000,AT,10,511
38,2.185946,3.376149,0.406,0.230,0.1000,AT,11,525
39,2.148969,3.384949,0.413,0.227,0.1000,AT,12,539
40,2.130674,3.418524,0.417,0.221,0.1000,AT,13,553
41,2.087254,3.410876,0.424,0.228,0.1000,AT,14,566
42,2.064358,3.539129,0.427,0.211,0.1000,AT,15,580
43,2.035992,3.497352,0.434,0.217,0.1000,AT,16,594
44,1.996965,3.530752,0.442,0.217,0.1000,AT,17,608
45,1.985685,3.540279,0.444,0.217,0.1000,AT,18,621
46,1.952456,3.579756,0.453,0.224,0.1000,AT,19,635
47,1.933730,3.685782,0.452,0.209,0.1000,AT,20,649
48,1.902682,3.627543,0.463,0.210,0.1000,AT,21,662
49,1.866792,3.814748,0.471,0.198,0.1000,AT,22,676
50,1.854171,3.709777,0.471,0.210,0.1000,AT,23,690
51,1.831526,3.657588,0.477,0.217,0.1000,AT,24,703
52,1.805853,3.763000,0.483,0.222,0.1000,AT,25,717
53,1.776205,3.792997,0.488,0.212,0.1000,AT,26,731
54,1.756597,3.846281,0.494,0.214,0.1000,AT,27,745
55,1.741587,3.843457,0.495,0.213,0.1000,AT,28,758
56,1.715010,3.868926,0.503,0.212,0.1000,AT,29,772
57,1.703780,3.909149,0.506,0.198,0.1000,AT,30,786
58,1.678966,3.897025,0.511,0.214,0.1000,AT,31,799
59,1.665253,4.220202,0.513,0.192,0.1000,AT,32,813
60,1.638372,4.039484,0.521,0.205,0.1000,AT,33,827
61,1.629896,4.054189,0.521,0.203,0.1000,AT,34,840
62,1.593528,4.060196,0.530,0.201,0.1000,AT,35,854
63,1.594836,4.127526,0.528,0.196,0.1000,AT,36,868
64,1.566965,4.254780,0.536,0.192,0.1000,AT,37,882
65,1.550916,4.178013,0.540,0.200,0.1000,AT,38,895
66,1.541516,4.153482,0.541,0.186,0.1000,AT,39,909
67,1.537872,4.196672,0.539,0.199,0.1000,AT,40,923
68,1.507537,4.266429,0.549,0.201,0.1000,AT,41,936
69,1.502473,3.980985,0.551,0.203,0.1000,AT,42,950
70,1.492068,4.135057,0.554,0.202,0.1000,AT,43,964
71,1.457193,4.251734,0.561,0.188,0.1000,AT,44,977
72,1.457227,4.360278,0.560,0.189,0.1000,AT,45,991
73,1.449723,3.957580,0.562,0.199,0.1000,AT,46,1005
74,1.428621,4.113911,0.566,0.207,0.1000,AT,47,1018
75,1.418600,4.439013,0.568,0.192,0.1000,AT,48,1032
76,1.423214,4.336615,0.568,0.195,0.1000,AT,49,1046
77,1.395670,4.129155,0.575,0.210,0.1000,AT,50,1060
78,1.386028,4.281685,0.578,0.197,0.1000,AT,51,1073
79,1.377938,4.372480,0.578,0.188,0.1000,AT,52,1087
80,1.362915,4.689973,0.584,0.177,0.1000,AT,53,1101
81,1.359008,4.480843,0.584,0.188,0.1000,AT,54,1114
82,1.333612,4.554423,0.591,0.181,0.1000,AT,55,1128
83,1.335550,4.401020,0.590,0.194,0.1000,AT,56,1142
84,1.334417,4.346202,0.593,0.199,0.1000,AT,57,1155
85,1.309307,4.502860,0.597,0.187,0.1000,AT,58,1169
86,1.304400,4.496095,0.597,0.194,0.1000,AT,59,1183
87,1.311590,4.264834,0.594,0.201,0.1000,AT,60,1196
88,1.311173,4.405252,0.594,0.199,0.1000,AT,61,1210
89,1.273600,4.351649,0.607,0.198,0.1000,AT,62,1224
90,1.267920,4.623775,0.606,0.193,0.1000,AT,63,1237
91,1.275443,4.828225,0.602,0.180,0.1000,AT,64,1251
92,1.264732,4.587435,0.607,0.186,0.1000,AT,65,1265
93,1.273957,4.514875,0.604,0.193,0.1000,AT,66,1279
94,1.247822,4.640646,0.613,0.183,0.1000,AT,67,1292
95,1.255309,4.912455,0.611,0.180,0.1000,AT,68,1306
96,1.243407,4.623430,0.613,0.192,0.1000,AT,69,1320
97,1.240915,4.638487,0.613,0.182,0.1000,AT,70,1333
98,1.230687,4.475634,0.618,0.189,0.1000,AT,71,1347
99,1.200055,4.871150,0.628,0.172,0.1000,AT,72,1361
100,1.237809,4.713613,0.616,0.178,0.1000,AT,73,1374
101,0.639518,4.455240,0.811,0.230,0.0100,AT,74,1388
102,0.425137,4.612419,0.876,0.230,0.0100,AT,75,1402
103,0.357865,4.768677,0.894,0.227,0.0100,AT,76,1415
104,0.314233,4.868655,0.907,0.227,0.0100,AT,77,1429
105,0.281439,5.035732,0.916,0.227,0.0100,AT,78,1443
106,0.252022,5.094753,0.924,0.223,0.0100,AT,79,1457
107,0.230950,5.186147,0.931,0.221,0.0100,AT,80,1470
108,0.213818,5.304180,0.937,0.222,0.0100,AT,81,1484
109,0.196930,5.350142,0.941,0.222,0.0100,AT,82,1498
110,0.183256,5.396678,0.946,0.225,0.0100,AT,83,1511
111,0.170020,5.504354,0.950,0.223,0.0100,AT,84,1525
112,0.160679,5.524914,0.952,0.223,0.0100,AT,85,1539
113,0.149414,5.608623,0.956,0.222,0.0100,AT,86,1552
114,0.139280,5.622331,0.959,0.220,0.0100,AT,87,1566
115,0.130303,5.707648,0.961,0.221,0.0100,AT,88,1580
116,0.123106,5.744534,0.964,0.222,0.0100,AT,89,1593
117,0.116015,5.772385,0.966,0.219,0.0100,AT,90,1607
118,0.109920,5.792150,0.967,0.221,0.0100,AT,91,1621
119,0.104318,5.857086,0.969,0.222,0.0100,AT,92,1635
120,0.099254,5.892686,0.971,0.216,0.0100,AT,93,1648
121,0.091739,5.911358,0.973,0.220,0.0100,AT,94,1662
122,0.089748,5.917179,0.974,0.220,0.0100,AT,95,1676
123,0.085840,5.960437,0.976,0.221,0.0100,AT,96,1689
124,0.080460,5.974493,0.977,0.217,0.0100,AT,97,1703
125,0.075676,6.010779,0.979,0.217,0.0100,AT,98,1717
126,0.072342,6.038538,0.979,0.216,0.0100,AT,99,1730
127,0.070964,6.066110,0.980,0.219,0.0100,AT,100,1744
128,0.067163,6.068977,0.981,0.217,0.0100,AT,101,1758
129,0.064561,6.100362,0.982,0.215,0.0100,AT,102,1771
130,0.061254,6.081754,0.983,0.215,0.0100,AT,103,1785
131,0.061553,6.096575,0.982,0.218,0.0100,AT,104,1799
132,0.058754,6.129960,0.984,0.219,0.0100,AT,105,1813
133,0.056168,6.136345,0.984,0.217,0.0100,AT,106,1826
134,0.055367,6.121206,0.985,0.216,0.0100,AT,107,1840
135,0.052507,6.160446,0.986,0.217,0.0100,AT,108,1854
136,0.049705,6.155507,0.987,0.218,0.0100,AT,109,1867
137,0.047397,6.214116,0.988,0.217,0.0100,AT,110,1881
138,0.048097,6.177399,0.987,0.217,0.0100,AT,111,1895
139,0.045241,6.257829,0.989,0.215,0.0100,AT,112,1908
140,0.043819,6.194964,0.989,0.218,0.0100,AT,113,1922
141,0.044285,6.221399,0.989,0.216,0.0100,AT,114,1936
142,0.040968,6.222147,0.990,0.215,0.0100,AT,115,1949
143,0.039934,6.222825,0.990,0.218,0.0100,AT,116,1963
144,0.042464,6.226593,0.989,0.216,0.0100,AT,117,1977
145,0.040300,6.206434,0.990,0.216,0.0100,AT,118,1990
146,0.039903,6.188450,0.990,0.218,0.0100,AT,119,2004
147,0.037819,6.226776,0.991,0.222,0.0100,AT,120,2018
148,0.038613,6.214288,0.990,0.217,0.0100,AT,121,2032
149,0.036933,6.238599,0.991,0.221,0.0100,AT,122,2045
150,0.036400,6.236929,0.991,0.216,0.0100,AT,123,2059
151,0.026704,6.236053,0.994,0.220,0.0010,AT,124,2073
152,0.022136,6.274865,0.996,0.222,0.0010,AT,125,2086
153,0.020598,6.269326,0.996,0.219,0.0010,AT,126,2100
154,0.019093,6.271887,0.997,0.220,0.0010,AT,127,2114
155,0.018828,6.261833,0.997,0.220,0.0010,AT,128,2128
156,0.018181,6.271163,0.997,0.220,0.0010,AT,129,2141
157,0.017822,6.283180,0.997,0.220,0.0010,AT,130,2155
158,0.017186,6.281925,0.997,0.217,0.0010,AT,131,2169
159,0.017006,6.267327,0.997,0.221,0.0010,AT,132,2182
160,0.017046,6.287206,0.997,0.222,0.0010,AT,133,2196
161,0.016196,6.300491,0.997,0.221,0.0010,AT,134,2210
162,0.015798,6.289884,0.997,0.225,0.0010,AT,135,2223
163,0.015886,6.280654,0.997,0.221,0.0010,AT,136,2237
164,0.015513,6.302351,0.997,0.216,0.0010,AT,137,2251
165,0.015018,6.292546,0.997,0.221,0.0010,AT,138,2265
166,0.015289,6.295117,0.997,0.218,0.0010,AT,139,2278
167,0.015191,6.268901,0.997,0.222,0.0010,AT,140,2292
168,0.015096,6.306668,0.998,0.216,0.0010,AT,141,2306
169,0.014627,6.313175,0.997,0.218,0.0010,AT,142,2319
170,0.014648,6.296549,0.998,0.220,0.0010,AT,143,2333
171,0.014564,6.296582,0.997,0.217,0.0010,AT,144,2347
172,0.014723,6.299951,0.998,0.218,0.0010,AT,145,2360
173,0.014378,6.322688,0.998,0.217,0.0010,AT,146,2374
174,0.014515,6.327317,0.998,0.221,0.0010,AT,147,2388
175,0.014028,6.311903,0.998,0.220,0.0010,AT,148,2402
