_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,3.948258,4.030567,0.087,0.091,0.1000,NT,0,1
2,3.312353,3.151959,0.187,0.212,0.1000,NT,0,3
3,2.714289,2.976214,0.298,0.266,0.1000,NT,0,4
4,2.247814,2.315860,0.394,0.389,0.1000,NT,0,6
5,1.922764,2.043491,0.469,0.457,0.1000,NT,0,8
6,1.706938,1.925837,0.521,0.470,0.1000,NT,0,9
7,1.550460,1.864176,0.560,0.487,0.1000,NT,0,11
8,1.410684,1.758539,0.593,0.525,0.1000,NT,0,12
9,1.310475,1.541172,0.619,0.573,0.1000,NT,0,14
10,1.216660,1.535073,0.640,0.575,0.1000,NT,0,16
11,1.127859,1.605972,0.668,0.564,0.1000,NT,1,17
12,1.063363,1.468061,0.683,0.592,0.1000,NT,0,19
13,1.005019,1.410959,0.701,0.609,0.1000,NT,0,20
14,0.941303,1.479369,0.719,0.594,0.1000,NT,1,22
15,0.879032,1.374929,0.734,0.627,0.1000,NT,0,24
16,0.833580,1.389658,0.746,0.623,0.1000,NT,1,25
17,0.795468,1.531248,0.758,0.598,0.1000,NT,2,27
18,0.754162,1.494587,0.769,0.608,0.1000,NT,3,28
19,0.722195,1.386367,0.777,0.632,0.1000,NT,0,30
20,0.694740,1.635702,0.787,0.579,0.1000,NT,1,32
21,0.668448,1.476971,0.795,0.610,0.1000,NT,2,33
22,0.631487,1.496139,0.805,0.612,0.1000,NT,3,35
23,0.603534,1.346632,0.811,0.644,0.1000,NT,0,36
24,0.591255,1.518122,0.815,0.612,0.1000,NT,1,38
25,0.579432,1.395545,0.820,0.638,0.1000,NT,2,39
26,0.548521,1.536470,0.829,0.612,0.1000,NT,3,41
27,0.547163,1.479109,0.827,0.625,0.1000,NT,4,43
28,0.515144,1.555979,0.838,0.617,0.1000,NT,5,44
29,0.497662,1.630651,0.842,0.601,0.1000,NT,6,46
30,0.504727,1.567982,0.840,0.616,0.1000,NT,7,47
31,0.474230,1.603248,0.850,0.617,0.1000,NT,8,49
32,0.457911,1.533537,0.854,0.625,0.1000,NT,9,51
33,0.453774,1.347254,0.858,0.656,0.1000,NT,0,52
