_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,11.248627,3.477609,0.195,0.176,0.1000,kl_1_2_3,"0.000, 0.000, 10.794",0.5,30.0,0,2
2,10.428215,3.546126,0.230,0.201,0.1000,kl_1_2_3,"0.000, 0.000, 10.200",0.5,30.0,0,4
3,9.823909,3.599768,0.249,0.233,0.1000,kl_1_2_3,"0.000, 0.000, 9.621",0.5,30.0,0,6
4,9.234572,4.425422,0.278,0.235,0.1000,kl_1_2_3,"0.000, 0.000, 9.098",0.5,30.0,0,8
5,8.661795,3.615247,0.301,0.283,0.1000,kl_1_2_3,"0.000, 0.000, 8.555",0.5,30.0,0,10
6,8.231271,3.837598,0.324,0.283,0.1000,kl_1_2_3,"0.000, 0.000, 8.112",0.5,30.0,0,12
7,7.806359,3.799329,0.346,0.299,0.1000,kl_1_2_3,"0.000, 0.000, 7.722",0.5,30.0,0,14
8,7.541335,3.579636,0.360,0.316,0.1000,kl_1_2_3,"0.000, 0.000, 7.512",0.5,30.0,0,16
9,7.336796,3.772924,0.374,0.338,0.1000,kl_1_2_3,"0.000, 0.000, 7.255",0.5,30.0,0,18
10,7.120694,3.414824,0.386,0.343,0.1000,kl_1_2_3,"0.000, 0.000, 7.031",0.5,30.0,0,20
11,7.008248,3.837081,0.396,0.361,0.1000,kl_1_2_3,"0.000, 0.000, 6.938",0.5,30.0,0,22
12,6.812397,3.512436,0.408,0.361,0.1000,kl_1_2_3,"0.000, 0.000, 6.853",0.5,30.0,0,24
13,6.703711,3.463703,0.415,0.367,0.1000,kl_1_2_3,"0.000, 0.000, 6.727",0.5,30.0,0,26
14,6.621889,3.393032,0.421,0.369,0.1000,kl_1_2_3,"0.000, 0.000, 6.584",0.5,30.0,0,28
15,6.490893,3.328032,0.431,0.382,0.1000,kl_1_2_3,"0.000, 0.000, 6.490",0.5,30.0,0,30
16,6.414540,3.703247,0.437,0.396,0.1000,kl_1_2_3,"0.000, 0.000, 6.476",0.5,30.0,0,32
17,6.321950,3.476428,0.444,0.387,0.1000,kl_1_2_3,"0.000, 0.000, 6.319",0.5,30.0,1,34
18,6.231924,3.595424,0.448,0.392,0.1000,kl_1_2_3,"0.000, 0.000, 6.291",0.5,30.0,2,36
19,6.189736,3.432704,0.452,0.382,0.1000,kl_1_2_3,"0.000, 0.000, 6.219",0.5,30.0,3,38
20,6.111633,3.496895,0.455,0.390,0.1000,kl_1_2_3,"0.000, 0.000, 6.154",0.5,30.0,4,40
21,6.048959,3.620844,0.461,0.394,0.1000,kl_1_2_3,"0.000, 0.000, 6.073",0.5,30.0,5,42
22,6.008093,3.435131,0.466,0.405,0.1000,kl_1_2_3,"0.000, 0.000, 6.128",0.5,30.0,0,44
23,5.950760,3.357225,0.467,0.404,0.1000,kl_1_2_3,"0.000, 0.000, 5.958",0.5,30.0,1,46
24,5.879034,3.414570,0.472,0.408,0.1000,kl_1_2_3,"0.000, 0.000, 5.925",0.5,30.0,0,48
25,5.845649,3.527459,0.477,0.410,0.1000,kl_1_2_3,"0.000, 0.000, 5.892",0.5,30.0,0,50
26,5.785052,3.557553,0.480,0.404,0.1000,kl_1_2_3,"0.000, 0.000, 5.890",0.5,30.0,1,52
27,5.761726,3.585540,0.482,0.402,0.1000,kl_1_2_3,"0.000, 0.000, 5.760",0.5,30.0,2,54
28,5.698084,3.411684,0.487,0.416,0.1000,kl_1_2_3,"0.000, 0.000, 5.764",0.5,30.0,0,55
29,5.695700,3.920478,0.489,0.385,0.1000,kl_1_2_3,"0.000, 0.000, 5.706",0.5,30.0,1,57
30,5.637717,3.585924,0.491,0.416,0.1000,kl_1_2_3,"0.000, 0.000, 5.664",0.5,30.0,0,59
31,5.603692,3.505775,0.494,0.416,0.1000,kl_1_2_3,"0.000, 0.000, 5.698",0.5,30.0,0,61
32,5.576499,3.443315,0.496,0.411,0.1000,kl_1_2_3,"0.000, 0.000, 5.562",0.5,30.0,1,63
33,5.535871,3.417050,0.499,0.411,0.1000,kl_1_2_3,"0.000, 0.000, 5.616",0.5,30.0,2,65
34,5.493808,3.486597,0.503,0.411,0.1000,kl_1_2_3,"0.000, 0.000, 5.562",0.5,30.0,3,68
35,5.495568,3.282197,0.503,0.433,0.1000,kl_1_2_3,"0.000, 0.000, 5.524",0.5,30.0,0,69
36,5.451666,3.549990,0.505,0.413,0.1000,kl_1_2_3,"0.000, 0.000, 5.562",0.5,30.0,1,72
37,5.441930,3.606155,0.507,0.413,0.1000,kl_1_2_3,"0.000, 0.000, 5.515",0.5,30.0,2,73
38,5.428502,3.883274,0.511,0.413,0.1000,kl_1_2_3,"0.000, 0.000, 5.472",0.5,30.0,3,75
39,5.396253,3.569230,0.510,0.422,0.1000,kl_1_2_3,"0.000, 0.000, 5.416",0.5,30.0,4,77
40,5.376149,3.606944,0.513,0.414,0.1000,kl_1_2_3,"0.000, 0.000, 5.426",0.5,30.0,5,79
41,5.349389,3.434500,0.513,0.424,0.1000,kl_1_2_3,"0.000, 0.000, 5.370",0.5,30.0,6,81
42,5.338760,3.474036,0.514,0.419,0.1000,kl_1_2_3,"0.000, 0.000, 5.476",0.5,30.0,7,83
43,5.285610,3.145284,0.517,0.429,0.1000,kl_1_2_3,"0.000, 0.000, 5.346",0.5,30.0,8,85
