_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,7.835446,5.060116,0.175,0.128,0.1000,kl_1_3,"0.000, 0.000, 7.318",0.5,30.0,0,2
2,6.705695,5.672705,0.198,0.148,0.1000,kl_1_3,"0.000, 0.000, 6.419",0.5,30.0,0,5
3,6.028521,5.629665,0.224,0.155,0.1000,kl_1_3,"0.000, 0.000, 5.883",0.5,30.0,0,7
4,5.494394,5.716252,0.254,0.200,0.1000,kl_1_3,"0.000, 0.000, 5.310",0.5,30.0,0,10
5,5.060783,5.403119,0.278,0.219,0.1000,kl_1_3,"0.000, 0.000, 4.953",0.5,30.0,0,13
6,4.760734,4.694611,0.302,0.249,0.1000,kl_1_3,"0.000, 0.000, 4.686",0.5,30.0,0,15
7,4.519985,4.714057,0.330,0.268,0.1000,kl_1_3,"0.000, 0.000, 4.509",0.5,30.0,0,18
8,4.346055,4.593529,0.342,0.281,0.1000,kl_1_3,"0.000, 0.000, 4.314",0.5,30.0,0,20
9,4.194961,4.478379,0.356,0.310,0.1000,kl_1_3,"0.000, 0.000, 4.178",0.5,30.0,0,23
10,4.049271,4.577070,0.370,0.312,0.1000,kl_1_3,"0.000, 0.000, 4.050",0.5,30.0,0,26
11,3.962092,4.402123,0.382,0.303,0.1000,kl_1_3,"0.000, 0.000, 3.950",0.5,30.0,1,28
12,3.866875,4.310357,0.388,0.324,0.1000,kl_1_3,"0.000, 0.000, 3.910",0.5,30.0,0,31
13,3.757378,4.398023,0.399,0.316,0.1000,kl_1_3,"0.000, 0.000, 3.749",0.5,30.0,1,33
14,3.727997,4.094654,0.402,0.327,0.1000,kl_1_3,"0.000, 0.000, 3.739",0.5,30.0,0,36
15,3.635997,4.408753,0.413,0.319,0.1000,kl_1_3,"0.000, 0.000, 3.630",0.5,30.0,1,39
16,3.597119,4.025738,0.422,0.348,0.1000,kl_1_3,"0.000, 0.000, 3.602",0.5,30.0,0,41
17,3.528245,4.139993,0.424,0.355,0.1000,kl_1_3,"0.000, 0.000, 3.551",0.5,30.0,0,44
18,3.503881,3.936182,0.431,0.352,0.1000,kl_1_3,"0.000, 0.000, 3.525",0.5,30.0,1,46
19,3.453763,4.057591,0.434,0.360,0.1000,kl_1_3,"0.000, 0.000, 3.493",0.5,30.0,0,49
20,3.401512,3.720760,0.441,0.373,0.1000,kl_1_3,"0.000, 0.000, 3.430",0.5,30.0,0,52
21,3.374688,4.033251,0.444,0.365,0.1000,kl_1_3,"0.000, 0.000, 3.451",0.5,30.0,1,54
22,3.332746,3.534011,0.447,0.385,0.1000,kl_1_3,"0.000, 0.000, 3.348",0.5,30.0,0,57
23,3.301957,3.596313,0.453,0.370,0.1000,kl_1_3,"0.000, 0.000, 3.361",0.5,30.0,1,59
24,3.282127,3.870864,0.456,0.372,0.1000,kl_1_3,"0.000, 0.000, 3.304",0.5,30.0,2,62
25,3.271407,3.887085,0.456,0.374,0.1000,kl_1_3,"0.000, 0.000, 3.322",0.5,30.0,3,65
26,3.243404,3.514675,0.461,0.392,0.1000,kl_1_3,"0.000, 0.000, 3.243",0.5,30.0,0,67
27,3.201544,3.984080,0.465,0.377,0.1000,kl_1_3,"0.000, 0.000, 3.238",0.5,30.0,1,70
28,3.185830,3.642558,0.469,0.376,0.1000,kl_1_3,"0.000, 0.000, 3.214",0.5,30.0,2,72
29,3.156646,3.697659,0.472,0.388,0.1000,kl_1_3,"0.000, 0.000, 3.186",0.5,30.0,3,75
30,3.141872,3.439949,0.472,0.396,0.1000,kl_1_3,"0.000, 0.000, 3.157",0.5,30.0,0,78
31,3.134167,3.874735,0.476,0.384,0.1000,kl_1_3,"0.000, 0.000, 3.141",0.5,30.0,1,80
32,3.108854,3.572439,0.478,0.382,0.1000,kl_1_3,"0.000, 0.000, 3.121",0.5,30.0,2,83
33,3.089225,3.818968,0.482,0.380,0.1000,kl_1_3,"0.000, 0.000, 3.136",0.5,30.0,3,85
34,3.074896,3.659863,0.485,0.389,0.1000,kl_1_3,"0.000, 0.000, 3.129",0.5,30.0,4,88
35,3.056172,3.428340,0.486,0.394,0.1000,kl_1_3,"0.000, 0.000, 3.061",0.5,30.0,5,91
36,3.058013,3.608335,0.489,0.391,0.1000,kl_1_3,"0.000, 0.000, 3.069",0.5,30.0,6,93
37,3.039991,3.691001,0.491,0.377,0.1000,kl_1_3,"0.000, 0.000, 3.063",0.5,30.0,7,96
