_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.118558,2.053413,0.208,0.222,0.1000,kl_2,"0.000, 0.000, 2.028",0.5,1.0,0,2
2,1.968188,1.939396,0.259,0.263,0.1000,kl_2,"0.000, 0.000, 1.933",0.5,1.0,0,3
3,1.892062,1.863929,0.284,0.288,0.1000,kl_2,"0.000, 0.000, 1.872",0.5,1.0,0,5
4,1.819643,1.870492,0.316,0.297,0.1000,kl_2,"0.000, 0.000, 1.807",0.5,1.0,0,7
5,1.760869,1.772138,0.333,0.327,0.1000,kl_2,"0.000, 0.000, 1.743",0.5,1.0,0,9
6,1.713869,1.738061,0.350,0.331,0.1000,kl_2,"0.000, 0.000, 1.708",0.5,1.0,0,11
7,1.668106,1.730627,0.370,0.345,0.1000,kl_2,"0.000, 0.000, 1.638",0.5,1.0,0,13
8,1.627942,1.668665,0.383,0.371,0.1000,kl_2,"0.000, 0.000, 1.618",0.5,1.0,0,15
9,1.596447,1.623972,0.395,0.380,0.1000,kl_2,"0.000, 0.000, 1.606",0.5,1.0,0,17
10,1.566449,1.598372,0.409,0.399,0.1000,kl_2,"0.000, 0.000, 1.561",0.5,1.0,0,18
11,1.534698,1.576513,0.420,0.393,0.1000,kl_2,"0.000, 0.000, 1.539",0.5,1.0,1,20
12,1.513916,1.562267,0.428,0.405,0.1000,kl_2,"0.000, 0.000, 1.512",0.5,1.0,0,22
13,1.490098,1.545668,0.436,0.414,0.1000,kl_2,"0.000, 0.000, 1.483",0.5,1.0,0,23
14,1.475030,1.571761,0.441,0.407,0.1000,kl_2,"0.000, 0.000, 1.479",0.5,1.0,1,25
15,1.454751,1.524063,0.449,0.411,0.1000,kl_2,"0.000, 0.000, 1.465",0.5,1.0,2,27
16,1.440460,1.515460,0.454,0.429,0.1000,kl_2,"0.000, 0.000, 1.437",0.5,1.0,0,29
17,1.425654,1.518614,0.462,0.426,0.1000,kl_2,"0.000, 0.000, 1.421",0.5,1.0,1,31
18,1.412032,1.505288,0.466,0.427,0.1000,kl_2,"0.000, 0.000, 1.427",0.5,1.0,2,33
19,1.400392,1.513901,0.469,0.421,0.1000,kl_2,"0.000, 0.000, 1.412",0.5,1.0,3,35
20,1.388866,1.568930,0.473,0.404,0.1000,kl_2,"0.000, 0.000, 1.408",0.5,1.0,4,36
21,1.376558,1.508653,0.478,0.415,0.1000,kl_2,"0.000, 0.000, 1.381",0.5,1.0,5,38
22,1.365982,1.500261,0.480,0.425,0.1000,kl_2,"0.000, 0.000, 1.364",0.5,1.0,6,40
23,1.355508,1.488124,0.485,0.438,0.1000,kl_2,"0.000, 0.000, 1.362",0.5,1.0,0,42
