_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,3.254162,3.093581,0.163,0.227,0.1000,alp,"2.704, 0.131, 2.770",0.5,1.0,0,3
2,2.409376,2.810713,0.287,0.263,0.1000,alp,"2.157, 0.159, 2.237",0.5,1.0,0,6
3,2.069501,2.528193,0.345,0.327,0.1000,alp,"1.914, 0.163, 1.996",0.5,1.0,0,10
4,1.885432,2.331013,0.381,0.360,0.1000,alp,"1.754, 0.164, 1.836",0.5,1.0,0,13
5,1.783381,2.255114,0.397,0.376,0.1000,alp,"1.696, 0.159, 1.776",0.5,1.0,0,16
6,1.706857,2.278730,0.413,0.367,0.1000,alp,"1.640, 0.158, 1.719",0.5,1.0,1,20
7,1.650219,2.264195,0.423,0.378,0.1000,alp,"1.574, 0.155, 1.652",0.5,1.0,0,23
8,1.608150,2.212739,0.432,0.388,0.1000,alp,"1.524, 0.157, 1.603",0.5,1.0,0,26
9,1.576960,2.215083,0.436,0.385,0.1000,alp,"1.507, 0.155, 1.585",0.5,1.0,1,30
10,1.548096,2.104709,0.444,0.407,0.1000,alp,"1.486, 0.155, 1.564",0.5,1.0,0,33
11,1.522327,2.247773,0.449,0.377,0.1000,alp,"1.451, 0.152, 1.527",0.5,1.0,1,36
12,1.504762,2.133826,0.451,0.403,0.1000,alp,"1.438, 0.152, 1.514",0.5,1.0,2,40
13,1.481405,2.125895,0.455,0.407,0.1000,alp,"1.434, 0.150, 1.509",0.5,1.0,3,43
14,1.469988,2.110143,0.458,0.400,0.1000,alp,"1.412, 0.151, 1.487",0.5,1.0,4,47
15,1.459033,2.201617,0.461,0.393,0.1000,alp,"1.388, 0.149, 1.462",0.5,1.0,5,50
16,1.441084,2.131458,0.463,0.407,0.1000,alp,"1.368, 0.151, 1.444",0.5,1.0,6,53
17,1.432867,2.081197,0.465,0.416,0.1000,alp,"1.374, 0.150, 1.449",0.5,1.0,0,57
18,1.420574,2.125503,0.464,0.411,0.1000,alp,"1.392, 0.152, 1.468",0.5,1.0,1,60
19,1.412201,2.173721,0.468,0.399,0.1000,alp,"1.358, 0.148, 1.432",0.5,1.0,2,63
20,1.400706,2.092154,0.470,0.418,0.1000,alp,"1.368, 0.150, 1.443",0.5,1.0,0,67
21,1.393126,2.158540,0.472,0.403,0.1000,alp,"1.341, 0.151, 1.416",0.5,1.0,1,70
22,1.387400,2.099326,0.471,0.410,0.1000,alp,"1.336, 0.148, 1.410",0.5,1.0,2,73
23,1.373840,2.107891,0.477,0.411,0.1000,alp,"1.307, 0.151, 1.382",0.5,1.0,3,77
24,1.370593,2.101652,0.476,0.415,0.1000,alp,"1.326, 0.148, 1.400",0.5,1.0,4,80
25,1.360614,2.073083,0.476,0.420,0.1000,alp,"1.288, 0.151, 1.364",0.5,1.0,0,83
26,1.352255,2.089286,0.480,0.420,0.1000,alp,"1.297, 0.149, 1.371",0.5,1.0,1,86
27,1.346651,2.138602,0.482,0.405,0.1000,alp,"1.310, 0.151, 1.386",0.5,1.0,2,90
28,1.343375,2.087292,0.480,0.422,0.1000,alp,"1.293, 0.150, 1.368",0.5,1.0,0,93
29,1.332376,2.116786,0.484,0.414,0.1000,alp,"1.281, 0.150, 1.356",0.5,1.0,1,96
30,1.326470,2.123824,0.485,0.408,0.1000,alp,"1.270, 0.149, 1.345",0.5,1.0,2,100
31,1.322488,2.119751,0.486,0.404,0.1000,alp,"1.250, 0.148, 1.324",0.5,1.0,3,103
32,1.315233,2.095242,0.486,0.419,0.1000,alp,"1.259, 0.150, 1.334",0.5,1.0,4,106
33,1.311671,2.131507,0.488,0.411,0.1000,alp,"1.270, 0.148, 1.344",0.5,1.0,5,110
34,1.304164,2.171867,0.490,0.403,0.1000,alp,"1.273, 0.149, 1.348",0.5,1.0,6,113
35,1.300402,2.098661,0.488,0.418,0.1000,alp,"1.251, 0.152, 1.327",0.5,1.0,7,116
36,1.295175,2.139576,0.491,0.407,0.1000,alp,"1.242, 0.150, 1.317",0.5,1.0,8,120
37,1.291449,2.107628,0.492,0.420,0.1000,alp,"1.231, 0.150, 1.306",0.5,1.0,9,123
38,1.286651,2.118978,0.493,0.416,0.1000,alp,"1.244, 0.150, 1.319",0.5,1.0,10,126
39,1.282447,2.141013,0.493,0.409,0.1000,alp,"1.240, 0.151, 1.315",0.5,1.0,11,130
40,1.275932,2.134951,0.494,0.418,0.1000,alp,"1.223, 0.147, 1.297",0.5,1.0,12,133
41,1.272175,2.114063,0.492,0.412,0.1000,alp,"1.225, 0.149, 1.300",0.5,1.0,13,136
42,1.270513,2.111705,0.497,0.420,0.1000,alp,"1.217, 0.151, 1.293",0.5,1.0,14,140
43,1.263997,2.101131,0.496,0.416,0.1000,alp,"1.223, 0.149, 1.298",0.5,1.0,15,143
44,1.262183,2.131048,0.499,0.417,0.1000,alp,"1.227, 0.151, 1.302",0.5,1.0,16,146
45,1.257920,2.172303,0.498,0.405,0.1000,alp,"1.211, 0.149, 1.285",0.5,1.0,17,150
46,1.252088,2.112873,0.500,0.417,0.1000,alp,"1.195, 0.151, 1.271",0.5,1.0,18,153
47,1.248087,2.124280,0.501,0.415,0.1000,alp,"1.208, 0.153, 1.284",0.5,1.0,19,156
48,1.245406,2.143176,0.502,0.417,0.1000,alp,"1.201, 0.151, 1.276",0.5,1.0,20,160
49,1.246433,2.197501,0.501,0.397,0.1000,alp,"1.187, 0.151, 1.263",0.5,1.0,21,163
50,1.237437,2.146775,0.504,0.411,0.1000,alp,"1.185, 0.152, 1.260",0.5,1.0,22,166
51,1.236379,2.155926,0.502,0.407,0.1000,alp,"1.205, 0.154, 1.282",0.5,1.0,23,170
52,1.233980,2.190199,0.502,0.401,0.1000,alp,"1.177, 0.151, 1.253",0.5,1.0,24,173
53,1.229046,2.148267,0.504,0.416,0.1000,alp,"1.183, 0.151, 1.259",0.5,1.0,25,176
54,1.227275,2.119532,0.505,0.408,0.1000,alp,"1.177, 0.151, 1.252",0.5,1.0,26,180
55,1.226165,2.142367,0.507,0.420,0.1000,alp,"1.187, 0.153, 1.263",0.5,1.0,27,183
56,1.217904,2.116649,0.508,0.423,0.1000,alp,"1.184, 0.151, 1.259",0.5,1.0,0,186
