_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.361069,3.182170,0.142,0.211,0.1000,alpkdce1,"3.004, 0.021, 0.319",0.9,30.0,0,2
2,0.289042,2.834268,0.259,0.283,0.1000,alpkdce1,"2.520, 0.025, 0.275",0.9,30.0,0,5
3,0.258325,2.669793,0.322,0.313,0.1000,alpkdce1,"2.263, 0.027, 0.251",0.9,30.0,0,8
4,0.239490,2.486983,0.360,0.354,0.1000,alpkdce1,"2.097, 0.027, 0.234",0.9,30.0,0,10
5,0.226602,2.373472,0.387,0.382,0.1000,alpkdce1,"1.974, 0.028, 0.222",0.9,30.0,0,13
6,0.217719,2.330995,0.405,0.382,0.1000,alpkdce1,"1.916, 0.028, 0.217",0.9,30.0,0,16
7,0.210298,2.273844,0.421,0.399,0.1000,alpkdce1,"1.855, 0.028, 0.211",0.9,30.0,0,18
8,0.205256,2.257420,0.433,0.400,0.1000,alpkdce1,"1.793, 0.028, 0.205",0.9,30.0,0,20
9,0.201322,2.255710,0.438,0.405,0.1000,alpkdce1,"1.767, 0.028, 0.202",0.9,30.0,0,23
10,0.197747,2.207772,0.447,0.410,0.1000,alpkdce1,"1.733, 0.028, 0.199",0.9,30.0,0,26
11,0.194861,2.159971,0.455,0.423,0.1000,alpkdce1,"1.695, 0.028, 0.195",0.9,30.0,0,28
12,0.191800,2.177266,0.460,0.415,0.1000,alpkdce1,"1.658, 0.028, 0.191",0.9,30.0,1,31
13,0.189955,2.162197,0.464,0.426,0.1000,alpkdce1,"1.666, 0.028, 0.192",0.9,30.0,0,34
14,0.188192,2.111742,0.467,0.429,0.1000,alpkdce1,"1.629, 0.028, 0.188",0.9,30.0,0,36
15,0.186276,2.129566,0.471,0.428,0.1000,alpkdce1,"1.607, 0.028, 0.186",0.9,30.0,1,39
16,0.184411,2.084737,0.476,0.442,0.1000,alpkdce1,"1.605, 0.028, 0.185",0.9,30.0,0,41
17,0.182974,2.080001,0.479,0.440,0.1000,alpkdce1,"1.595, 0.028, 0.185",0.9,30.0,1,44
18,0.181546,2.064159,0.480,0.445,0.1000,alpkdce1,"1.585, 0.028, 0.184",0.9,30.0,0,47
19,0.180244,2.043203,0.482,0.449,0.1000,alpkdce1,"1.557, 0.028, 0.181",0.9,30.0,0,49
20,0.179236,2.066450,0.485,0.444,0.1000,alpkdce1,"1.563, 0.028, 0.181",0.9,30.0,1,52
21,0.177873,2.077220,0.489,0.436,0.1000,alpkdce1,"1.532, 0.028, 0.178",0.9,30.0,2,55
22,0.177354,2.036105,0.490,0.444,0.1000,alpkdce1,"1.561, 0.028, 0.181",0.9,30.0,3,57
23,0.176085,2.038454,0.492,0.445,0.1000,alpkdce1,"1.526, 0.028, 0.178",0.9,30.0,4,60
24,0.175262,2.055462,0.495,0.446,0.1000,alpkdce1,"1.523, 0.028, 0.178",0.9,30.0,5,62
25,0.174735,2.056392,0.495,0.449,0.1000,alpkdce1,"1.510, 0.028, 0.176",0.9,30.0,0,65
26,0.173829,2.041801,0.495,0.445,0.1000,alpkdce1,"1.517, 0.028, 0.177",0.9,30.0,1,67
27,0.172887,2.019677,0.497,0.449,0.1000,alpkdce1,"1.485, 0.028, 0.174",0.9,30.0,2,70
28,0.172359,2.064071,0.499,0.437,0.1000,alpkdce1,"1.500, 0.028, 0.175",0.9,30.0,3,72
29,0.172200,2.052014,0.499,0.444,0.1000,alpkdce1,"1.482, 0.027, 0.173",0.9,30.0,4,75
30,0.171445,2.037544,0.502,0.445,0.1000,alpkdce1,"1.487, 0.028, 0.174",0.9,30.0,5,77
31,0.170543,2.072979,0.501,0.441,0.1000,alpkdce1,"1.474, 0.028, 0.173",0.9,30.0,6,80
