_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,3.603627,3.413573,0.143,0.155,0.1000,AT,0,3
2,2.865277,2.772248,0.270,0.283,0.1000,AT,0,6
3,2.527517,2.572495,0.335,0.318,0.1000,AT,0,9
4,2.317914,2.413611,0.375,0.355,0.1000,AT,0,12
5,2.184913,2.279183,0.400,0.383,0.1000,AT,0,16
6,2.107845,2.225626,0.415,0.383,0.1000,AT,0,19
7,2.034620,2.223275,0.430,0.391,0.1000,AT,0,22
8,1.990041,2.180823,0.437,0.396,0.1000,AT,0,25
9,1.954843,2.170341,0.443,0.401,0.1000,AT,0,29
10,1.913333,2.187152,0.452,0.392,0.1000,AT,1,32
11,1.897595,2.104238,0.455,0.414,0.1000,AT,0,35
12,1.873452,2.102364,0.458,0.411,0.1000,AT,1,38
13,1.852890,2.115290,0.463,0.405,0.1000,AT,2,41
14,1.836413,2.082511,0.467,0.409,0.1000,AT,3,45
15,1.820646,2.092173,0.470,0.414,0.1000,AT,4,48
16,1.804818,2.086110,0.474,0.419,0.1000,AT,0,51
17,1.788898,2.079961,0.477,0.416,0.1000,AT,1,54
18,1.778783,2.009574,0.478,0.433,0.1000,AT,0,58
19,1.772513,1.987885,0.478,0.433,0.1000,AT,0,61
20,1.756061,2.087396,0.485,0.414,0.1000,AT,1,64
21,1.748204,2.092010,0.486,0.420,0.1000,AT,2,67
22,1.742175,2.045822,0.487,0.422,0.1000,AT,3,70
23,1.729866,2.091138,0.488,0.407,0.1000,AT,4,74
24,1.723912,2.049223,0.491,0.414,0.1000,AT,5,77
25,1.719604,2.047609,0.490,0.422,0.1000,AT,6,80
26,1.709172,2.040637,0.494,0.413,0.1000,AT,7,83
27,1.703469,2.079629,0.494,0.416,0.1000,AT,8,86
28,1.690085,2.033240,0.496,0.421,0.1000,AT,9,90
29,1.687499,2.043327,0.498,0.420,0.1000,AT,10,93
30,1.679136,2.065640,0.498,0.417,0.1000,AT,11,96
31,1.674525,2.114642,0.500,0.412,0.1000,AT,12,99
32,1.673390,2.028663,0.499,0.425,0.1000,AT,13,102
33,1.668889,2.135744,0.502,0.398,0.1000,AT,14,105
34,1.653487,2.059902,0.502,0.419,0.1000,AT,15,108
35,1.654708,2.052411,0.504,0.427,0.1000,AT,16,111
36,1.651178,2.018615,0.503,0.428,0.1000,AT,17,115
37,1.645930,1.994379,0.505,0.429,0.1000,AT,18,118
38,1.637486,2.061699,0.507,0.422,0.1000,AT,19,121
39,1.644477,2.052266,0.505,0.417,0.1000,AT,20,124
40,1.638282,2.015654,0.506,0.434,0.1000,AT,0,127
41,1.631266,2.074118,0.507,0.415,0.1000,AT,1,131
42,1.623178,2.050100,0.509,0.421,0.1000,AT,2,134
43,1.618989,2.001426,0.511,0.429,0.1000,AT,3,137
44,1.612982,2.065849,0.510,0.417,0.1000,AT,4,140
45,1.622061,2.069665,0.509,0.421,0.1000,AT,5,143
46,1.608653,2.078059,0.512,0.420,0.1000,AT,6,147
47,1.612655,2.066090,0.509,0.418,0.1000,AT,7,150
48,1.601817,2.001774,0.516,0.427,0.1000,AT,8,153
49,1.605627,2.079736,0.511,0.423,0.1000,AT,9,156
50,1.601582,2.048501,0.512,0.425,0.1000,AT,10,159
51,1.594371,2.106332,0.515,0.411,0.1000,AT,11,163
52,1.594231,1.986588,0.514,0.435,0.1000,AT,0,166
53,1.591583,2.016054,0.515,0.429,0.1000,AT,1,169
54,1.584542,2.071176,0.516,0.418,0.1000,AT,2,172
55,1.580035,2.052182,0.517,0.421,0.1000,AT,3,175
56,1.578853,2.014554,0.518,0.432,0.1000,AT,4,178
57,1.579180,2.083147,0.518,0.416,0.1000,AT,5,182
58,1.575360,2.016380,0.519,0.428,0.1000,AT,6,185
59,1.572720,2.061193,0.520,0.425,0.1000,AT,7,188
60,1.573620,2.105481,0.521,0.408,0.1000,AT,8,191
61,1.570636,2.039511,0.522,0.424,0.1000,AT,9,194
62,1.565519,2.076037,0.520,0.418,0.1000,AT,10,198
63,1.562813,2.023003,0.519,0.420,0.1000,AT,11,201
64,1.560755,2.055213,0.523,0.427,0.1000,AT,12,204
65,1.561940,2.112483,0.522,0.414,0.1000,AT,13,207
66,1.561760,2.051642,0.521,0.426,0.1000,AT,14,210
67,1.556502,2.009658,0.523,0.429,0.1000,AT,15,214
68,1.552175,2.023286,0.525,0.427,0.1000,AT,16,217
69,1.549321,2.041591,0.524,0.425,0.1000,AT,17,220
70,1.550637,2.056544,0.524,0.423,0.1000,AT,18,223
71,1.546414,2.137878,0.523,0.409,0.1000,AT,19,226
72,1.542872,2.058272,0.526,0.427,0.1000,AT,20,229
73,1.545822,2.076101,0.525,0.422,0.1000,AT,21,232
74,1.540000,2.083261,0.526,0.414,0.1000,AT,22,235
75,1.539101,2.068990,0.527,0.419,0.1000,AT,23,239
76,1.535488,2.280771,0.526,0.374,0.1000,AT,24,242
77,1.536343,2.025969,0.525,0.430,0.1000,AT,25,245
78,1.531381,2.031948,0.527,0.419,0.1000,AT,26,248
79,1.529523,2.099233,0.529,0.416,0.1000,AT,27,251
80,1.536286,2.019098,0.526,0.435,0.1000,AT,28,255
81,1.527231,2.030703,0.528,0.426,0.1000,AT,29,258
82,1.530597,2.079378,0.529,0.421,0.1000,AT,30,261
83,1.527215,2.027259,0.528,0.422,0.1000,AT,31,264
84,1.527531,2.085246,0.528,0.417,0.1000,AT,32,267
85,1.517792,2.153445,0.531,0.406,0.1000,AT,33,270
86,1.520699,2.033196,0.530,0.423,0.1000,AT,34,273
87,1.519395,2.035519,0.529,0.430,0.1000,AT,35,277
88,1.523224,2.064408,0.529,0.419,0.1000,AT,36,280
89,1.517008,2.041495,0.530,0.426,0.1000,AT,37,283
90,1.515680,2.061133,0.530,0.422,0.1000,AT,38,286
91,1.510159,2.052173,0.533,0.422,0.1000,AT,39,289
92,1.510180,2.103678,0.531,0.423,0.1000,AT,40,292
93,1.508813,2.050450,0.530,0.421,0.1000,AT,41,296
94,1.508764,2.092171,0.532,0.415,0.1000,AT,42,299
95,1.507016,2.077890,0.532,0.420,0.1000,AT,43,302
96,1.507522,2.050633,0.533,0.419,0.1000,AT,44,305
97,1.517356,2.057957,0.531,0.414,0.1000,AT,45,308
98,1.506822,2.072610,0.533,0.420,0.1000,AT,46,311
99,1.502003,2.207658,0.532,0.395,0.1000,AT,47,315
100,1.499697,2.110587,0.533,0.418,0.1000,AT,48,318
101,1.236598,1.821777,0.601,0.470,0.0100,AT,0,321
102,1.130584,1.860002,0.626,0.468,0.0100,AT,1,324
103,1.089101,1.878535,0.636,0.464,0.0100,AT,2,327
104,1.057276,1.908809,0.644,0.465,0.0100,AT,3,330
105,1.031823,1.926196,0.650,0.459,0.0100,AT,4,334
106,1.008498,1.926302,0.657,0.460,0.0100,AT,5,337
107,0.992625,1.959341,0.661,0.456,0.0100,AT,6,340
108,0.972942,1.985498,0.666,0.456,0.0100,AT,7,343
109,0.958510,2.014187,0.673,0.452,0.0100,AT,8,346
110,0.943314,2.030825,0.677,0.448,0.0100,AT,9,350
111,0.925563,2.054412,0.678,0.443,0.0100,AT,10,353
112,0.908542,2.084247,0.684,0.446,0.0100,AT,11,356
113,0.901780,2.127995,0.686,0.439,0.0100,AT,12,359
114,0.883520,2.144754,0.692,0.442,0.0100,AT,13,362
115,0.869863,2.184274,0.695,0.441,0.0100,AT,14,365
116,0.856910,2.194546,0.700,0.435,0.0100,AT,15,369
117,0.843988,2.245081,0.702,0.434,0.0100,AT,16,372
118,0.833406,2.270274,0.707,0.436,0.0100,AT,17,375
119,0.823895,2.290949,0.708,0.433,0.0100,AT,18,378
120,0.813382,2.334590,0.712,0.431,0.0100,AT,19,381
121,0.802306,2.341074,0.715,0.429,0.0100,AT,20,384
122,0.791188,2.370557,0.719,0.431,0.0100,AT,21,387
123,0.782934,2.408475,0.721,0.423,0.0100,AT,22,391
124,0.776172,2.417637,0.722,0.424,0.0100,AT,23,394
125,0.767032,2.440824,0.726,0.428,0.0100,AT,24,397
126,0.759002,2.454306,0.729,0.423,0.0100,AT,25,400
127,0.748800,2.479809,0.731,0.423,0.0100,AT,26,403
128,0.742907,2.494753,0.733,0.415,0.0100,AT,27,406
129,0.732378,2.550634,0.735,0.421,0.0100,AT,28,409
130,0.727559,2.551597,0.738,0.414,0.0100,AT,29,413
131,0.722382,2.585716,0.742,0.413,0.0100,AT,30,416
132,0.719473,2.589859,0.741,0.411,0.0100,AT,31,419
133,0.708655,2.598622,0.744,0.415,0.0100,AT,32,422
134,0.705817,2.694099,0.745,0.411,0.0100,AT,33,425
135,0.698284,2.637492,0.748,0.415,0.0100,AT,34,428
