_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,7.537164,3.696445,0.145,0.171,0.1000,alpkdce1,"1.732, 7.464, 6.891",0.9,30.0,0,2
2,6.122276,3.830357,0.285,0.252,0.1000,alpkdce1,"1.563, 6.148, 5.689",0.9,30.0,0,5
3,5.285963,3.982919,0.343,0.304,0.1000,alpkdce1,"1.523, 5.496, 5.099",0.9,30.0,0,7
4,4.843815,3.751701,0.374,0.336,0.1000,alpkdce1,"1.507, 5.060, 4.705",0.9,30.0,0,10
5,4.573948,3.752044,0.391,0.341,0.1000,alpkdce1,"1.521, 4.893, 4.556",0.9,30.0,0,13
6,4.407161,3.831592,0.405,0.352,0.1000,alpkdce1,"1.491, 4.700, 4.379",0.9,30.0,0,15
7,4.273108,3.554515,0.412,0.363,0.1000,alpkdce1,"1.476, 4.584, 4.273",0.9,30.0,0,18
8,4.170356,3.422950,0.422,0.365,0.1000,alpkdce1,"1.461, 4.500, 4.197",0.9,30.0,0,20
9,4.090192,3.723461,0.426,0.384,0.1000,alpkdce1,"1.446, 4.405, 4.109",0.9,30.0,0,23
10,4.024152,3.578556,0.431,0.375,0.1000,alpkdce1,"1.439, 4.317, 4.029",0.9,30.0,1,25
11,3.986451,3.509143,0.432,0.372,0.1000,alpkdce1,"1.429, 4.275, 3.990",0.9,30.0,2,28
12,3.927020,3.757576,0.439,0.372,0.1000,alpkdce1,"1.422, 4.261, 3.977",0.9,30.0,3,30
13,3.894687,3.664197,0.445,0.371,0.1000,alpkdce1,"1.407, 4.208, 3.928",0.9,30.0,4,33
14,3.862535,3.366710,0.444,0.390,0.1000,alpkdce1,"1.396, 4.192, 3.912",0.9,30.0,0,36
15,3.839211,3.472358,0.449,0.390,0.1000,alpkdce1,"1.389, 4.139, 3.864",0.9,30.0,0,38
16,3.811338,3.941889,0.450,0.378,0.1000,alpkdce1,"1.387, 4.128, 3.854",0.9,30.0,1,41
17,3.780452,3.539325,0.455,0.384,0.1000,alpkdce1,"1.388, 4.067, 3.799",0.9,30.0,2,44
18,3.761113,3.518446,0.453,0.405,0.1000,alpkdce1,"1.347, 4.022, 3.755",0.9,30.0,0,46
19,3.736412,3.733211,0.458,0.393,0.1000,alpkdce1,"1.368, 4.008, 3.744",0.9,30.0,1,48
20,3.712134,3.462047,0.461,0.395,0.1000,alpkdce1,"1.374, 4.051, 3.783",0.9,30.0,2,51
21,3.705029,3.401243,0.459,0.395,0.1000,alpkdce1,"1.358, 4.007, 3.743",0.9,30.0,3,54
22,3.675744,3.761031,0.461,0.394,0.1000,alpkdce1,"1.363, 3.986, 3.724",0.9,30.0,4,56
23,3.662142,3.663373,0.463,0.396,0.1000,alpkdce1,"1.338, 3.936, 3.676",0.9,30.0,5,59
24,3.655651,3.726618,0.466,0.391,0.1000,alpkdce1,"1.344, 3.958, 3.697",0.9,30.0,6,61
25,3.637932,3.529862,0.466,0.397,0.1000,alpkdce1,"1.342, 3.940, 3.681",0.9,30.0,7,64
26,3.642072,3.515739,0.470,0.403,0.1000,alpkdce1,"1.329, 3.952, 3.690",0.9,30.0,8,67
27,3.615899,3.353234,0.469,0.405,0.1000,alpkdce1,"1.337, 3.921, 3.663",0.9,30.0,0,69
28,3.608321,3.664361,0.468,0.394,0.1000,alpkdce1,"1.350, 3.918, 3.662",0.9,30.0,1,72
29,3.595391,3.598014,0.471,0.400,0.1000,alpkdce1,"1.317, 3.872, 3.617",0.9,30.0,2,75
30,3.576902,3.698268,0.473,0.396,0.1000,alpkdce1,"1.310, 3.858, 3.604",0.9,30.0,3,77
31,3.574892,3.847090,0.472,0.387,0.1000,alpkdce1,"1.312, 3.831, 3.579",0.9,30.0,4,80
32,3.570012,3.730435,0.471,0.403,0.1000,alpkdce1,"1.332, 3.881, 3.626",0.9,30.0,5,82
33,3.538482,3.716693,0.475,0.381,0.1000,alpkdce1,"1.311, 3.857, 3.603",0.9,30.0,6,84
34,3.545926,3.690842,0.475,0.406,0.1000,alpkdce1,"1.325, 3.843, 3.591",0.9,30.0,0,87
35,3.546567,3.899968,0.474,0.378,0.1000,alpkdce1,"1.328, 3.862, 3.608",0.9,30.0,1,89
36,3.523088,3.717339,0.477,0.401,0.1000,alpkdce1,"1.294, 3.817, 3.565",0.9,30.0,2,92
37,3.510076,3.475941,0.479,0.409,0.1000,alpkdce1,"1.301, 3.769, 3.522",0.9,30.0,0,94
38,3.509739,3.840231,0.480,0.393,0.1000,alpkdce1,"1.310, 3.826, 3.575",0.9,30.0,1,97
39,3.512643,4.117992,0.478,0.382,0.1000,alpkdce1,"1.297, 3.788, 3.539",0.9,30.0,2,100
40,3.509948,3.557864,0.479,0.406,0.1000,alpkdce1,"1.319, 3.825, 3.574",0.9,30.0,3,102
41,3.498256,3.510338,0.479,0.399,0.1000,alpkdce1,"1.308, 3.790, 3.542",0.9,30.0,4,105
42,3.494421,4.187913,0.480,0.402,0.1000,alpkdce1,"1.316, 3.814, 3.565",0.9,30.0,5,107
43,3.487966,3.717130,0.482,0.382,0.1000,alpkdce1,"1.295, 3.785, 3.536",0.9,30.0,6,110
44,3.475432,3.638674,0.483,0.399,0.1000,alpkdce1,"1.298, 3.774, 3.527",0.9,30.0,7,112
45,3.478771,3.567627,0.483,0.412,0.1000,alpkdce1,"1.291, 3.753, 3.506",0.9,30.0,0,115
46,3.463596,3.815788,0.484,0.400,0.1000,alpkdce1,"1.260, 3.731, 3.484",0.9,30.0,1,118
47,3.469363,3.741978,0.484,0.396,0.1000,alpkdce1,"1.276, 3.680, 3.440",0.9,30.0,2,120
48,3.467689,3.826314,0.486,0.406,0.1000,alpkdce1,"1.278, 3.771, 3.521",0.9,30.0,3,123
49,3.458658,3.639327,0.482,0.392,0.1000,alpkdce1,"1.302, 3.778, 3.531",0.9,30.0,4,125
50,3.449027,3.688039,0.485,0.416,0.1000,alpkdce1,"1.271, 3.716, 3.471",0.9,30.0,0,128
51,3.444533,3.642375,0.485,0.401,0.1000,alpkdce1,"1.288, 3.717, 3.474",0.9,30.0,1,131
52,3.440611,3.766355,0.485,0.408,0.1000,alpkdce1,"1.287, 3.733, 3.489",0.9,30.0,2,133
53,3.433031,3.773731,0.486,0.400,0.1000,alpkdce1,"1.287, 3.731, 3.487",0.9,30.0,3,136
54,3.437491,3.597838,0.486,0.404,0.1000,alpkdce1,"1.278, 3.731, 3.486",0.9,30.0,4,139
55,3.420548,3.486711,0.486,0.415,0.1000,alpkdce1,"1.273, 3.711, 3.467",0.9,30.0,5,141
56,3.424032,3.437091,0.489,0.411,0.1000,alpkdce1,"1.287, 3.702, 3.461",0.9,30.0,6,144
