_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.860095,2.894302,0.274,0.301,0.1000,NT,0,0
2,1.603062,1.476058,0.540,0.574,0.1000,NT,0,1
3,1.152269,1.100300,0.650,0.666,0.1000,NT,0,1
4,0.948679,0.919072,0.704,0.714,0.1000,NT,0,2
5,0.832061,0.899378,0.734,0.716,0.1000,NT,0,2
6,0.757256,0.852577,0.756,0.732,0.1000,NT,0,3
7,0.702474,0.775366,0.771,0.754,0.1000,NT,0,3
8,0.657364,0.845179,0.785,0.729,0.1000,NT,1,3
9,0.628052,0.805427,0.793,0.745,0.1000,NT,2,4
10,0.597654,0.808366,0.803,0.746,0.1000,NT,3,4
11,0.574910,0.813031,0.809,0.744,0.1000,NT,4,5
12,0.562991,0.719611,0.814,0.770,0.1000,NT,0,5
13,0.546645,0.840433,0.819,0.742,0.1000,NT,1,6
14,0.530450,0.845686,0.823,0.741,0.1000,NT,2,6
15,0.516949,0.797915,0.829,0.746,0.1000,NT,3,7
16,0.503638,0.749076,0.831,0.765,0.1000,NT,4,8
17,0.493894,0.816221,0.836,0.744,0.1000,NT,5,8
18,0.487162,0.777700,0.838,0.758,0.1000,NT,6,9
19,0.482243,0.776740,0.838,0.764,0.1000,NT,7,9
20,0.463023,0.719813,0.845,0.778,0.1000,NT,0,10
21,0.460725,0.891967,0.846,0.735,0.1000,NT,1,10
22,0.452589,0.794509,0.848,0.770,0.1000,NT,2,11
23,0.448869,0.793008,0.850,0.761,0.1000,NT,3,11
24,0.443697,0.801990,0.851,0.753,0.1000,NT,4,12
25,0.438911,0.801722,0.852,0.761,0.1000,NT,5,12
26,0.429029,0.840836,0.857,0.755,0.1000,NT,6,13
27,0.428232,0.685216,0.856,0.785,0.1000,NT,0,13
28,0.419039,0.837242,0.858,0.751,0.1000,NT,1,14
29,0.417626,0.819379,0.858,0.751,0.1000,NT,2,14
30,0.415178,0.743663,0.859,0.768,0.1000,NT,3,15
31,0.405680,0.721824,0.864,0.774,0.1000,NT,4,15
32,0.404367,0.749221,0.863,0.774,0.1000,NT,5,16
33,0.397454,0.741364,0.865,0.775,0.1000,NT,6,16
34,0.396622,0.759660,0.867,0.773,0.1000,NT,7,17
35,0.393951,0.782156,0.869,0.768,0.1000,NT,8,17
36,0.394862,0.835499,0.868,0.758,0.1000,NT,9,18
37,0.388155,0.817372,0.869,0.760,0.1000,NT,10,18
38,0.389546,0.738595,0.868,0.778,0.1000,NT,11,19
39,0.381146,0.883052,0.872,0.747,0.1000,NT,12,19
40,0.383432,0.745589,0.871,0.778,0.1000,NT,13,20
41,0.375502,0.777818,0.874,0.772,0.1000,NT,14,20
42,0.378418,0.824787,0.873,0.751,0.1000,NT,15,21
43,0.375262,0.860634,0.875,0.752,0.1000,NT,16,21
44,0.376479,0.750610,0.874,0.774,0.1000,NT,17,22
45,0.368560,0.815427,0.876,0.763,0.1000,NT,18,22
46,0.369435,0.814133,0.875,0.756,0.1000,NT,19,23
47,0.371663,0.789112,0.875,0.774,0.1000,NT,20,23
48,0.368559,0.865545,0.876,0.748,0.1000,NT,21,24
49,0.367592,0.785438,0.876,0.770,0.1000,NT,22,24
50,0.366277,0.937298,0.877,0.735,0.1000,NT,23,25
51,0.361772,0.782849,0.878,0.769,0.1000,NT,24,25
52,0.369075,0.794473,0.876,0.763,0.1000,NT,25,26
53,0.358372,0.747231,0.879,0.777,0.1000,NT,26,26
54,0.360113,0.906383,0.879,0.749,0.1000,NT,27,27
55,0.356957,0.794771,0.880,0.764,0.1000,NT,28,27
56,0.352847,0.700580,0.882,0.784,0.1000,NT,29,28
57,0.360585,0.856602,0.879,0.755,0.1000,NT,30,28
58,0.358313,0.847479,0.879,0.762,0.1000,NT,31,29
59,0.353898,0.898005,0.881,0.756,0.1000,NT,32,29
60,0.356528,0.815588,0.880,0.766,0.1000,NT,33,30
61,0.352500,0.874247,0.883,0.752,0.1000,NT,34,30
