_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.654285,1.958922,0.234,0.243,0.1000,alpkdce1,"1.653, 0.097, 1.498",0.1,1.0,0,3
2,1.362883,1.895067,0.315,0.266,0.1000,alpkdce1,"1.392, 0.146, 1.268",0.1,1.0,0,6
3,1.212166,1.729245,0.362,0.345,0.1000,alpkdce1,"1.283, 0.175, 1.173",0.1,1.0,0,10
4,1.115446,1.717290,0.399,0.353,0.1000,alpkdce1,"1.177, 0.210, 1.080",0.1,1.0,0,13
5,1.055573,1.579158,0.422,0.385,0.1000,alpkdce1,"1.131, 0.218, 1.040",0.1,1.0,0,16
6,1.009340,1.587281,0.444,0.395,0.1000,alpkdce1,"1.091, 0.225, 1.004",0.1,1.0,0,19
7,0.981412,1.503499,0.456,0.416,0.1000,alpkdce1,"1.057, 0.230, 0.975",0.1,1.0,0,23
8,0.951436,1.487544,0.467,0.419,0.1000,alpkdce1,"1.024, 0.238, 0.945",0.1,1.0,0,26
9,0.932222,1.479317,0.476,0.430,0.1000,alpkdce1,"1.004, 0.250, 0.928",0.1,1.0,0,29
10,0.912255,1.474756,0.484,0.433,0.1000,alpkdce1,"0.983, 0.246, 0.909",0.1,1.0,0,33
11,0.895571,1.478257,0.489,0.433,0.1000,alpkdce1,"0.971, 0.266, 0.900",0.1,1.0,1,36
12,0.885096,1.516682,0.495,0.427,0.1000,alpkdce1,"0.952, 0.282, 0.885",0.1,1.0,2,39
13,0.870913,1.455752,0.500,0.429,0.1000,alpkdce1,"0.935, 0.290, 0.871",0.1,1.0,3,43
14,0.863024,1.421640,0.503,0.453,0.1000,alpkdce1,"0.923, 0.307, 0.862",0.1,1.0,0,46
15,0.852824,1.518715,0.506,0.427,0.1000,alpkdce1,"0.922, 0.329, 0.862",0.1,1.0,1,49
16,0.845746,1.443272,0.507,0.446,0.1000,alpkdce1,"0.895, 0.354, 0.841",0.1,1.0,2,53
17,0.834220,1.406058,0.511,0.453,0.1000,alpkdce1,"0.893, 0.351, 0.839",0.1,1.0,0,56
18,0.828925,1.388744,0.514,0.463,0.1000,alpkdce1,"0.904, 0.336, 0.847",0.1,1.0,0,59
19,0.821766,1.488652,0.516,0.442,0.1000,alpkdce1,"0.875, 0.384, 0.826",0.1,1.0,1,63
20,0.818542,1.368348,0.517,0.473,0.1000,alpkdce1,"0.881, 0.360, 0.829",0.1,1.0,0,66
21,0.815452,1.431212,0.519,0.448,0.1000,alpkdce1,"0.866, 0.349, 0.815",0.1,1.0,1,69
22,0.808936,1.377260,0.521,0.465,0.1000,alpkdce1,"0.880, 0.356, 0.828",0.1,1.0,2,73
23,0.805782,1.493938,0.526,0.439,0.1000,alpkdce1,"0.849, 0.375, 0.802",0.1,1.0,3,76
24,0.798814,1.405578,0.526,0.450,0.1000,alpkdce1,"0.860, 0.361, 0.810",0.1,1.0,4,79
25,0.790544,1.382980,0.531,0.466,0.1000,alpkdce1,"0.840, 0.383, 0.794",0.1,1.0,5,83
