_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.917254,1.923745,0.234,0.273,0.1000,alp,"1.708, 0.099, 1.757",0.5,1.0,0,3
2,1.612025,1.770536,0.317,0.324,0.1000,alp,"1.466, 0.125, 1.528",0.5,1.0,0,6
3,1.447910,1.687107,0.367,0.355,0.1000,alp,"1.333, 0.142, 1.404",0.5,1.0,0,10
4,1.342758,1.577526,0.401,0.373,0.1000,alp,"1.234, 0.152, 1.310",0.5,1.0,0,13
5,1.269906,1.515126,0.429,0.411,0.1000,alp,"1.160, 0.160, 1.240",0.5,1.0,0,17
6,1.220661,1.500909,0.446,0.417,0.1000,alp,"1.122, 0.166, 1.205",0.5,1.0,0,21
7,1.179160,1.484729,0.466,0.426,0.1000,alp,"1.104, 0.166, 1.187",0.5,1.0,0,24
8,1.154494,1.425273,0.474,0.444,0.1000,alp,"1.056, 0.170, 1.141",0.5,1.0,0,28
9,1.128298,1.407728,0.486,0.453,0.1000,alp,"1.039, 0.170, 1.124",0.5,1.0,0,31
10,1.107628,1.396543,0.494,0.462,0.1000,alp,"1.019, 0.174, 1.106",0.5,1.0,0,35
11,1.094922,1.397708,0.498,0.453,0.1000,alp,"1.011, 0.174, 1.098",0.5,1.0,1,38
12,1.079408,1.358235,0.505,0.465,0.1000,alp,"0.995, 0.172, 1.081",0.5,1.0,0,42
13,1.066673,1.377981,0.511,0.467,0.1000,alp,"0.977, 0.178, 1.066",0.5,1.0,0,45
14,1.055389,1.394080,0.515,0.465,0.1000,alp,"0.964, 0.176, 1.052",0.5,1.0,1,49
15,1.045037,1.380904,0.519,0.465,0.1000,alp,"0.970, 0.179, 1.060",0.5,1.0,2,53
16,1.037210,1.348937,0.520,0.475,0.1000,alp,"0.953, 0.177, 1.041",0.5,1.0,0,56
17,1.030154,1.434140,0.525,0.446,0.1000,alp,"0.946, 0.178, 1.035",0.5,1.0,1,60
18,1.022386,1.355730,0.527,0.473,0.1000,alp,"0.927, 0.178, 1.016",0.5,1.0,2,63
19,1.014989,1.354829,0.531,0.471,0.1000,alp,"0.932, 0.182, 1.023",0.5,1.0,3,67
20,1.008348,1.376684,0.534,0.469,0.1000,alp,"0.935, 0.179, 1.024",0.5,1.0,4,70
21,1.001728,1.339105,0.536,0.484,0.1000,alp,"0.918, 0.176, 1.006",0.5,1.0,0,74
22,0.998324,1.377111,0.539,0.462,0.1000,alp,"0.915, 0.184, 1.007",0.5,1.0,1,77
23,0.995040,1.359910,0.539,0.476,0.1000,alp,"0.906, 0.185, 0.999",0.5,1.0,2,81
24,0.986689,1.323398,0.539,0.487,0.1000,alp,"0.908, 0.180, 0.998",0.5,1.0,0,85
25,0.982862,1.412168,0.543,0.463,0.1000,alp,"0.901, 0.183, 0.992",0.5,1.0,1,88
26,0.980317,1.422160,0.544,0.461,0.1000,alp,"0.898, 0.185, 0.991",0.5,1.0,2,92
27,0.972476,1.312931,0.546,0.491,0.1000,alp,"0.890, 0.182, 0.981",0.5,1.0,0,95
28,0.972877,1.315446,0.548,0.486,0.1000,alp,"0.891, 0.186, 0.984",0.5,1.0,1,99
29,0.964268,1.332045,0.550,0.482,0.1000,alp,"0.881, 0.184, 0.973",0.5,1.0,2,102
30,0.963112,1.343316,0.551,0.475,0.1000,alp,"0.876, 0.184, 0.968",0.5,1.0,3,106
31,0.958148,1.317713,0.551,0.485,0.1000,alp,"0.866, 0.185, 0.959",0.5,1.0,4,109
32,0.960178,1.358189,0.551,0.482,0.1000,alp,"0.886, 0.184, 0.978",0.5,1.0,5,113
33,0.953220,1.337870,0.554,0.482,0.1000,alp,"0.885, 0.184, 0.977",0.5,1.0,6,117
34,0.953337,1.334820,0.555,0.481,0.1000,alp,"0.868, 0.188, 0.962",0.5,1.0,7,120
35,0.949023,1.363060,0.555,0.480,0.1000,alp,"0.856, 0.187, 0.950",0.5,1.0,8,124
36,0.946922,1.371804,0.558,0.476,0.1000,alp,"0.862, 0.188, 0.956",0.5,1.0,9,127
37,0.943046,1.335651,0.558,0.482,0.1000,alp,"0.869, 0.186, 0.962",0.5,1.0,10,131
38,0.941084,1.302258,0.560,0.493,0.1000,alp,"0.855, 0.187, 0.949",0.5,1.0,0,134
39,0.936569,1.328972,0.559,0.495,0.1000,alp,"0.838, 0.187, 0.932",0.5,1.0,0,138
40,0.938415,1.286224,0.559,0.504,0.1000,alp,"0.857, 0.186, 0.951",0.5,1.0,0,141
41,0.932278,1.329713,0.560,0.487,0.1000,alp,"0.849, 0.190, 0.944",0.5,1.0,1,145
42,0.931962,1.288796,0.562,0.500,0.1000,alp,"0.848, 0.187, 0.942",0.5,1.0,2,149
43,0.930289,1.315057,0.560,0.492,0.1000,alp,"0.848, 0.190, 0.943",0.5,1.0,3,152
44,0.929835,1.322356,0.563,0.486,0.1000,alp,"0.849, 0.188, 0.943",0.5,1.0,4,156
45,0.925500,1.351377,0.566,0.482,0.1000,alp,"0.846, 0.188, 0.940",0.5,1.0,5,159
46,0.922729,1.298225,0.564,0.487,0.1000,alp,"0.833, 0.187, 0.927",0.5,1.0,6,163
47,0.923440,1.302795,0.565,0.497,0.1000,alp,"0.850, 0.187, 0.943",0.5,1.0,7,166
48,0.921930,1.315365,0.565,0.488,0.1000,alp,"0.820, 0.190, 0.915",0.5,1.0,8,170
49,0.920558,1.339064,0.564,0.479,0.1000,alp,"0.831, 0.190, 0.926",0.5,1.0,9,174
50,0.920642,1.325723,0.564,0.491,0.1000,alp,"0.832, 0.190, 0.926",0.5,1.0,10,177
51,0.916144,1.338860,0.569,0.484,0.1000,alp,"0.838, 0.187, 0.932",0.5,1.0,11,181
52,0.913928,1.302589,0.568,0.492,0.1000,alp,"0.839, 0.190, 0.934",0.5,1.0,12,184
53,0.914017,1.317952,0.569,0.494,0.1000,alp,"0.823, 0.193, 0.919",0.5,1.0,13,188
54,0.912368,1.326330,0.569,0.493,0.1000,alp,"0.826, 0.190, 0.921",0.5,1.0,14,191
55,0.914307,1.337793,0.567,0.479,0.1000,alp,"0.845, 0.186, 0.938",0.5,1.0,15,195
56,0.910580,1.305369,0.570,0.492,0.1000,alp,"0.824, 0.191, 0.920",0.5,1.0,16,199
57,0.907184,1.305475,0.569,0.487,0.1000,alp,"0.813, 0.190, 0.908",0.5,1.0,17,202
58,0.907363,1.300511,0.569,0.500,0.1000,alp,"0.824, 0.190, 0.919",0.5,1.0,18,206
59,0.905383,1.306977,0.572,0.492,0.1000,alp,"0.815, 0.190, 0.910",0.5,1.0,19,209
60,0.907490,1.330960,0.569,0.491,0.1000,alp,"0.821, 0.191, 0.916",0.5,1.0,20,213
61,0.902843,1.335389,0.571,0.489,0.1000,alp,"0.816, 0.191, 0.912",0.5,1.0,21,216
62,0.902459,1.306886,0.571,0.499,0.1000,alp,"0.826, 0.191, 0.921",0.5,1.0,22,220
63,0.904206,1.321613,0.573,0.496,0.1000,alp,"0.823, 0.190, 0.917",0.5,1.0,23,224
64,0.902552,1.328229,0.570,0.488,0.1000,alp,"0.817, 0.191, 0.912",0.5,1.0,24,227
65,0.897853,1.309525,0.574,0.489,0.1000,alp,"0.804, 0.191, 0.900",0.5,1.0,25,231
66,0.899377,1.312282,0.574,0.496,0.1000,alp,"0.816, 0.192, 0.913",0.5,1.0,26,234
67,0.900467,1.330876,0.576,0.491,0.1000,alp,"0.814, 0.193, 0.911",0.5,1.0,27,238
68,0.900541,1.316299,0.574,0.496,0.1000,alp,"0.809, 0.196, 0.907",0.5,1.0,28,242
69,0.898413,1.299591,0.573,0.498,0.1000,alp,"0.814, 0.191, 0.909",0.5,1.0,29,245
70,0.896420,1.303655,0.576,0.502,0.1000,alp,"0.799, 0.190, 0.894",0.5,1.0,30,249
71,0.895556,1.343492,0.576,0.485,0.1000,alp,"0.815, 0.193, 0.912",0.5,1.0,31,252
72,0.895435,1.308099,0.572,0.496,0.1000,alp,"0.809, 0.194, 0.906",0.5,1.0,32,256
73,0.895174,1.299815,0.575,0.492,0.1000,alp,"0.803, 0.193, 0.899",0.5,1.0,33,259
74,0.890915,1.279801,0.576,0.505,0.1000,alp,"0.810, 0.192, 0.905",0.5,1.0,0,263
75,0.890156,1.339077,0.577,0.498,0.1000,alp,"0.796, 0.195, 0.893",0.5,1.0,1,266
76,0.891676,1.266222,0.575,0.504,0.1000,alp,"0.814, 0.190, 0.909",0.5,1.0,2,270
77,0.892011,1.318929,0.578,0.496,0.1000,alp,"0.807, 0.194, 0.905",0.5,1.0,3,274
78,0.891239,1.324109,0.576,0.486,0.1000,alp,"0.805, 0.196, 0.903",0.5,1.0,4,277
79,0.890479,1.311313,0.578,0.494,0.1000,alp,"0.819, 0.193, 0.916",0.5,1.0,5,281
80,0.888752,1.322306,0.576,0.493,0.1000,alp,"0.812, 0.195, 0.909",0.5,1.0,6,284
81,0.884298,1.290638,0.580,0.503,0.1000,alp,"0.784, 0.191, 0.880",0.5,1.0,7,288
82,0.886950,1.286125,0.578,0.499,0.1000,alp,"0.802, 0.195, 0.900",0.5,1.0,8,291
83,0.884761,1.318092,0.577,0.493,0.1000,alp,"0.804, 0.197, 0.902",0.5,1.0,9,295
84,0.883147,1.285065,0.579,0.503,0.1000,alp,"0.800, 0.194, 0.897",0.5,1.0,10,298
85,0.883769,1.306389,0.578,0.493,0.1000,alp,"0.814, 0.195, 0.911",0.5,1.0,11,302
86,0.885855,1.265320,0.578,0.510,0.1000,alp,"0.806, 0.193, 0.902",0.5,1.0,0,306
87,0.883519,1.307225,0.579,0.495,0.1000,alp,"0.806, 0.193, 0.903",0.5,1.0,1,309
88,0.880221,1.329353,0.581,0.484,0.1000,alp,"0.788, 0.196, 0.886",0.5,1.0,2,313
89,0.881231,1.293160,0.579,0.497,0.1000,alp,"0.793, 0.193, 0.889",0.5,1.0,3,316
90,0.881561,1.309197,0.580,0.499,0.1000,alp,"0.787, 0.192, 0.883",0.5,1.0,4,320
91,0.880639,1.300794,0.580,0.496,0.1000,alp,"0.799, 0.195, 0.897",0.5,1.0,5,323
92,0.879458,1.300435,0.577,0.505,0.1000,alp,"0.784, 0.195, 0.881",0.5,1.0,6,327
93,0.879720,1.314183,0.580,0.484,0.1000,alp,"0.784, 0.192, 0.879",0.5,1.0,7,330
94,0.877296,1.326169,0.581,0.493,0.1000,alp,"0.798, 0.192, 0.893",0.5,1.0,8,334
95,0.877795,1.331142,0.581,0.489,0.1000,alp,"0.798, 0.192, 0.894",0.5,1.0,9,338
96,0.878652,1.334171,0.581,0.479,0.1000,alp,"0.800, 0.192, 0.897",0.5,1.0,10,341
97,0.877592,1.311995,0.583,0.491,0.1000,alp,"0.787, 0.195, 0.884",0.5,1.0,11,345
98,0.876460,1.307459,0.584,0.494,0.1000,alp,"0.802, 0.193, 0.898",0.5,1.0,12,348
99,0.878049,1.358201,0.582,0.485,0.1000,alp,"0.784, 0.195, 0.881",0.5,1.0,13,352
100,0.875464,1.308872,0.583,0.496,0.1000,alp,"0.808, 0.193, 0.905",0.5,1.0,14,355
101,0.745724,1.202758,0.635,0.532,0.0100,alp,"0.630, 0.196, 0.728",0.5,1.0,0,359
102,0.701334,1.202350,0.653,0.536,0.0100,alp,"0.594, 0.195, 0.692",0.5,1.0,0,362
103,0.684275,1.199035,0.660,0.535,0.0100,alp,"0.585, 0.195, 0.682",0.5,1.0,1,366
104,0.670780,1.214978,0.667,0.532,0.0100,alp,"0.560, 0.197, 0.659",0.5,1.0,2,370
105,0.659693,1.230452,0.670,0.527,0.0100,alp,"0.574, 0.195, 0.671",0.5,1.0,3,373
106,0.652296,1.237327,0.674,0.536,0.0100,alp,"0.559, 0.198, 0.658",0.5,1.0,4,377
107,0.643835,1.244512,0.680,0.527,0.0100,alp,"0.554, 0.197, 0.653",0.5,1.0,5,380
108,0.635753,1.230737,0.682,0.535,0.0100,alp,"0.540, 0.198, 0.639",0.5,1.0,6,384
109,0.629443,1.245785,0.685,0.529,0.0100,alp,"0.537, 0.195, 0.635",0.5,1.0,7,387
110,0.621430,1.261842,0.689,0.525,0.0100,alp,"0.534, 0.195, 0.632",0.5,1.0,8,391
111,0.615892,1.273299,0.692,0.525,0.0100,alp,"0.518, 0.194, 0.615",0.5,1.0,9,394
112,0.608507,1.278392,0.696,0.520,0.0100,alp,"0.519, 0.199, 0.618",0.5,1.0,10,398
113,0.604435,1.291061,0.696,0.525,0.0100,alp,"0.512, 0.198, 0.611",0.5,1.0,11,402
114,0.599428,1.304572,0.698,0.518,0.0100,alp,"0.511, 0.199, 0.611",0.5,1.0,12,405
115,0.592805,1.300372,0.704,0.524,0.0100,alp,"0.495, 0.199, 0.595",0.5,1.0,13,409
116,0.587464,1.309671,0.706,0.514,0.0100,alp,"0.487, 0.200, 0.587",0.5,1.0,14,412
117,0.584607,1.322536,0.706,0.511,0.0100,alp,"0.497, 0.201, 0.598",0.5,1.0,15,416
118,0.579109,1.310817,0.709,0.521,0.0100,alp,"0.493, 0.202, 0.594",0.5,1.0,16,419
119,0.572595,1.341211,0.713,0.512,0.0100,alp,"0.482, 0.203, 0.583",0.5,1.0,17,423
120,0.569147,1.344288,0.716,0.510,0.0100,alp,"0.474, 0.201, 0.574",0.5,1.0,18,427
121,0.566665,1.345340,0.715,0.514,0.0100,alp,"0.482, 0.199, 0.582",0.5,1.0,19,430
122,0.562558,1.342931,0.717,0.514,0.0100,alp,"0.474, 0.200, 0.574",0.5,1.0,20,434
