_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.030787,1.920672,0.241,0.269,0.1000,AT,0,3
2,1.817193,1.898424,0.309,0.281,0.1000,AT,0,6
3,1.686009,1.717421,0.358,0.337,0.1000,AT,0,9
4,1.584605,1.607662,0.394,0.366,0.1000,AT,0,12
5,1.505330,1.719763,0.425,0.344,0.1000,AT,1,16
6,1.450958,1.500215,0.447,0.418,0.1000,AT,0,19
7,1.402252,1.453494,0.463,0.432,0.1000,AT,0,22
8,1.367714,1.441854,0.476,0.438,0.1000,AT,0,25
9,1.339979,1.438741,0.489,0.440,0.1000,AT,0,28
10,1.317547,1.393476,0.496,0.454,0.1000,AT,0,32
11,1.299550,1.411386,0.506,0.455,0.1000,AT,0,35
12,1.279465,1.396104,0.512,0.460,0.1000,AT,0,38
13,1.266460,1.362797,0.517,0.467,0.1000,AT,0,41
14,1.251857,1.377231,0.521,0.466,0.1000,AT,1,44
15,1.242721,1.372564,0.526,0.464,0.1000,AT,2,48
16,1.233298,1.347212,0.530,0.474,0.1000,AT,0,51
17,1.223152,1.374439,0.534,0.466,0.1000,AT,1,54
18,1.216207,1.361521,0.536,0.477,0.1000,AT,0,57
19,1.209671,1.358458,0.536,0.473,0.1000,AT,1,60
20,1.201035,1.331352,0.540,0.485,0.1000,AT,0,63
21,1.195069,1.354004,0.544,0.477,0.1000,AT,1,67
22,1.190223,1.302939,0.544,0.493,0.1000,AT,0,70
23,1.181855,1.292805,0.549,0.501,0.1000,AT,0,73
24,1.176779,1.340598,0.550,0.480,0.1000,AT,1,76
25,1.172538,1.293235,0.548,0.498,0.1000,AT,2,80
26,1.166964,1.287457,0.552,0.500,0.1000,AT,3,83
27,1.161959,1.371614,0.554,0.476,0.1000,AT,4,86
28,1.157927,1.309922,0.556,0.489,0.1000,AT,5,89
29,1.155695,1.400688,0.557,0.463,0.1000,AT,6,92
30,1.152277,1.363250,0.559,0.481,0.1000,AT,7,96
31,1.148802,1.298783,0.559,0.498,0.1000,AT,8,99
32,1.144137,1.340797,0.562,0.487,0.1000,AT,9,102
33,1.144531,1.289791,0.560,0.499,0.1000,AT,10,105
34,1.139775,1.306991,0.563,0.491,0.1000,AT,11,108
35,1.133542,1.353176,0.564,0.488,0.1000,AT,12,111
36,1.132085,1.338217,0.563,0.478,0.1000,AT,13,115
37,1.129283,1.328507,0.565,0.483,0.1000,AT,14,118
38,1.129100,1.323183,0.565,0.495,0.1000,AT,15,121
39,1.124928,1.342676,0.568,0.483,0.1000,AT,16,124
40,1.120652,1.356655,0.568,0.488,0.1000,AT,17,127
41,1.120386,1.282605,0.569,0.501,0.1000,AT,18,131
42,1.119287,1.318621,0.568,0.492,0.1000,AT,19,134
43,1.118186,1.346314,0.570,0.486,0.1000,AT,20,137
44,1.112049,1.358920,0.570,0.485,0.1000,AT,21,140
45,1.108977,1.372001,0.572,0.481,0.1000,AT,22,143
46,1.110373,1.305680,0.572,0.496,0.1000,AT,23,147
47,1.110701,1.320382,0.571,0.495,0.1000,AT,24,150
48,1.106379,1.335245,0.572,0.492,0.1000,AT,25,153
49,1.107343,1.332566,0.573,0.492,0.1000,AT,26,156
50,1.107018,1.302651,0.575,0.500,0.1000,AT,27,159
51,1.102221,1.267946,0.574,0.507,0.1000,AT,0,163
52,1.097553,1.324262,0.576,0.488,0.1000,AT,1,166
53,1.100989,1.306056,0.576,0.502,0.1000,AT,2,169
54,1.094905,1.293113,0.578,0.504,0.1000,AT,3,172
55,1.097495,1.334492,0.575,0.488,0.1000,AT,4,175
56,1.092179,1.291583,0.578,0.505,0.1000,AT,5,178
57,1.093651,1.335987,0.578,0.490,0.1000,AT,6,181
58,1.092197,1.304240,0.575,0.500,0.1000,AT,7,185
59,1.089718,1.302419,0.579,0.502,0.1000,AT,8,188
60,1.085666,1.335588,0.578,0.497,0.1000,AT,9,191
61,1.089745,1.304166,0.577,0.500,0.1000,AT,10,194
62,1.085733,1.273241,0.581,0.512,0.1000,AT,0,197
63,1.085010,1.334406,0.581,0.492,0.1000,AT,1,201
64,1.084948,1.347509,0.582,0.493,0.1000,AT,2,204
65,1.084827,1.253284,0.579,0.520,0.1000,AT,0,207
66,1.081259,1.378428,0.583,0.483,0.1000,AT,1,210
67,1.084228,1.332682,0.582,0.495,0.1000,AT,2,213
68,1.081317,1.365862,0.584,0.484,0.1000,AT,3,217
69,1.081378,1.302072,0.580,0.502,0.1000,AT,4,220
70,1.075277,1.326704,0.583,0.500,0.1000,AT,5,223
71,1.079221,1.327325,0.585,0.493,0.1000,AT,6,226
72,1.075120,1.364792,0.585,0.489,0.1000,AT,7,229
73,1.074161,1.327283,0.584,0.494,0.1000,AT,8,233
74,1.074561,1.279382,0.584,0.512,0.1000,AT,9,236
75,1.072091,1.331292,0.584,0.499,0.1000,AT,10,239
76,1.072164,1.342729,0.584,0.492,0.1000,AT,11,242
77,1.071234,1.294553,0.584,0.511,0.1000,AT,12,245
78,1.073699,1.287421,0.582,0.512,0.1000,AT,13,248
79,1.067797,1.310641,0.586,0.493,0.1000,AT,14,251
80,1.067335,1.306361,0.584,0.508,0.1000,AT,15,254
81,1.069310,1.319698,0.586,0.500,0.1000,AT,16,258
82,1.065285,1.298868,0.586,0.501,0.1000,AT,17,261
83,1.066666,1.353591,0.585,0.495,0.1000,AT,18,264
84,1.067200,1.315459,0.585,0.498,0.1000,AT,19,267
85,1.065128,1.294213,0.588,0.502,0.1000,AT,20,270
86,1.066742,1.314558,0.587,0.503,0.1000,AT,21,274
87,1.066847,1.278013,0.585,0.508,0.1000,AT,22,277
88,1.061814,1.322835,0.588,0.495,0.1000,AT,23,280
89,1.062675,1.324799,0.586,0.488,0.1000,AT,24,283
90,1.059073,1.354833,0.589,0.485,0.1000,AT,25,286
91,1.063282,1.285545,0.586,0.506,0.1000,AT,26,289
92,1.060191,1.329004,0.587,0.500,0.1000,AT,27,292
93,1.058288,1.326490,0.587,0.491,0.1000,AT,28,296
94,1.062755,1.337062,0.587,0.496,0.1000,AT,29,299
95,1.063841,1.287206,0.585,0.515,0.1000,AT,30,302
96,1.059594,1.341267,0.588,0.493,0.1000,AT,31,305
97,1.057002,1.347104,0.590,0.494,0.1000,AT,32,308
98,1.061000,1.271097,0.589,0.509,0.1000,AT,33,311
99,1.059726,1.325780,0.589,0.501,0.1000,AT,34,315
100,1.058973,1.311667,0.590,0.500,0.1000,AT,35,318
101,0.920680,1.183194,0.635,0.547,0.0100,AT,0,321
102,0.870359,1.188244,0.652,0.552,0.0100,AT,0,324
103,0.846772,1.211365,0.659,0.547,0.0100,AT,1,327
104,0.829193,1.213053,0.664,0.550,0.0100,AT,2,330
105,0.818783,1.232847,0.670,0.548,0.0100,AT,3,334
106,0.806316,1.273895,0.674,0.541,0.0100,AT,4,337
107,0.795740,1.286373,0.677,0.545,0.0100,AT,5,340
108,0.787635,1.298757,0.677,0.540,0.0100,AT,6,343
109,0.776075,1.312367,0.682,0.541,0.0100,AT,7,346
110,0.768385,1.312693,0.684,0.542,0.0100,AT,8,349
111,0.758610,1.345409,0.687,0.538,0.0100,AT,9,353
112,0.754345,1.373931,0.688,0.532,0.0100,AT,10,356
113,0.745185,1.356789,0.692,0.537,0.0100,AT,11,359
114,0.740369,1.399737,0.691,0.534,0.0100,AT,12,362
115,0.732587,1.432068,0.695,0.527,0.0100,AT,13,365
116,0.726269,1.426849,0.698,0.530,0.0100,AT,14,369
117,0.720372,1.463867,0.700,0.527,0.0100,AT,15,372
118,0.714143,1.462362,0.701,0.532,0.0100,AT,16,375
119,0.710351,1.489760,0.703,0.525,0.0100,AT,17,378
120,0.703436,1.524367,0.706,0.523,0.0100,AT,18,381
121,0.702111,1.519339,0.706,0.522,0.0100,AT,19,384
122,0.694599,1.523594,0.708,0.515,0.0100,AT,20,388
123,0.688108,1.548156,0.710,0.516,0.0100,AT,21,391
124,0.685974,1.585951,0.710,0.521,0.0100,AT,22,394
125,0.679159,1.595948,0.713,0.514,0.0100,AT,23,397
126,0.677180,1.580013,0.713,0.514,0.0100,AT,24,400
127,0.675236,1.638895,0.716,0.506,0.0100,AT,25,403
128,0.670127,1.582155,0.716,0.511,0.0100,AT,26,407
129,0.665542,1.623649,0.716,0.513,0.0100,AT,27,410
130,0.665061,1.661347,0.719,0.506,0.0100,AT,28,413
131,0.660822,1.671097,0.719,0.506,0.0100,AT,29,416
132,0.656113,1.669654,0.721,0.511,0.0100,AT,30,419
133,0.655230,1.674896,0.720,0.504,0.0100,AT,31,422
134,0.655300,1.691488,0.721,0.505,0.0100,AT,32,426
135,0.647328,1.702152,0.724,0.507,0.0100,AT,33,429
136,0.646002,1.725287,0.724,0.502,0.0100,AT,34,432
137,0.647094,1.737540,0.724,0.504,0.0100,AT,35,435
138,0.639236,1.766762,0.727,0.504,0.0100,AT,36,438
139,0.640958,1.758200,0.727,0.496,0.0100,AT,37,441
140,0.636431,1.745083,0.729,0.498,0.0100,AT,38,444
141,0.633199,1.774853,0.730,0.499,0.0100,AT,39,448
142,0.631853,1.719644,0.730,0.494,0.0100,AT,40,451
143,0.624084,1.760190,0.733,0.496,0.0100,AT,41,454
144,0.620418,1.783040,0.735,0.501,0.0100,AT,42,457
145,0.621824,1.830078,0.734,0.490,0.0100,AT,43,460
146,0.620831,1.897119,0.734,0.486,0.0100,AT,44,463
147,0.614986,1.889130,0.738,0.490,0.0100,AT,45,467
148,0.612766,1.833985,0.737,0.491,0.0100,AT,46,470
149,0.611190,1.883732,0.739,0.490,0.0100,AT,47,473
150,0.616013,1.890200,0.735,0.483,0.0100,AT,48,476
151,0.519050,1.963398,0.778,0.494,0.0010,AT,49,479
152,0.481334,2.045473,0.791,0.496,0.0010,AT,50,483
153,0.466169,2.112729,0.796,0.493,0.0010,AT,51,486
154,0.454317,2.145296,0.800,0.488,0.0010,AT,52,489
155,0.445371,2.197478,0.803,0.491,0.0010,AT,53,492
156,0.437074,2.290207,0.807,0.486,0.0010,AT,54,495
157,0.428356,2.316070,0.810,0.488,0.0010,AT,55,499
158,0.424551,2.363060,0.811,0.481,0.0010,AT,56,502
159,0.419804,2.382215,0.814,0.482,0.0010,AT,57,505
160,0.412814,2.453236,0.818,0.482,0.0010,AT,58,508
161,0.411420,2.394912,0.817,0.486,0.0010,AT,59,511
162,0.406523,2.488465,0.820,0.482,0.0010,AT,60,514
163,0.402143,2.581336,0.822,0.483,0.0010,AT,61,517
164,0.397185,2.543333,0.823,0.477,0.0010,AT,62,521
165,0.393559,2.632899,0.825,0.476,0.0010,AT,63,524
166,0.388927,2.638939,0.827,0.480,0.0010,AT,64,527
167,0.385209,2.649107,0.827,0.477,0.0010,AT,65,530
168,0.381432,2.713296,0.830,0.477,0.0010,AT,66,533
169,0.378564,2.670546,0.829,0.479,0.0010,AT,67,536
170,0.374924,2.769613,0.832,0.475,0.0010,AT,68,540
171,0.373627,2.712720,0.833,0.473,0.0010,AT,69,543
172,0.370947,2.757190,0.834,0.476,0.0010,AT,70,546
173,0.367231,2.859719,0.836,0.471,0.0010,AT,71,549
174,0.362331,2.896971,0.837,0.473,0.0010,AT,72,552
175,0.362684,2.858984,0.838,0.474,0.0010,AT,73,555
176,0.358674,2.916474,0.839,0.471,0.0010,AT,74,558
177,0.358992,2.933880,0.839,0.468,0.0010,AT,75,562
178,0.354327,2.936708,0.842,0.469,0.0010,AT,76,565
179,0.349685,3.030657,0.843,0.471,0.0010,AT,77,568
180,0.348375,3.006004,0.844,0.471,0.0010,AT,78,571
181,0.344940,3.032735,0.845,0.469,0.0010,AT,79,574
182,0.343014,3.041726,0.847,0.471,0.0010,AT,80,578
183,0.341432,3.179854,0.846,0.465,0.0010,AT,81,581
184,0.335385,3.152697,0.851,0.462,0.0010,AT,82,584
185,0.336467,3.140356,0.850,0.465,0.0010,AT,83,587
186,0.331365,3.181340,0.852,0.465,0.0010,AT,84,590
187,0.332729,3.242384,0.851,0.465,0.0010,AT,85,593
188,0.328774,3.176633,0.853,0.467,0.0010,AT,86,596
189,0.325214,3.222077,0.855,0.463,0.0010,AT,87,600
190,0.323633,3.293075,0.854,0.466,0.0010,AT,88,603
