_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.486926,2.083905,0.253,0.223,0.1000,alpkdce1,"0.934, 1.864, 1.399",0.5,1.0,0,3
2,1.316612,1.783429,0.338,0.318,0.1000,alpkdce1,"0.850, 1.695, 1.273",0.5,1.0,0,6
3,1.219860,1.803382,0.381,0.319,0.1000,alpkdce1,"0.791, 1.578, 1.185",0.5,1.0,0,10
4,1.152909,1.568674,0.413,0.382,0.1000,alpkdce1,"0.762, 1.519, 1.140",0.5,1.0,0,13
5,1.103216,1.514909,0.436,0.419,0.1000,alpkdce1,"0.735, 1.464, 1.099",0.5,1.0,0,17
6,1.065128,1.461690,0.459,0.438,0.1000,alpkdce1,"0.707, 1.410, 1.059",0.5,1.0,0,20
7,1.036552,1.498371,0.471,0.414,0.1000,alpkdce1,"0.693, 1.382, 1.038",0.5,1.0,1,24
8,1.012149,1.415724,0.484,0.453,0.1000,alpkdce1,"0.677, 1.349, 1.013",0.5,1.0,0,27
9,0.995602,1.410357,0.494,0.456,0.1000,alpkdce1,"0.670, 1.334, 1.002",0.5,1.0,0,30
10,0.975768,1.421084,0.503,0.449,0.1000,alpkdce1,"0.657, 1.310, 0.983",0.5,1.0,1,34
11,0.964113,1.389552,0.507,0.458,0.1000,alpkdce1,"0.640, 1.275, 0.957",0.5,1.0,0,37
12,0.955663,1.365460,0.512,0.471,0.1000,alpkdce1,"0.642, 1.280, 0.961",0.5,1.0,0,41
13,0.941470,1.407397,0.521,0.457,0.1000,alpkdce1,"0.630, 1.255, 0.943",0.5,1.0,1,44
14,0.935048,1.341912,0.524,0.482,0.1000,alpkdce1,"0.625, 1.245, 0.935",0.5,1.0,0,48
15,0.925192,1.404305,0.530,0.469,0.1000,alpkdce1,"0.619, 1.233, 0.926",0.5,1.0,1,51
16,0.919331,1.357484,0.532,0.470,0.1000,alpkdce1,"0.621, 1.237, 0.929",0.5,1.0,2,54
17,0.913500,1.373948,0.534,0.471,0.1000,alpkdce1,"0.615, 1.226, 0.920",0.5,1.0,3,58
18,0.905746,1.364219,0.538,0.472,0.1000,alpkdce1,"0.609, 1.213, 0.911",0.5,1.0,4,61
19,0.900179,1.368971,0.541,0.473,0.1000,alpkdce1,"0.606, 1.207, 0.907",0.5,1.0,5,65
20,0.900481,1.361037,0.537,0.478,0.1000,alpkdce1,"0.599, 1.195, 0.897",0.5,1.0,6,68
21,0.889518,1.330220,0.545,0.485,0.1000,alpkdce1,"0.593, 1.182, 0.888",0.5,1.0,0,71
22,0.886444,1.344616,0.546,0.479,0.1000,alpkdce1,"0.591, 1.178, 0.885",0.5,1.0,1,75
23,0.881015,1.327271,0.549,0.491,0.1000,alpkdce1,"0.590, 1.176, 0.883",0.5,1.0,0,78
24,0.879957,1.382376,0.550,0.466,0.1000,alpkdce1,"0.589, 1.174, 0.882",0.5,1.0,1,82
25,0.873657,1.354261,0.553,0.488,0.1000,alpkdce1,"0.585, 1.165, 0.875",0.5,1.0,2,85
26,0.873127,1.342660,0.554,0.485,0.1000,alpkdce1,"0.591, 1.178, 0.885",0.5,1.0,3,89
27,0.868283,1.298710,0.556,0.498,0.1000,alpkdce1,"0.587, 1.169, 0.878",0.5,1.0,0,92
28,0.863197,1.297637,0.559,0.494,0.1000,alpkdce1,"0.582, 1.160, 0.871",0.5,1.0,1,95
29,0.861974,1.360757,0.558,0.481,0.1000,alpkdce1,"0.583, 1.161, 0.872",0.5,1.0,2,99
30,0.860401,1.310836,0.560,0.498,0.1000,alpkdce1,"0.580, 1.156, 0.868",0.5,1.0,3,102
31,0.856902,1.385506,0.561,0.473,0.1000,alpkdce1,"0.574, 1.143, 0.859",0.5,1.0,4,106
32,0.856053,1.325018,0.561,0.489,0.1000,alpkdce1,"0.571, 1.136, 0.853",0.5,1.0,5,109
33,0.852187,1.311504,0.564,0.499,0.1000,alpkdce1,"0.578, 1.152, 0.865",0.5,1.0,0,112
34,0.851995,1.327611,0.564,0.486,0.1000,alpkdce1,"0.578, 1.151, 0.865",0.5,1.0,1,116
35,0.847117,1.312124,0.564,0.497,0.1000,alpkdce1,"0.570, 1.136, 0.853",0.5,1.0,2,119
36,0.846791,1.283587,0.564,0.503,0.1000,alpkdce1,"0.572, 1.139, 0.855",0.5,1.0,0,123
37,0.844442,1.337263,0.567,0.485,0.1000,alpkdce1,"0.569, 1.134, 0.851",0.5,1.0,1,126
38,0.842329,1.263100,0.567,0.515,0.1000,alpkdce1,"0.564, 1.124, 0.844",0.5,1.0,0,130
39,0.841426,1.347869,0.569,0.490,0.1000,alpkdce1,"0.568, 1.132, 0.850",0.5,1.0,1,133
40,0.840388,1.322135,0.568,0.490,0.1000,alpkdce1,"0.559, 1.113, 0.836",0.5,1.0,2,136
41,0.834403,1.284706,0.572,0.507,0.1000,alpkdce1,"0.570, 1.135, 0.852",0.5,1.0,3,140
42,0.835684,1.261429,0.570,0.512,0.1000,alpkdce1,"0.566, 1.128, 0.847",0.5,1.0,4,143
43,0.833172,1.293267,0.572,0.496,0.1000,alpkdce1,"0.564, 1.122, 0.843",0.5,1.0,5,147
44,0.832118,1.292733,0.571,0.504,0.1000,alpkdce1,"0.569, 1.134, 0.852",0.5,1.0,6,150
45,0.831077,1.292522,0.573,0.503,0.1000,alpkdce1,"0.568, 1.131, 0.849",0.5,1.0,7,153
46,0.829017,1.331332,0.575,0.494,0.1000,alpkdce1,"0.563, 1.122, 0.843",0.5,1.0,8,157
47,0.828187,1.311278,0.572,0.497,0.1000,alpkdce1,"0.562, 1.120, 0.841",0.5,1.0,9,160
48,0.828305,1.284230,0.572,0.502,0.1000,alpkdce1,"0.556, 1.109, 0.832",0.5,1.0,10,164
49,0.825824,1.290478,0.574,0.508,0.1000,alpkdce1,"0.564, 1.122, 0.843",0.5,1.0,11,167
50,0.825008,1.365784,0.577,0.480,0.1000,alpkdce1,"0.555, 1.105, 0.830",0.5,1.0,12,171
51,0.824320,1.316003,0.574,0.492,0.1000,alpkdce1,"0.553, 1.103, 0.828",0.5,1.0,13,174
52,0.820847,1.309231,0.578,0.501,0.1000,alpkdce1,"0.551, 1.097, 0.824",0.5,1.0,14,177
53,0.821805,1.291810,0.577,0.507,0.1000,alpkdce1,"0.562, 1.120, 0.841",0.5,1.0,15,181
54,0.818315,1.304331,0.578,0.502,0.1000,alpkdce1,"0.559, 1.114, 0.836",0.5,1.0,16,184
55,0.820160,1.394284,0.576,0.478,0.1000,alpkdce1,"0.555, 1.105, 0.830",0.5,1.0,17,188
56,0.817278,1.395931,0.579,0.479,0.1000,alpkdce1,"0.550, 1.095, 0.822",0.5,1.0,18,191
57,0.818091,1.348174,0.577,0.485,0.1000,alpkdce1,"0.551, 1.098, 0.825",0.5,1.0,19,195
58,0.814692,1.422996,0.579,0.471,0.1000,alpkdce1,"0.547, 1.090, 0.819",0.5,1.0,20,198
59,0.815539,1.307322,0.578,0.493,0.1000,alpkdce1,"0.552, 1.100, 0.826",0.5,1.0,21,201
60,0.811859,1.273107,0.579,0.513,0.1000,alpkdce1,"0.547, 1.089, 0.818",0.5,1.0,22,205
61,0.812767,1.350112,0.581,0.492,0.1000,alpkdce1,"0.553, 1.101, 0.827",0.5,1.0,23,208
62,0.814106,1.300592,0.581,0.504,0.1000,alpkdce1,"0.557, 1.108, 0.832",0.5,1.0,24,212
63,0.812320,1.320913,0.582,0.496,0.1000,alpkdce1,"0.549, 1.095, 0.822",0.5,1.0,25,215
64,0.810115,1.369066,0.580,0.487,0.1000,alpkdce1,"0.554, 1.104, 0.829",0.5,1.0,26,219
65,0.809602,1.352651,0.580,0.492,0.1000,alpkdce1,"0.550, 1.095, 0.822",0.5,1.0,27,222
66,0.808272,1.303976,0.582,0.499,0.1000,alpkdce1,"0.542, 1.079, 0.810",0.5,1.0,28,225
67,0.809225,1.291726,0.582,0.511,0.1000,alpkdce1,"0.546, 1.087, 0.816",0.5,1.0,29,229
