_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,22.120298,2.600055,0.179,0.192,0.1000,alpkdce1,"1.320, 23.504, 21.286",0.9,4.0,0,3
2,20.186276,3.229346,0.232,0.202,0.1000,alpkdce1,"1.342, 21.546, 19.526",0.9,4.0,0,7
3,19.216472,2.512191,0.251,0.227,0.1000,alpkdce1,"1.321, 20.943, 18.981",0.9,4.0,0,10
4,18.261618,3.188813,0.278,0.243,0.1000,alpkdce1,"1.301, 19.510, 17.689",0.9,4.0,0,14
5,17.404664,2.961583,0.305,0.271,0.1000,alpkdce1,"1.267, 18.787, 17.035",0.9,4.0,0,18
6,16.450623,2.514710,0.332,0.310,0.1000,alpkdce1,"1.248, 17.736, 16.087",0.9,4.0,0,21
7,15.654986,2.758497,0.362,0.324,0.1000,alpkdce1,"1.211, 16.996, 15.417",0.9,4.0,0,25
8,14.954573,3.135612,0.382,0.319,0.1000,alpkdce1,"1.180, 16.222, 14.718",0.9,4.0,1,29
9,14.426963,2.699195,0.402,0.351,0.1000,alpkdce1,"1.166, 15.727, 14.271",0.9,4.0,0,32
10,13.990847,2.858315,0.416,0.357,0.1000,alpkdce1,"1.148, 15.175, 13.772",0.9,4.0,0,36
11,13.591255,2.512380,0.435,0.362,0.1000,alpkdce1,"1.130, 14.900, 13.523",0.9,4.0,0,40
12,13.285555,3.098498,0.443,0.348,0.1000,alpkdce1,"1.099, 14.433, 13.100",0.9,4.0,1,43
13,13.025543,2.605638,0.456,0.394,0.1000,alpkdce1,"1.107, 14.447, 13.113",0.9,4.0,0,47
14,12.800330,2.678622,0.460,0.409,0.1000,alpkdce1,"1.089, 13.920, 12.637",0.9,4.0,0,51
15,12.538421,2.708315,0.472,0.411,0.1000,alpkdce1,"1.075, 13.902, 12.619",0.9,4.0,0,54
16,12.359207,2.505711,0.478,0.423,0.1000,alpkdce1,"1.065, 13.626, 12.370",0.9,4.0,0,58
17,12.196681,2.273104,0.482,0.440,0.1000,alpkdce1,"1.059, 13.511, 12.266",0.9,4.0,0,62
18,12.051758,2.649619,0.491,0.425,0.1000,alpkdce1,"1.047, 13.233, 12.014",0.9,4.0,1,65
19,11.968154,2.668205,0.493,0.418,0.1000,alpkdce1,"1.041, 13.213, 11.996",0.9,4.0,2,69
20,11.836548,2.617370,0.495,0.429,0.1000,alpkdce1,"1.031, 13.115, 11.907",0.9,4.0,3,72
21,11.712280,2.337432,0.502,0.431,0.1000,alpkdce1,"1.030, 13.028, 11.828",0.9,4.0,4,76
22,11.629965,2.844508,0.503,0.406,0.1000,alpkdce1,"1.026, 12.809, 11.631",0.9,4.0,5,80
23,11.533706,2.324433,0.506,0.444,0.1000,alpkdce1,"1.025, 12.835, 11.654",0.9,4.0,0,84
24,11.415139,2.363855,0.508,0.451,0.1000,alpkdce1,"1.008, 12.571, 11.414",0.9,4.0,0,87
25,11.356608,2.598179,0.514,0.438,0.1000,alpkdce1,"1.000, 12.590, 11.431",0.9,4.0,1,91
26,11.279979,2.688669,0.516,0.436,0.1000,alpkdce1,"1.002, 12.536, 11.383",0.9,4.0,2,94
27,11.186156,2.569424,0.519,0.454,0.1000,alpkdce1,"0.996, 12.340, 11.206",0.9,4.0,0,98
28,11.165386,2.542153,0.520,0.418,0.1000,alpkdce1,"0.978, 12.226, 11.101",0.9,4.0,1,102
29,11.085222,2.426983,0.524,0.457,0.1000,alpkdce1,"0.987, 12.273, 11.144",0.9,4.0,0,105
30,11.065126,2.369214,0.524,0.456,0.1000,alpkdce1,"0.973, 12.277, 11.146",0.9,4.0,1,109
31,10.980889,2.207730,0.525,0.457,0.1000,alpkdce1,"0.988, 12.231, 11.107",0.9,4.0,0,113
32,10.925931,2.370877,0.528,0.467,0.1000,alpkdce1,"0.978, 12.112, 10.999",0.9,4.0,0,116
33,10.906832,2.341083,0.529,0.453,0.1000,alpkdce1,"0.969, 12.110, 10.995",0.9,4.0,1,120
34,10.841156,2.771993,0.530,0.428,0.1000,alpkdce1,"0.962, 11.908, 10.814",0.9,4.0,2,124
35,10.807363,3.001714,0.532,0.431,0.1000,alpkdce1,"0.953, 12.020, 10.913",0.9,4.0,3,127
36,10.781684,2.449738,0.532,0.462,0.1000,alpkdce1,"0.958, 11.995, 10.891",0.9,4.0,4,131
37,10.723865,2.436503,0.537,0.456,0.1000,alpkdce1,"0.958, 11.844, 10.755",0.9,4.0,5,135
38,10.723146,2.469617,0.534,0.454,0.1000,alpkdce1,"0.965, 11.934, 10.837",0.9,4.0,6,138
39,10.657790,2.455271,0.538,0.449,0.1000,alpkdce1,"0.960, 11.860, 10.770",0.9,4.0,7,142
40,10.606855,2.405470,0.539,0.456,0.1000,alpkdce1,"0.943, 11.675, 10.602",0.9,4.0,8,145
41,10.570494,2.490663,0.540,0.458,0.1000,alpkdce1,"0.948, 11.776, 10.693",0.9,4.0,9,149
42,10.591509,2.477483,0.540,0.465,0.1000,alpkdce1,"0.950, 11.758, 10.678",0.9,4.0,10,153
