_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,18.596869,2.604666,0.185,0.200,0.1000,alpkdce1,"1.360, 19.738, 17.900",0.9,30.0,0,3
2,17.181708,2.932207,0.239,0.238,0.1000,alpkdce1,"1.357, 18.495, 16.781",0.9,30.0,0,6
3,16.175674,2.839946,0.276,0.262,0.1000,alpkdce1,"1.362, 17.390, 15.787",0.9,30.0,0,10
4,15.173186,2.999602,0.310,0.300,0.1000,alpkdce1,"1.355, 16.235, 14.747",0.9,30.0,0,13
5,14.270964,3.258923,0.346,0.321,0.1000,alpkdce1,"1.365, 15.251, 13.862",0.9,30.0,0,17
6,13.413758,2.963667,0.380,0.331,0.1000,alpkdce1,"1.370, 14.529, 13.213",0.9,30.0,0,20
7,12.783335,3.414941,0.406,0.358,0.1000,alpkdce1,"1.359, 13.929, 12.672",0.9,30.0,0,24
8,12.296861,3.075200,0.426,0.386,0.1000,alpkdce1,"1.338, 13.324, 12.126",0.9,30.0,0,27
9,11.921743,2.932361,0.442,0.398,0.1000,alpkdce1,"1.326, 13.055, 11.882",0.9,30.0,0,31
10,11.555034,2.974695,0.455,0.406,0.1000,alpkdce1,"1.326, 12.663, 11.529",0.9,30.0,0,34
11,11.277882,3.013346,0.468,0.410,0.1000,alpkdce1,"1.313, 12.443, 11.330",0.9,30.0,0,38
12,11.068844,3.323518,0.476,0.420,0.1000,alpkdce1,"1.275, 12.018, 10.944",0.9,30.0,0,41
13,10.887955,2.683650,0.481,0.436,0.1000,alpkdce1,"1.290, 11.921, 10.858",0.9,30.0,0,44
14,10.723111,3.294649,0.491,0.421,0.1000,alpkdce1,"1.273, 11.835, 10.779",0.9,30.0,1,48
15,10.591366,2.917803,0.498,0.438,0.1000,alpkdce1,"1.259, 11.630, 10.593",0.9,30.0,0,51
16,10.466202,3.217264,0.500,0.448,0.1000,alpkdce1,"1.258, 11.437, 10.419",0.9,30.0,0,55
17,10.330974,2.914226,0.506,0.455,0.1000,alpkdce1,"1.259, 11.397, 10.383",0.9,30.0,0,58
18,10.260758,2.862937,0.510,0.461,0.1000,alpkdce1,"1.243, 11.226, 10.227",0.9,30.0,0,62
19,10.153926,2.836255,0.513,0.446,0.1000,alpkdce1,"1.245, 11.197, 10.202",0.9,30.0,1,65
20,10.137087,2.877610,0.515,0.470,0.1000,alpkdce1,"1.250, 11.153, 10.163",0.9,30.0,0,69
21,9.983614,2.732715,0.519,0.458,0.1000,alpkdce1,"1.225, 10.945, 9.973",0.9,30.0,1,72
22,9.922717,2.737290,0.522,0.474,0.1000,alpkdce1,"1.232, 10.981, 10.006",0.9,30.0,0,76
23,9.860095,2.834885,0.523,0.462,0.1000,alpkdce1,"1.208, 10.871, 9.904",0.9,30.0,1,79
24,9.821913,3.051095,0.528,0.463,0.1000,alpkdce1,"1.191, 10.797, 9.837",0.9,30.0,2,82
25,9.751366,2.700104,0.529,0.480,0.1000,alpkdce1,"1.212, 10.861, 9.896",0.9,30.0,0,86
26,9.724003,2.896961,0.532,0.469,0.1000,alpkdce1,"1.211, 10.797, 9.838",0.9,30.0,1,89
27,9.662177,2.902730,0.533,0.473,0.1000,alpkdce1,"1.198, 10.640, 9.696",0.9,30.0,2,93
28,9.626623,3.048152,0.537,0.463,0.1000,alpkdce1,"1.194, 10.652, 9.706",0.9,30.0,3,96
29,9.584374,2.934733,0.538,0.467,0.1000,alpkdce1,"1.194, 10.572, 9.634",0.9,30.0,4,100
30,9.536109,2.859751,0.540,0.473,0.1000,alpkdce1,"1.176, 10.446, 9.519",0.9,30.0,5,103
31,9.466435,2.723476,0.539,0.463,0.1000,alpkdce1,"1.181, 10.357, 9.439",0.9,30.0,6,107
32,9.458281,2.903626,0.541,0.472,0.1000,alpkdce1,"1.167, 10.388, 9.466",0.9,30.0,7,110
33,9.462306,2.557675,0.540,0.481,0.1000,alpkdce1,"1.186, 10.466, 9.538",0.9,30.0,0,113
34,9.400849,2.727870,0.542,0.476,0.1000,alpkdce1,"1.180, 10.336, 9.421",0.9,30.0,1,117
35,9.351767,2.922134,0.545,0.473,0.1000,alpkdce1,"1.178, 10.376, 9.456",0.9,30.0,2,120
36,9.335129,2.893996,0.548,0.485,0.1000,alpkdce1,"1.169, 10.196, 9.293",0.9,30.0,0,124
37,9.338736,3.029634,0.544,0.461,0.1000,alpkdce1,"1.151, 10.261, 9.350",0.9,30.0,1,127
38,9.274248,2.846954,0.549,0.475,0.1000,alpkdce1,"1.166, 10.215, 9.310",0.9,30.0,2,131
39,9.311068,3.070430,0.549,0.465,0.1000,alpkdce1,"1.192, 10.393, 9.473",0.9,30.0,3,134
40,9.252738,2.688084,0.550,0.475,0.1000,alpkdce1,"1.164, 10.207, 9.302",0.9,30.0,4,138
41,9.237807,2.618816,0.551,0.478,0.1000,alpkdce1,"1.149, 10.163, 9.262",0.9,30.0,5,141
