filename,_epoch,train_acc,train_PGD10_acc,val_acc,val_PGD20_acc,test_acc,test_PGD200_acc,test_Auto_acc
_Net_resnet18__C_10__105_RSLAD_A_0.1.0_KD_rslad_A_0.1_T_1.0_.pth,105,90.397727,69.092932,83.533333,49.983378,83.590000,47.616693,45.826741
_Net_resnet18__C_10__106_JSDG_T_30.0_jsdg_A_0.5_T_30.0_.pth,106,94.372727,67.952852,86.083333,50.365691,85.540000,48.496835,47.774921
_Net_resnet18__C_10__112_JSD2_T_30.0_jsd2_A_0.5_T_30.0_.pth,112,90.756818,65.956577,84.083333,50.216090,83.740000,48.862737,47.933149
_Net_resnet18__C_10__160_JSD2_T_1.0_jsd2_A_0.5_T_1.0_.pth,160,48.790909,36.884539,46.050000,33.161569,47.240000,33.287184,29.202927
_Net_resnet18__C_10__164_JSDG2_T_30.0_jsdg2_A_0.5_T_30.0_.pth,164,82.420455,44.544876,78.566667,38.829787,79.000000,36.313291,31.922468
_Net_resnet18__C_10__112_JSDG_T_1.0_jsdg_A_0.5_T_1.0_.pth,112,96.395455,67.918786,85.916667,47.589761,85.550000,44.699367,42.236946
_Net_resnet18__C_10__106_KL_1_3_T_30.0_kl_1_3_A_0.5_T_30.0_.pth,106,94.920455,63.415243,86.783333,49.218750,86.730000,46.687104,46.153085
_Net_resnet18__C_10__110_KL_2_3_T_30.0_kl_2_3_A_0.5_T_30.0_.pth,110,88.938636,65.763536,82.716667,50.631649,82.430000,48.803402,48.210047
_Net_resnet18__C_10__106_KL_1_2_3_T_30.0_kl_1_2_3_A_0.5_T_30.0_.pth,106,93.993182,66.869549,86.250000,49.434840,86.060000,48.051820,47.409019
_Net_resnet18__C_10__163_JSD2_UpdatesWeight_A_0.9_T_30.0_jsd2_A_0.9_T_30.0_.pth,163,84.054545,62.506813,80.066667,51.097074,80.310000,49.169304,48.041930
