_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.020543,2.028695,0.218,0.239,0.1000,trades,"1.783, 0.014, 1.920",0.5,1.0,0,2
2,1.847723,1.950799,0.272,0.286,0.1000,trades,"1.655, 0.016, 1.818",0.5,1.0,0,3
3,1.765517,1.864818,0.304,0.299,0.1000,trades,"1.563, 0.018, 1.744",0.5,1.0,0,5
4,1.712986,1.807052,0.325,0.330,0.1000,trades,"1.494, 0.020, 1.695",0.5,1.0,0,7
5,1.669016,1.765413,0.347,0.340,0.1000,trades,"1.448, 0.021, 1.655",0.5,1.0,0,9
6,1.632941,1.767554,0.364,0.344,0.1000,trades,"1.407, 0.022, 1.623",0.5,1.0,0,10
7,1.604559,1.707382,0.378,0.356,0.1000,trades,"1.372, 0.022, 1.595",0.5,1.0,0,12
8,1.579547,1.734640,0.392,0.372,0.1000,trades,"1.352, 0.023, 1.580",0.5,1.0,0,14
9,1.558739,1.701537,0.404,0.363,0.1000,trades,"1.317, 0.024, 1.553",0.5,1.0,1,16
10,1.539559,1.664609,0.415,0.386,0.1000,trades,"1.298, 0.024, 1.534",0.5,1.0,0,18
11,1.521193,1.658519,0.423,0.388,0.1000,trades,"1.281, 0.024, 1.524",0.5,1.0,0,20
12,1.509220,1.639238,0.428,0.396,0.1000,trades,"1.265, 0.024, 1.509",0.5,1.0,0,21
13,1.493971,1.619146,0.437,0.403,0.1000,trades,"1.255, 0.025, 1.503",0.5,1.0,0,23
14,1.484805,1.609444,0.441,0.404,0.1000,trades,"1.228, 0.025, 1.479",0.5,1.0,0,25
15,1.471583,1.583917,0.447,0.427,0.1000,trades,"1.215, 0.025, 1.467",0.5,1.0,0,27
16,1.462875,1.588398,0.453,0.427,0.1000,trades,"1.209, 0.026, 1.465",0.5,1.0,1,29
17,1.453196,1.588751,0.458,0.424,0.1000,trades,"1.207, 0.025, 1.461",0.5,1.0,2,30
18,1.446498,1.562083,0.460,0.419,0.1000,trades,"1.198, 0.025, 1.452",0.5,1.0,3,32
19,1.437458,1.564872,0.468,0.438,0.1000,trades,"1.173, 0.026, 1.434",0.5,1.0,0,34
20,1.430023,1.571854,0.472,0.435,0.1000,trades,"1.186, 0.026, 1.445",0.5,1.0,1,35
21,1.422651,1.573849,0.473,0.431,0.1000,trades,"1.160, 0.026, 1.420",0.5,1.0,2,37
22,1.417841,1.545127,0.474,0.435,0.1000,trades,"1.157, 0.026, 1.415",0.5,1.0,3,39
23,1.409501,1.535873,0.477,0.440,0.1000,trades,"1.153, 0.026, 1.409",0.5,1.0,0,41
24,1.402287,1.545336,0.482,0.449,0.1000,trades,"1.143, 0.026, 1.400",0.5,1.0,0,42
25,1.401204,1.556538,0.484,0.442,0.1000,trades,"1.143, 0.026, 1.406",0.5,1.0,1,44
26,1.391943,1.532653,0.485,0.444,0.1000,trades,"1.136, 0.026, 1.397",0.5,1.0,2,46
27,1.388518,1.512648,0.489,0.449,0.1000,trades,"1.136, 0.026, 1.396",0.5,1.0,3,47
28,1.384652,1.504806,0.491,0.452,0.1000,trades,"1.126, 0.026, 1.384",0.5,1.0,0,49
29,1.382754,1.543386,0.491,0.437,0.1000,trades,"1.125, 0.026, 1.386",0.5,1.0,1,51
30,1.372439,1.537415,0.493,0.438,0.1000,trades,"1.124, 0.026, 1.387",0.5,1.0,2,53
31,1.371957,1.541185,0.497,0.451,0.1000,trades,"1.117, 0.026, 1.376",0.5,1.0,3,54
32,1.368283,1.482829,0.501,0.466,0.1000,trades,"1.104, 0.026, 1.364",0.5,1.0,0,56
33,1.360588,1.527293,0.500,0.435,0.1000,trades,"1.093, 0.026, 1.354",0.5,1.0,1,58
34,1.359081,1.501174,0.502,0.454,0.1000,trades,"1.091, 0.027, 1.358",0.5,1.0,2,59
35,1.356758,1.511090,0.504,0.461,0.1000,trades,"1.105, 0.026, 1.363",0.5,1.0,3,61
36,1.354127,1.519869,0.506,0.458,0.1000,trades,"1.088, 0.026, 1.351",0.5,1.0,4,63
37,1.350591,1.501304,0.507,0.458,0.1000,trades,"1.091, 0.026, 1.355",0.5,1.0,5,65
38,1.345892,1.476252,0.510,0.460,0.1000,trades,"1.088, 0.026, 1.352",0.5,1.0,6,66
39,1.346107,1.521084,0.508,0.459,0.1000,trades,"1.087, 0.027, 1.352",0.5,1.0,7,68
40,1.340895,1.494068,0.512,0.463,0.1000,trades,"1.074, 0.027, 1.341",0.5,1.0,8,70
41,1.339469,1.510421,0.511,0.447,0.1000,trades,"1.088, 0.026, 1.351",0.5,1.0,9,72
42,1.334314,1.490233,0.517,0.446,0.1000,trades,"1.075, 0.026, 1.335",0.5,1.0,10,74
43,1.332834,1.472419,0.515,0.465,0.1000,trades,"1.076, 0.026, 1.337",0.5,1.0,11,76
44,1.330524,1.472222,0.516,0.453,0.1000,trades,"1.077, 0.026, 1.341",0.5,1.0,12,77
45,1.331290,1.502342,0.517,0.459,0.1000,trades,"1.078, 0.026, 1.340",0.5,1.0,13,79
46,1.326436,1.457520,0.519,0.467,0.1000,trades,"1.060, 0.026, 1.323",0.5,1.0,0,81
47,1.327057,1.526818,0.520,0.444,0.1000,trades,"1.074, 0.027, 1.341",0.5,1.0,1,83
48,1.324072,1.474013,0.524,0.474,0.1000,trades,"1.075, 0.027, 1.343",0.5,1.0,0,85
49,1.322465,1.476938,0.522,0.470,0.1000,trades,"1.066, 0.027, 1.335",0.5,1.0,1,86
50,1.322061,1.474328,0.521,0.464,0.1000,trades,"1.064, 0.026, 1.328",0.5,1.0,2,88
51,1.318929,1.509861,0.524,0.440,0.1000,trades,"1.063, 0.027, 1.328",0.5,1.0,3,90
52,1.312125,1.478390,0.525,0.464,0.1000,trades,"1.065, 0.026, 1.330",0.5,1.0,4,92
53,1.312233,1.490193,0.527,0.459,0.1000,trades,"1.051, 0.027, 1.321",0.5,1.0,5,93
54,1.315077,1.491898,0.525,0.454,0.1000,trades,"1.058, 0.026, 1.320",0.5,1.0,6,95
55,1.310605,1.491420,0.529,0.455,0.1000,trades,"1.053, 0.027, 1.323",0.5,1.0,7,97
56,1.308816,1.468473,0.528,0.459,0.1000,trades,"1.047, 0.027, 1.312",0.5,1.0,8,99
57,1.309343,1.471859,0.530,0.471,0.1000,trades,"1.053, 0.027, 1.323",0.5,1.0,9,101
58,1.303141,1.492834,0.531,0.469,0.1000,trades,"1.046, 0.027, 1.315",0.5,1.0,10,102
59,1.309134,1.485969,0.527,0.460,0.1000,trades,"1.049, 0.027, 1.319",0.5,1.0,11,104
60,1.305248,1.495279,0.529,0.463,0.1000,trades,"1.032, 0.027, 1.299",0.5,1.0,12,106
61,1.301211,1.469262,0.532,0.462,0.1000,trades,"1.033, 0.026, 1.298",0.5,1.0,13,108
62,1.302000,1.454839,0.532,0.456,0.1000,trades,"1.048, 0.027, 1.316",0.5,1.0,14,110
63,1.301604,1.457031,0.531,0.479,0.1000,trades,"1.058, 0.027, 1.325",0.5,1.0,0,111
64,1.303245,1.452569,0.532,0.470,0.1000,trades,"1.041, 0.027, 1.314",0.5,1.0,1,113
65,1.299058,1.484403,0.535,0.453,0.1000,trades,"1.035, 0.027, 1.306",0.5,1.0,2,115
66,1.294440,1.456516,0.534,0.473,0.1000,trades,"1.035, 0.027, 1.303",0.5,1.0,3,117
