_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.774040,2.512530,0.214,0.228,0.1000,custom3,"17.103, 0.042, 1.748",0.9,30.0,0,2
2,1.705024,2.423895,0.246,0.256,0.1000,custom3,"16.435, 0.051, 1.689",0.9,30.0,0,5
3,1.669047,2.436673,0.271,0.251,0.1000,custom3,"16.166, 0.056, 1.667",0.9,30.0,1,8
4,1.639001,2.482912,0.285,0.284,0.1000,custom3,"15.770, 0.064, 1.635",0.9,30.0,0,10
5,1.610852,2.283262,0.307,0.280,0.1000,custom3,"15.367, 0.072, 1.601",0.9,30.0,1,13
6,1.587070,2.241552,0.312,0.296,0.1000,custom3,"15.149, 0.076, 1.584",0.9,30.0,0,16
7,1.566945,2.308084,0.326,0.310,0.1000,custom3,"14.889, 0.079, 1.560",0.9,30.0,0,18
8,1.545450,1.980769,0.334,0.338,0.1000,custom3,"14.661, 0.084, 1.541",0.9,30.0,0,21
9,1.531912,2.054415,0.347,0.336,0.1000,custom3,"14.571, 0.086, 1.534",0.9,30.0,1,24
10,1.517142,2.241684,0.354,0.323,0.1000,custom3,"14.347, 0.088, 1.514",0.9,30.0,2,27
11,1.500042,2.016529,0.364,0.354,0.1000,custom3,"14.071, 0.092, 1.490",0.9,30.0,0,29
12,1.489810,2.057407,0.369,0.351,0.1000,custom3,"14.074, 0.098, 1.496",0.9,30.0,1,32
13,1.477765,2.060857,0.375,0.361,0.1000,custom3,"13.933, 0.097, 1.481",0.9,30.0,0,35
14,1.464802,2.051823,0.381,0.357,0.1000,custom3,"13.656, 0.102, 1.457",0.9,30.0,1,37
15,1.458782,2.067482,0.388,0.362,0.1000,custom3,"13.700, 0.101, 1.461",0.9,30.0,0,40
16,1.446120,1.915403,0.393,0.365,0.1000,custom3,"13.512, 0.105, 1.446",0.9,30.0,0,43
17,1.432829,2.063288,0.398,0.354,0.1000,custom3,"13.279, 0.106, 1.423",0.9,30.0,1,45
18,1.427381,2.056045,0.403,0.374,0.1000,custom3,"13.279, 0.111, 1.428",0.9,30.0,0,48
19,1.415128,2.051314,0.410,0.369,0.1000,custom3,"13.170, 0.112, 1.418",0.9,30.0,1,51
20,1.405117,2.117573,0.415,0.385,0.1000,custom3,"12.882, 0.114, 1.390",0.9,30.0,0,54
21,1.402048,1.902446,0.417,0.363,0.1000,custom3,"13.044, 0.113, 1.406",0.9,30.0,1,56
22,1.393446,1.928350,0.420,0.360,0.1000,custom3,"12.824, 0.117, 1.387",0.9,30.0,2,59
23,1.384936,2.004438,0.425,0.379,0.1000,custom3,"12.955, 0.117, 1.401",0.9,30.0,3,62
24,1.379382,1.928712,0.426,0.380,0.1000,custom3,"12.952, 0.111, 1.395",0.9,30.0,4,64
25,1.370391,2.094721,0.436,0.375,0.1000,custom3,"12.723, 0.122, 1.383",0.9,30.0,5,67
26,1.360717,2.120278,0.438,0.385,0.1000,custom3,"12.531, 0.119, 1.360",0.9,30.0,0,70
