_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.475162,2.494267,0.201,0.203,0.1000,custom6,"4.526, 0.010, 0.462",0.9,30.0,0,2
2,0.454245,2.251348,0.237,0.238,0.1000,custom6,"4.357, 0.012, 0.447",0.9,30.0,0,5
3,0.443269,2.402840,0.257,0.252,0.1000,custom6,"4.271, 0.014, 0.440",0.9,30.0,0,7
4,0.435162,2.370172,0.273,0.266,0.1000,custom6,"4.167, 0.015, 0.430",0.9,30.0,0,10
5,0.428543,2.220653,0.285,0.293,0.1000,custom6,"4.089, 0.017, 0.424",0.9,30.0,0,13
6,0.422811,2.315754,0.297,0.286,0.1000,custom6,"4.059, 0.018, 0.422",0.9,30.0,1,15
7,0.416600,2.350699,0.305,0.306,0.1000,custom6,"4.007, 0.019, 0.418",0.9,30.0,0,18
8,0.411410,2.152288,0.316,0.316,0.1000,custom6,"3.922, 0.020, 0.410",0.9,30.0,0,20
9,0.408348,2.420811,0.325,0.299,0.1000,custom6,"3.897, 0.021, 0.408",0.9,30.0,1,23
10,0.402716,2.236824,0.337,0.324,0.1000,custom6,"3.821, 0.022, 0.402",0.9,30.0,0,26
11,0.399354,2.136548,0.341,0.317,0.1000,custom6,"3.773, 0.022, 0.397",0.9,30.0,1,28
12,0.395687,2.152293,0.350,0.332,0.1000,custom6,"3.760, 0.023, 0.397",0.9,30.0,0,31
13,0.392297,2.236781,0.355,0.342,0.1000,custom6,"3.722, 0.024, 0.394",0.9,30.0,0,33
14,0.388937,2.134702,0.363,0.347,0.1000,custom6,"3.662, 0.025, 0.388",0.9,30.0,0,36
15,0.386884,2.042197,0.368,0.352,0.1000,custom6,"3.604, 0.025, 0.383",0.9,30.0,0,39
16,0.382940,2.086511,0.377,0.353,0.1000,custom6,"3.576, 0.026, 0.381",0.9,30.0,0,41
17,0.380352,2.300569,0.377,0.328,0.1000,custom6,"3.569, 0.026, 0.380",0.9,30.0,1,44
18,0.378121,2.083453,0.385,0.361,0.1000,custom6,"3.523, 0.027, 0.376",0.9,30.0,0,46
19,0.374916,2.280415,0.389,0.352,0.1000,custom6,"3.501, 0.026, 0.374",0.9,30.0,1,49
20,0.371301,2.124807,0.396,0.376,0.1000,custom6,"3.488, 0.027, 0.373",0.9,30.0,0,52
21,0.369450,2.105190,0.400,0.372,0.1000,custom6,"3.456, 0.027, 0.370",0.9,30.0,1,54
22,0.366539,2.410010,0.405,0.332,0.1000,custom6,"3.413, 0.028, 0.367",0.9,30.0,2,57
23,0.364685,1.984441,0.411,0.367,0.1000,custom6,"3.393, 0.028, 0.364",0.9,30.0,3,60
24,0.362909,2.082504,0.415,0.367,0.1000,custom6,"3.365, 0.028, 0.362",0.9,30.0,4,62
25,0.359615,2.214578,0.420,0.370,0.1000,custom6,"3.354, 0.031, 0.363",0.9,30.0,5,65
26,0.358652,2.136888,0.422,0.379,0.1000,custom6,"3.331, 0.030, 0.360",0.9,30.0,0,67
27,0.357594,1.959835,0.421,0.385,0.1000,custom6,"3.392, 0.031, 0.367",0.9,30.0,0,70
28,0.354418,2.061946,0.430,0.361,0.1000,custom6,"3.263, 0.031, 0.354",0.9,30.0,1,73
29,0.354990,2.134522,0.431,0.373,0.1000,custom6,"3.329, 0.029, 0.359",0.9,30.0,2,75
30,0.352247,2.010306,0.435,0.373,0.1000,custom6,"3.280, 0.031, 0.356",0.9,30.0,3,78
31,0.353126,2.057048,0.434,0.385,0.1000,custom6,"3.250, 0.031, 0.353",0.9,30.0,4,80
32,0.348741,2.145598,0.439,0.392,0.1000,custom6,"3.232, 0.030, 0.350",0.9,30.0,0,83
33,0.346591,1.979574,0.443,0.394,0.1000,custom6,"3.149, 0.030, 0.342",0.9,30.0,0,86
34,0.348044,1.990643,0.440,0.373,0.1000,custom6,"3.222, 0.031, 0.350",0.9,30.0,1,88
35,0.344252,2.139870,0.449,0.390,0.1000,custom6,"3.193, 0.031, 0.347",0.9,30.0,2,91
36,0.345979,2.094504,0.447,0.396,0.1000,custom6,"3.219, 0.032, 0.350",0.9,30.0,0,93
37,0.342078,1.984817,0.453,0.394,0.1000,custom6,"3.151, 0.032, 0.344",0.9,30.0,1,96
