_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.154745,2.711684,0.217,0.221,0.1000,jsd2,"4.162, 0.028, 2.095",0.5,30.0,0,2
2,2.032336,2.584297,0.259,0.268,0.1000,jsd2,"3.963, 0.037, 2.000",0.5,30.0,0,5
3,1.952433,2.654849,0.286,0.274,0.1000,jsd2,"3.841, 0.051, 1.946",0.5,30.0,0,7
4,1.885385,2.569175,0.311,0.308,0.1000,jsd2,"3.667, 0.062, 1.864",0.5,30.0,0,10
5,1.832784,2.701901,0.334,0.318,0.1000,jsd2,"3.553, 0.070, 1.812",0.5,30.0,0,12
6,1.781494,2.568794,0.350,0.327,0.1000,jsd2,"3.435, 0.080, 1.757",0.5,30.0,0,15
7,1.744605,2.432734,0.367,0.345,0.1000,jsd2,"3.362, 0.087, 1.724",0.5,30.0,0,17
8,1.709496,2.405609,0.378,0.361,0.1000,jsd2,"3.292, 0.090, 1.691",0.5,30.0,0,20
9,1.678131,2.559757,0.393,0.370,0.1000,jsd2,"3.258, 0.100, 1.679",0.5,30.0,0,22
10,1.652730,2.415271,0.403,0.371,0.1000,jsd2,"3.207, 0.100, 1.654",0.5,30.0,0,25
11,1.624692,2.555369,0.416,0.374,0.1000,jsd2,"3.124, 0.104, 1.614",0.5,30.0,0,27
12,1.606440,2.524247,0.422,0.378,0.1000,jsd2,"3.092, 0.105, 1.599",0.5,30.0,0,30
13,1.585396,2.355908,0.426,0.389,0.1000,jsd2,"3.074, 0.106, 1.590",0.5,30.0,0,32
14,1.566176,3.120480,0.435,0.359,0.1000,jsd2,"3.038, 0.106, 1.572",0.5,30.0,1,35
15,1.550834,2.579454,0.438,0.395,0.1000,jsd2,"2.970, 0.109, 1.539",0.5,30.0,0,37
16,1.532732,2.540794,0.444,0.402,0.1000,jsd2,"3.000, 0.108, 1.554",0.5,30.0,0,40
17,1.518491,2.353652,0.452,0.408,0.1000,jsd2,"2.963, 0.107, 1.535",0.5,30.0,0,42
18,1.509246,2.347611,0.455,0.421,0.1000,jsd2,"2.879, 0.110, 1.495",0.5,30.0,0,45
19,1.500524,2.495290,0.456,0.419,0.1000,jsd2,"2.940, 0.108, 1.524",0.5,30.0,1,48
20,1.487398,2.137547,0.462,0.420,0.1000,jsd2,"2.886, 0.106, 1.496",0.5,30.0,2,50
21,1.477652,2.470071,0.464,0.422,0.1000,jsd2,"2.859, 0.106, 1.483",0.5,30.0,0,53
22,1.465273,2.521299,0.468,0.412,0.1000,jsd2,"2.821, 0.108, 1.464",0.5,30.0,1,55
23,1.457579,2.236492,0.473,0.414,0.1000,jsd2,"2.820, 0.108, 1.464",0.5,30.0,2,58
24,1.455048,2.406340,0.471,0.414,0.1000,jsd2,"2.807, 0.106, 1.457",0.5,30.0,3,60
25,1.447395,2.651677,0.477,0.414,0.1000,jsd2,"2.797, 0.109, 1.453",0.5,30.0,4,63
26,1.441603,2.445971,0.479,0.420,0.1000,jsd2,"2.812, 0.108, 1.460",0.5,30.0,5,65
27,1.427130,2.369345,0.484,0.416,0.1000,jsd2,"2.746, 0.103, 1.424",0.5,30.0,6,68
28,1.424076,2.425070,0.486,0.421,0.1000,jsd2,"2.750, 0.106, 1.428",0.5,30.0,7,70
29,1.416256,2.217093,0.488,0.432,0.1000,jsd2,"2.712, 0.108, 1.410",0.5,30.0,0,73
30,1.412523,2.508912,0.490,0.426,0.1000,jsd2,"2.725, 0.108, 1.416",0.5,30.0,1,75
31,1.403740,2.267374,0.491,0.419,0.1000,jsd2,"2.710, 0.108, 1.409",0.5,30.0,2,78
32,1.401779,2.487459,0.493,0.418,0.1000,jsd2,"2.709, 0.108, 1.408",0.5,30.0,3,80
33,1.393302,2.244215,0.496,0.423,0.1000,jsd2,"2.711, 0.106, 1.408",0.5,30.0,4,83
34,1.389094,2.213168,0.496,0.438,0.1000,jsd2,"2.679, 0.105, 1.392",0.5,30.0,0,85
35,1.384290,2.691158,0.497,0.425,0.1000,jsd2,"2.682, 0.108, 1.395",0.5,30.0,1,88
36,1.375012,2.505121,0.500,0.428,0.1000,jsd2,"2.662, 0.103, 1.383",0.5,30.0,2,90
37,1.380176,2.348893,0.500,0.443,0.1000,jsd2,"2.681, 0.110, 1.395",0.5,30.0,0,93
38,1.367771,2.375296,0.503,0.417,0.1000,jsd2,"2.638, 0.106, 1.372",0.5,30.0,1,95
39,1.364516,2.296497,0.504,0.441,0.1000,jsd2,"2.628, 0.102, 1.365",0.5,30.0,2,98
40,1.359805,2.105002,0.506,0.440,0.1000,jsd2,"2.656, 0.101, 1.378",0.5,30.0,3,100
41,1.354623,2.534691,0.510,0.434,0.1000,jsd2,"2.644, 0.103, 1.374",0.5,30.0,4,103
42,1.355536,2.537234,0.509,0.444,0.1000,jsd2,"2.620, 0.103, 1.361",0.5,30.0,0,105
43,1.345994,2.613812,0.510,0.437,0.1000,jsd2,"2.606, 0.103, 1.354",0.5,30.0,1,108
44,1.343077,2.555811,0.512,0.440,0.1000,jsd2,"2.617, 0.104, 1.360",0.5,30.0,2,110
45,1.348620,2.088490,0.511,0.442,0.1000,jsd2,"2.627, 0.105, 1.366",0.5,30.0,3,113
46,1.333763,2.264163,0.516,0.443,0.1000,jsd2,"2.601, 0.103, 1.352",0.5,30.0,4,116
47,1.334730,2.404638,0.514,0.443,0.1000,jsd2,"2.598, 0.100, 1.349",0.5,30.0,5,118
48,1.331234,2.284733,0.516,0.454,0.1000,jsd2,"2.607, 0.104, 1.356",0.5,30.0,0,121
49,1.329051,2.127138,0.518,0.435,0.1000,jsd2,"2.587, 0.099, 1.343",0.5,30.0,1,123
50,1.323379,2.202557,0.522,0.437,0.1000,jsd2,"2.563, 0.098, 1.331",0.5,30.0,2,126
51,1.324062,2.509073,0.520,0.442,0.1000,jsd2,"2.590, 0.100, 1.345",0.5,30.0,3,128
52,1.314365,2.231277,0.524,0.438,0.1000,jsd2,"2.546, 0.097, 1.321",0.5,30.0,4,131
53,1.316489,2.402417,0.523,0.432,0.1000,jsd2,"2.578, 0.100, 1.339",0.5,30.0,5,133
54,1.310216,2.527518,0.526,0.435,0.1000,jsd2,"2.559, 0.103, 1.331",0.5,30.0,6,136
55,1.304953,2.247746,0.524,0.427,0.1000,jsd2,"2.514, 0.096, 1.305",0.5,30.0,7,138
56,1.309549,2.184350,0.523,0.449,0.1000,jsd2,"2.548, 0.099, 1.323",0.5,30.0,8,141
57,1.297393,2.239660,0.527,0.443,0.1000,jsd2,"2.519, 0.094, 1.307",0.5,30.0,9,143
58,1.306234,2.152282,0.526,0.445,0.1000,jsd2,"2.546, 0.099, 1.322",0.5,30.0,10,146
59,1.297854,2.484076,0.529,0.445,0.1000,jsd2,"2.523, 0.089, 1.306",0.5,30.0,11,148
60,1.295399,2.199294,0.528,0.441,0.1000,jsd2,"2.551, 0.093, 1.322",0.5,30.0,12,151
61,1.289336,2.490717,0.531,0.428,0.1000,jsd2,"2.497, 0.095, 1.296",0.5,30.0,13,153
