_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.449866,2.483922,0.198,0.212,0.1000,jsd2,"4.316, 0.009, 0.439",0.9,30.0,0,2
2,0.432801,2.321877,0.236,0.243,0.1000,jsd2,"4.183, 0.011, 0.428",0.9,30.0,0,5
3,0.423536,2.271128,0.254,0.259,0.1000,jsd2,"4.084, 0.013, 0.420",0.9,30.0,0,7
4,0.416277,2.278987,0.270,0.268,0.1000,jsd2,"4.054, 0.013, 0.417",0.9,30.0,0,10
5,0.411285,2.329607,0.279,0.280,0.1000,jsd2,"3.953, 0.015, 0.409",0.9,30.0,0,13
6,0.406322,2.221364,0.290,0.279,0.1000,jsd2,"3.907, 0.015, 0.405",0.9,30.0,1,15
7,0.401395,2.239016,0.301,0.294,0.1000,jsd2,"3.839, 0.016, 0.399",0.9,30.0,0,18
8,0.397161,2.235904,0.312,0.303,0.1000,jsd2,"3.800, 0.018, 0.396",0.9,30.0,0,21
9,0.393035,2.363646,0.321,0.305,0.1000,jsd2,"3.750, 0.019, 0.392",0.9,30.0,0,23
10,0.389918,2.286562,0.328,0.313,0.1000,jsd2,"3.726, 0.020, 0.390",0.9,30.0,0,26
11,0.385968,2.141914,0.339,0.322,0.1000,jsd2,"3.669, 0.020, 0.385",0.9,30.0,0,28
12,0.381575,2.023373,0.346,0.332,0.1000,jsd2,"3.625, 0.021, 0.381",0.9,30.0,0,31
13,0.378668,2.066848,0.352,0.339,0.1000,jsd2,"3.588, 0.022, 0.378",0.9,30.0,0,34
14,0.375996,2.072425,0.361,0.347,0.1000,jsd2,"3.543, 0.022, 0.374",0.9,30.0,0,36
15,0.373004,2.106385,0.364,0.352,0.1000,jsd2,"3.492, 0.023, 0.370",0.9,30.0,0,39
16,0.370691,2.172578,0.370,0.353,0.1000,jsd2,"3.471, 0.023, 0.368",0.9,30.0,0,41
17,0.368625,1.947640,0.376,0.365,0.1000,jsd2,"3.499, 0.024, 0.371",0.9,30.0,0,44
18,0.365134,2.096711,0.384,0.356,0.1000,jsd2,"3.418, 0.025, 0.364",0.9,30.0,1,47
19,0.363117,2.041697,0.387,0.362,0.1000,jsd2,"3.402, 0.025, 0.362",0.9,30.0,2,49
20,0.358926,2.087257,0.396,0.370,0.1000,jsd2,"3.336, 0.024, 0.355",0.9,30.0,0,52
