_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,3.499701,0.000000,0.202,0.000,0.1000,jsdg2,"0.000, 0.000, 3.365",0.5,30.0,0,2
2,3.182870,0.000000,0.235,0.000,0.1000,jsdg2,"0.000, 0.000, 3.113",0.5,30.0,0,4
3,2.978655,0.000000,0.262,0.000,0.1000,jsdg2,"0.000, 0.000, 2.901",0.5,30.0,0,6
4,2.812094,0.000000,0.287,0.000,0.1000,jsdg2,"0.000, 0.000, 2.757",0.5,30.0,0,9
5,2.679446,0.000000,0.303,0.000,0.1000,jsdg2,"0.000, 0.000, 2.647",0.5,30.0,0,11
6,2.539228,0.000000,0.325,0.000,0.1000,jsdg2,"0.000, 0.000, 2.496",0.5,30.0,0,13
7,2.448133,0.000000,0.340,0.000,0.1000,jsdg2,"0.000, 0.000, 2.382",0.5,30.0,0,16
8,2.354243,0.000000,0.354,0.000,0.1000,jsdg2,"0.000, 0.000, 2.336",0.5,30.0,0,18
9,2.282499,0.000000,0.364,0.000,0.1000,jsdg2,"0.000, 0.000, 2.283",0.5,30.0,0,20
10,2.217650,0.000000,0.375,0.000,0.1000,jsdg2,"0.000, 0.000, 2.199",0.5,30.0,0,23
11,2.197317,0.000000,0.369,0.000,0.1000,jsdg2,"0.000, 0.000, 2.193",0.5,30.0,0,25
12,2.201558,0.000000,0.367,0.000,0.1000,jsdg2,"0.000, 0.000, 2.155",0.5,30.0,0,27
13,2.222307,0.000000,0.350,0.000,0.1000,jsdg2,"0.000, 0.000, 2.303",0.5,30.0,0,30
14,2.261283,0.000000,0.349,0.000,0.1000,jsdg2,"0.000, 0.000, 2.278",0.5,30.0,0,32
15,2.235731,0.000000,0.347,0.000,0.1000,jsdg2,"0.000, 0.000, 2.253",0.5,30.0,0,34
16,2.227399,0.000000,0.349,0.000,0.1000,jsdg2,"0.000, 0.000, 2.303",0.5,30.0,0,37
17,2.203382,0.000000,0.343,0.000,0.1000,jsdg2,"0.000, 0.000, 2.279",0.5,30.0,0,39
18,2.275629,0.000000,0.327,0.000,0.1000,jsdg2,"0.000, 0.000, 2.291",0.5,30.0,0,41
19,2.248660,0.000000,0.339,0.000,0.1000,jsdg2,"0.000, 0.000, 2.152",0.5,30.0,0,44
20,2.256906,0.000000,0.342,0.000,0.1000,jsdg2,"0.000, 0.000, 2.322",0.5,30.0,0,46
21,2.145038,0.000000,0.367,0.000,0.1000,jsdg2,"0.000, 0.000, 2.233",0.5,30.0,0,48
22,2.171930,0.000000,0.344,0.000,0.1000,jsdg2,"0.000, 0.000, 2.222",0.5,30.0,0,51
23,2.216313,0.000000,0.344,0.000,0.1000,jsdg2,"0.000, 0.000, 2.108",0.5,30.0,0,53
24,2.170147,0.000000,0.341,0.000,0.1000,jsdg2,"0.000, 0.000, 2.168",0.5,30.0,0,55
25,2.203334,0.000000,0.334,0.000,0.1000,jsdg2,"0.000, 0.000, 2.303",0.5,30.0,0,58
26,2.233633,0.000000,0.325,0.000,0.1000,jsdg2,"0.000, 0.000, 2.435",0.5,30.0,0,60
27,2.228320,0.000000,0.358,0.000,0.1000,jsdg2,"0.000, 0.000, 2.158",0.5,30.0,0,62
28,2.109139,0.000000,0.361,0.000,0.1000,jsdg2,"0.000, 0.000, 2.126",0.5,30.0,0,65
29,2.179105,0.000000,0.334,0.000,0.1000,jsdg2,"0.000, 0.000, 2.221",0.5,30.0,0,67
30,2.177768,0.000000,0.341,0.000,0.1000,jsdg2,"0.000, 0.000, 2.191",0.5,30.0,0,69
31,2.193051,0.000000,0.345,0.000,0.1000,jsdg2,"0.000, 0.000, 2.252",0.5,30.0,0,72
32,2.058922,0.000000,0.351,0.000,0.1000,jsdg2,"0.000, 0.000, 2.112",0.5,30.0,0,74
33,2.200935,0.000000,0.342,0.000,0.1000,jsdg2,"0.000, 0.000, 2.262",0.5,30.0,0,76
34,2.021288,0.000000,0.389,0.000,0.1000,jsdg2,"0.000, 0.000, 1.962",0.5,30.0,0,79
35,1.947900,0.000000,0.371,0.000,0.1000,jsdg2,"0.000, 0.000, 2.025",0.5,30.0,0,81
36,2.171365,0.000000,0.334,0.000,0.1000,jsdg2,"0.000, 0.000, 2.161",0.5,30.0,0,83
37,2.116351,0.000000,0.338,0.000,0.1000,jsdg2,"0.000, 0.000, 2.094",0.5,30.0,0,86
38,2.147958,0.000000,0.330,0.000,0.1000,jsdg2,"0.000, 0.000, 2.176",0.5,30.0,0,88
39,2.126873,0.000000,0.331,0.000,0.1000,jsdg2,"0.000, 0.000, 2.014",0.5,30.0,0,90
40,2.193483,0.000000,0.331,0.000,0.1000,jsdg2,"0.000, 0.000, 2.159",0.5,30.0,0,93
41,2.116154,0.000000,0.325,0.000,0.1000,jsdg2,"0.000, 0.000, 2.123",0.5,30.0,0,95
42,2.164805,0.000000,0.330,0.000,0.1000,jsdg2,"0.000, 0.000, 2.099",0.5,30.0,0,97
43,2.153825,0.000000,0.324,0.000,0.1000,jsdg2,"0.000, 0.000, 1.974",0.5,30.0,0,99
44,2.081230,0.000000,0.318,0.000,0.1000,jsdg2,"0.000, 0.000, 2.202",0.5,30.0,0,102
45,2.192626,0.000000,0.321,0.000,0.1000,jsdg2,"0.000, 0.000, 2.423",0.5,30.0,0,104
46,2.070695,0.000000,0.324,0.000,0.1000,jsdg2,"0.000, 0.000, 2.108",0.5,30.0,0,106
47,2.152711,0.000000,0.331,0.000,0.1000,jsdg2,"0.000, 0.000, 2.078",0.5,30.0,0,109
48,2.131500,0.000000,0.315,0.000,0.1000,jsdg2,"0.000, 0.000, 2.327",0.5,30.0,0,111
49,2.118310,0.000000,0.330,0.000,0.1000,jsdg2,"0.000, 0.000, 2.185",0.5,30.0,0,113
50,2.263090,0.000000,0.322,0.000,0.1000,jsdg2,"0.000, 0.000, 2.263",0.5,30.0,0,116
51,2.117213,0.000000,0.341,0.000,0.1000,jsdg2,"0.000, 0.000, 2.291",0.5,30.0,0,118
52,2.099705,0.000000,0.326,0.000,0.1000,jsdg2,"0.000, 0.000, 2.444",0.5,30.0,0,120
53,2.241457,0.000000,0.340,0.000,0.1000,jsdg2,"0.000, 0.000, 2.237",0.5,30.0,0,123
54,2.057129,0.000000,0.392,0.000,0.1000,jsdg2,"0.000, 0.000, 1.990",0.5,30.0,0,125
55,1.917081,0.000000,0.382,0.000,0.1000,jsdg2,"0.000, 0.000, 1.916",0.5,30.0,0,127
56,2.074208,0.000000,0.365,0.000,0.1000,jsdg2,"0.000, 0.000, 1.973",0.5,30.0,0,130
57,2.071317,0.000000,0.336,0.000,0.1000,jsdg2,"0.000, 0.000, 2.110",0.5,30.0,0,132
58,2.130173,0.000000,0.332,0.000,0.1000,jsdg2,"0.000, 0.000, 2.410",0.5,30.0,0,134
59,2.042680,0.000000,0.351,0.000,0.1000,jsdg2,"0.000, 0.000, 2.125",0.5,30.0,0,136
60,2.091075,0.000000,0.336,0.000,0.1000,jsdg2,"0.000, 0.000, 2.109",0.5,30.0,0,139
61,2.061223,0.000000,0.316,0.000,0.1000,jsdg2,"0.000, 0.000, 2.106",0.5,30.0,0,141
62,2.077116,0.000000,0.324,0.000,0.1000,jsdg2,"0.000, 0.000, 2.101",0.5,30.0,0,143
63,2.130063,0.000000,0.320,0.000,0.1000,jsdg2,"0.000, 0.000, 2.149",0.5,30.0,0,146
64,2.076673,0.000000,0.324,0.000,0.1000,jsdg2,"0.000, 0.000, 2.002",0.5,30.0,0,148
65,2.098242,0.000000,0.313,0.000,0.1000,jsdg2,"0.000, 0.000, 2.182",0.5,30.0,0,150
66,2.184822,0.000000,0.334,0.000,0.1000,jsdg2,"0.000, 0.000, 2.079",0.5,30.0,0,153
67,2.024421,0.000000,0.333,0.000,0.1000,jsdg2,"0.000, 0.000, 1.997",0.5,30.0,0,155
68,2.031575,0.000000,0.361,0.000,0.1000,jsdg2,"0.000, 0.000, 1.900",0.5,30.0,0,157
69,2.019851,0.000000,0.318,0.000,0.1000,jsdg2,"0.000, 0.000, 2.040",0.5,30.0,0,160
70,2.132536,0.000000,0.356,0.000,0.1000,jsdg2,"0.000, 0.000, 1.826",0.5,30.0,0,162
71,2.037064,0.000000,0.325,0.000,0.1000,jsdg2,"0.000, 0.000, 2.121",0.5,30.0,0,164
72,2.047783,0.000000,0.326,0.000,0.1000,jsdg2,"0.000, 0.000, 2.044",0.5,30.0,0,167
73,2.210260,0.000000,0.317,0.000,0.1000,jsdg2,"0.000, 0.000, 2.256",0.5,30.0,0,169
74,2.163562,0.000000,0.332,0.000,0.1000,jsdg2,"0.000, 0.000, 2.253",0.5,30.0,0,171
75,2.078480,0.000000,0.333,0.000,0.1000,jsdg2,"0.000, 0.000, 2.108",0.5,30.0,0,173
76,2.118973,0.000000,0.327,0.000,0.1000,jsdg2,"0.000, 0.000, 2.089",0.5,30.0,0,176
77,2.138103,0.000000,0.327,0.000,0.1000,jsdg2,"0.000, 0.000, 2.065",0.5,30.0,0,178
78,2.129168,0.000000,0.330,0.000,0.1000,jsdg2,"0.000, 0.000, 2.275",0.5,30.0,0,180
79,2.198121,0.000000,0.354,0.000,0.1000,jsdg2,"0.000, 0.000, 2.089",0.5,30.0,0,183
80,2.006467,0.000000,0.346,0.000,0.1000,jsdg2,"0.000, 0.000, 2.209",0.5,30.0,0,185
81,2.093822,0.000000,0.319,0.000,0.1000,jsdg2,"0.000, 0.000, 2.151",0.5,30.0,0,187
82,2.143075,0.000000,0.347,0.000,0.1000,jsdg2,"0.000, 0.000, 2.033",0.5,30.0,0,190
83,2.001994,0.000000,0.320,0.000,0.1000,jsdg2,"0.000, 0.000, 2.129",0.5,30.0,0,192
