_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,3.368441,3.627654,0.215,0.205,0.1000,jsdg,"0.000, 0.000, 3.217",0.5,30.0,0,2
2,3.040449,3.818801,0.259,0.237,0.1000,jsdg,"0.000, 0.000, 2.983",0.5,30.0,0,5
3,2.815002,3.564464,0.292,0.269,0.1000,jsdg,"0.000, 0.000, 2.749",0.5,30.0,0,8
4,2.635015,3.452363,0.327,0.289,0.1000,jsdg,"0.000, 0.000, 2.580",0.5,30.0,0,11
5,2.516740,3.647281,0.344,0.331,0.1000,jsdg,"0.000, 0.000, 2.489",0.5,30.0,0,13
6,2.410676,3.771747,0.365,0.317,0.1000,jsdg,"0.000, 0.000, 2.394",0.5,30.0,1,16
7,2.324414,3.542351,0.382,0.330,0.1000,jsdg,"0.000, 0.000, 2.323",0.5,30.0,2,19
8,2.266732,3.998693,0.395,0.308,0.1000,jsdg,"0.000, 0.000, 2.260",0.5,30.0,3,22
9,2.219653,3.432626,0.405,0.367,0.1000,jsdg,"0.000, 0.000, 2.212",0.5,30.0,0,24
10,2.164402,3.246535,0.415,0.368,0.1000,jsdg,"0.000, 0.000, 2.164",0.5,30.0,0,27
11,2.128336,3.671048,0.426,0.388,0.1000,jsdg,"0.000, 0.000, 2.144",0.5,30.0,0,30
12,2.098424,3.338065,0.430,0.379,0.1000,jsdg,"0.000, 0.000, 2.107",0.5,30.0,1,33
13,2.066818,3.353487,0.435,0.368,0.1000,jsdg,"0.000, 0.000, 2.074",0.5,30.0,2,35
14,2.035243,3.602848,0.444,0.382,0.1000,jsdg,"0.000, 0.000, 2.036",0.5,30.0,3,38
15,2.004599,3.573468,0.452,0.390,0.1000,jsdg,"0.000, 0.000, 2.028",0.5,30.0,0,41
16,1.980403,3.408486,0.456,0.404,0.1000,jsdg,"0.000, 0.000, 1.988",0.5,30.0,0,44
17,1.961138,3.392552,0.461,0.395,0.1000,jsdg,"0.000, 0.000, 1.955",0.5,30.0,1,46
18,1.947871,3.498564,0.466,0.386,0.1000,jsdg,"0.000, 0.000, 1.964",0.5,30.0,2,49
19,1.926059,3.067943,0.469,0.421,0.1000,jsdg,"0.000, 0.000, 1.928",0.5,30.0,0,52
20,1.909055,3.444497,0.475,0.401,0.1000,jsdg,"0.000, 0.000, 1.917",0.5,30.0,1,55
21,1.896611,3.194925,0.477,0.403,0.1000,jsdg,"0.000, 0.000, 1.919",0.5,30.0,2,57
22,1.880136,3.452283,0.481,0.405,0.1000,jsdg,"0.000, 0.000, 1.894",0.5,30.0,3,60
23,1.862899,3.694075,0.485,0.402,0.1000,jsdg,"0.000, 0.000, 1.867",0.5,30.0,4,63
24,1.850744,3.343658,0.487,0.408,0.1000,jsdg,"0.000, 0.000, 1.870",0.5,30.0,5,66
