_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,2
2,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,4
3,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,7
4,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,9
5,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,12
6,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,14
7,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,17
8,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,19
9,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,22
10,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,24
11,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,26
12,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,29
13,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,31
14,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,34
15,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,36
16,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,39
17,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,41
18,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,43
19,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,46
20,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,48
21,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,51
22,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,53
23,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,56
24,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,58
25,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,60
26,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,63
27,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,65
28,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,68
29,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,70
30,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,73
31,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,75
32,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,77
33,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,80
34,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,82
35,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,85
36,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,87
37,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,90
38,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,92
39,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,95
40,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,97
41,nan,nan,0.100,0.101,0.1000,kl_1_2_3,"0.000, 0.000, nan",0.5,1.0,0,99
