_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,10.014765,3.600156,0.200,0.165,0.1000,kl_1_2_3,"0.000, 0.000, 9.703",0.5,30.0,0,2
2,9.209680,3.791433,0.243,0.216,0.1000,kl_1_2_3,"0.000, 0.000, 8.967",0.5,30.0,0,5
3,8.632740,3.340653,0.270,0.241,0.1000,kl_1_2_3,"0.000, 0.000, 8.463",0.5,30.0,0,8
4,8.119864,3.801037,0.298,0.264,0.1000,kl_1_2_3,"0.000, 0.000, 7.956",0.5,30.0,0,10
5,7.715495,4.194055,0.324,0.240,0.1000,kl_1_2_3,"0.000, 0.000, 7.666",0.5,30.0,1,13
6,7.379256,3.848671,0.349,0.285,0.1000,kl_1_2_3,"0.000, 0.000, 7.302",0.5,30.0,0,16
7,7.085211,3.547221,0.361,0.315,0.1000,kl_1_2_3,"0.000, 0.000, 7.051",0.5,30.0,0,19
8,6.870704,3.514804,0.379,0.343,0.1000,kl_1_2_3,"0.000, 0.000, 6.801",0.5,30.0,0,21
9,6.697388,3.607541,0.389,0.354,0.1000,kl_1_2_3,"0.000, 0.000, 6.679",0.5,30.0,0,24
10,6.555279,3.363289,0.401,0.378,0.1000,kl_1_2_3,"0.000, 0.000, 6.420",0.5,30.0,0,27
11,6.430732,3.992535,0.413,0.343,0.1000,kl_1_2_3,"0.000, 0.000, 6.438",0.5,30.0,1,30
12,6.335449,3.273284,0.420,0.363,0.1000,kl_1_2_3,"0.000, 0.000, 6.325",0.5,30.0,2,32
13,6.219815,3.508183,0.428,0.374,0.1000,kl_1_2_3,"0.000, 0.000, 6.202",0.5,30.0,3,35
14,6.125196,3.447359,0.435,0.379,0.1000,kl_1_2_3,"0.000, 0.000, 6.190",0.5,30.0,0,38
15,6.055721,3.361542,0.441,0.402,0.1000,kl_1_2_3,"0.000, 0.000, 6.072",0.5,30.0,0,41
16,5.974052,3.492250,0.448,0.387,0.1000,kl_1_2_3,"0.000, 0.000, 6.064",0.5,30.0,1,43
17,5.918333,2.948148,0.449,0.402,0.1000,kl_1_2_3,"0.000, 0.000, 5.974",0.5,30.0,0,46
18,5.849063,3.294559,0.454,0.396,0.1000,kl_1_2_3,"0.000, 0.000, 5.891",0.5,30.0,1,49
19,5.790269,3.533454,0.461,0.381,0.1000,kl_1_2_3,"0.000, 0.000, 5.848",0.5,30.0,2,52
20,5.726264,3.614595,0.466,0.397,0.1000,kl_1_2_3,"0.000, 0.000, 5.745",0.5,30.0,3,54
21,5.675075,3.138307,0.470,0.409,0.1000,kl_1_2_3,"0.000, 0.000, 5.722",0.5,30.0,0,57
22,5.621646,3.379413,0.474,0.401,0.1000,kl_1_2_3,"0.000, 0.000, 5.607",0.5,30.0,1,60
23,5.585144,3.060508,0.476,0.408,0.1000,kl_1_2_3,"0.000, 0.000, 5.613",0.5,30.0,2,62
24,5.525196,3.231287,0.481,0.398,0.1000,kl_1_2_3,"0.000, 0.000, 5.561",0.5,30.0,3,65
25,5.502749,3.162156,0.482,0.418,0.1000,kl_1_2_3,"0.000, 0.000, 5.533",0.5,30.0,0,68
26,5.458169,3.403078,0.486,0.415,0.1000,kl_1_2_3,"0.000, 0.000, 5.473",0.5,30.0,1,71
27,5.434129,3.591230,0.489,0.397,0.1000,kl_1_2_3,"0.000, 0.000, 5.521",0.5,30.0,2,73
28,5.394907,3.291468,0.493,0.414,0.1000,kl_1_2_3,"0.000, 0.000, 5.458",0.5,30.0,3,76
29,5.375687,3.210316,0.492,0.426,0.1000,kl_1_2_3,"0.000, 0.000, 5.423",0.5,30.0,0,79
30,5.350769,3.154537,0.493,0.423,0.1000,kl_1_2_3,"0.000, 0.000, 5.407",0.5,30.0,1,82
31,5.287190,3.242924,0.498,0.433,0.1000,kl_1_2_3,"0.000, 0.000, 5.341",0.5,30.0,0,84
32,5.297208,3.472536,0.500,0.417,0.1000,kl_1_2_3,"0.000, 0.000, 5.349",0.5,30.0,1,87
33,5.234840,3.386709,0.503,0.411,0.1000,kl_1_2_3,"0.000, 0.000, 5.320",0.5,30.0,2,90
