_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,2
2,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,4
3,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,5
4,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,7
5,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,9
6,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,11
7,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,13
8,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,15
9,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,17
10,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,18
11,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,20
12,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,22
13,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,24
14,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,26
15,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,28
16,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,30
17,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,32
18,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,34
19,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,35
20,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,37
21,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,39
22,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,41
23,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,43
24,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,45
25,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,47
26,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,49
27,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,51
28,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,53
29,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,54
30,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,56
31,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,58
32,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,60
33,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,62
34,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,64
35,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,66
36,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,67
37,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,69
38,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,71
39,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,73
40,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,75
41,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,76
42,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,78
43,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,80
44,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,82
45,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,83
46,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,85
47,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,87
48,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,89
49,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,91
50,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,93
51,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,94
52,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,96
53,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,98
54,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,100
55,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,102
56,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,104
57,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,106
58,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,107
59,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,109
60,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,111
61,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,113
62,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,115
63,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,117
64,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,119
65,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,121
66,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,122
67,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,124
68,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,126
69,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,128
70,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,129
71,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,131
72,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,133
73,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,135
74,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,137
75,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,139
76,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,141
77,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,143
78,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,144
79,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,146
80,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,148
81,nan,nan,0.100,0.101,0.1000,kl_1_3,"0.000, 0.000, nan",0.5,1.0,0,150
