_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,7.833253,2.711017,0.206,0.219,0.1000,kl_2_3,"0.000, 0.000, 7.612",0.5,30.0,0,2
2,7.464658,2.589381,0.254,0.241,0.1000,kl_2_3,"0.000, 0.000, 7.378",0.5,30.0,0,5
3,7.234054,2.601614,0.277,0.280,0.1000,kl_2_3,"0.000, 0.000, 7.153",0.5,30.0,0,7
4,7.044947,2.538052,0.299,0.283,0.1000,kl_2_3,"0.000, 0.000, 6.950",0.5,30.0,0,10
5,6.852712,2.580546,0.324,0.317,0.1000,kl_2_3,"0.000, 0.000, 6.824",0.5,30.0,0,13
6,6.678388,2.362088,0.343,0.323,0.1000,kl_2_3,"0.000, 0.000, 6.644",0.5,30.0,0,15
7,6.528914,2.512128,0.359,0.332,0.1000,kl_2_3,"0.000, 0.000, 6.530",0.5,30.0,0,18
8,6.382855,2.559983,0.376,0.343,0.1000,kl_2_3,"0.000, 0.000, 6.356",0.5,30.0,0,20
9,6.297475,2.318310,0.386,0.366,0.1000,kl_2_3,"0.000, 0.000, 6.272",0.5,30.0,0,23
10,6.165999,2.433404,0.401,0.364,0.1000,kl_2_3,"0.000, 0.000, 6.161",0.5,30.0,1,26
11,6.101099,2.259927,0.410,0.382,0.1000,kl_2_3,"0.000, 0.000, 6.072",0.5,30.0,0,28
12,6.017328,2.380907,0.419,0.374,0.1000,kl_2_3,"0.000, 0.000, 6.017",0.5,30.0,1,31
13,5.958626,2.743447,0.425,0.382,0.1000,kl_2_3,"0.000, 0.000, 5.934",0.5,30.0,2,33
14,5.886810,2.273341,0.433,0.412,0.1000,kl_2_3,"0.000, 0.000, 5.879",0.5,30.0,0,36
15,5.863692,2.220352,0.439,0.400,0.1000,kl_2_3,"0.000, 0.000, 5.883",0.5,30.0,1,38
16,5.810620,2.298363,0.443,0.413,0.1000,kl_2_3,"0.000, 0.000, 5.852",0.5,30.0,0,41
17,5.753349,2.232498,0.450,0.392,0.1000,kl_2_3,"0.000, 0.000, 5.746",0.5,30.0,1,44
18,5.701692,2.267245,0.457,0.407,0.1000,kl_2_3,"0.000, 0.000, 5.738",0.5,30.0,2,46
19,5.666238,2.150927,0.456,0.411,0.1000,kl_2_3,"0.000, 0.000, 5.696",0.5,30.0,3,49
20,5.635274,2.367642,0.461,0.414,0.1000,kl_2_3,"0.000, 0.000, 5.599",0.5,30.0,0,51
21,5.588619,2.263927,0.465,0.428,0.1000,kl_2_3,"0.000, 0.000, 5.609",0.5,30.0,0,54
22,5.573663,2.328828,0.466,0.412,0.1000,kl_2_3,"0.000, 0.000, 5.602",0.5,30.0,1,57
23,5.536943,2.156578,0.473,0.426,0.1000,kl_2_3,"0.000, 0.000, 5.554",0.5,30.0,2,59
24,5.514555,2.099387,0.477,0.436,0.1000,kl_2_3,"0.000, 0.000, 5.501",0.5,30.0,0,62
25,5.465858,2.304442,0.478,0.424,0.1000,kl_2_3,"0.000, 0.000, 5.472",0.5,30.0,1,64
26,5.468541,2.174744,0.479,0.433,0.1000,kl_2_3,"0.000, 0.000, 5.488",0.5,30.0,2,67
27,5.440650,2.155672,0.483,0.420,0.1000,kl_2_3,"0.000, 0.000, 5.454",0.5,30.0,3,70
28,5.410503,2.347404,0.487,0.431,0.1000,kl_2_3,"0.000, 0.000, 5.423",0.5,30.0,4,72
29,5.378805,2.072008,0.490,0.431,0.1000,kl_2_3,"0.000, 0.000, 5.395",0.5,30.0,5,75
30,5.375862,2.328538,0.493,0.438,0.1000,kl_2_3,"0.000, 0.000, 5.375",0.5,30.0,0,77
31,5.339327,2.193633,0.493,0.432,0.1000,kl_2_3,"0.000, 0.000, 5.333",0.5,30.0,1,80
32,5.325556,2.264707,0.494,0.435,0.1000,kl_2_3,"0.000, 0.000, 5.361",0.5,30.0,2,82
33,5.301572,2.275687,0.498,0.426,0.1000,kl_2_3,"0.000, 0.000, 5.296",0.5,30.0,3,85
34,5.290430,2.173180,0.497,0.439,0.1000,kl_2_3,"0.000, 0.000, 5.329",0.5,30.0,0,88
35,5.265851,2.163169,0.499,0.445,0.1000,kl_2_3,"0.000, 0.000, 5.297",0.5,30.0,0,90
36,5.241216,2.181753,0.502,0.442,0.1000,kl_2_3,"0.000, 0.000, 5.225",0.5,30.0,1,93
37,5.232581,2.226054,0.504,0.435,0.1000,kl_2_3,"0.000, 0.000, 5.243",0.5,30.0,2,95
38,5.203107,2.299492,0.505,0.441,0.1000,kl_2_3,"0.000, 0.000, 5.241",0.5,30.0,3,98
39,5.202601,2.087083,0.505,0.451,0.1000,kl_2_3,"0.000, 0.000, 5.237",0.5,30.0,0,101
40,5.199883,2.198912,0.506,0.440,0.1000,kl_2_3,"0.000, 0.000, 5.225",0.5,30.0,1,103
41,5.193302,2.152656,0.509,0.443,0.1000,kl_2_3,"0.000, 0.000, 5.180",0.5,30.0,2,106
42,5.159301,2.165279,0.511,0.450,0.1000,kl_2_3,"0.000, 0.000, 5.182",0.5,30.0,3,108
43,5.160544,2.226779,0.511,0.443,0.1000,kl_2_3,"0.000, 0.000, 5.213",0.5,30.0,4,111
44,5.138078,2.174484,0.511,0.442,0.1000,kl_2_3,"0.000, 0.000, 5.189",0.5,30.0,5,113
45,5.126453,2.252516,0.518,0.444,0.1000,kl_2_3,"0.000, 0.000, 5.150",0.5,30.0,6,116
46,5.116021,2.199895,0.517,0.430,0.1000,kl_2_3,"0.000, 0.000, 5.093",0.5,30.0,7,119
47,5.106233,2.214155,0.516,0.451,0.1000,kl_2_3,"0.000, 0.000, 5.112",0.5,30.0,8,121
48,5.108732,2.127180,0.519,0.430,0.1000,kl_2_3,"0.000, 0.000, 5.209",0.5,30.0,9,124
49,5.093694,2.253442,0.519,0.449,0.1000,kl_2_3,"0.000, 0.000, 5.134",0.5,30.0,10,126
50,5.068289,2.182323,0.520,0.450,0.1000,kl_2_3,"0.000, 0.000, 5.117",0.5,30.0,11,129
51,5.067753,2.209331,0.520,0.438,0.1000,kl_2_3,"0.000, 0.000, 5.076",0.5,30.0,12,132
52,5.082561,2.174494,0.519,0.454,0.1000,kl_2_3,"0.000, 0.000, 5.098",0.5,30.0,0,134
53,5.044695,2.133526,0.524,0.449,0.1000,kl_2_3,"0.000, 0.000, 5.100",0.5,30.0,1,137
54,5.036163,2.445464,0.524,0.433,0.1000,kl_2_3,"0.000, 0.000, 5.075",0.5,30.0,2,139
55,5.039235,2.192979,0.525,0.443,0.1000,kl_2_3,"0.000, 0.000, 5.055",0.5,30.0,3,142
56,5.036768,2.243250,0.523,0.449,0.1000,kl_2_3,"0.000, 0.000, 5.031",0.5,30.0,4,145
57,5.015854,2.310217,0.528,0.434,0.1000,kl_2_3,"0.000, 0.000, 5.084",0.5,30.0,5,147
58,5.016887,2.195627,0.529,0.448,0.1000,kl_2_3,"0.000, 0.000, 5.059",0.5,30.0,6,150
59,5.004470,2.336831,0.528,0.447,0.1000,kl_2_3,"0.000, 0.000, 5.048",0.5,30.0,7,152
60,4.998060,2.249154,0.527,0.431,0.1000,kl_2_3,"0.000, 0.000, 5.024",0.5,30.0,8,155
61,4.984292,2.829828,0.530,0.410,0.1000,kl_2_3,"0.000, 0.000, 4.982",0.5,30.0,9,157
62,5.013869,2.223448,0.526,0.432,0.1000,kl_2_3,"0.000, 0.000, 5.071",0.5,30.0,10,160
63,4.989260,2.328410,0.530,0.455,0.1000,kl_2_3,"0.000, 0.000, 5.081",0.5,30.0,0,163
64,4.963758,2.235778,0.533,0.449,0.1000,kl_2_3,"0.000, 0.000, 4.981",0.5,30.0,1,165
65,4.967529,2.122245,0.533,0.448,0.1000,kl_2_3,"0.000, 0.000, 5.014",0.5,30.0,2,168
66,4.961336,2.170866,0.531,0.443,0.1000,kl_2_3,"0.000, 0.000, 5.016",0.5,30.0,3,170
67,4.942422,2.175660,0.533,0.442,0.1000,kl_2_3,"0.000, 0.000, 4.991",0.5,30.0,4,173
68,4.944326,2.208274,0.532,0.450,0.1000,kl_2_3,"0.000, 0.000, 4.948",0.5,30.0,5,175
69,4.945544,2.198609,0.535,0.445,0.1000,kl_2_3,"0.000, 0.000, 4.996",0.5,30.0,6,178
70,4.938495,2.360189,0.533,0.452,0.1000,kl_2_3,"0.000, 0.000, 4.980",0.5,30.0,7,181
71,4.916147,2.158929,0.538,0.453,0.1000,kl_2_3,"0.000, 0.000, 4.977",0.5,30.0,8,183
72,4.917213,2.446448,0.537,0.441,0.1000,kl_2_3,"0.000, 0.000, 4.934",0.5,30.0,9,186
73,4.910833,2.419866,0.537,0.450,0.1000,kl_2_3,"0.000, 0.000, 4.954",0.5,30.0,10,188
74,4.892081,2.213786,0.537,0.448,0.1000,kl_2_3,"0.000, 0.000, 4.954",0.5,30.0,11,191
75,4.911604,2.218294,0.536,0.454,0.1000,kl_2_3,"0.000, 0.000, 4.942",0.5,30.0,12,194
76,4.895206,2.255681,0.538,0.454,0.1000,kl_2_3,"0.000, 0.000, 4.902",0.5,30.0,13,196
77,4.888492,2.315122,0.541,0.457,0.1000,kl_2_3,"0.000, 0.000, 4.945",0.5,30.0,0,199
78,4.884006,2.330101,0.541,0.450,0.1000,kl_2_3,"0.000, 0.000, 4.897",0.5,30.0,1,201
79,4.905185,2.142510,0.539,0.451,0.1000,kl_2_3,"0.000, 0.000, 4.932",0.5,30.0,2,204
80,4.899327,2.085782,0.542,0.455,0.1000,kl_2_3,"0.000, 0.000, 4.944",0.5,30.0,3,206
81,4.892782,2.094550,0.541,0.446,0.1000,kl_2_3,"0.000, 0.000, 4.953",0.5,30.0,4,209
82,4.886736,2.306712,0.542,0.450,0.1000,kl_2_3,"0.000, 0.000, 4.962",0.5,30.0,5,212
83,4.877783,2.238044,0.544,0.441,0.1000,kl_2_3,"0.000, 0.000, 4.971",0.5,30.0,6,214
84,4.867767,2.126656,0.543,0.456,0.1000,kl_2_3,"0.000, 0.000, 4.947",0.5,30.0,7,217
85,4.866510,2.174852,0.543,0.456,0.1000,kl_2_3,"0.000, 0.000, 4.957",0.5,30.0,8,219
86,4.853311,2.267625,0.545,0.446,0.1000,kl_2_3,"0.000, 0.000, 4.946",0.5,30.0,9,222
87,4.868721,2.276240,0.543,0.464,0.1000,kl_2_3,"0.000, 0.000, 4.939",0.5,30.0,0,225
88,4.838942,2.158575,0.544,0.458,0.1000,kl_2_3,"0.000, 0.000, 4.896",0.5,30.0,1,227
89,4.849817,2.187323,0.546,0.454,0.1000,kl_2_3,"0.000, 0.000, 4.892",0.5,30.0,2,230
90,4.848714,2.164602,0.544,0.457,0.1000,kl_2_3,"0.000, 0.000, 4.931",0.5,30.0,3,232
91,4.826772,2.289539,0.544,0.452,0.1000,kl_2_3,"0.000, 0.000, 4.866",0.5,30.0,4,235
92,4.835138,2.180141,0.545,0.453,0.1000,kl_2_3,"0.000, 0.000, 4.853",0.5,30.0,5,237
93,4.820479,2.305611,0.548,0.448,0.1000,kl_2_3,"0.000, 0.000, 4.835",0.5,30.0,6,240
94,4.832188,2.160920,0.545,0.464,0.1000,kl_2_3,"0.000, 0.000, 4.851",0.5,30.0,0,243
95,4.823370,2.190567,0.548,0.450,0.1000,kl_2_3,"0.000, 0.000, 4.860",0.5,30.0,1,245
96,4.810574,2.185349,0.550,0.456,0.1000,kl_2_3,"0.000, 0.000, 4.846",0.5,30.0,2,248
97,4.830454,2.169552,0.548,0.462,0.1000,kl_2_3,"0.000, 0.000, 4.880",0.5,30.0,3,250
98,4.788582,2.083222,0.550,0.450,0.1000,kl_2_3,"0.000, 0.000, 4.848",0.5,30.0,4,253
99,4.801094,2.281967,0.550,0.456,0.1000,kl_2_3,"0.000, 0.000, 4.828",0.5,30.0,5,256
