_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.508233,2.017059,0.215,0.224,0.1000,rslad,"1.447, 1.187, 1.421",0.1,1.0,0,2
2,1.311686,1.975228,0.273,0.263,0.1000,rslad,"1.289, 0.976, 1.257",0.1,1.0,0,5
3,1.200450,1.854523,0.305,0.293,0.1000,rslad,"1.210, 0.846, 1.174",0.1,1.0,0,7
4,1.110206,1.781613,0.333,0.330,0.1000,rslad,"1.123, 0.719, 1.082",0.1,1.0,0,10
5,1.041866,1.715696,0.355,0.341,0.1000,rslad,"1.070, 0.651, 1.028",0.1,1.0,0,13
6,0.980893,1.721811,0.374,0.353,0.1000,rslad,"1.015, 0.578, 0.972",0.1,1.0,0,15
7,0.934107,1.652255,0.393,0.365,0.1000,rslad,"0.968, 0.527, 0.924",0.1,1.0,0,18
8,0.895161,1.640711,0.406,0.377,0.1000,rslad,"0.922, 0.474, 0.877",0.1,1.0,0,20
9,0.863009,1.594605,0.416,0.382,0.1000,rslad,"0.902, 0.453, 0.857",0.1,1.0,0,23
10,0.835448,1.551964,0.427,0.408,0.1000,rslad,"0.880, 0.431, 0.835",0.1,1.0,0,26
11,0.807513,1.554987,0.440,0.405,0.1000,rslad,"0.856, 0.405, 0.811",0.1,1.0,1,28
12,0.784167,1.597030,0.445,0.387,0.1000,rslad,"0.835, 0.382, 0.789",0.1,1.0,2,31
13,0.764678,1.535409,0.451,0.413,0.1000,rslad,"0.802, 0.355, 0.758",0.1,1.0,0,33
14,0.751839,1.563323,0.455,0.405,0.1000,rslad,"0.797, 0.353, 0.753",0.1,1.0,1,36
15,0.732847,1.576441,0.463,0.412,0.1000,rslad,"0.785, 0.336, 0.740",0.1,1.0,2,39
16,0.722912,1.561624,0.469,0.405,0.1000,rslad,"0.773, 0.329, 0.729",0.1,1.0,3,41
17,0.707626,1.525824,0.476,0.415,0.1000,rslad,"0.772, 0.319, 0.727",0.1,1.0,0,44
18,0.692606,1.555995,0.480,0.412,0.1000,rslad,"0.737, 0.295, 0.693",0.1,1.0,1,46
19,0.686617,1.500285,0.481,0.430,0.1000,rslad,"0.737, 0.292, 0.693",0.1,1.0,0,49
20,0.674365,1.539330,0.485,0.427,0.1000,rslad,"0.735, 0.292, 0.690",0.1,1.0,1,52
21,0.662603,1.536210,0.491,0.417,0.1000,rslad,"0.722, 0.280, 0.678",0.1,1.0,2,54
22,0.657727,1.478619,0.495,0.439,0.1000,rslad,"0.709, 0.272, 0.665",0.1,1.0,0,57
23,0.648368,1.500203,0.496,0.430,0.1000,rslad,"0.703, 0.265, 0.659",0.1,1.0,1,59
24,0.635753,1.490776,0.501,0.441,0.1000,rslad,"0.686, 0.255, 0.643",0.1,1.0,0,62
25,0.629822,1.493185,0.506,0.439,0.1000,rslad,"0.681, 0.249, 0.638",0.1,1.0,1,65
26,0.624213,1.493341,0.506,0.434,0.1000,rslad,"0.676, 0.242, 0.633",0.1,1.0,2,67
27,0.617905,1.488383,0.509,0.438,0.1000,rslad,"0.673, 0.241, 0.630",0.1,1.0,3,70
28,0.614774,1.526875,0.509,0.435,0.1000,rslad,"0.659, 0.233, 0.617",0.1,1.0,4,72
29,0.606847,1.521056,0.514,0.431,0.1000,rslad,"0.645, 0.221, 0.603",0.1,1.0,5,75
