_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.166290,2.815834,0.159,0.115,0.1000,rslad,"1.838, 0.887, 0.982",0.9,1.0,0,2
2,0.809191,2.947922,0.160,0.127,0.1000,rslad,"1.815, 0.631, 0.750",0.9,1.0,0,5
3,0.639828,3.083769,0.181,0.126,0.1000,rslad,"1.697, 0.478, 0.600",0.9,1.0,1,8
4,0.538124,2.616262,0.201,0.174,0.1000,rslad,"1.669, 0.390, 0.518",0.9,1.0,0,10
5,0.469397,2.600906,0.228,0.183,0.1000,rslad,"1.602, 0.340, 0.466",0.9,1.0,0,13
6,0.423335,2.365398,0.250,0.209,0.1000,rslad,"1.496, 0.298, 0.418",0.9,1.0,0,16
7,0.388666,2.415852,0.268,0.206,0.1000,rslad,"1.420, 0.267, 0.382",0.9,1.0,1,18
8,0.356830,2.273672,0.280,0.246,0.1000,rslad,"1.405, 0.242, 0.358",0.9,1.0,0,21
9,0.337191,2.303729,0.292,0.234,0.1000,rslad,"1.351, 0.223, 0.336",0.9,1.0,1,24
10,0.317076,2.284075,0.305,0.234,0.1000,rslad,"1.284, 0.207, 0.315",0.9,1.0,2,26
11,0.302931,2.250572,0.307,0.262,0.1000,rslad,"1.274, 0.196, 0.304",0.9,1.0,0,29
12,0.290159,2.297569,0.318,0.256,0.1000,rslad,"1.235, 0.187, 0.291",0.9,1.0,1,31
13,0.276830,2.231903,0.328,0.272,0.1000,rslad,"1.208, 0.183, 0.285",0.9,1.0,0,34
14,0.265773,2.299020,0.333,0.241,0.1000,rslad,"1.152, 0.170, 0.268",0.9,1.0,1,37
15,0.254208,2.142854,0.336,0.263,0.1000,rslad,"1.126, 0.156, 0.253",0.9,1.0,2,39
16,0.249326,2.129802,0.337,0.266,0.1000,rslad,"1.128, 0.163, 0.260",0.9,1.0,3,42
17,0.243111,2.143277,0.342,0.264,0.1000,rslad,"1.101, 0.154, 0.249",0.9,1.0,4,45
18,0.238847,2.191291,0.342,0.251,0.1000,rslad,"1.080, 0.153, 0.246",0.9,1.0,5,47
19,0.231837,2.090990,0.348,0.263,0.1000,rslad,"1.075, 0.147, 0.240",0.9,1.0,6,50
20,0.228190,2.123881,0.349,0.256,0.1000,rslad,"1.062, 0.152, 0.243",0.9,1.0,7,53
21,0.234695,2.179798,0.347,0.252,0.1000,rslad,"1.075, 0.146, 0.239",0.9,1.0,8,55
22,0.222641,2.169784,0.355,0.277,0.1000,rslad,"1.078, 0.145, 0.238",0.9,1.0,0,58
23,0.217402,2.014739,0.356,0.285,0.1000,rslad,"1.032, 0.131, 0.221",0.9,1.0,0,61
24,0.217664,2.144826,0.357,0.270,0.1000,rslad,"1.103, 0.141, 0.237",0.9,1.0,1,63
25,0.210344,2.006654,0.364,0.283,0.1000,rslad,"0.996, 0.123, 0.210",0.9,1.0,2,66
26,0.214188,2.248255,0.364,0.253,0.1000,rslad,"1.044, 0.135, 0.226",0.9,1.0,3,69
27,0.202041,2.158273,0.371,0.253,0.1000,rslad,"1.040, 0.131, 0.222",0.9,1.0,4,71
28,0.204530,2.007782,0.369,0.278,0.1000,rslad,"1.011, 0.126, 0.215",0.9,1.0,5,74
29,0.200511,2.435565,0.375,0.240,0.1000,rslad,"1.030, 0.127, 0.218",0.9,1.0,6,77
30,0.201858,2.074698,0.371,0.257,0.1000,rslad,"1.002, 0.119, 0.208",0.9,1.0,7,79
31,0.194947,2.096453,0.377,0.277,0.1000,rslad,"0.956, 0.116, 0.200",0.9,1.0,8,82
32,0.196210,2.186861,0.374,0.266,0.1000,rslad,"0.994, 0.119, 0.206",0.9,1.0,9,84
