_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.201958,1.965444,0.234,0.267,0.1000,alpkdce1,"1.836, 0.010, 0.193",0.9,30.0,0,16
2,0.185236,1.866014,0.310,0.300,0.1000,alpkdce1,"1.689, 0.013, 0.181",0.9,30.0,0,33
3,0.175651,1.803239,0.354,0.334,0.1000,alpkdce1,"1.581, 0.016, 0.172",0.9,30.0,0,50
4,0.167405,1.701974,0.391,0.366,0.1000,alpkdce1,"1.491, 0.017, 0.165",0.9,30.0,0,67
5,0.161283,1.635598,0.421,0.394,0.1000,alpkdce1,"1.431, 0.018, 0.160",0.9,30.0,0,84
6,0.156960,1.601285,0.442,0.410,0.1000,alpkdce1,"1.389, 0.019, 0.156",0.9,30.0,0,101
7,0.153684,1.587361,0.461,0.427,0.1000,alpkdce1,"1.364, 0.020, 0.154",0.9,30.0,0,117
8,0.151231,1.531313,0.472,0.439,0.1000,alpkdce1,"1.319, 0.020, 0.150",0.9,30.0,0,134
9,0.148994,1.526517,0.481,0.454,0.1000,alpkdce1,"1.302, 0.020, 0.149",0.9,30.0,0,151
10,0.146949,1.487073,0.492,0.460,0.1000,alpkdce1,"1.283, 0.021, 0.147",0.9,30.0,0,168
11,0.145236,1.500336,0.499,0.463,0.1000,alpkdce1,"1.267, 0.021, 0.145",0.9,30.0,0,185
12,0.143472,1.493873,0.510,0.471,0.1000,alpkdce1,"1.242, 0.021, 0.143",0.9,30.0,0,202
13,0.141829,1.459182,0.514,0.469,0.1000,alpkdce1,"1.230, 0.021, 0.142",0.9,30.0,1,218
14,0.140858,1.449123,0.517,0.487,0.1000,alpkdce1,"1.226, 0.021, 0.141",0.9,30.0,0,235
15,0.139505,1.448445,0.523,0.479,0.1000,alpkdce1,"1.216, 0.021, 0.140",0.9,30.0,1,252
16,0.139042,1.428427,0.525,0.494,0.1000,alpkdce1,"1.208, 0.021, 0.139",0.9,30.0,0,269
17,0.137439,1.443818,0.532,0.467,0.1000,alpkdce1,"1.186, 0.021, 0.137",0.9,30.0,1,286
18,0.136985,1.417808,0.533,0.494,0.1000,alpkdce1,"1.182, 0.021, 0.137",0.9,30.0,0,302
19,0.136322,1.421487,0.536,0.490,0.1000,alpkdce1,"1.188, 0.021, 0.137",0.9,30.0,1,319
20,0.135378,1.417326,0.540,0.489,0.1000,alpkdce1,"1.172, 0.021, 0.136",0.9,30.0,2,336
21,0.135125,1.403190,0.542,0.498,0.1000,alpkdce1,"1.181, 0.020, 0.136",0.9,30.0,0,353
22,0.134417,1.393365,0.543,0.496,0.1000,alpkdce1,"1.157, 0.021, 0.135",0.9,30.0,1,370
23,0.133516,1.392850,0.546,0.506,0.1000,alpkdce1,"1.150, 0.021, 0.134",0.9,30.0,0,386
24,0.133172,1.364704,0.548,0.508,0.1000,alpkdce1,"1.135, 0.021, 0.132",0.9,30.0,0,403
25,0.132984,1.377033,0.551,0.504,0.1000,alpkdce1,"1.147, 0.021, 0.133",0.9,30.0,1,420
26,0.132204,1.437557,0.555,0.487,0.1000,alpkdce1,"1.132, 0.020, 0.132",0.9,30.0,2,437
27,0.131875,1.416573,0.557,0.480,0.1000,alpkdce1,"1.155, 0.021, 0.134",0.9,30.0,3,454
28,0.131745,1.385961,0.555,0.502,0.1000,alpkdce1,"1.139, 0.021, 0.133",0.9,30.0,4,470
29,0.131353,1.394462,0.557,0.490,0.1000,alpkdce1,"1.134, 0.021, 0.132",0.9,30.0,5,487
30,0.131135,1.381533,0.557,0.504,0.1000,alpkdce1,"1.123, 0.021, 0.131",0.9,30.0,6,504
31,0.130679,1.348130,0.558,0.511,0.1000,alpkdce1,"1.127, 0.021, 0.132",0.9,30.0,0,521
32,0.130499,1.397644,0.561,0.500,0.1000,alpkdce1,"1.133, 0.021, 0.132",0.9,30.0,1,538
33,0.130327,1.410293,0.563,0.491,0.1000,alpkdce1,"1.131, 0.021, 0.132",0.9,30.0,2,554
34,0.130053,1.378732,0.561,0.510,0.1000,alpkdce1,"1.136, 0.021, 0.132",0.9,30.0,3,571
35,0.129849,1.413023,0.563,0.497,0.1000,alpkdce1,"1.108, 0.021, 0.129",0.9,30.0,4,588
36,0.129682,1.335124,0.562,0.525,0.1000,alpkdce1,"1.106, 0.021, 0.129",0.9,30.0,0,605
37,0.129364,1.377213,0.565,0.505,0.1000,alpkdce1,"1.118, 0.021, 0.131",0.9,30.0,1,622
38,0.129595,1.374478,0.565,0.503,0.1000,alpkdce1,"1.118, 0.021, 0.131",0.9,30.0,2,638
39,0.129096,1.364852,0.566,0.508,0.1000,alpkdce1,"1.114, 0.021, 0.130",0.9,30.0,3,655
40,0.129023,1.351891,0.566,0.515,0.1000,alpkdce1,"1.104, 0.021, 0.129",0.9,30.0,4,672
41,0.128909,1.389673,0.567,0.504,0.1000,alpkdce1,"1.105, 0.021, 0.130",0.9,30.0,5,689
42,0.128470,1.525694,0.567,0.449,0.1000,alpkdce1,"1.102, 0.021, 0.129",0.9,30.0,6,706
43,0.129522,1.374955,0.565,0.509,0.1000,alpkdce1,"1.108, 0.021, 0.130",0.9,30.0,7,722
44,0.128551,1.475000,0.568,0.462,0.1000,alpkdce1,"1.101, 0.021, 0.129",0.9,30.0,8,739
45,0.128422,1.382184,0.569,0.504,0.1000,alpkdce1,"1.106, 0.021, 0.129",0.9,30.0,9,756
46,0.128074,1.389952,0.572,0.507,0.1000,alpkdce1,"1.097, 0.021, 0.129",0.9,30.0,10,773
47,0.128231,1.357735,0.569,0.515,0.1000,alpkdce1,"1.108, 0.021, 0.129",0.9,30.0,11,790
48,0.127997,1.381490,0.571,0.503,0.1000,alpkdce1,"1.085, 0.021, 0.127",0.9,30.0,12,806
49,0.127452,1.348080,0.574,0.518,0.1000,alpkdce1,"1.091, 0.021, 0.128",0.9,30.0,13,823
50,0.128090,1.385499,0.571,0.505,0.1000,alpkdce1,"1.101, 0.021, 0.129",0.9,30.0,14,840
51,0.128056,1.363483,0.572,0.516,0.1000,alpkdce1,"1.099, 0.021, 0.128",0.9,30.0,15,857
52,0.127668,1.416317,0.572,0.480,0.1000,alpkdce1,"1.098, 0.021, 0.128",0.9,30.0,16,874
53,0.128203,1.359242,0.571,0.507,0.1000,alpkdce1,"1.090, 0.021, 0.128",0.9,30.0,17,890
54,0.127616,1.356884,0.572,0.516,0.1000,alpkdce1,"1.101, 0.020, 0.128",0.9,30.0,18,907
55,0.127708,1.347518,0.574,0.516,0.1000,alpkdce1,"1.101, 0.021, 0.129",0.9,30.0,19,924
56,0.127437,1.352333,0.573,0.518,0.1000,alpkdce1,"1.088, 0.021, 0.128",0.9,30.0,20,941
57,0.127432,1.364843,0.572,0.510,0.1000,alpkdce1,"1.095, 0.021, 0.128",0.9,30.0,21,957
58,0.127710,1.314297,0.574,0.531,0.1000,alpkdce1,"1.103, 0.021, 0.129",0.9,30.0,0,974
59,0.127271,1.357377,0.572,0.519,0.1000,alpkdce1,"1.094, 0.021, 0.128",0.9,30.0,1,991
60,0.127462,1.331292,0.572,0.514,0.1000,alpkdce1,"1.100, 0.021, 0.129",0.9,30.0,2,1008
61,0.127135,1.359235,0.574,0.511,0.1000,alpkdce1,"1.088, 0.021, 0.127",0.9,30.0,3,1025
62,0.127562,1.451334,0.570,0.476,0.1000,alpkdce1,"1.095, 0.021, 0.128",0.9,30.0,4,1041
