_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.841119,1.986507,0.260,0.253,0.1000,alp,"1.611, 0.104, 1.663",0.5,1.0,0,17
2,1.522819,1.718586,0.346,0.329,0.1000,alp,"1.383, 0.133, 1.450",0.5,1.0,0,35
3,1.370149,1.855070,0.395,0.314,0.1000,alp,"1.252, 0.149, 1.326",0.5,1.0,1,54
4,1.284629,1.625934,0.429,0.368,0.1000,alp,"1.188, 0.156, 1.266",0.5,1.0,0,72
5,1.228150,1.590115,0.449,0.390,0.1000,alp,"1.134, 0.158, 1.213",0.5,1.0,0,90
6,1.190580,1.652733,0.464,0.372,0.1000,alp,"1.096, 0.163, 1.178",0.5,1.0,1,108
7,1.162302,1.535998,0.475,0.407,0.1000,alp,"1.089, 0.161, 1.169",0.5,1.0,0,126
8,1.140048,1.462314,0.487,0.440,0.1000,alp,"1.052, 0.167, 1.135",0.5,1.0,0,145
9,1.118227,1.476911,0.496,0.430,0.1000,alp,"1.039, 0.169, 1.123",0.5,1.0,1,163
10,1.107346,1.468760,0.499,0.432,0.1000,alp,"1.023, 0.170, 1.108",0.5,1.0,2,181
11,1.096009,1.424350,0.503,0.454,0.1000,alp,"1.006, 0.171, 1.091",0.5,1.0,0,199
12,1.079410,1.390456,0.512,0.458,0.1000,alp,"1.007, 0.172, 1.093",0.5,1.0,0,217
13,1.068865,1.394350,0.515,0.457,0.1000,alp,"0.989, 0.174, 1.076",0.5,1.0,1,236
14,1.056393,1.405633,0.522,0.454,0.1000,alp,"0.974, 0.174, 1.061",0.5,1.0,2,254
15,1.051582,1.409903,0.524,0.452,0.1000,alp,"0.959, 0.175, 1.046",0.5,1.0,3,272
16,1.044078,1.398901,0.525,0.466,0.1000,alp,"0.951, 0.178, 1.040",0.5,1.0,0,291
17,1.034146,1.420582,0.529,0.455,0.1000,alp,"0.955, 0.175, 1.042",0.5,1.0,1,309
18,1.030761,1.348642,0.531,0.475,0.1000,alp,"0.951, 0.174, 1.038",0.5,1.0,0,327
19,1.024119,1.382590,0.532,0.467,0.1000,alp,"0.959, 0.174, 1.046",0.5,1.0,1,346
20,1.018795,1.351994,0.535,0.477,0.1000,alp,"0.950, 0.173, 1.037",0.5,1.0,0,364
21,1.013392,1.406161,0.540,0.460,0.1000,alp,"0.937, 0.175, 1.025",0.5,1.0,1,383
22,1.011692,1.502729,0.539,0.433,0.1000,alp,"0.921, 0.178, 1.010",0.5,1.0,2,401
23,1.009389,1.319942,0.538,0.491,0.1000,alp,"0.938, 0.173, 1.025",0.5,1.0,0,419
24,1.003558,1.300397,0.542,0.494,0.1000,alp,"0.922, 0.178, 1.010",0.5,1.0,0,437
25,0.998144,1.311171,0.545,0.495,0.1000,alp,"0.920, 0.178, 1.009",0.5,1.0,0,456
26,0.995582,1.312628,0.545,0.494,0.1000,alp,"0.913, 0.175, 1.001",0.5,1.0,1,474
27,0.994747,1.359840,0.546,0.481,0.1000,alp,"0.906, 0.176, 0.994",0.5,1.0,2,492
28,0.992871,1.356554,0.544,0.477,0.1000,alp,"0.923, 0.176, 1.011",0.5,1.0,3,511
29,0.988500,1.391441,0.549,0.474,0.1000,alp,"0.926, 0.176, 1.014",0.5,1.0,4,529
30,0.985532,1.311932,0.550,0.490,0.1000,alp,"0.904, 0.177, 0.993",0.5,1.0,5,547
31,0.986541,1.411708,0.550,0.456,0.1000,alp,"0.911, 0.174, 0.998",0.5,1.0,6,566
32,0.979962,1.402098,0.552,0.468,0.1000,alp,"0.905, 0.178, 0.994",0.5,1.0,7,584
33,0.984232,1.334753,0.551,0.492,0.1000,alp,"0.910, 0.177, 0.999",0.5,1.0,8,602
34,0.977548,1.298199,0.552,0.493,0.1000,alp,"0.902, 0.177, 0.990",0.5,1.0,9,621
35,0.975549,1.310876,0.554,0.491,0.1000,alp,"0.896, 0.176, 0.984",0.5,1.0,10,639
36,0.975944,1.319514,0.552,0.488,0.1000,alp,"0.886, 0.179, 0.975",0.5,1.0,11,657
37,0.975102,1.388540,0.553,0.465,0.1000,alp,"0.898, 0.177, 0.987",0.5,1.0,12,676
38,0.970551,1.322472,0.553,0.491,0.1000,alp,"0.879, 0.180, 0.969",0.5,1.0,13,694
39,0.971601,1.430256,0.555,0.457,0.1000,alp,"0.909, 0.176, 0.996",0.5,1.0,14,712
