_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.981787,1.870202,0.257,0.282,0.1000,AT,0,16
2,1.736468,1.782388,0.344,0.311,0.1000,AT,0,32
3,1.598625,1.669018,0.397,0.347,0.1000,AT,0,47
4,1.509478,1.565116,0.427,0.403,0.1000,AT,0,63
5,1.448409,1.678790,0.452,0.375,0.1000,AT,1,79
6,1.405081,1.465692,0.467,0.443,0.1000,AT,0,95
7,1.364091,1.501202,0.484,0.413,0.1000,AT,1,111
8,1.343743,1.407200,0.490,0.458,0.1000,AT,0,127
9,1.317370,1.438843,0.502,0.444,0.1000,AT,1,143
10,1.300799,1.366748,0.508,0.466,0.1000,AT,0,159
11,1.285797,1.412427,0.516,0.452,0.1000,AT,1,175
12,1.275238,1.371317,0.517,0.468,0.1000,AT,0,191
13,1.260964,1.487301,0.523,0.434,0.1000,AT,1,207
14,1.255125,1.448432,0.526,0.455,0.1000,AT,2,223
15,1.237785,1.348567,0.531,0.478,0.1000,AT,0,239
16,1.231302,1.340140,0.535,0.478,0.1000,AT,0,255
17,1.220832,1.384114,0.539,0.468,0.1000,AT,1,271
18,1.219329,1.340039,0.538,0.479,0.1000,AT,0,287
19,1.210425,1.331543,0.543,0.491,0.1000,AT,0,303
20,1.205309,1.311946,0.544,0.495,0.1000,AT,0,319
21,1.199833,1.335171,0.545,0.485,0.1000,AT,1,335
22,1.195308,1.335399,0.547,0.489,0.1000,AT,2,351
23,1.187601,1.428389,0.549,0.460,0.1000,AT,3,366
24,1.186594,1.447635,0.551,0.449,0.1000,AT,4,382
25,1.181576,1.329295,0.552,0.491,0.1000,AT,5,398
26,1.177939,1.572092,0.555,0.424,0.1000,AT,6,414
27,1.176454,1.445859,0.555,0.454,0.1000,AT,7,430
28,1.171961,1.324781,0.557,0.495,0.1000,AT,8,446
29,1.170740,1.383519,0.556,0.484,0.1000,AT,9,462
30,1.171607,1.338960,0.555,0.488,0.1000,AT,10,478
31,1.162683,1.352115,0.559,0.479,0.1000,AT,11,494
32,1.164882,1.495699,0.560,0.453,0.1000,AT,12,510
33,1.160064,1.321368,0.561,0.498,0.1000,AT,0,526
34,1.156730,1.282773,0.560,0.504,0.1000,AT,0,542
35,1.154128,1.424303,0.561,0.454,0.1000,AT,1,558
36,1.157722,1.336592,0.563,0.487,0.1000,AT,2,574
37,1.154896,1.336120,0.561,0.490,0.1000,AT,3,590
38,1.154548,1.366447,0.560,0.483,0.1000,AT,4,606
39,1.148542,1.424344,0.564,0.463,0.1000,AT,5,622
40,1.148377,1.608985,0.564,0.412,0.1000,AT,6,638
41,1.151835,1.356900,0.563,0.485,0.1000,AT,7,654
42,1.148369,1.374259,0.565,0.474,0.1000,AT,8,670
43,1.147995,1.470295,0.566,0.464,0.1000,AT,9,686
44,1.145995,1.287174,0.565,0.505,0.1000,AT,0,702
45,1.144847,1.277592,0.566,0.503,0.1000,AT,1,718
46,1.139685,1.294812,0.567,0.509,0.1000,AT,0,733
47,1.140626,1.262806,0.568,0.506,0.1000,AT,1,749
48,1.141812,1.264424,0.567,0.509,0.1000,AT,0,765
49,1.138067,1.300503,0.567,0.506,0.1000,AT,1,781
50,1.137955,1.315945,0.567,0.488,0.1000,AT,2,797
51,1.139706,1.330176,0.567,0.485,0.1000,AT,3,813
52,1.137166,1.313077,0.566,0.493,0.1000,AT,4,829
53,1.134773,1.358650,0.568,0.475,0.1000,AT,5,845
54,1.133545,1.304381,0.571,0.501,0.1000,AT,6,861
55,1.131812,1.315964,0.570,0.501,0.1000,AT,7,877
56,1.134767,1.377291,0.569,0.479,0.1000,AT,8,893
57,1.132961,1.320979,0.569,0.491,0.1000,AT,9,909
58,1.129755,1.269215,0.571,0.504,0.1000,AT,10,925
59,1.128564,1.276978,0.571,0.512,0.1000,AT,0,941
60,1.130968,1.379008,0.571,0.476,0.1000,AT,1,957
61,1.130138,1.297363,0.572,0.504,0.1000,AT,2,973
62,1.125911,1.326224,0.572,0.493,0.1000,AT,3,989
63,1.124049,1.388721,0.574,0.470,0.1000,AT,4,1005
64,1.131256,1.379929,0.569,0.479,0.1000,AT,5,1020
65,1.125949,1.385319,0.572,0.488,0.1000,AT,6,1036
66,1.128759,1.310769,0.572,0.489,0.1000,AT,7,1052
67,1.128103,1.294985,0.573,0.496,0.1000,AT,8,1068
