_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.450867,1.890729,0.267,0.279,0.1000,alpkdce1,"0.921, 5.413, 1.370",0.1,30.0,0,17
2,1.277560,1.941006,0.357,0.305,0.1000,alpkdce1,"0.825, 5.013, 1.244",0.1,30.0,0,35
3,1.192119,1.633379,0.406,0.373,0.1000,alpkdce1,"0.771, 4.781, 1.172",0.1,30.0,0,52
4,1.133992,1.580520,0.439,0.388,0.1000,alpkdce1,"0.724, 4.556, 1.108",0.1,30.0,0,70
5,1.098276,1.509386,0.458,0.424,0.1000,alpkdce1,"0.715, 4.499, 1.093",0.1,30.0,0,87
6,1.065527,1.498394,0.476,0.423,0.1000,alpkdce1,"0.689, 4.383, 1.058",0.1,30.0,1,105
7,1.047007,1.559442,0.486,0.412,0.1000,alpkdce1,"0.684, 4.325, 1.048",0.1,30.0,2,122
8,1.027906,1.475529,0.498,0.442,0.1000,alpkdce1,"0.662, 4.210, 1.017",0.1,30.0,0,140
9,1.016933,1.489089,0.503,0.438,0.1000,alpkdce1,"0.661, 4.199, 1.015",0.1,30.0,1,157
10,1.003065,1.419576,0.509,0.461,0.1000,alpkdce1,"0.658, 4.169, 1.009",0.1,30.0,0,175
11,0.994279,1.499779,0.514,0.431,0.1000,alpkdce1,"0.650, 4.115, 0.997",0.1,30.0,1,192
12,0.985912,1.470797,0.522,0.444,0.1000,alpkdce1,"0.636, 4.087, 0.981",0.1,30.0,2,210
13,0.975902,1.439287,0.523,0.452,0.1000,alpkdce1,"0.630, 4.047, 0.972",0.1,30.0,3,227
14,0.971598,1.368130,0.526,0.478,0.1000,alpkdce1,"0.633, 4.061, 0.976",0.1,30.0,0,245
15,0.963924,1.382708,0.530,0.476,0.1000,alpkdce1,"0.627, 4.038, 0.968",0.1,30.0,1,262
16,0.957268,1.392778,0.532,0.472,0.1000,alpkdce1,"0.625, 4.018, 0.964",0.1,30.0,2,280
17,0.950405,1.481826,0.538,0.454,0.1000,alpkdce1,"0.617, 3.972, 0.952",0.1,30.0,3,297
18,0.947748,1.346824,0.540,0.490,0.1000,alpkdce1,"0.611, 3.937, 0.944",0.1,30.0,0,315
19,0.943669,1.418830,0.539,0.462,0.1000,alpkdce1,"0.614, 3.969, 0.949",0.1,30.0,1,332
20,0.936816,2.863351,0.544,0.289,0.1000,alpkdce1,"0.608, 3.918, 0.939",0.1,30.0,2,350
21,0.936658,1.395061,0.545,0.479,0.1000,alpkdce1,"0.616, 3.959, 0.950",0.1,30.0,3,367
22,0.932457,1.994415,0.548,0.396,0.1000,alpkdce1,"0.603, 3.907, 0.934",0.1,30.0,4,385
23,0.929880,1.502165,0.548,0.465,0.1000,alpkdce1,"0.596, 3.858, 0.922",0.1,30.0,5,402
24,0.926423,1.388542,0.549,0.480,0.1000,alpkdce1,"0.597, 3.865, 0.924",0.1,30.0,6,420
25,0.924177,1.395185,0.551,0.469,0.1000,alpkdce1,"0.603, 3.881, 0.931",0.1,30.0,7,437
26,0.923439,1.378772,0.552,0.495,0.1000,alpkdce1,"0.599, 3.884, 0.928",0.1,30.0,0,455
