_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,2.842357,2.194891,0.279,0.410,0.1000,NT,0,1
2,1.530008,1.459160,0.557,0.577,0.1000,NT,0,3
3,1.133186,1.182381,0.656,0.649,0.1000,NT,0,4
4,0.974047,1.020081,0.695,0.690,0.1000,NT,0,6
5,0.896586,1.286667,0.716,0.628,0.1000,NT,1,7
6,0.835427,1.068593,0.739,0.676,0.1000,NT,2,8
7,0.795423,1.182676,0.748,0.652,0.1000,NT,3,10
8,0.773062,0.983698,0.756,0.701,0.1000,NT,0,11
9,0.749728,1.180881,0.763,0.657,0.1000,NT,1,13
10,0.717062,1.059891,0.774,0.684,0.1000,NT,2,14
11,0.713664,1.123451,0.773,0.684,0.1000,NT,3,16
12,0.696181,0.995448,0.778,0.707,0.1000,NT,0,17
13,0.685324,0.932263,0.781,0.711,0.1000,NT,0,19
14,0.669244,1.092862,0.788,0.671,0.1000,NT,1,20
15,0.654407,1.105340,0.792,0.668,0.1000,NT,2,22
16,0.651234,0.938152,0.792,0.714,0.1000,NT,0,23
17,0.641917,1.084294,0.794,0.685,0.1000,NT,1,25
18,0.628241,1.190276,0.798,0.662,0.1000,NT,2,26
19,0.623065,0.904111,0.800,0.723,0.1000,NT,0,28
20,0.617448,0.983576,0.803,0.713,0.1000,NT,1,29
21,0.617336,0.973591,0.803,0.711,0.1000,NT,2,30
22,0.600647,0.977565,0.806,0.708,0.1000,NT,3,32
23,0.602702,1.010952,0.806,0.703,0.1000,NT,4,33
24,0.597229,0.871907,0.808,0.736,0.1000,NT,0,35
25,0.601834,0.938511,0.807,0.720,0.1000,NT,1,36
26,0.586519,1.016664,0.812,0.703,0.1000,NT,2,38
27,0.587148,0.944555,0.810,0.728,0.1000,NT,3,39
28,0.576130,1.078229,0.814,0.696,0.1000,NT,4,41
29,0.580232,0.944641,0.811,0.716,0.1000,NT,5,42
30,0.577183,0.930532,0.816,0.717,0.1000,NT,6,44
31,0.575318,1.014886,0.815,0.706,0.1000,NT,7,45
32,0.568338,0.902886,0.818,0.734,0.1000,NT,8,47
33,0.566749,0.951350,0.817,0.716,0.1000,NT,9,48
34,0.559949,0.956815,0.820,0.721,0.1000,NT,10,50
35,0.562467,0.908297,0.820,0.725,0.1000,NT,11,51
36,0.559270,0.927595,0.820,0.727,0.1000,NT,12,52
