_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.293644,2.025773,0.527,0.404,0.1000,NT,0,1
2,0.707158,0.775472,0.751,0.732,0.1000,NT,0,3
3,0.555904,0.700579,0.805,0.762,0.1000,NT,0,5
4,0.489520,0.513316,0.829,0.819,0.1000,NT,0,7
5,0.459793,0.680429,0.839,0.776,0.1000,NT,1,9
6,0.447362,0.497766,0.844,0.826,0.1000,NT,0,10
7,0.425450,0.489883,0.852,0.833,0.1000,NT,0,12
8,0.413047,0.484430,0.856,0.831,0.1000,NT,1,14
9,0.405861,0.504401,0.857,0.829,0.1000,NT,2,16
10,0.397234,0.487914,0.860,0.832,0.1000,NT,3,18
11,0.391632,0.589253,0.863,0.802,0.1000,NT,4,19
12,0.385341,0.490245,0.865,0.826,0.1000,NT,5,21
13,0.378964,0.514243,0.867,0.826,0.1000,NT,6,23
14,0.370459,0.762750,0.871,0.755,0.1000,NT,7,25
15,0.368165,0.706758,0.870,0.773,0.1000,NT,8,26
16,0.361870,0.506159,0.871,0.830,0.1000,NT,9,28
17,0.353209,0.698190,0.875,0.776,0.1000,NT,10,30
18,0.349772,0.583089,0.877,0.798,0.1000,NT,11,32
19,0.351140,0.415113,0.876,0.853,0.1000,NT,0,34
20,0.346832,0.403216,0.879,0.858,0.1000,NT,0,35
21,0.342086,0.492034,0.878,0.826,0.1000,NT,1,37
22,0.341799,0.453103,0.880,0.847,0.1000,NT,2,39
23,0.337157,0.456026,0.882,0.844,0.1000,NT,3,41
24,0.338781,0.473669,0.880,0.838,0.1000,NT,4,43
25,0.332586,0.430116,0.883,0.844,0.1000,NT,5,44
26,0.337471,0.575350,0.881,0.809,0.1000,NT,6,46
27,0.332938,0.478122,0.881,0.839,0.1000,NT,7,48
28,0.325580,0.494844,0.885,0.828,0.1000,NT,8,50
29,0.330508,0.586938,0.882,0.801,0.1000,NT,9,52
30,0.324329,0.480509,0.886,0.836,0.1000,NT,10,53
31,0.327999,0.408294,0.884,0.857,0.1000,NT,11,55
32,0.321555,0.454216,0.886,0.846,0.1000,NT,12,57
33,0.324576,0.460350,0.885,0.840,0.1000,NT,13,59
34,0.320885,0.454473,0.886,0.843,0.1000,NT,14,60
35,0.317125,0.434249,0.888,0.847,0.1000,NT,15,62
36,0.319669,0.468491,0.887,0.843,0.1000,NT,16,64
37,0.317051,0.531766,0.887,0.818,0.1000,NT,17,66
38,0.317756,0.500671,0.887,0.832,0.1000,NT,18,68
39,0.316168,0.356717,0.888,0.875,0.1000,NT,0,69
40,0.315618,0.555575,0.888,0.804,0.1000,NT,1,71
41,0.315544,0.399229,0.888,0.867,0.1000,NT,2,73
42,0.314819,0.498330,0.889,0.825,0.1000,NT,3,75
43,0.311596,0.542695,0.890,0.819,0.1000,NT,4,77
44,0.316504,0.450006,0.889,0.847,0.1000,NT,5,78
45,0.315767,0.512969,0.886,0.824,0.1000,NT,6,80
46,0.306067,0.551120,0.892,0.811,0.1000,NT,7,82
47,0.312869,0.439803,0.889,0.850,0.1000,NT,8,84
48,0.312834,0.569188,0.889,0.812,0.1000,NT,9,86
49,0.314131,0.463928,0.889,0.839,0.1000,NT,10,87
50,0.311962,0.433346,0.890,0.853,0.1000,NT,11,89
51,0.311045,0.499965,0.890,0.833,0.1000,NT,12,91
52,0.309742,0.421563,0.891,0.859,0.1000,NT,13,93
53,0.305986,0.474808,0.891,0.841,0.1000,NT,14,94
54,0.312355,0.524055,0.889,0.818,0.1000,NT,15,96
55,0.312765,0.482822,0.890,0.837,0.1000,NT,16,98
56,0.307233,0.430705,0.892,0.855,0.1000,NT,17,100
57,0.311232,0.480804,0.889,0.838,0.1000,NT,18,102
58,0.308467,0.725124,0.891,0.767,0.1000,NT,19,103
59,0.308138,0.377792,0.893,0.871,0.1000,NT,20,105
60,0.309303,0.534753,0.890,0.824,0.1000,NT,21,107
