_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,4.179876,4.316049,0.054,0.049,0.1000,alp,"4.002, 0.050, 4.027",0.5,1.0,0,11
2,3.862485,4.032866,0.084,0.086,0.1000,alp,"3.771, 0.066, 3.804",0.5,1.0,0,23
3,3.628293,4.001210,0.109,0.096,0.1000,alp,"3.516, 0.083, 3.557",0.5,1.0,0,35
4,3.439549,3.912844,0.130,0.108,0.1000,alp,"3.344, 0.099, 3.394",0.5,1.0,0,47
5,3.295765,3.790298,0.146,0.131,0.1000,alp,"3.212, 0.112, 3.268",0.5,1.0,0,59
6,3.181308,3.736863,0.159,0.134,0.1000,alp,"3.116, 0.120, 3.176",0.5,1.0,0,71
7,3.084786,3.680359,0.170,0.150,0.1000,alp,"3.003, 0.128, 3.067",0.5,1.0,0,83
8,3.005070,3.650103,0.180,0.160,0.1000,alp,"2.936, 0.133, 3.002",0.5,1.0,0,95
9,2.925607,3.688854,0.191,0.150,0.1000,alp,"2.857, 0.138, 2.925",0.5,1.0,1,107
10,2.866753,3.645323,0.199,0.157,0.1000,alp,"2.811, 0.140, 2.881",0.5,1.0,2,119
11,2.805248,3.579288,0.207,0.163,0.1000,alp,"2.760, 0.144, 2.832",0.5,1.0,0,131
12,2.761653,3.634093,0.213,0.159,0.1000,alp,"2.714, 0.143, 2.785",0.5,1.0,1,142
13,2.718114,3.558048,0.218,0.174,0.1000,alp,"2.652, 0.147, 2.726",0.5,1.0,0,154
14,2.676927,3.563405,0.223,0.174,0.1000,alp,"2.624, 0.150, 2.699",0.5,1.0,0,166
15,2.634403,3.489111,0.230,0.186,0.1000,alp,"2.570, 0.151, 2.646",0.5,1.0,0,178
16,2.607351,3.519115,0.234,0.181,0.1000,alp,"2.545, 0.152, 2.622",0.5,1.0,1,190
17,2.568537,3.521193,0.239,0.187,0.1000,alp,"2.504, 0.152, 2.580",0.5,1.0,0,202
18,2.540253,3.456529,0.242,0.190,0.1000,alp,"2.499, 0.153, 2.576",0.5,1.0,0,214
19,2.510655,3.528447,0.246,0.183,0.1000,alp,"2.449, 0.155, 2.527",0.5,1.0,1,226
20,2.483555,3.427441,0.249,0.203,0.1000,alp,"2.418, 0.154, 2.495",0.5,1.0,0,238
21,2.448557,3.584642,0.257,0.179,0.1000,alp,"2.408, 0.156, 2.486",0.5,1.0,1,249
22,2.437065,3.567410,0.258,0.177,0.1000,alp,"2.389, 0.158, 2.468",0.5,1.0,2,261
23,2.414640,3.435579,0.261,0.201,0.1000,alp,"2.397, 0.160, 2.477",0.5,1.0,3,273
24,2.387830,3.463575,0.265,0.199,0.1000,alp,"2.331, 0.159, 2.411",0.5,1.0,4,285
25,2.366747,3.458405,0.270,0.196,0.1000,alp,"2.326, 0.158, 2.405",0.5,1.0,5,297
26,2.350964,3.578948,0.270,0.188,0.1000,alp,"2.310, 0.162, 2.391",0.5,1.0,6,309
27,2.337059,3.604523,0.273,0.195,0.1000,alp,"2.293, 0.162, 2.374",0.5,1.0,7,321
