_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,3.977345,0.000000,0.083,0.000,0.1000,NT,0,1
2,3.371090,0.000000,0.178,0.000,0.1000,NT,0,2
3,2.803469,0.000000,0.280,0.000,0.1000,NT,0,3
4,2.355968,0.000000,0.370,0.000,0.1000,NT,0,4
5,2.045206,0.000000,0.439,0.000,0.1000,NT,0,5
6,1.836518,0.000000,0.487,0.000,0.1000,NT,0,6
7,1.687760,0.000000,0.525,0.000,0.1000,NT,0,7
8,1.571259,0.000000,0.553,0.000,0.1000,NT,0,8
9,1.475473,0.000000,0.579,0.000,0.1000,NT,0,9
10,1.403138,0.000000,0.597,0.000,0.1000,NT,0,10
11,1.354036,0.000000,0.611,0.000,0.1000,NT,0,11
12,1.297524,0.000000,0.626,0.000,0.1000,NT,0,12
13,1.245709,0.000000,0.639,0.000,0.1000,NT,0,13
14,1.215679,0.000000,0.647,0.000,0.1000,NT,0,14
15,1.177344,0.000000,0.654,0.000,0.1000,NT,0,15
16,1.150517,0.000000,0.663,0.000,0.1000,NT,0,16
17,1.117768,0.000000,0.674,0.000,0.1000,NT,0,17
18,1.082975,0.000000,0.682,0.000,0.1000,NT,0,18
19,1.061796,0.000000,0.688,0.000,0.1000,NT,0,19
20,1.048510,0.000000,0.690,0.000,0.1000,NT,0,20
21,1.031651,0.000000,0.695,0.000,0.1000,NT,0,21
22,1.004799,0.000000,0.706,0.000,0.1000,NT,0,22
23,1.000635,0.000000,0.704,0.000,0.1000,NT,0,23
24,0.981325,0.000000,0.711,0.000,0.1000,NT,0,24
25,0.969390,0.000000,0.714,0.000,0.1000,NT,0,25
26,0.953105,0.000000,0.717,0.000,0.1000,NT,0,26
27,0.935016,0.000000,0.723,0.000,0.1000,NT,0,27
28,0.921175,0.000000,0.728,0.000,0.1000,NT,0,28
29,0.912189,0.000000,0.728,0.000,0.1000,NT,0,29
30,0.908186,0.000000,0.730,0.000,0.1000,NT,0,30
31,0.895633,0.000000,0.737,0.000,0.1000,NT,0,31
32,0.889241,0.000000,0.735,0.000,0.1000,NT,0,32
33,0.889845,0.000000,0.736,0.000,0.1000,NT,0,33
34,0.875543,0.000000,0.739,0.000,0.1000,NT,0,34
35,0.853799,0.000000,0.747,0.000,0.1000,NT,0,35
36,0.858126,0.000000,0.744,0.000,0.1000,NT,0,36
37,0.858621,0.000000,0.745,0.000,0.1000,NT,0,37
38,0.840669,0.000000,0.750,0.000,0.1000,NT,0,38
39,0.849075,0.000000,0.747,0.000,0.1000,NT,0,39
40,0.830120,0.000000,0.750,0.000,0.1000,NT,0,40
41,0.833993,0.000000,0.750,0.000,0.1000,NT,0,41
42,0.824421,0.000000,0.755,0.000,0.1000,NT,0,42
43,0.821824,0.000000,0.757,0.000,0.1000,NT,0,43
44,0.809915,0.000000,0.759,0.000,0.1000,NT,0,44
45,0.805308,0.000000,0.758,0.000,0.1000,NT,0,45
46,0.816464,0.000000,0.755,0.000,0.1000,NT,0,46
47,0.807475,0.000000,0.759,0.000,0.1000,NT,0,47
48,0.796571,0.000000,0.762,0.000,0.1000,NT,0,48
49,0.793270,0.000000,0.765,0.000,0.1000,NT,0,49
50,0.786460,0.000000,0.764,0.000,0.1000,NT,0,50
51,0.796049,0.000000,0.761,0.000,0.1000,NT,0,51
52,0.785358,0.000000,0.764,0.000,0.1000,NT,0,52
53,0.787644,0.000000,0.766,0.000,0.1000,NT,0,53
54,0.775599,0.000000,0.769,0.000,0.1000,NT,0,54
55,0.776673,0.000000,0.769,0.000,0.1000,NT,0,55
56,0.774058,0.000000,0.769,0.000,0.1000,NT,0,56
57,0.767589,0.000000,0.770,0.000,0.1000,NT,0,57
58,0.769270,0.000000,0.769,0.000,0.1000,NT,0,58
59,0.773032,0.000000,0.768,0.000,0.1000,NT,0,59
60,0.770352,0.000000,0.771,0.000,0.1000,NT,0,60
61,0.764058,0.000000,0.773,0.000,0.1000,NT,0,61
62,0.761777,0.000000,0.773,0.000,0.1000,NT,0,62
63,0.758075,0.000000,0.773,0.000,0.1000,NT,0,63
64,0.752855,0.000000,0.773,0.000,0.1000,NT,0,64
65,0.759231,0.000000,0.772,0.000,0.1000,NT,0,65
66,0.754025,0.000000,0.775,0.000,0.1000,NT,0,66
67,0.747139,0.000000,0.775,0.000,0.1000,NT,0,67
68,0.744855,0.000000,0.778,0.000,0.1000,NT,0,68
69,0.749391,0.000000,0.775,0.000,0.1000,NT,0,69
70,0.746553,0.000000,0.776,0.000,0.1000,NT,0,70
71,0.741677,0.000000,0.776,0.000,0.1000,NT,0,71
72,0.736872,0.000000,0.781,0.000,0.1000,NT,0,72
73,0.734766,0.000000,0.779,0.000,0.1000,NT,0,73
74,0.725590,0.000000,0.784,0.000,0.1000,NT,0,74
75,0.728597,0.000000,0.782,0.000,0.1000,NT,0,75
76,0.740154,0.000000,0.778,0.000,0.1000,NT,0,76
77,0.737518,0.000000,0.778,0.000,0.1000,NT,0,77
78,0.733764,0.000000,0.780,0.000,0.1000,NT,0,78
79,0.720387,0.000000,0.784,0.000,0.1000,NT,0,79
80,0.731860,0.000000,0.779,0.000,0.1000,NT,0,80
81,0.721634,0.000000,0.784,0.000,0.1000,NT,0,81
82,0.727763,0.000000,0.782,0.000,0.1000,NT,0,82
83,0.728783,0.000000,0.781,0.000,0.1000,NT,0,83
84,0.716043,0.000000,0.784,0.000,0.1000,NT,0,84
85,0.717602,0.000000,0.784,0.000,0.1000,NT,0,85
86,0.720479,0.000000,0.784,0.000,0.1000,NT,0,86
87,0.713832,0.000000,0.784,0.000,0.1000,NT,0,87
88,0.714452,0.000000,0.784,0.000,0.1000,NT,0,88
89,0.706115,0.000000,0.787,0.000,0.1000,NT,0,89
90,0.722654,0.000000,0.782,0.000,0.1000,NT,0,90
91,0.709501,0.000000,0.788,0.000,0.1000,NT,0,91
92,0.706092,0.000000,0.788,0.000,0.1000,NT,0,92
93,0.705979,0.000000,0.787,0.000,0.1000,NT,0,93
94,0.707548,0.000000,0.788,0.000,0.1000,NT,0,94
95,0.708907,0.000000,0.787,0.000,0.1000,NT,0,95
96,0.707038,0.000000,0.787,0.000,0.1000,NT,0,96
97,0.688745,0.000000,0.790,0.000,0.1000,NT,0,97
98,0.704538,0.000000,0.790,0.000,0.1000,NT,0,98
99,0.701801,0.000000,0.789,0.000,0.1000,NT,0,99
100,0.707779,0.000000,0.787,0.000,0.1000,NT,0,100
101,0.303655,0.788030,0.913,0.778,0.0100,NT,0,101
102,0.170795,0.776053,0.954,0.783,0.0100,NT,0,102
103,0.128443,0.792881,0.968,0.785,0.0100,NT,0,103
104,0.105377,0.781888,0.974,0.790,0.0100,NT,0,104
105,0.084378,0.793107,0.981,0.786,0.0100,NT,1,105
106,0.071265,0.789965,0.985,0.786,0.0100,NT,2,106
